DateTime,AddedIPs,RemovedIPs
1549233990,263,0
1549255628,382,0
1549277210,392,0
1549298894,292,1909
1549320439,131,0
1549331290,112,0
1549352876,395,0
1549374422,309,1
1549396116,321,1909
1549417781,266,0
1549439244,414,0
1549460819,379,0
1549471811,0,6770
1549486090,254,0
1549507735,286,0
1549529234,555,0
1549550831,266,0
1549558085,11,2032
1549577919,342,0
1549599477,404,0
1549621299,469,0
1549642637,435,1755
1549664331,8,0
1549676854,343,0
1549698466,567,0
1549720014,549,0
1549741827,354,1912
1549763186,368,0
1549784838,623,0
1549806402,542,0
1549828101,413,2293
1549849611,332,0
1549856896,2,0
1549878472,543,0
1549898229,319,0
1549919836,271,4135
1549941445,448,0
1549962982,43,0
1549975590,448,0
1550002629,503,4207
1550022482,351,0
1550043571,486,0
1550063819,425,0
1550083628,260,3443
1550098068,415,0
1550119681,493,0
1550141210,789,0
1550162942,798,4177
1550184475,565,0
1550200601,44,0
1550224027,1130,0
1550245904,628,3166
1550267231,316,0
1550281628,245,0
1550301443,814,0
1550322990,858,0
1550344636,803,1867
1550366180,779,0
1550387858,989,0
1550407591,1097,0
1550429179,714,1554
1550450990,187,0
1550461640,274,0
1550483183,1339,0
1550502991,808,0
1550524670,642,2280
1550544407,125,0
1550566013,1076,0
1550587827,85,0
1550602025,607,2270
1550621881,415,0
1550643478,508,0
1550664971,1064,0
1550686615,501,1930
1550708218,387,0
1550729770,745,0
1550751427,869,0
1550773091,549,1663
1550794836,53,0
1550803635,369,0
1550825226,865,0
1550846854,736,0
1550868444,358,1303
1550890024,341,0
1550911651,1089,0
1550940416,393,1607
1550962039,427,0
1550983556,395,0
1551005205,673,0
1551026877,531,1674
1551046542,34,0
1551059242,301,0
1551080829,524,0
1551102437,696,0
1551122260,409,1618
1551143839,347,0
1551165373,666,0
1551187063,529,0
1551208627,344,1429
1551217656,46,0
1551235662,239,0
1551257239,667,0
1551278795,553,0
1551300423,273,1065
1551318434,28,0
1551332802,465,0
1551354724,523,0
1551376156,466,1455
1551397051,428,0
1551417465,495,0
1551437309,219,0
1551455246,282,1515
1551469625,389,0
1551491210,254,0
1551512827,849,0
1551532655,472,0
1551554316,392,1477
1551575788,82,0
1551581202,121,0
1551602792,633,0
1551622685,436,0
1551644152,41,1331
1551665787,262,0
1551687391,487,0
1551700213,391,0
1551721734,434,1738
1551742640,238,0
1551763078,478,0
1551782858,364,0
1551804484,20,1810
1551813529,381,0
1551833230,243,0
1551854820,547,0
1551874581,128,0
1551887197,258,1834
1551907191,385,0
1551926794,216,0
1551946873,604,0
1551968185,538,0
1551989844,322,2889
1552011402,101,0
1552023994,487,0
1552045667,496,0
1552067224,404,3111
1552088265,413,0
1552108592,704,0
1552128411,509,0
1552150021,330,3633
1552160816,156,0
1552182456,495,0
1552204070,752,0
1552225636,523,0
1552247292,692,2742
1552268831,289,0
1552290693,753,0
1552312224,540,0
1552333845,272,2950
1552355252,95,0
1552371535,543,0
1552391294,599,0
1552412843,562,2330
1552434037,306,0
1552455998,362,0
1552477787,899,0
1552497557,487,2386
1552517208,89,0
1552528074,147,0
1552582005,0,2463
1552614387,1649,0
1552636027,790,0
1552657602,973,0
1552679194,325,2344
1552700901,49,0
1552708360,147,0
1552729793,1086,0
1552748425,557,0
1552758768,0,3095
1552776405,355,0
1552797999,522,0
1552817841,781,0
1552839430,565,1833
1552860982,38,0
1552873609,290,0
1552895219,765,0
1552916861,1014,0
1552936638,325,2043
1552958224,291,0
1552979817,1005,0
1553001434,540,0
1553023221,393,1756
1553032122,18,0
1553050063,117,0
1553071561,1369,0
1553093539,551,0
1553114876,440,2019
1553136455,18,0
1553154399,446,0
1553176156,1122,0
1553190465,407,1519
1553211349,314,0
1553231819,431,0
1553251649,362,0
1553273422,222,1887
1553284274,535,0
1553305895,216,0
1553327428,635,0
1553346978,526,0
1553368587,445,1331
1553395610,297,0
1553417159,748,0
1553437067,743,0
1553458616,41,1865
1553478382,328,0
1553489186,230,0
1553510831,720,0
1553532376,433,1486
1553554133,237,0
1553575943,433,0
1553597181,487,0
1553618832,20,1597
