DateTime,AddedIPs,RemovedIPs
1557129945,3,1
1557133553,1,1
1557137162,1,2
1557140759,0,2
1557144350,0,1
1557147958,1,0
1557151551,1,2
1557155152,1,2
1557158772,1,1
1557162360,2,1
1557165939,1,1
1557169537,2,1
1557173140,1,2
1557176738,1,2
1557180330,1,0
1557183951,1,0
1557187524,2,0
1557191141,1,2
1557194754,1,0
1557198339,1,2
1557201938,0,2
1557205539,2,0
1557209147,1,1
1557212749,0,2
1557216341,4,0
1557219947,1,2
1557223559,2,2
1557227138,2,2
1557230743,1,1
1557234335,2,2
1557237944,2,2
1557241549,1,1
1557245150,2,1
1557248736,0,2
1557252342,1,1
1557255945,1,1
1557259545,1,1
1557263148,1,6
1557266743,3,1
1557270345,2,1
1557273975,1,2
1557277549,3,1
1557281145,2,1
1557284758,2,0
1557288354,1,3
1557291969,1,2
1557295557,0,1
1557299150,2,1
1557302759,3,3
1557306345,1,3
1557309962,2,3
1557313559,1,0
1557317148,3,2
1557320753,1,0
1557324358,1,2
1557327950,2,2
1557331558,0,2
1557335157,2,0
1557342353,1,0
1557345953,0,2
1557349557,1,0
1557353155,0,1
1557356743,0,2
1557360357,3,2
1557363949,4,1
1557371147,1,1
1557374754,2,2
1557378355,1,0
1557381941,3,1
1557385553,2,2
1557389147,1,0
1557392746,1,2
1557396356,3,3
1557399940,0,2
1557403552,2,0
1557407156,0,1
1557410747,0,5
1557414359,2,2
1557417955,2,2
1557421544,2,0
1557425150,1,0
1557428764,1,0
1557432368,3,0
1557435964,1,3
1557439558,1,3
1557443167,0,3
1557446768,3,3
1557450369,2,3
1557453960,3,0
1557457567,1,2
1557461161,2,1
1557464769,1,1
1557468365,0,4
1557471959,3,1
1557475569,3,1
1557479156,1,0
1557482757,1,1
1557486362,0,2
1557489962,1,3
1557493697,3,1
1557497162,1,0
1557500747,2,1
1557504359,3,1
1557507965,0,3
1557511558,2,1
1557515155,1,2
1557518758,1,1
1557522369,1,0
1557525962,1,0
1557529563,0,1
1557533165,3,0
1557536764,1,0
1557540371,1,1
1557543969,0,1
1557547570,0,2
1557551164,3,0
1557554767,0,2
1557558367,0,1
1557561977,2,0
1557565570,0,1
1557569162,1,0
1557579960,1,0
1557583565,0,2
1557587168,1,3
1557590769,2,0
1557594369,0,2
1557597959,1,2
1557601564,3,1
1557605162,2,1
1557608754,0,3
1557612368,3,0
1557615953,2,3
1557619571,1,0
1557623165,1,2
1557626765,2,2
1557630374,2,0
1557633967,0,4
1557637556,4,3
1557641168,3,3
1557644768,1,4
1557648376,2,0
1557651961,1,1
1557655568,3,2
1557659159,4,0
1557662766,0,1
1557666368,1,1
1557669966,1,2
1557673568,3,2
1557677174,2,4
1557680762,2,0
1557684367,0,1
1557691579,0,1
1557695161,0,1
1557698789,1,1
1557702376,3,3
1557705963,2,0
1557709564,0,1
1557713153,1,1
1557716756,1,2
1557720365,3,2
1557723951,1,0
1557731153,1,3
1557734739,1,0
1557738332,1,1
1557741940,0,2
1557745553,4,1
1557749143,3,2
1557752731,3,2
1557756361,1,0
1557759945,0,1
1557763547,1,0
1557767149,1,1
1557770753,0,2
1557774346,2,2
1557777949,2,4
1557781549,3,1
1557785141,1,2
1557788743,1,2
1557792354,4,2
1557803149,1,2
1557806756,2,0
1557810344,0,3
1557813952,1,0
1557817558,2,2
1557821150,1,3
1557824736,2,1
1557828339,2,1
1557831959,1,1
1557835547,1,1
1557839153,2,2
1557842743,2,2
1557846345,0,2
1557849950,3,3
1557853547,2,2
1557857141,2,1
1557860743,0,1
1557864352,1,1
1557867950,1,1
1557871543,1,1
1557875153,1,2
1557878767,2,2
