DateTime,AddedIPs,RemovedIPs
1512450100,1,1
1512453707,0,1
1512457307,1,1
1512460906,1,1
1512464506,1,0
1512468105,0,1
1512471707,1,0
1512475312,1,1
1512478906,1,1
1512482506,0,1
1512489709,1,1
1512493309,1,1
1512500508,1,1
1512504105,1,1
1512522108,1,1
1512529307,0,3
1512532905,0,1
1512536510,1,0
1512540104,1,1
1512547306,1,1
1512550910,0,1
1512554507,1,0
1512568905,1,1
1512572508,0,1
1512576108,1,0
1512579704,1,1
1512583309,1,0
1512586905,0,1
1512590512,1,0
1512601308,1,2
1512604905,0,1
1512612110,0,1
1512615707,0,1
1512691308,1,0
1512874901,0,1
1513382509,1,0
1513393302,0,1
1514084491,0,1
1515715299,1,0
1515762094,0,1
1515942102,1,0
1516017694,0,1
1516089663,1,0
1516233698,1,0
1516417296,0,1
1516492907,2,0
1516924902,1,0
1516935701,0,1
1517194901,0,2
1517356906,1,0
1517641295,0,1
1517706094,1,0
1517734907,0,1
1517803299,1,0
1517846516,0,1
1518019295,0,1
1518094895,1,0
1518130906,0,1
1518145302,1,0
1518174130,0,1
1518274891,1,0
1518296485,0,1
1518300104,1,0
1518307292,2,0
1518321697,0,1
1518393705,1,0
1518480106,1,0
1518566540,1,0
1518714093,1,0
1518728491,0,1
1518739317,1,0
1518912059,1,0
1519009291,0,2
1519095703,0,1
1519182101,0,1
1519250505,1,0
1519261292,0,1
1519268492,0,1
1519430491,1,0
1519441288,0,1
1519603299,1,0
1519614107,0,1
1520132500,0,1
1520305304,0,1
1520388095,1,0
1520434888,0,1
1520467310,1,0
1520470886,1,0
1520528499,0,1
1520560893,1,0
1520650890,0,1
1521169291,0,1
1521244860,1,0
1521504096,1,0
1521550905,1,0
1521561697,0,1
1521590499,1,0
1521763298,1,0
1521849695,1,0
1521946904,0,1
1522108895,3,0
1522206104,0,1
1522292511,0,1
1522465301,0,1
1522551695,0,1
1522627296,1,0
1522810903,0,3
1522886495,2,0
1523329294,0,1
1523588485,0,2
1523664097,1,0
1523836895,1,0
1524092503,0,0
1524096105,1,0
1524121300,0,0
1524182503,1,0
1524355310,1,0
1524366104,0,1
1524538902,0,1
1524787302,1,0
1524798100,0,1
1524873700,1,0
1524884507,0,1
1525057300,0,1
1525219299,1,0
1525305707,1,0
1525392091,2,0
1525489293,0,1
1525575692,0,1
1525651298,1,0
1525910492,1,0
1525921299,0,1
1525996901,1,0
1526007700,0,1
1526094106,0,2
1526306492,0,0
1526353297,0,1
1526428905,3,0
1526612504,0,1
1526698902,0,1
1526774504,1,0
1527130895,0,3
1527206497,1,0
1527289300,0,0
1527292897,0,0
1527296507,0,0
1527300101,0,0
1527303701,0,0
1527307303,0,0
1527310899,0,0
1527314508,0,0
1527318088,0,0
1527321702,0,0
1527325291,0,0
1527328901,0,0
1527332498,0,0
1527336090,0,0
1527339700,0,0
1527343301,0,0
1527346890,0,0
1527350500,0,0
1527354102,0,0
