DateTime,Entries,UniqueIPs
1547978173,35613,35613
1548000022,35598,35598
1548021909,35217,35217
1548043932,35186,35186
1548065777,35136,35136
1548087654,35151,35151
1548109697,35001,35001
1548131566,34863,34863
1548153614,34875,34875
1548175480,34857,34857
1548197600,27421,27421
1548219630,27385,27385
1548241486,25828,25828
1548263533,25567,25567
1548285416,25832,25832
1548307467,25774,25774
1548329559,17629,17629
1548351402,17649,17649
1548373257,17751,17751
1548395291,17736,17736
1548417366,17727,17727
1548450530,17717,17717
1548472603,17689,17689
1548494450,17544,17544
1548516628,17543,17543
1548538568,17545,17545
1548560411,17552,17552
1548582494,17542,17542
1548604373,17622,17622
1548626454,17612,17612
1548648653,15423,15423
1548670603,14951,14951
1548692671,13099,13099
1548714515,12685,12685
1548736370,12681,12681
1548758417,12680,12680
1548780271,13121,13121
1548802355,13107,13107
1548824217,13101,13101
1548846069,12946,12946
1548868346,12732,12732
1548890461,12150,12150
1548912765,12107,12107
1548934811,12216,12216
1548956657,12169,12169
1548978563,12224,12224
1549000596,12356,12356
1549022673,12774,12774
1549044761,13133,13133
1549066811,13140,13140
1549088903,13141,13141
1549110979,13136,13136
1549132998,13147,13147
1549154907,11541,11541
1549176767,11529,11529
1549198684,13229,13229
1549220674,12973,12973
1549242526,11322,11322
1549264584,8427,8427
1549286445,8408,8408
1549308549,8475,8475
1549330626,8500,8500
1549352667,8521,8521
1549374775,8470,8470
1549396825,9603,9603
1549418679,9662,9662
1549440767,9706,9706
1549462836,9703,9703
1549484896,9858,9858
1549506768,9906,9906
1549528816,9917,9917
1549550660,9899,9899
1549572852,10601,10601
1549594813,10711,10711
1549616692,10685,10685
1549638980,10609,10609
1549660842,10586,10586
1549682911,10613,10613
1549704978,10514,10514
1549727083,10528,10528
1549749132,10426,10426
1549770976,10391,10391
1549792830,10329,10329
1549814953,8942,8942
1549836984,10349,10349
1549858840,10291,10291
1549880920,12075,12075
1549902991,17855,17855
1549925058,18014,18014
1549947158,18121,18121
1549969228,17970,17970
1549991335,17963,17963
1550013381,17962,17962
1550035226,17921,17921
1550057082,17911,17911
1550079162,16601,16601
1550101230,16598,16598
1550123300,16618,16618
1550145388,16475,16475
1550167254,16395,16395
1550189313,15566,15566
1550211421,15487,15487
1550233457,15299,15299
1550255298,15201,15201
1550277166,28713,28713
1550299221,31296,31296
1550321311,31305,31305
1550343369,31271,31271
1550365223,31346,31346
1550387318,31369,31369
1550409397,31341,31341
1550431454,31574,31574
1550453565,33786,33786
1550475615,35936,35936
1550497473,38777,38777
1550519537,39416,39416
1550541635,39440,39440
1550563717,39325,39325
1550585793,39324,39324
1550607638,39596,39596
1550629490,39439,39439
1550651534,39414,39414
1550673628,39651,39651
1550695692,39726,39726
1550717781,39747,39747
1550739663,39708,39708
1550761726,39697,39697
1550783798,39679,39679
1550805860,39683,39683
1550827961,39921,39921
1550850018,40291,40291
1550872089,39018,39018
1550894186,36184,36184
1550916062,36702,36702
1550938170,36842,36842
1550960171,36922,36922
1550982058,37094,37094
1551004098,37141,37141
1551025942,37314,37314
1551048032,51492,51492
1551070102,56225,56225
1551092196,55086,55086
1551114061,53924,53924
1551136363,53851,53851
1551158438,53841,53841
1551180508,53864,53864
1551202360,53878,53878
1551224446,47318,47318
1551246515,47328,47328
1551268571,47297,47297
1551290428,50458,50458
1551312510,58755,58755
1551334579,59170,59170
1551356426,59903,59903
1551378490,59906,59906
1551411616,59801,59801
1551433698,59978,59978
1551455798,59703,59703
1551477878,59613,59613
1551499723,59579,59579
1551522029,59436,59436
1551544115,59375,59375
1551565961,59610,59610
1551588036,59373,59373
1551610093,59341,59341
1551632191,59929,59929
1551654308,46648,46648
1551676353,43212,43212
1551698218,43100,43100
1551720277,43081,43081
1551742341,42974,42974
1551764414,42981,42981
1551786502,42981,42981
1551808592,43021,43021
1551830667,43018,43018
1551852733,43274,43274
1551874840,43323,43323
1551896892,38576,38576
1551918739,28539,28539
1551940848,17521,17521
1551962778,25875,25875
1551984736,24525,24525
1552006833,24609,24609
1552028922,24586,24586
1552050992,24578,24578
1552072833,24559,24559
1552094905,24549,24549
1552116754,24460,24460
1552138819,24330,24330
1552160672,24124,24124
1552182756,23906,23906
1552204829,23896,23896
1552226929,23618,23618
1552248972,22447,22447
1552270825,22456,22456
1552292669,22451,22451
1552314765,33663,33663
1552336835,34160,34160
1552358901,34177,34177
1552380763,34174,34174
1552402852,34127,34127
1552424920,35031,35031
1552446971,37070,37070
1552468821,36745,36745
1552490892,36662,36662
1552513048,36686,36686
1552535063,36664,36664
1552556921,32899,32899
1552578985,31773,31773
1552601087,36638,36638
1552623138,37790,37790
1552645251,37744,37744
1552667335,37716,37716
1552690052,37731,37731
1552711953,37742,37742
1552734067,37971,37971
1552756128,38748,38748
1552779215,38762,38762
1552801211,38772,38772
1552823053,38755,38755
1552844899,38796,38796
1552866977,38963,38963
1552888858,38984,38984
1552910934,28769,28769
1552932976,28292,28292
1552954851,28743,28743
1552976897,28763,28763
1552998766,28687,28687
1553020835,28553,28553
1553042918,27117,27117
1553064968,26759,26759
1553086843,26702,26702
1553108920,33426,33426
1553130973,33115,33115
1553152833,33118,33118
1553175163,33111,33111
1553197230,33025,33025
1553219324,31713,31713
1553241371,31718,31718
1553274270,31777,31777
1553296123,31942,31942
1553318177,32160,32160
1553340036,31780,31780
1553362109,32011,32011
1553383962,32015,32015
1553406015,32014,32014
1553427877,31564,31564
1553449958,30681,30681
1553472047,31566,31566
1553494120,31657,31657
1553516176,32249,32249
1553538030,31913,31913
1553559875,31421,31421
1553582206,31351,31351
1553604257,31313,31313
1553626111,33286,33286
1553648182,33916,33916
1553670043,34057,34057
1553691902,34043,34043
1553714180,26083,26083
1553736297,26161,26161
1553758372,26170,26170
1553780451,26229,26229
1553802510,26207,26207
1553824353,26227,26227
1553846198,26211,26211
1553868290,26216,26216
1553890583,26215,26215
1553912439,25904,25904
1553934491,16959,16959
1553956603,16769,16769
1553978654,16728,16728
1554000505,16753,16753
1554022586,16738,16738
1554044450,16750,16750
1554066293,15602,15602
1554088351,15444,15444
1554110437,15352,15352
1554132497,14285,14285
1554154352,18121,18121
1554176631,18963,18963
1554198494,19032,19032
1554220791,20228,20228
1554242941,17665,17665
1554265016,17632,17632
1554287051,17602,17602
1554308895,17734,17734
1554330762,17782,17782
1554352812,17881,17881
1554374674,17917,17917
1554396756,18059,18059
1554418621,18136,18136
1554440683,18134,18134
1554462743,18135,18135
1554484594,18043,18043
1554506669,17981,17981
1554528745,17952,17952
1554550834,17944,17944
1554572913,17845,17845
1554594995,17908,17908
1554617076,17912,17912
1554638918,17925,17925
1554660969,17873,17873
1554682814,17907,17907
1554704667,17884,17884
1554726534,18449,18449
1554748595,17014,17014
1554770683,16855,16855
1554792753,16816,16816
1554814823,25318,25318
1554836676,25578,25578
1554858734,25625,25625
1554880833,25611,25611
1554902904,25582,25582
1554924969,24582,24582
1554946827,24145,24145
1554968900,24046,24046
1554990756,23890,23890
1555012861,23746,23746
1555034908,23595,23595
1555056991,23440,23440
1555079061,23422,23422
1555101152,23218,23218
1555122995,23164,23164
1555145078,23162,23162
1555167148,23172,23172
1555189225,23216,23216
1555211320,23149,23149
1555233380,23141,23141
1555255236,22957,22957
1555277293,22374,22374
1555299159,22377,22377
1555321228,22176,22176
1555343076,21938,21938
1555365133,21321,21321
1555386987,21113,21113
1555419866,21102,21102
1555441711,10355,10355
1555463778,10416,10416
1555485849,11271,11271
1555507690,15095,15095
1555529556,15122,15122
1555551609,15081,15081
1555573611,15081,15081
1555595536,15064,15064
1555617649,15096,15096
1555639703,15074,15074
1555661799,15076,15076
1555683873,15077,15077
1555705717,15151,15151
1555727777,15152,15152
1555749634,15212,15212
1555771729,15249,15249
1555793789,15365,15365
1555815876,15353,15353
1555837933,15344,15344
1555859800,15304,15304
1555881852,15047,15047
1555903945,14751,14751
1555925787,15309,15309
1555947853,15293,15293
1555969693,15086,15086
1555991551,15081,15081
1556013639,15094,15094
1556035699,15162,15162
1556059332,15218,15218
1556081304,15162,15162
1556103367,15128,15128
1556125235,15160,15160
1556147078,15935,15935
1556168922,15942,15942
1556190763,15939,15939
1556212673,17088,17088
1556234674,16565,16565
1556256744,18475,18475
1556278844,18540,18540
1556300920,18577,18577
1556322969,18512,18512
1556344834,18569,18569
1556366928,17762,17762
1556388997,14910,14910
1556410844,14960,14960
1556432899,14999,14999
1556454980,14562,14562
1556476828,14085,14085
1556498672,14946,14946
1556520795,14858,14858
1556542930,14896,14896
1556564909,14904,14904
1556586983,14917,14917
1556609060,14921,14921
1556631162,16085,16085
1556653211,17864,17864
1556675074,17864,17864
1556697129,19588,19588
1556719129,19597,19597
1556741070,19364,19364
1556762924,19071,19071
1556785007,19057,19057
1556807055,19058,19058
1556829161,17986,17986
1556851227,17964,17964
1556873089,18114,18114
1556895159,18048,18048
1556917235,17969,17969
1556939342,15566,15566
1556961373,15300,15300
1556983230,16069,16069
1557005323,17917,17917
1557027381,17902,17902
1557049222,17775,17775
1557071090,17781,17781
1557093165,20023,20023
1557126277,20009,20009
1557148342,20052,20052
1557170196,20068,20068
1557192480,20108,20108
1557214344,20088,20088
1557236208,20081,20081
1557258277,20100,20100
1557280350,20156,20156
1557302440,20107,20107
1557324300,20084,20084
1557346344,20075,20075
1557368202,20087,20087
1557390252,20047,20047
1557412108,20029,20029
1557434201,20023,20023
1557456278,27986,27986
1557478338,31026,31026
1557500423,31022,31022
1557522519,31305,31305
1557544579,31315,31315
1557566429,31457,31457
1557588506,31470,31470
1557610577,31430,31430
1557632431,31410,31410
1557654279,31404,31404
1557676354,30491,30491
1557698204,27041,27041
1557720279,27022,27022
1557742350,26986,26986
1557764321,26976,26976
1557786260,26893,26893
1557808372,26824,26824
1557830415,26868,26868
1557852292,26881,26881
1557874381,26844,26844
1557896437,26830,26830
1557918526,26725,26725
1557940581,26761,26761
1557962663,26773,26773
1557984516,26799,26799
1558006371,26938,26938
1558028415,28116,28116
1558050264,28070,28070
1558072364,28091,28091
1558094489,28155,28155
1558116525,26905,26905
1558138578,27498,27498
1558160457,27509,27509
1558182523,27496,27496
1558204578,28844,28844
1558226685,30181,30181
1558248756,30147,30147
1558270598,30111,30111
1558292699,30191,30191
1558314738,29917,29917
1558336834,30027,30027
1558358890,30196,30196
1558380756,30201,30201
1558402843,30229,30229
1558424892,30310,30310
1558446782,30293,30293
1558468843,30313,30313
1558490900,30294,30294
1558512745,30282,30282
1558534605,30162,30162
1558556651,30135,30135
1558578763,30232,30232
1558600844,32152,32152
1558622901,32181,32181
1558645006,31211,31211
1558666863,31152,31152
1558688926,31075,31075
1558710995,31105,31105
1558732839,30725,30725
1558754888,30711,30711
1558776734,31056,31056
1558798589,30948,30948
1558820443,29768,29768
1558842517,29738,29738
1558864575,30005,30005
1558886466,30708,30708
1558908502,31182,31182
1558930387,31175,31175
1558952432,31140,31140
1558975091,31108,31108
1558997059,31097,31097
1559018901,31077,31077
