DateTime,AddedIPs,RemovedIPs
1558055563,17,9
1558057450,17,6
1558059375,20,2
1558061305,36,5
1558063208,135,38
1558065130,373,3
1558067062,4,6
1558068997,7,18
1558070897,7,24
1558072835,7,5
1558074736,9,6
1558076701,119,1
1558078569,37,13
1558080764,13,7
1558082665,6,2
1558084599,5,9
1558086493,5,6
1558088415,10,7
1558090369,2,12
1558092251,3,1
1558094171,4,9
1558096097,3,24
1558098040,4,8
1558099934,5,6
1558101819,2,6
1558103769,6,46
1558105698,1,135
1558107784,8,1013
1558109786,4,5
1558111728,1,5
1558113861,1,6
1558115768,13,5
1558117691,7,8
1558120600,35,6
1558122502,4,1
1558124432,4,5
1558126347,71,3
1558128466,435,13
1558130451,232,18
1558133833,80,33
1558135798,3,9
1558137889,5,29
1558139790,3,27
1558141720,11,22
1558143862,6,31
1558145788,6,16
1558148188,4,17
1558150098,6,15
1558152273,3,4
1558154421,6,22
1558156586,6,7
1558158523,6,9
1558160457,8,100
1558162546,2,74
1558164491,3,110
1558166448,2,11
1558168341,3,3
1558170295,7,9
1558172180,4,2
1558174114,4,8
1558176023,3,3
1558177950,4,376
1558179874,5,329
1558181791,3,2
1558183694,9,7
1558185617,5,5
1558187562,9,5
1558189456,3,7
1558191369,18,1
1558193301,218,248
1558195125,247,454
1558197138,284,354
1558199081,182,184
1558201104,218,436
1558202917,258,318
1558204826,286,418
1558206735,239,366
1558208677,273,411
1558210583,215,254
1558212747,321,612
1558214686,296,408
1558216577,298,304
1558218494,53,141
1558220459,49,5
1558222364,27,3
1558224283,7,3
1558226175,4,4
1558228127,6,14
1558230039,10,8
1558231944,8,6
1558233874,3,7
1558235784,7,9
1558237702,3,7
1558239612,5,5
1558241556,23,6
1558243464,7,6
1558245396,10,8
1558247298,10,6
1558249244,13,3
1558251182,7,6
1558253124,9,3
1558254988,13,4
1558257142,130,3
1558259060,11,6
1558261003,8,4
1558262912,4,5
1558264849,6,6
1558266749,3,7
1558268659,41,5
1558270599,92,7
1558272506,72,9
1558274460,107,2
1558276363,63,4
1558278285,71,63
1558280195,5,238
1558282117,2,263
1558284044,5,268
1558285944,4,189
1558287869,4,228
1558289800,220,258
1558291708,119,285
1558293622,197,216
1558295578,258,259
1558297457,4,179
1558299381,5,311
1558301320,2,341
1558304181,17,209
1558306095,5,37
1558308035,9,4
1558309941,4,7
1558311854,267,6
1558313794,477,3
1558315686,474,9
1558317654,251,6
1558319556,308,3
1558321743,263,4
1558323627,363,4
1558325572,217,3
1558327460,387,7
1558329639,361,10
1558331531,288,7
1558333467,312,3
1558335393,339,15
1558337306,298,12
1558339240,91,8
1558341158,20,15
1558343081,25,3
1558344999,111,115
1558346911,53,6
1558348823,3,4
1558350745,3,3
1558352682,7,2
1558354581,3,30
1558356761,10,71
1558358658,8,56
1558360599,7,99
1558362487,4,53
1558364426,3,73
1558366360,3,4
1558368269,4,3
1558370194,4,6
1558372100,2,4
1558374030,13,5
1558375948,9,209
1558377851,10,174
1558379779,3,173
1558381698,2,288
1558383638,3,5
1558385551,9,5
1558387464,5,1
1558389391,3,6
1558391299,3,12
1558393226,10,7
1558395171,7,7
1558397072,19,3
1558398972,2,367
1558400894,10,521
1558402843,10,464
1558404740,13,224
1558406668,5,325
1558408603,5,338
1558410494,3,316
1558412441,3,250
1558414340,6,480
1558416254,20,280
1558418181,11,267
1558420111,36,334
1558422035,46,378
1558423942,151,290
1558425884,25,56
1558427791,5,9
1558429697,304,89
1558431631,521,236
1558433545,472,58
1558435472,285,21
1558437372,318,35
1558439297,441,53
1558441237,261,3
1558443154,281,9
1558445058,445,7
1558446971,228,10
1558448923,236,4
1558450843,176,5
1558452759,387,4
1558454701,347,5
1558456581,329,4
1558458497,6,3
1558460413,8,3
1558462329,8,8
1558464284,546,5
1558466179,645,5
1558468339,1203,1
1558470498,560,4
1558472437,5,8
1558474363,3,5
1558476259,1,5
1558478174,7,5
1558480156,6,8
1558482037,4,5
1558483972,5,13
1558485893,3,6
1558487788,5,12
1558489705,2,11
1558491634,1,7
1558493561,5,7
1558495474,1,3
1558497401,2,3
1558499303,11,2
1558501300,4,5
1558503145,18,24
1558505114,2,7
1558507010,95,6
1558508925,240,6
1558510823,545,10
1558512746,431,7
1558514680,319,5
1558516606,153,431
1558518513,2,474
1558520418,5,310
1558522360,1,254
1558524277,4,297
1558526201,1,463
1558528096,4,238
1558530075,10,327
1558531942,3,421
1558533829,3,198
1558535783,8,202
1558537693,4,204
1558539890,1,467
1558541804,5,354
1558543720,5,171
1558545643,4,7
1558547553,5,9
1558549866,7,280
1558551985,11,690
1558554015,5,1009
1558555932,5,718
1558557884,16,273
1558560056,23,5
1558561935,6,3
1558563856,9,10
1558565796,14,20
1558567701,4,7
1558569671,80,11
1558571542,274,3
1558573508,314,4
1558575395,333,6
1558577564,231,2
1558579471,213,4
1558581373,274,4
1558583296,294,4
1558585237,358,7
1558587142,336,7
1558589054,331,21
1558590998,355,1
1558592926,322,5
1558594838,260,2
1558596771,311,6
1558598697,527,3
1558600582,786,5
1558602524,413,9
1558604438,272,2
1558606347,266,6
1558608276,323,2
1558610174,250,4
1558612115,166,2
1558614042,114,4
1558615966,188,5
1558617857,177,19
1558619779,210,12
1558621964,42,22
1558623881,8,10
1558625780,6,4
1558629262,4,6
1558631076,3,3
1558632970,5,3
1558635143,6,9
1558637055,7,7
1558639004,9,4
1558640895,10,7
1558642842,9,6
1558644729,12,13
1558646903,4,10
1558648861,6,7
1558650753,2,8
1558652933,5,14
1558654844,2,5
1558656770,0,181
1558658653,5,275
1558660575,7,360
1558662502,4,309
1558664447,0,179
1558666360,4,214
1558668274,1,237
1558670175,5,286
1558672141,4,288
1558674042,6,449
1558675956,6,708
1558677886,9,878
1558679773,9,741
1558681701,6,568
1558683612,8,490
1558685539,8,676
1558687487,9,839
1558689405,15,295
1558691299,9,341
1558693222,5,363
1558695159,16,406
1558697056,11,225
1558699288,7,257
1558701139,11,109
1558703062,9,293
1558704974,11,196
1558706934,8,206
1558708839,4,12
1558710738,12,7
1558712662,8,11
1558714602,10,6
1558716501,10,2
1558718438,7,5
1558720359,13,15
1558722282,9,9
1558724179,16,12
1558726124,312,13
1558728064,407,10
1558729941,543,7
1558731911,582,11
1558733780,409,2
1558735716,373,14
1558738187,578,4
