DateTime,AddedIPs,RemovedIPs
1556894657,3,1
1556900413,0,1
1556904256,1,0
1556906175,1,3
1556908127,1,0
1556913866,0,1
1556919640,2,0
1556923500,0,1
1556927298,1,0
1556931154,2,0
1556938853,1,1
1556940784,1,0
1556942670,1,0
1556944575,0,1
1556946530,0,1
1556948419,2,0
1556950340,1,1
1556958041,1,0
1556959938,0,2
1556965970,1,1
1556971648,0,1
1556973612,0,1
1556975557,0,3
1556979387,0,1
1556981297,0,2
1556987054,1,0
1556990911,0,1
1556992878,0,1
1556994758,0,1
1557000517,1,0
1557002429,2,0
1557004348,1,0
1557006250,1,2
1557013954,0,1
1557017780,1,2
1557026439,1,2
1557030267,0,1
1557034113,0,1
1557036088,0,1
1557037938,0,1
1557040123,1,0
1557043961,0,1
1557051858,0,1
1557060501,1,0
1557062407,1,0
1557066379,1,0
1557072074,0,1
1557077779,1,0
1557079726,1,0
1557087389,1,1
1557089292,0,2
1557091223,1,2
1557104654,0,1
1557112342,1,0
1557114267,0,1
1557125796,0,1
1557127714,1,0
1557130598,1,0
1557132508,1,0
1557134415,1,0
1557144980,1,0
1557146901,0,1
1557148842,0,1
1557152675,0,1
1557154581,1,0
1557160362,2,0
1557164195,1,1
1557166121,0,1
1557171871,1,0
1557173777,0,1
1557177647,0,1
1557179540,1,0
1557189514,1,0
1557196377,1,0
1557198283,0,1
1557209787,1,0
1557215778,0,2
1557219663,0,2
1557221557,1,0
1557225392,1,0
1557229214,1,0
1557231159,0,1
1557240738,0,1
1557242664,1,0
1557246491,1,2
1557250366,1,1
1557254180,2,0
1557258014,1,0
1557259944,0,1
1557265708,2,1
1557275401,1,1
1557282982,0,1
1557288746,1,0
1557296429,0,1
1557300272,1,0
1557304092,1,0
1557306073,1,0
1557307941,2,1
1557312013,0,1
1557315872,0,1
1557319708,1,0
1557323547,1,0
1557327634,1,0
1557329544,1,1
1557333379,1,1
1557335292,3,0
1557337211,0,1
1557339097,1,1
1557341053,0,1
1557344921,1,0
1557348774,1,0
1557350677,0,1
1557352569,2,1
1557355545,1,0
1557359254,1,0
1557361314,0,1
1557365068,3,0
1557373236,2,0
1557375164,0,2
1557378989,1,0
1557381149,1,0
1557383055,1,0
1557386922,1,1
1557390769,0,1
1557392668,2,1
1557394585,0,2
1557396551,3,0
1557406099,2,1
1557408020,1,0
1557409950,0,1
1557411861,1,0
1557413788,0,1
1557417706,1,0
1557421510,0,4
1557425539,2,1
1557431294,0,1
1557433220,1,0
1557435135,0,1
1557438994,2,2
1557442382,0,1
1557444278,1,0
1557446175,0,1
1557450994,2,3
1557458678,0,2
1557462500,1,0
1557464466,1,1
1557468291,0,1
1557470174,0,1
1557474016,0,1
1557477901,0,2
1557479777,0,1
1557481696,0,1
1557483639,0,2
1557491297,0,1
1557493271,0,1
1557495404,0,1
1557497302,0,1
1557499242,1,0
1557503331,1,0
1557505214,0,1
1557512892,0,2
1557516739,1,0
1557518670,0,1
1557524440,0,2
1557530189,0,1
1557532100,1,0
1557535934,0,1
1557537871,0,1
1557539780,4,0
1557549391,0,1
1557551330,0,1
1557557065,1,0
1557558976,1,0
1557562847,1,0
1557564731,1,0
1557567009,2,0
1557584184,1,0
1557586096,0,1
1557588011,1,0
1557590061,1,1
1557596186,1,0
1557602183,0,1
1557606032,1,0
1557613714,1,0
1557617546,1,0
1557619487,0,1
1557623311,1,0
1557625270,0,3
1557627160,0,1
1557642767,0,1
1557644708,0,1
1557648744,0,1
1557650690,1,0
1557652581,0,1
1557654502,0,2
1557656451,1,0
1557658376,1,0
1557670134,1,1
1557672046,1,0
1557673949,1,1
1557677814,0,1
1557679733,3,0
1557681627,0,1
1557685471,1,0
1557693618,0,1
1557699650,0,1
1557704902,1,1
1557710661,0,1
1557718582,1,0
1557724366,1,0
1557733938,1,0
1557741658,0,1
1557743565,1,0
1557745513,1,1
1557747381,1,0
1557749302,1,0
1557757001,0,2
1557760834,0,1
1557764667,0,1
1557766578,0,2
1557772347,0,1
1557774261,1,0
1557776179,3,0
1557780013,3,0
1557791531,0,1
1557805220,0,2
1557811126,0,1
1557818890,0,1
1557820900,1,0
1557826832,1,0
1557828735,3,0
1557830686,0,1
1557834774,0,1
1557836656,0,1
1557848448,1,0
1557854180,1,0
1557860192,0,1
1557862092,0,3
1557864314,1,0
1557866206,0,3
1557871955,1,0
1557885373,1,0
1557894986,1,0
1557900780,1,0
1557904606,0,1
1557908442,0,1
1557912270,0,1
1557914196,3,3
1557929558,1,0
1557935341,0,1
1557941060,0,1
1557944911,1,0
1557946870,1,0
1557950744,0,1
1557958353,0,1
1557972043,0,1
1557981642,0,1
1557983547,1,0
1557985459,1,0
1557987410,0,1
1557997247,1,0
1557999384,1,3
1558011139,1,0
1558016934,0,1
1558026737,4,0
1558028656,1,0
1558030587,0,1
1558032495,0,1
1558042108,1,0
1558045953,1,0
1558051732,1,0
1558057452,1,0
1558059376,2,0
1558061307,1,0
1558068999,1,0
1558070899,0,2
1558076709,2,0
1558078571,1,0
1558082666,0,1
1558086495,2,1
1558088417,1,0
1558092253,1,0
1558096098,1,0
1558098046,1,0
1558107785,1,0
1558109787,2,0
1558111729,0,1
1558113862,1,3
1558115770,3,1
1558117692,1,0
1558129451,2,1
1558131498,1,1
1558133835,0,1
1558135799,1,0
1558139791,0,1
1558141721,2,0
1558143864,1,1
1558145806,2,2
1558148189,2,1
1558156587,1,1
1558162547,0,2
1558164492,1,0
1558166461,1,0
1558168342,1,0
1558172182,0,1
1558174115,0,1
1558176024,1,1
1558177951,0,1
1558181792,0,1
1558183695,2,1
1558185618,1,0
1558189457,1,0
1558193302,0,1
1558195126,1,0
1558197139,0,2
1558199087,1,1
1558201105,0,2
1558202918,0,2
1558204828,1,0
1558206736,1,0
1558212751,2,0
1558214687,2,2
1558216578,2,1
1558218495,2,0
1558222365,0,1
1558228128,1,2
1558230040,2,1
1558231945,2,2
1558233875,0,2
1558241557,0,1
1558243465,0,1
1558251183,0,1
1558253129,0,1
1558254990,1,1
1558268660,0,1
1558270601,0,1
1558272507,0,1
1558275382,1,1
1558277292,1,0
1558279226,0,1
1558281148,0,1
1558283075,1,0
1558284978,2,1
1558292719,1,1
1558294574,1,1
1558298435,1,1
1558300341,0,3
1558302262,3,1
1558304183,0,2
1558313795,1,0
1558315687,0,2
1558317681,0,3
1558323628,1,0
1558327477,2,0
1558337307,1,0
1558341159,0,1
1558350746,1,0
1558352683,3,0
1558362488,0,1
1558364428,0,1
1558366361,1,0
1558368277,0,1
1558370195,1,1
1558372102,0,2
1558379780,0,2
1558383639,0,1
1558387465,1,2
1558389392,0,1
1558391302,1,0
1558395172,1,0
1558397078,1,0
1558398973,0,1
1558402845,1,0
1558410495,1,1
1558412442,2,1
1558416255,0,1
1558418182,1,0
1558422059,1,0
1558423943,1,1
1558429698,2,0
1558431632,1,0
1558437373,0,1
1558439298,0,3
1558446972,1,0
1558450855,1,0
1558452760,1,1
1558456582,0,1
1558466180,1,0
1558468340,1,0
1558474364,0,1
1558478175,0,1
1558480157,1,0
1558482038,0,1
1558487789,1,0
1558489706,0,1
1558491635,1,0
1558497403,0,3
1558503163,1,0
1558505133,0,1
1558507015,0,1
1558508942,1,0
1558510825,1,1
1558516608,2,2
1558518515,0,1
1558531943,1,0
1558533831,1,1
1558537694,0,1
1558539891,0,1
1558545644,2,0
1558549868,1,0
1558551987,0,1
1558554016,0,1
1558563858,1,0
1558565797,1,1
1558567703,1,0
1558569681,1,0
1558573516,1,1
1558575396,1,0
1558577566,0,1
1558591000,0,1
1558594850,0,1
1558596789,0,1
1558602525,0,2
1558604439,1,0
1558606348,1,0
1558619780,0,1
1558621966,0,1
1558623909,1,0
1558629264,0,1
1558631081,0,2
1558635144,0,1
1558637057,2,0
1558646904,1,0
1558648900,1,0
1558650754,0,2
1558652934,0,1
1558656771,0,1
1558658654,0,1
1558662504,1,1
1558668275,1,0
1558670177,1,0
1558691300,0,2
1558701141,1,0
1558708841,0,1
1558714603,1,0
1558716502,1,0
1558722283,1,0
1558724181,0,2
1558726126,1,0
1558729942,1,0
1558733781,0,1
1558735718,0,1
1558743878,1,0
1558745783,1,0
1558747691,1,0
1558751570,1,0
1558753498,0,1
1558755371,0,2
1558774577,1,0
1558776513,1,0
1558781583,1,0
1558787592,0,1
1558791409,1,0
1558793316,1,0
1558801008,0,1
1558802892,0,1
1558807003,3,0
1558808909,0,1
1558810896,0,1
1558812875,1,0
1558818741,1,0
1558820651,1,0
1558830279,1,1
1558832201,3,1
1558834137,0,1
1558847558,0,1
1558859080,1,0
1558860983,0,1
1558862916,1,1
1558867736,0,1
1558879270,0,2
1558884975,0,1
1558894845,1,3
1558898681,0,1
1558904443,0,1
1558906340,0,1
1558908310,1,0
1558910195,1,0
1558915974,0,1
1558919781,0,3
1558945464,0,1
1558949301,0,1
1558951282,1,0
1558963007,1,0
1558982428,0,1
1558992525,1,0
1558995451,1,2
1558997321,1,0
1559035693,3,0
1559037898,0,1
