DateTime,AddedIPs,RemovedIPs
1555008015,2,0
1555013791,1,0
1555019531,0,1
1555029179,1,0
1555032985,1,0
1555050292,0,1
1555052203,0,1
1555057969,0,1
1555086779,0,1
1555094678,0,2
1555102349,1,0
1555108032,1,0
1555113932,0,1
1555119763,0,1
1555129489,1,0
1555141212,0,1
1555145080,1,0
1555152739,2,0
1555156600,1,0
1555166204,1,0
1555175780,1,0
1555181540,1,0
1555189275,0,1
1555191381,1,0
1555193296,0,1
1555210886,1,0
1555212763,1,0
1555216583,0,1
1555228331,1,0
1555232196,0,1
1555236973,2,0
1555238907,1,0
1555242728,0,1
1555244656,1,0
1555246567,0,1
1555252356,0,1
1555254293,1,0
1555256186,1,0
1555261948,0,1
1555267703,1,2
1555273466,1,0
1555275388,1,0
1555277295,0,1
1555286916,3,0
1555292936,2,0
1555296742,1,1
1555298662,0,1
1555300591,1,0
1555314028,0,1
1555322073,2,1
1555323875,0,1
1555325793,1,1
1555330587,1,1
1555332493,1,0
1555336353,1,0
1555342095,0,2
1555351723,1,0
1555355548,0,1
1555357453,2,0
1555359400,0,1
1555363213,0,1
1555367064,1,0
1555373086,0,3
1555378835,0,2
1555384589,0,1
1555386491,1,1
1555398091,1,0
1555411708,1,1
1555415539,1,1
1555421298,1,0
1555423295,0,1
1555425168,1,0
1555432830,1,0
1555434738,1,0
1555438589,0,1
1555440776,1,0
1555444597,0,2
1555452738,1,0
1555454745,0,1
1555456581,2,0
1555460430,1,1
1555466188,1,0
1555470299,1,0
1555472175,0,1
1555474343,0,2
1555484186,0,1
1555486275,1,0
1555497883,1,1
1555501698,1,0
1555503648,0,1
1555507457,0,1
1555511291,1,1
1555519223,0,1
1555521143,1,1
1555523076,2,0
1555526898,0,1
1555542298,1,2
1555546150,0,1
1555549938,1,0
1555553786,0,1
1555557857,1,1
1555571334,1,2
1555575141,1,0
1555578974,1,0
1555582826,0,1
1555588590,0,1
1555598417,0,1
1555600344,1,0
1555608320,0,1
1555610196,1,2
1555617891,1,0
1555619779,1,0
1555626139,2,0
1555627961,1,0
1555629855,0,1
1555635876,1,1
1555639707,1,0
1555645464,1,1
1555649300,1,0
1555657000,1,0
1555658903,0,1
1555664900,0,1
1555676446,0,1
1555678350,1,0
1555682357,1,0
1555686286,0,1
1555703566,0,1
1555705451,0,1
1555711244,1,1
1555713155,0,2
1555718926,1,0
1555720832,1,0
1555722752,0,1
1555730437,0,1
1555732333,1,0
1555734272,0,1
1555738095,1,0
1555743887,0,1
1555751535,1,0
1555757301,0,1
1555764976,0,1
1555769305,0,1
1555775053,0,1
1555798353,1,1
1555802676,1,0
1555804577,0,1
1555806500,0,1
1555818012,0,1
1555823769,2,1
1555837243,0,1
1555885453,0,1
1555908998,0,1
1555910888,0,1
1556012416,1,1
1556033772,1,0
1556043386,1,0
1556068831,1,0
1556091876,1,0
1556095720,1,0
1556097763,1,0
1556099772,0,1
1556101713,1,0
1556105550,1,0
1556113454,1,0
1556119249,0,1
1556130769,0,1
1556138434,1,0
1556152117,1,0
1556154146,0,1
1556177056,1,0
1556178973,0,1
1556183798,0,1
1556185726,0,1
1556189532,0,1
1556193381,0,1
1556201080,0,1
1556215385,2,0
1556225566,0,1
1556238013,0,1
1556241858,1,0
1556263467,0,1
1556269321,1,0
1556276896,1,0
1556300204,0,1
1556305941,1,0
1556319736,1,0
1556321542,1,0
1556323496,1,0
1556327294,0,1
1556329222,1,0
1556336898,1,0
1556346524,1,0
1556352287,0,1
1556354171,1,0
1556356094,0,1
1556363778,0,1
1556377303,2,0
1556379155,1,0
1556392594,0,1
1556396411,1,0
1556400265,1,0
1556406098,0,1
1556407960,0,1
1556409869,0,1
1556411783,1,0
1556415635,1,1
1556423302,0,1
1556427136,1,0
1556432918,1,1
1556446342,0,1
1556463881,0,2
1556465806,0,1
1556485277,0,2
1556492916,1,0
1556496755,0,1
1556502502,0,1
1556512101,0,1
1556517885,0,1
1556548835,1,0
1556578652,0,1
1556584353,1,0
1556603775,1,0
1556619378,1,0
1556621305,1,0
1556630892,1,0
1556634791,0,1
1556638582,1,0
1556656814,1,0
1556658791,1,0
1556670263,0,1
1556691641,0,1
1556705328,0,1
1556709148,0,1
1556711079,1,0
1556716841,0,1
1556724495,1,0
1556726517,0,1
1556734127,1,0
1556739858,3,0
1556743699,0,1
1556745638,0,1
1556789333,1,0
1556796917,0,1
1556812340,0,1
1556820278,0,1
1556826019,0,2
1556827932,1,1
1556835669,1,0
1556841389,3,0
1556854819,1,0
1556864440,1,0
1556874108,1,0
1556875958,0,1
1556890580,1,0
1556910075,1,0
1556915773,0,1
1556917720,1,0
1556921537,1,1
1556927299,0,1
1556929225,0,1
1556931155,1,0
1556936917,1,0
1556940785,0,1
1556946531,2,0
1556950342,0,2
1556961867,0,1
1556975558,1,1
1556979389,1,0
1556996671,0,1
1557002431,1,0
1557004350,0,1
1557006252,1,0
1557008202,0,1
1557017782,0,1
1557022576,1,1
1557024508,1,0
1557032175,0,2
1557036093,1,0
1557049945,1,0
1557053793,1,0
1557057685,1,0
1557061478,0,1
1557065259,1,1
1557084495,1,0
1557086499,1,0
1557088360,0,1
1557092193,0,1
1557109462,0,1
1557120021,1,0
1557121963,0,1
1557131557,1,0
1557133482,1,0
1557135380,1,1
1557137330,1,0
1557141163,0,1
1557143058,0,1
1557148843,1,0
1557150758,1,1
1557154582,1,0
1557164196,1,0
1557169937,0,1
1557171872,0,1
1557173779,1,0
1557175697,1,0
1557191561,0,1
1557205940,0,1
1557209788,2,0
1557211949,2,0
1557213871,1,0
1557217719,1,1
1557219691,0,1
1557223471,0,1
1557225393,0,1
1557229216,1,0
1557234977,0,1
1557236906,0,1
1557240739,0,1
1557244573,1,0
1557259946,0,1
1557261856,0,1
1557263775,1,0
1557273375,0,1
1557281064,1,0
1557284896,1,0
1557290653,1,0
1557296430,0,2
1557298347,0,2
1557300274,0,1
1557304094,0,1
1557310108,1,0
1557315873,0,1
1557329545,0,1
1557350678,0,1
1557371321,0,1
1557373237,1,0
1557377082,0,1
1557381151,1,0
1557394586,1,0
1557396552,1,1
1557400338,1,0
1557404201,1,0
1557406100,0,1
1557411862,1,0
1557419571,1,0
1557437064,1,0
1557444279,2,0
1557448113,1,0
1557458695,0,1
1557466382,0,1
1557472133,1,0
1557483640,0,1
1557485555,0,1
1557489411,0,1
1557495406,1,0
1557499243,3,1
1557507134,0,1
1557509064,1,0
1557510974,2,0
1557522524,1,0
1557524442,0,1
1557530190,0,1
1557532101,0,1
1557541694,0,1
1557558977,0,1
1557572661,1,0
1557576494,2,0
1557582255,0,1
1557586097,0,3
1557588013,1,0
1557596188,0,3
1557609876,0,1
1557617547,0,1
1557632912,1,0
1557638661,1,0
1557654503,1,0
1557660270,0,1
1557662179,0,1
1557664121,0,1
1557667954,1,0
1557673950,1,1
1557718583,0,1
1557724367,0,1
1557726257,1,0
1557739724,0,1
1557749303,1,0
1557755059,0,1
1557760835,0,1
1557772348,1,0
1557789614,1,0
1557807136,1,0
1557826834,1,0
1557834775,0,1
1557844337,1,0
1557848450,0,1
1557856345,1,0
1557860194,0,1
1557877730,0,1
1557893102,0,1
1557896937,1,0
1557900781,1,0
1557914197,0,1
1557929560,0,1
1557933406,1,0
1557941061,1,0
1557943007,0,1
1557975865,2,0
1557983548,0,1
1557987412,0,1
1558015017,1,0
1558019821,0,1
1558028658,0,1
1558059378,1,0
1558061308,0,1
1558063211,0,1
1558099937,0,1
1558113864,1,0
1558121538,1,0
1558145808,0,1
1558150101,1,0
1558183696,1,0
1558199089,0,1
1558204828,1,0
1558206737,0,1
1558228129,1,0
1558235786,0,1
1558261005,1,0
1558270602,0,1
1558291711,0,1
1558293624,1,0
1558307086,1,0
1558314998,0,1
1558341881,1,0
1558343802,1,0
1558347624,0,1
1558380274,0,1
1558389909,1,0
1558393730,0,1
1558397541,1,0
1558428283,0,1
1558430199,0,1
1558437878,1,0
1558439795,2,0
1558468880,1,0
1558476736,0,1
1558481770,1,0
1558483701,0,1
1558487534,1,0
1558495477,1,0
1558505135,1,0
1558522363,1,0
1558524280,0,1
1558526204,0,2
1558530100,1,0
1558537695,1,0
1558555935,0,1
1558567704,0,1
1558575398,0,1
1558581393,0,1
1558589057,2,0
1558591001,0,1
1558596790,1,0
1558600584,1,0
1558604440,1,0
1558608279,0,1
1558614045,1,0
1558617860,0,1
1558623913,0,1
1558632973,1,0
1558646906,2,0
1558648928,1,0
1558650755,3,0
1558652935,1,0
1558654862,1,0
1558670178,1,0
1558675959,0,2
1558677889,1,0
1558683615,0,1
1558687489,0,1
1558691302,0,1
1558699292,1,1
1558712664,1,0
1558718440,0,1
1558733783,1,2
1558735719,0,2
1558738191,0,3
1558740021,0,1
1558757302,0,1
1558764980,0,1
1558785653,0,1
1558799091,2,1
1558820652,0,1
1558849455,1,0
1558857159,1,0
1558886175,0,2
1558937827,1,1
1558943567,0,1
1558972222,1,0
1559001159,1,0
1559024201,0,1
1559031865,1,0
