DateTime,AddedIPs,RemovedIPs
1545372033,1,0
1545393884,0,1
1545415931,4,0
1545437780,1,0
1545459629,2,1
1545481967,1,0
1545504009,0,3
1545525853,0,1
1545547699,1,0
1545591401,0,2
1545613496,1,1
1545657625,1,1
1545679687,0,1
1545701789,1,0
1545723637,0,1
1545745693,1,1
1545767566,0,3
1545789688,2,1
1545811734,1,0
1545833778,0,1
1545877939,1,1
1545943946,0,2
1545965793,1,0
1546009713,2,1
1546031785,3,2
1546053870,1,0
1546075943,0,3
1546141944,1,1
1546175078,2,0
1546218979,0,1
1546240824,0,1
1546262918,0,1
1546306607,1,0
1546328652,2,0
1546350760,1,1
1546372830,1,0
1546394916,1,2
1546416800,0,1
1546460890,1,0
1546482987,35,1
1546504850,19,0
1546526919,12,0
1546548763,23,0
1546570834,5,1
1546592907,9,0
1546614782,9,1
1546637091,16,3
1546659150,12,1
1546681001,13,1
1546703077,9,0
1546725156,8,0
1546758272,2,0
1546780358,0,1
1546824261,1,0
1546846366,10,1
1546868416,14,1
1546890522,6,0
1546912570,7,2
1546945471,15,3
1546967546,90,2
1546989617,14,1
1547011498,7,0
1547033573,3,0
1547055650,5,0
1547077944,4,4
1547100295,8,14
1547122351,15,5
1547144193,4,20
1547166041,7,17
1547187884,5,4
1547210204,3,17
1547232516,1,5
1547254358,5,11
1547276427,2,6
1547298766,3,12
1547320850,6,6
1547342917,2,9
1547364764,5,1
1547386810,2,0
1547408677,5,0
1547430780,3,2
1547453095,4,7
1547474951,3,12
1547496971,12,7
1547518821,12,8
1547540667,12,8
1547562515,2,91
1547584603,20,3
1547606664,2,9
1547628788,3,5
1547651075,2,2
1547672922,1,4
1547694982,3,3
1547716841,5,5
1547738892,6,8
1547760744,7,2
1547782600,3,3
1547804687,13,4
1547826757,13,2
1547848857,4,4
1547870716,2,2
1547892772,0,1
1547914658,0,2
1547936666,0,2
1547958758,0,2
1547980814,0,2
1548002675,2,1
1548024797,0,2
1548046854,0,4
1548069170,0,3
1548091240,0,12
1548113296,1,5
1548135152,0,8
1548157218,1,6
1548179076,0,4
1548201172,2,20
1548223482,1,2
1548245572,1,4
1548267635,0,6
1548289497,1,3
1548311539,0,12
1548333397,1,8
1548355450,0,12
1548377571,2,11
1548399874,0,15
1548421952,0,27
1548443814,0,18
1548465856,0,36
1548487698,0,1
1548531614,0,1
1548553458,0,1
1548575550,1,0
1548597651,0,1
1548619719,0,1
1548730100,0,1
1548752201,1,0
1548774268,3,1
1548818422,1,1
1548840280,1,2
1548862363,0,1
1548884698,1,1
1548906736,1,0
1548928602,1,1
1548950459,1,0
1548972776,0,1
1548994869,0,1
1549016924,1,0
1549061093,1,0
1549083134,1,0
1549116273,1,0
1549160509,1,0
1549182496,0,1
1549248265,0,1
1549358647,2,0
1549380735,0,4
1549402593,1,0
1549446514,0,1
1549490661,0,1
1549512526,0,1
1549534573,1,2
1549578465,2,0
1549600333,0,1
1549622175,2,0
1549688182,0,2
1549710064,1,1
1549732370,1,0
1549754220,1,0
1549776252,0,1
1549798107,1,0
1549820174,0,1
1549864125,1,0
1549886447,2,0
1549930574,1,0
1549952437,0,1
1549974488,1,0
1550018424,39,1
1550040508,15,0
1550062375,12,0
1550084444,5,0
1550106514,13,0
1550128590,7,0
1550150441,9,1
1550172491,5,2
1550238258,0,1
1550282431,2,0
1550304274,1,0
1550326339,2,1
1550370042,2,1
1550392109,1,1
1550413958,0,1
1550479947,1,0
1550501788,0,1
1550523865,0,1
1550568024,1,2
1550589865,1,0
1550611969,1,18
1550634017,0,12
1550655867,0,15
1550677711,0,7
1550699770,0,1
1550732656,0,24
1550754741,0,2
1550776602,0,26
1550798666,1,0
1550820750,0,1
1550842833,0,1
1550864886,1,0
1550886736,1,2
1550908593,0,1
1550930453,0,2
1550974573,81,1
1550996440,0,1
1551018518,1,0
1551084282,1,2
1551128433,3,0
1551150303,2,0
1551194680,0,1
1551216763,0,1
1551238809,0,1
1551326691,1,0
1551415487,1,2
1551481741,0,2
1551503773,1,0
1551580817,0,80
1551624999,1,1
1551647057,1,0
1551669161,0,1
1551735166,0,3
1551757216,0,3
1551845317,1,0
1551867389,2,1
1551912986,0,1
1551935088,1,0
1552001316,1,0
1552023377,0,1
1552067298,0,1
1552122268,0,1
1552166331,1,0
1552188258,1,0
1552210370,0,1
1552232408,1,0
1552254266,0,1
1552364433,1,0
1552386282,1,0
1552408355,3,0
1552430197,0,1
1552474120,2,2
1552496202,1,0
1552540373,0,1
1552584500,1,0
1552606366,0,1
1552628412,1,0
1552650258,1,0
1552694197,2,0
1552760174,1,0
1552782035,10,1
1552804093,1,1
1552848020,1,1
1552869864,2,0
1552913798,2,0
1552946932,4,0
1552968987,2,1
1552990829,0,1
1553012679,2,3
1553034756,1,0
1553078899,0,2
1553100999,1,1
1553166972,3,0
1553189055,3,1
1553210909,1,0
1553232970,1,1
1553255079,1,1
1553299003,1,1
1553321059,4,0
1553342918,3,0
1553364998,1,1
1553387056,1,10
1553409164,6,1
1553431249,3,0
1553475145,4,0
1553508525,1,0
1553530591,2,2
1553552655,2,1
1553574505,1,0
1553618688,2,1
1553640769,1,2
1553662837,0,1
1553684916,1,0
1553706969,1,1
1553728833,2,2
1553750889,1,1
1553772764,3,3
1553794812,1,4
1553816661,0,1
1553838728,1,0
1553860598,3,1
1553882471,1,0
1553904529,2,2
1553926573,3,3
1553948432,4,2
1553970280,2,1
1553992350,2,1
1554014433,2,4
1554036754,0,3
1554058857,1,2
1554080901,0,3
1554125086,2,2
1554147223,0,1
1554169212,3,0
1554191081,3,1
1554213127,0,2
1554235000,1,1
1554256880,1,0
1554279142,2,0
1554300989,3,3
1554344891,1,3
1554366756,0,1
1554388809,1,1
1554410673,1,0
1554432515,1,0
1554454572,1,0
1554476564,1,3
1554498509,2,1
1554520597,1,5
1554542665,1,4
1554564534,0,2
1554586589,4,4
1554608679,68,0
1554630729,4,1
1554652588,1,0
1554685467,6,2
1554707540,1,0
1554729401,3,1
1554751457,1,0
1554773570,0,1
1554795616,2,4
1554817461,8,2
1554839363,1,1
1554861374,3,1
1554883736,6,2
1554905789,2,1
1554927852,3,1
1554949938,1,1
1554993638,1,1
1555015720,3,2
1555037776,0,2
1555059629,2,1
1555081480,2,1
1555103680,2,2
1555125642,1,1
1555147711,0,2
1555169559,0,1
1555191641,1,3
1555213484,2,64
1555235528,0,1
1555257673,3,1
1555279711,2,2
1555301769,1,3
1555323626,0,3
1555345687,0,4
1555367560,17,0
1555389624,0,3
1555411706,1,3
1555433790,3,2
1555466682,1,2
1555488741,3,1
1555510835,2,2
1555532893,3,5
1555554769,0,2
1555599174,2,0
1555621229,0,2
1555643086,1,4
1555665141,3,2
1555687242,0,1
1555709324,0,1
1555731379,2,3
1555753228,1,0
1555775303,1,0
1555797152,2,1
1555818999,0,2
1555862930,0,3
1555884995,0,2
1555906843,1,2
1555928910,1,0
1555950754,2,0
1555972836,1,17
1555994919,1,0
1556016987,1,1
1556038849,2,5
1556060905,0,1
1556082750,2,0
1556127161,0,4
1556149006,1,1
1556171069,1,0
1556214874,0,2
1556236825,4,0
1556258681,1,5
1556280763,2,0
1556302835,1,0
1556324911,0,1
1556346981,2,0
1556368831,1,3
1556412768,4,0
1556434907,1,0
1556478980,1,0
1556500830,1,1
1556522900,3,0
1556544999,3,0
1556567063,2,0
1556589147,1,1
1556622174,2,3
1556644111,0,1
1556666206,1,0
1556688260,0,1
1556710350,1,0
1556754278,0,3
1556776345,1,0
1556798431,1,0
1556842120,1,5
1556864181,0,1
1556886282,2,1
1556908127,2,1
1556930169,1,0
1556952011,0,3
1556973865,1,1
1557017779,1,4
1557039659,1,0
1557083565,3,2
1557105643,0,1
1557127713,1,4
1557149579,0,4
1557171608,4,1
1557194259,1,2
1557260416,3,0
1557282495,0,1
1557304582,1,1
1557326666,2,0
1557348773,2,1
1557392915,4,1
1557436825,2,0
1557458677,1,1
1557480770,0,1
1557502853,0,1
1557524925,0,2
1557546981,1,2
1557569330,1,1
1557613460,0,1
1557635533,1,1
1557679733,4,3
1557702947,3,1
1557724824,1,1
1557746916,0,1
1557768762,2,3
1557790604,3,1
1557834773,3,1
1557856833,3,4
1557878675,1,0
1557900779,3,1
1557922837,4,0
1557944910,0,3
1557967005,1,2
1557989050,2,4
1558010913,9,0
1558054889,2,1
1558077138,1,0
1558099005,2,0
1558121066,2,0
1558164975,3,3
1558186840,1,0
1558231255,4,0
1558275137,0,1
1558296994,0,4
1558318842,1,0
1558340896,0,2
1558362756,0,1
1558384828,0,3
1558428760,2,2
1558450846,0,1
1558472930,0,5
1558494999,1,2
1558517060,1,1
1558539269,0,1
1558561223,1,1
1558583073,3,0
1558627315,5,0
1558649333,0,1
1558671413,0,1
1558693449,3,3
1558715317,1,0
1558738189,3,1
1558760178,1,1
1558782046,0,2
1558804121,3,0
1558826195,1,1
1558870114,2,1
1558891965,1,0
1558936098,0,1
1558980596,2,0
1559002575,2,0
1559024683,1,0
