DateTime,AddedIPs,RemovedIPs
1556032340,1,0
1556034254,0,1
1556036209,0,1
1556038091,1,1
1556040028,1,0
1556045789,1,0
1556051535,0,1
1556063078,0,1
1556064986,0,1
1556072655,0,1
1556076514,1,0
1556078545,0,1
1556082282,1,0
1556084214,0,1
1556091876,1,0
1556099772,1,0
1556113454,1,0
1556117315,1,0
1556119250,0,1
1556121142,1,0
1556123056,1,0
1556125001,0,1
1556126898,0,1
1556130770,1,0
1556132676,0,1
1556142535,1,0
1556150195,1,0
1556154147,1,0
1556155966,1,0
1556161718,0,1
1556167474,1,0
1556169385,1,1
1556173249,1,0
1556175161,2,0
1556177056,1,0
1556178973,0,2
1556185726,0,1
1556193382,1,0
1556201081,0,3
1556203231,1,1
1556207089,1,1
1556208983,0,1
1556215386,1,0
1556217389,0,1
1556219436,1,1
1556225577,1,0
1556229382,0,1
1556235293,0,1
1556241132,0,2
1556243052,1,0
1556244985,1,0
1556255795,0,2
1556261562,0,2
1556263467,0,1
1556280765,0,1
1556288431,0,1
1556294211,0,1
1556296111,1,0
1556302118,0,1
1556305941,0,1
1556307856,1,0
1556311715,1,0
1556342920,1,0
1556348683,1,0
1556350571,1,0
1556360076,0,1
1556365695,2,0
1556377307,2,1
1556382998,1,1
1556392595,1,0
1556394528,0,1
1556396411,1,0
1556398332,0,2
1556404112,1,0
1556413701,1,0
1556425238,1,0
1556429063,0,1
1556430993,1,0
1556452348,1,2
1556456201,1,1
1556463881,0,2
1556477294,1,0
1556479242,0,1
1556481156,0,1
1556483054,0,1
1556485284,1,0
1556490981,0,1
1556496756,1,0
1556500578,0,1
1556506339,1,0
1556510188,0,1
1556514072,1,0
1556517887,0,1
1556520026,1,1
1556539253,0,1
1556541158,0,1
1556543089,0,1
1556545001,1,0
1556546864,1,0
1556554576,1,0
1556560372,1,0
1556562255,1,0
1556564181,1,1
1556568074,1,0
1556572134,0,1
1556582548,0,1
1556588461,1,0
1556599949,1,1
1556611520,1,0
1556615553,1,0
1556621306,1,0
1556630893,0,1
1556640516,1,1
1556642469,1,1
1556648199,0,2
1556650096,0,1
1556653932,1,1
1556659691,1,0
1556675798,0,1
1556677724,1,0
1556681806,0,1
1556683710,2,0
1556687539,1,0
1556695225,1,0
1556697131,0,1
1556700987,0,1
1556706758,0,1
1556710580,0,1
1556724045,1,0
1556725948,1,0
1556729790,2,1
1556733687,1,0
1556739378,1,0
1556741293,2,1
1556745142,0,1
1556754296,1,0
1556758371,0,1
1556764100,0,1
1556769907,1,2
1556771795,1,0
1556773710,0,1
1556777800,1,0
1556779700,1,0
1556781646,0,1
1556795087,1,0
1556804740,1,0
1556806585,1,0
1556810431,1,1
1556812340,0,1
1556816502,0,2
1556820278,0,1
1556826019,1,1
1556827933,1,1
1556841389,0,1
1556850997,1,0
1556856742,0,1
1556858686,0,1
1556864440,0,1
1556866370,1,0
1556875958,1,0
1556880777,0,1
1556890580,1,1
1556892774,0,1
1556898504,0,2
1556904258,2,0
1556906177,1,0
1556911972,0,1
1556915773,1,1
1556927300,1,0
1556934984,1,0
1556948421,1,0
1556952284,0,1
1556956129,1,0
1556961867,0,1
1556977462,0,1
1556988984,0,1
1556990913,0,2
1556992903,1,1
1557002431,0,1
1557004350,1,0
1557008202,1,0
1557010117,0,1
1557013955,0,1
1557019735,1,0
1557022577,1,1
1557045856,1,0
1557048063,3,0
1557059541,1,0
1557078757,0,1
1557084495,1,0
1557086505,0,1
1557090318,0,3
1557094109,0,1
1557107535,0,1
1557123888,1,0
1557133483,0,4
1557146903,0,1
1557158494,1,0
1557164197,2,0
1557169937,1,0
1557171873,0,1
1557173780,1,0
1557189515,1,0
1557194261,1,0
1557209789,0,1
1557213872,1,0
1557236907,2,0
1557244573,1,2
1557246492,2,0
1557256102,0,1
1557258016,1,0
1557259946,2,1
1557275404,0,1
1557279144,0,1
1557282984,3,0
1557290653,1,0
1557296431,0,2
1557300274,0,1
1557319710,1,0
1557323548,0,2
1557331516,0,1
1557333380,0,2
1557344923,3,1
1557346826,0,1
1557369151,0,3
1557381151,1,0
1557398895,1,0
1557404657,0,1
1557406580,1,0
1557410689,1,0
1557416416,1,0
1557420495,1,0
1557422454,1,0
1557426495,1,0
1557428433,0,1
1557430364,1,1
1557432260,1,1
1557450996,1,0
1557452900,1,0
1557470176,1,0
1557485556,1,1
1557493313,0,1
1557497304,0,1
1557501175,0,1
1557507134,0,1
1557509065,1,2
1557512893,0,1
1557516741,0,1
1557518697,0,1
1557524442,1,0
1557535935,0,1
1557539782,1,0
1557570769,0,1
1557590062,1,0
1557594345,1,1
1557602185,1,0
1557609876,1,1
1557625271,0,1
1557627161,0,1
1557640579,3,0
1557646827,0,1
1557658378,1,0
1557667954,1,0
1557677816,0,1
1557681629,0,1
1557687586,0,1
1557689573,0,2
