DateTime,AddedIPs,RemovedIPs
1557424330,0,5
1557438016,5,0
1557439939,0,1
1557442384,0,2
1557450996,6,3
1557452901,0,53
1557454832,0,114
1557456735,0,25
1557458696,4,61
1557460578,9,0
1557468294,0,1
1557474019,4,0
1557475939,2,15
1557479779,0,1
1557481698,0,10
1557483641,0,2
1557485556,1,13
1557487468,9,0
1557489412,106,0
1557491299,6,2
1557497304,1,0
1557503333,2,0
1557509065,0,1
1557510975,1,0
1557524443,0,5
1557526372,3,0
1557535936,0,4
1557537873,0,2
1557539783,2,0
1557541695,1,0
1557543664,2,0
1557545549,1,12
1557547466,0,1
1557551332,1,0
1557553226,1,0
1557557067,1,0
1557560896,0,4
1557562849,2,2
1557564732,2,0
1557572668,3,1
1557574587,0,40
1557576495,0,81
1557584186,0,1
1557586098,1,0
1557590063,0,2
1557596188,0,1
1557607939,1,0
1557611779,0,1
1557613716,2,2
1557617548,2,0
1557619489,14,0
1557621393,22,0
1557627162,2,3
1557630998,1,2
1557632913,0,1
1557636753,0,1
1557640580,0,1
1557644729,0,1
1557648746,1,2
1557650693,0,2
1557654504,2,0
1557656453,1,0
1557658378,3,1
1557660271,0,2
1557664122,2,0
1557672048,0,1
1557689574,1,0
1557691747,1,0
1557695794,0,1
1557697704,3,0
1557699652,1,2
1557702950,1,0
1557704904,1,6
1557706836,0,32
1557714749,1,2
1557718584,0,1
1557726258,2,0
1557728193,2,0
1557735869,0,1
1557741660,0,2
1557743567,0,4
1557745515,12,0
1557747383,1,0
1557749304,0,1
1557751216,1,1
1557755060,3,0
1557757003,10,0
1557758855,8,0
1557760836,1,0
1557762837,1,0
1557766594,2,0
1557768511,2,0
1557770522,1,0
1557776181,1,1
1557778131,0,1
1557783758,0,2
1557785774,0,2
1557787702,0,1
1557791533,3,1
1557801398,1,1
1557813162,1,2
1557815055,0,2
1557817000,52,0
1557824734,1,0
1557826834,1,0
1557828737,4,0
1557830688,1,0
1557832572,1,12
1557834776,3,1
1557836658,1,0
1557838612,3,1
1557840502,1,0
1557842463,2,11
1557844338,0,10
1557846341,2,1
1557848451,0,1
1557850345,72,0
1557854183,0,4
1557856346,0,1
1557858265,2,0
1557862094,0,1
1557871957,1,0
1557873887,5,0
1557875804,3,0
1557877731,2,3
1557883463,2,0
1557889261,0,1
1557898845,0,1
1557902661,1,0
1557904608,0,52
1557910344,73,1
1557912272,92,1
1557914198,85,3
1557916123,0,1
1557918126,14,1
1557919945,0,2
1557921866,3,3
1557923788,7,3
1557925732,5,0
1557927620,6,2
1557929560,0,1
1557931467,0,2
1557933407,2,0
1557935343,0,6
1557937244,1,58
1557941062,1,0
