DateTime,AddedIPs,RemovedIPs
1557877731,4,1
1557879643,4,3
1557883463,1,0
1557885376,1,0
1557887305,1,0
1557891157,0,1
1557894989,0,4
1557898846,1,2
1557900782,2,0
1557904608,1,0
1557906510,2,1
1557908445,0,1
1557910344,2,0
1557912272,3,0
1557916123,1,0
1557919946,2,0
1557921867,0,1
1557923789,0,1
1557927621,1,0
1557929561,1,2
1557931468,2,1
1557933407,1,0
1557935344,1,0
1557937245,2,0
1557939157,1,0
1557941063,0,2
1557943008,1,0
1557944913,1,2
1557948779,1,0
1557952589,0,3
1557954529,1,1
1557956444,1,0
1557958354,1,0
1557960282,2,0
1557962207,3,12
1557964109,3,4
1557966020,4,2
1557967956,0,1
1557970000,1,0
1557972061,2,0
1557973947,2,1
1557979719,2,0
1557981645,0,1
1557983550,1,0
1557987413,0,1
1557991483,1,0
1557993401,1,1
1557995329,0,1
1557997255,1,1
1557999387,1,2
1558001572,0,1
1558003488,1,1
1558005380,2,2
1558007326,1,1
1558009287,4,0
1558011142,2,0
1558013061,2,0
1558016937,2,0
1558019823,0,1
1558022966,2,1
1558024830,0,1
1558026739,3,1
1558030590,0,1
1558034415,1,1
1558036344,4,1
1558038259,0,1
1558040200,2,0
1558042111,1,0
1558044052,3,15
1558045955,2,1
1558047913,0,1
1558049777,2,2
1558051735,1,3
1558053618,2,3
1558055567,2,0
1558057455,2,3
1558059379,2,2
1558063212,0,1
1558065135,1,2
1558067066,1,0
1558069001,2,2
1558070901,1,0
1558074741,1,0
1558076714,0,1
1558078574,1,0
1558082669,1,0
1558084602,0,2
1558086497,1,1
1558090373,1,2
1558092255,0,2
1558094175,2,1
1558096100,0,4
1558098063,1,2
1558099939,4,0
1558101828,1,0
1558103773,0,1
1558105703,2,1
1558107788,0,1
1558109790,3,1
1558111732,1,1
1558113865,2,3
1558115774,5,0
1558119721,0,1
1558121539,0,2
1558123725,1,1
1558125613,1,1
1558127552,1,2
1558129454,1,1
1558131501,1,1
1558133837,2,1
1558135802,1,0
