DateTime,AddedIPs,RemovedIPs
1558059380,8,7
1558061310,13,7
1558063213,12,7
1558065135,6,9
1558067067,9,896
1558069002,8,1596
1558070902,8,722
1558072917,58,20
1558074741,7,9
1558076714,700,12
1558078575,222,14
1558080769,11,15
1558082670,15,19
1558084602,13,8
1558086498,7,9
1558088421,6,14
1558090374,9,72
1558092256,5,9
1558094176,11,13
1558096101,12,208
1558098067,12,9
1558099939,13,9
1558101828,7,7
1558103774,11,3103
1558105704,9,729
1558107788,16,120
1558109790,9,15
1558111732,7,18
1558113866,14,13
1558115775,127,17
1558117696,7,19
1558119722,310,17
1558121540,13,14
1558123726,12,19
1558125613,18,6
1558127552,9,10
1558129454,11,16
1558131502,10,20
1558133838,14,16
1558135803,15,11
1558137894,15,9
1558139794,9,18
1558141724,7,4
1558143867,15,15
1558145810,6,11
1558148192,14,17
1558150103,13,14
1558152284,15,9
1558154425,10,82
1558156590,10,12
1558158545,15,53
1558160463,15,8
1558162551,12,481
1558164495,9,505
1558166497,9,9
1558168345,11,13
1558170305,11,13
1558172185,9,8
1558174118,4,9
1558176027,19,8
1558177955,18,7
1558179879,3,6
1558181794,8,11
1558183697,7,15
1558185621,4,19
1558187568,16,8
1558189459,11,8
1558191372,35,9
1558193304,831,11
1558195128,860,11
1558197141,870,9
1558199093,856,7
1558201107,927,13
1558202921,761,12
1558204830,888,5
1558206738,785,18
1558208681,854,7
1558210587,1046,16
1558212754,962,10
1558214689,854,12
1558216580,1856,6
1558218498,726,15
1558220523,2337,13
1558222377,724,8
1558224299,5,9
1558226179,4,9
1558228131,7,8
1558230043,7,12
1558231948,10,6
1558233878,11,8
1558235788,15,13
1558237705,6,9
1558239616,4,9
1558241560,99,8
1558243468,8,6
1558245399,4,11
1558247302,9,5
1558249311,129,9
1558251186,15,9
1558253132,9,7
1558254992,10,9
1558257147,219,11
1558259063,14,8
1558261007,12,3
1558262932,18,10
1558264853,6,13
1558266753,3,1
1558268662,2,5
1558270603,7,7
1558272522,6,4
1558274514,6,6
1558276368,5,7
1558278289,6,186
1558280200,4,851
1558282122,12,772
1558284049,5,869
1558285949,4,749
1558287874,6,827
1558289804,208,775
1558291713,16,825
1558293627,2,674
1558295582,7,757
1558297462,10,680
1558299386,13,826
1558301325,21,1422
1558303357,53,724
1558305192,35,292
1558307088,12,8
1558308979,7,3
1558311176,3,8
1558313083,5,5
1558314999,9,6
1558316912,8,13
1558318846,6,12
1558320753,12,16
1558322684,19,14
1558324589,22,7
1558326505,44,7
1558328526,6,3
1558330364,8,5
1558332296,7,4
1558334188,8,20
1558336123,6,137
1558338028,8,10
1558339942,130,13
1558341882,26,14
1558343804,3365,335
1558345723,4984,9
1558347626,5,4
1558349537,6,9
1558351460,6,5
1558353391,5,1
1558355329,6,2
1558357274,6,1
1558359193,6,5
1558361106,4,5
1558362995,4,2
1558364926,4,2
1558366826,2,3
1558368762,0,4
1558370674,0,3
1558372605,4,3
1558374507,9,3
1558376309,5,319
1558378364,5,5
1558380277,6,0
1558382203,32,5
1558384122,9,3
1558386108,6,11
1558387963,3,34
1558389914,2,25
1558391781,0,23
1558393732,3,10
1558395630,2,4
1558397544,14,2
1558399485,2,2
1558401416,5,3
1558403305,13,2
1558405226,14,1
1558407170,8,8
1558409069,5,8
1558411009,4,13
1558412908,4,27
1558414912,6,3
1558416751,3,6
1558418729,11,2
1558420582,8,4
1558422512,6,3
1558424446,644,2
1558426378,9,6
1558428286,9,13
1558430201,11,3386
1558432130,3,5094
1558434036,2,7
1558435950,15,1198
1558437879,18,2543
1558439797,11,805
1558441741,9,10
1558443648,9,16
1558445569,11,12
1558447555,10,13
1558449410,8,7
1558451323,35,3
1558453234,186,4
1558455145,13,3
1558456992,9,1
1558458994,13,6
1558460915,9,13
1558462965,11,8
1558465002,8,10
1558466894,7,9
1558468938,18,47
1558470764,17,16
1558472696,8,9
1558474817,13,7
1558476738,16,1
1558479777,13,7
1558481790,11,8
1558483703,3,2
1558485622,6,12
1558487535,15,10
1558489462,12,18
1558491396,10,20
1558493296,7,16
1558495479,16,13
1558497406,12,3
1558499308,49,10
1558501362,6,48
1558503166,9,5
1558505143,10,15
1558507018,9,8
1558508945,9,9
1558510828,8,11
1558512752,14,22
1558514685,12,21
1558516611,5,1102
1558518518,13,8
1558520424,8,3
1558522365,11,17
1558524282,14,18
1558526206,8,13
1558528101,10,11
1558530147,9,10
1558532195,11,11
1558534132,9,11
1558536038,10,10
1558538556,11,238
1558540372,7,7
1558542341,11,10
1558544150,10,15
1558546106,13,11
1558548099,16,10
1558550927,12,11
1558552842,7,8
1558554731,17,11
1558556653,11,23
1558558579,1639,9
1558560507,54,11
1558562439,21,25
1558564362,21,9
1558566277,19,8
1558568194,4,7
1558570115,8,2
1558572033,11,6
1558573942,6,16
1558575856,7,13
1558577791,14,5
1558579704,24,4
1558581647,14,15
1558583539,14,9
1558585453,5,52
1558587393,51,6
1558589297,10,6
1558591511,6,10
1558593386,9,8
1558595543,13,9
1558597462,15,5
1558599397,6,12
1558601314,43,7
1558603208,60,4
1558605154,21,10
1558607066,14,5
1558609353,10,13
1558611394,16,5
1558613325,9,8
1558615207,7,8
1558617399,8,9
1558619295,10,9
1558621465,9,4
1558623373,6,10
1558625295,8,10
1558627330,14,4
1558629267,9,8
1558631128,15,7
1558632975,11,12
1558635147,178,10
1558637060,11,5
1558639009,8,6
1558640900,29,12
1558642847,10,10
1558644734,15,1626
1558646907,11,72
1558648980,13,28
1558650997,18,11
1558652937,14,18
1558654864,18,5
1558656774,10,9
1558658657,8,11
1558660580,6,8
1558662507,12,14
1558664451,12,20
1558666364,13,28
1558668278,28,20
1558670179,15,15
1558672146,14,55
1558674130,51,13
1558675960,5,10
1558677890,6,6
1558679777,13,8
1558681706,10,16
1558683616,17,21
1558685554,14,6
1558687491,18,15
1558689409,18,95
1558691303,12,23
1558693226,13,16
1558695163,16,9
1558697060,12,11
1558699294,19,17
1558701144,10,8
1558703069,16,7
1558704978,10,13
1558706955,9,5
1558708843,6,10
1558710742,16,9
1558712666,11,15
1558714605,14,9
1558716505,13,13
1558718442,15,11
1558720363,15,172
1558722286,21,24
1558724185,11,11
1558726129,13,28
1558728153,11,10
1558730176,12,22
1558732092,17,7
1558734014,32,15
1558735953,58,24
1558738193,21,19
1558740023,6,16
1558741936,8,13
1558743881,7,11
1558745786,10,10
1558747695,7,6
1558749757,21,10
1558751598,18,15
1558753521,15,16
1558755374,29,24
1558757304,16,16
1558759242,5,82
1558761139,14,6
1558763080,9,3
