DateTime,Entries,UniqueIPs
1558059380,8109,8109
1558061310,8115,8115
1558063213,8120,8120
1558065135,8117,8117
1558067067,7230,7230
1558069002,5642,5642
1558070902,4928,4928
1558072917,4966,4966
1558074741,4964,4964
1558076714,5652,5652
1558078575,5860,5860
1558080769,5856,5856
1558082670,5852,5852
1558084602,5857,5857
1558086498,5855,5855
1558088421,5847,5847
1558090374,5784,5784
1558092256,5780,5780
1558094176,5778,5778
1558096101,5582,5582
1558098067,5585,5585
1558099939,5589,5589
1558101828,5589,5589
1558103774,2497,2497
1558105704,1777,1777
1558107788,1673,1673
1558109790,1667,1667
1558111732,1656,1656
1558113866,1657,1657
1558115775,1767,1767
1558117696,1755,1755
1558119722,2048,2048
1558121540,2047,2047
1558123726,2040,2040
1558125613,2052,2052
1558127552,2051,2051
1558129454,2046,2046
1558131502,2036,2036
1558133838,2034,2034
1558135803,2038,2038
1558137894,2044,2044
1558139794,2035,2035
1558141724,2038,2038
1558143867,2038,2038
1558145810,2033,2033
1558148192,2030,2030
1558150103,2029,2029
1558152284,2035,2035
1558154425,1963,1963
1558156590,1961,1961
1558158545,1923,1923
1558160463,1930,1930
1558162551,1461,1461
1558164495,965,965
1558166497,965,965
1558168345,963,963
1558170305,961,961
1558172185,962,962
1558174118,957,957
1558176027,968,968
1558177955,979,979
1558179879,976,976
1558181794,973,973
1558183697,965,965
1558185621,950,950
1558187568,958,958
1558189459,961,961
1558191372,987,987
1558193304,1807,1807
1558195128,2656,2656
1558197141,3517,3517
1558199093,4366,4366
1558201107,5280,5280
1558202921,6029,6029
1558204830,6912,6912
1558206738,7679,7679
1558208681,8526,8526
1558210587,9556,9556
1558212754,10508,10508
1558214689,11350,11350
1558216580,13200,13200
1558218498,13911,13911
1558220523,16235,16235
1558222377,16951,16951
1558224299,16947,16947
1558226179,16942,16942
1558228131,16941,16941
1558230043,16936,16936
1558231948,16940,16940
1558233878,16943,16943
1558235788,16945,16945
1558237705,16942,16942
1558239616,16937,16937
1558241560,17028,17028
1558243468,17030,17030
1558245399,17023,17023
1558247302,17027,17027
1558249311,17147,17147
1558251186,17153,17153
1558253132,17155,17155
1558254992,17156,17156
1558257147,17364,17364
1558259063,17370,17370
1558261007,17379,17379
1558262932,17387,17387
1558264853,17380,17380
1558266753,17382,17382
1558268662,17379,17379
1558270603,17379,17379
1558272522,17381,17381
1558274514,17381,17381
1558276368,17379,17379
1558278289,17199,17199
1558280200,16352,16352
1558282122,15592,15592
1558284049,14728,14728
1558285949,13983,13983
1558287874,13162,13162
1558289804,12595,12595
1558291713,11786,11786
1558293627,11114,11114
1558295582,10364,10364
1558297462,9694,9694
1558299386,8881,8881
1558301325,7480,7480
1558303357,6809,6809
1558305192,6552,6552
1558307088,6556,6556
1558308979,6560,6560
1558311176,6555,6555
1558313083,6555,6555
1558314999,6558,6558
1558316912,6553,6553
1558318846,6547,6547
1558320753,6543,6543
1558322684,6548,6548
1558324589,6563,6563
1558326505,6600,6600
1558328526,6603,6603
1558330364,6606,6606
1558332296,6609,6609
1558334188,6597,6597
1558336123,6466,6466
1558338028,6464,6464
1558339942,6581,6581
1558341882,6593,6593
1558343804,9623,9623
1558345723,14598,14598
1558347626,14599,14599
1558349537,14596,14596
1558351460,14597,14597
1558353391,14601,14601
1558355329,14605,14605
1558357274,14610,14610
1558359193,14611,14611
1558361106,14610,14610
1558362995,14612,14612
1558364926,14614,14614
1558366826,14613,14613
1558368762,14609,14609
1558370674,14606,14606
1558372605,14607,14607
1558374507,14613,14613
1558376309,14299,14299
1558378364,14299,14299
1558380277,14305,14305
1558382203,14332,14332
1558384122,14338,14338
1558386108,14333,14333
1558387963,14302,14302
1558389914,14279,14279
1558391781,14256,14256
1558393732,14249,14249
1558395630,14247,14247
1558397544,14259,14259
1558399485,14259,14259
1558401416,14261,14261
1558403305,14272,14272
1558405226,14285,14285
1558407170,14285,14285
1558409069,14282,14282
1558411009,14273,14273
1558412908,14250,14250
1558414912,14253,14253
1558416751,14250,14250
1558418729,14259,14259
1558420582,14263,14263
1558422512,14266,14266
1558424446,14908,14908
1558426378,14911,14911
1558428286,14907,14907
1558430201,11532,11532
1558432130,6441,6441
1558434036,6436,6436
1558435950,5253,5253
1558437879,2728,2728
1558439797,1934,1934
1558441741,1933,1933
1558443648,1926,1926
1558445569,1925,1925
1558447555,1922,1922
1558449410,1923,1923
1558451323,1955,1955
1558453234,2137,2137
1558455145,2147,2147
1558456992,2155,2155
1558458994,2162,2162
1558460915,2158,2158
1558462965,2161,2161
1558465002,2159,2159
1558466894,2157,2157
1558468938,2128,2128
1558470764,2129,2129
1558472696,2128,2128
1558474817,2134,2134
1558476738,2149,2149
1558479777,2155,2155
1558481790,2158,2158
1558483703,2159,2159
1558485622,2153,2153
1558487535,2158,2158
1558489462,2152,2152
1558491396,2142,2142
1558493296,2133,2133
1558495479,2136,2136
1558497406,2145,2145
1558499308,2184,2184
1558501362,2142,2142
1558503166,2146,2146
1558505143,2141,2141
1558507018,2142,2142
1558508945,2142,2142
1558510828,2139,2139
1558512752,2131,2131
1558514685,2122,2122
1558516611,1025,1025
1558518518,1030,1030
1558520424,1035,1035
1558522365,1029,1029
1558524282,1025,1025
1558526206,1020,1020
1558528101,1019,1019
1558530147,1018,1018
1558532195,1018,1018
1558534132,1016,1016
1558536038,1016,1016
1558538556,789,789
1558540372,789,789
1558542341,790,790
1558544150,785,785
1558546106,787,787
1558548099,793,793
1558550927,794,794
1558552842,793,793
1558554731,799,799
1558556653,787,787
1558558579,2417,2417
1558560507,2460,2460
1558562439,2456,2456
1558564362,2468,2468
1558566277,2479,2479
1558568194,2476,2476
1558570115,2482,2482
1558572033,2487,2487
1558573942,2477,2477
1558575856,2471,2471
1558577791,2480,2480
1558579704,2500,2500
1558581647,2499,2499
1558583539,2504,2504
1558585453,2457,2457
1558587393,2502,2502
1558589297,2506,2506
1558591511,2502,2502
1558593386,2503,2503
1558595543,2507,2507
1558597462,2517,2517
1558599397,2511,2511
1558601314,2547,2547
1558603208,2603,2603
1558605154,2614,2614
1558607066,2623,2623
1558609353,2620,2620
1558611394,2631,2631
1558613325,2632,2632
1558615207,2631,2631
1558617399,2630,2630
1558619295,2631,2631
1558621465,2636,2636
1558623373,2632,2632
1558625295,2630,2630
1558627330,2640,2640
1558629267,2641,2641
1558631128,2649,2649
1558632975,2648,2648
1558635147,2816,2816
1558637060,2822,2822
1558639009,2824,2824
1558640900,2841,2841
1558642847,2841,2841
1558644734,1230,1230
1558646907,1169,1169
1558648980,1154,1154
1558650997,1161,1161
1558652937,1157,1157
1558654864,1170,1170
1558656774,1171,1171
1558658657,1168,1168
1558660580,1166,1166
1558662507,1164,1164
1558664451,1156,1156
1558666364,1141,1141
1558668278,1149,1149
1558670179,1149,1149
1558672146,1108,1108
1558674130,1146,1146
1558675960,1141,1141
1558677890,1141,1141
1558679777,1146,1146
1558681706,1140,1140
1558683616,1136,1136
1558685554,1144,1144
1558687491,1147,1147
1558689409,1070,1070
1558691303,1059,1059
1558693226,1056,1056
1558695163,1063,1063
1558697060,1064,1064
1558699294,1066,1066
1558701144,1068,1068
1558703069,1077,1077
1558704978,1074,1074
1558706955,1078,1078
1558708843,1074,1074
1558710742,1081,1081
1558712666,1077,1077
1558714605,1082,1082
1558716505,1082,1082
1558718442,1086,1086
1558720363,929,929
1558722286,926,926
1558724185,926,926
1558726129,911,911
1558728153,912,912
1558730176,902,902
1558732092,912,912
1558734014,929,929
1558735953,963,963
1558738193,965,965
1558740023,955,955
1558741936,950,950
1558743881,946,946
1558745786,946,946
1558747695,947,947
1558749757,958,958
1558751598,961,961
1558753521,960,960
1558755374,965,965
1558757304,965,965
1558759242,888,888
1558761139,896,896
1558763080,902,902
1558764982,901,901
1558766921,901,901
1558768826,897,897
1558770764,890,890
1558772680,885,885
1558774580,881,881
1558776516,879,879
1558779648,895,895
1558781587,887,887
1558783464,890,890
1558785655,885,885
1558787596,893,893
1558789491,895,895
1558791413,891,891
1558793319,893,893
1558795215,895,895
1558797171,886,886
1558799093,883,883
1558801011,888,888
1558802895,1134,1134
1558804838,1134,1134
1558807006,1135,1135
1558808912,1132,1132
1558810930,1138,1138
1558812878,1145,1145
1558814920,1143,1143
1558816822,1140,1140
1558818758,1135,1135
1558820654,1945,1945
1558822624,1865,1865
1558824523,1876,1876
1558826424,1886,1886
1558828362,1886,1886
1558830283,1889,1889
1558832204,1946,1946
1558834141,1955,1955
1558836152,1942,1942
1558838172,1957,1957
1558840362,1960,1960
1558842255,1948,1948
1558844187,1946,1946
1558846105,2042,2042
1558848011,2042,2042
1558849965,2050,2050
1558851878,2069,2069
1558853805,2080,2080
1558855704,2100,2100
1558857687,2116,2116
1558859551,2131,2131
1558861476,2134,2134
1558863373,7577,7577
1558865559,10256,10256
1558867451,10265,10265
1558869372,10260,10260
1558871307,10438,10438
1558873210,10859,10859
1558875148,11364,11364
1558877063,11836,11836
1558878995,12281,12281
1558880905,12731,12731
1558882891,13236,13236
1558884737,13734,13734
1558886713,14192,14192
