DateTime,Entries,UniqueIPs
1558057456,8174,8174
1558059380,8174,8174
1558061311,8180,8180
1558063214,8185,8185
1558065137,8181,8181
1558067068,7294,7294
1558069003,5713,5713
1558070903,5001,5001
1558072921,5038,5038
1558074742,5034,5034
1558076715,5722,5722
1558078576,5931,5931
1558080770,5924,5924
1558082670,5919,5919
1558084603,5926,5926
1558086499,5923,5923
1558088422,5969,5969
1558090375,5907,5907
1558092259,5904,5904
1558094177,5905,5905
1558096102,5710,5710
1558098071,5714,5714
1558099940,5717,5717
1558101829,5716,5716
1558103775,2623,2623
1558105704,1903,1903
1558107789,1801,1801
1558109791,1794,1794
1558111733,1782,1782
1558113866,1781,1781
1558115775,1893,1893
1558117696,1880,1880
1558119724,2171,2171
1558121540,2172,2172
1558123727,2167,2167
1558125614,2178,2178
1558127553,2175,2175
1558129455,2169,2169
1558131502,2160,2160
1558133839,2158,2158
1558135803,2162,2162
1558137895,2167,2167
1558139795,2157,2157
1558141725,2161,2161
1558143868,2165,2165
1558145811,2162,2162
1558148193,2157,2157
1558150103,2155,2155
1558152285,2157,2157
1558154426,2084,2084
1558156592,2083,2083
1558158545,2047,2047
1558160464,2054,2054
1558162551,1585,1585
1558164496,1093,1093
1558166500,1092,1092
1558168346,1091,1091
1558170305,1086,1086
1558172185,1089,1089
1558174119,1083,1083
1558176027,1025,1025
1558177955,1034,1034
1558179879,1031,1031
1558181794,1024,1024
1558183698,1016,1016
1558185621,1000,1000
1558187568,1009,1009
1558189459,1012,1012
1558191373,1038,1038
1558193305,1859,1859
1558195129,2702,2702
1558197142,3565,3565
1558199093,4413,4413
1558201108,5327,5327
1558202921,6075,6075
1558204831,6957,6957
1558206739,7723,7723
1558208681,8568,8568
1558210587,9595,9595
1558212755,10548,10548
1558214690,11390,11390
1558216581,13240,13240
1558218499,13948,13948
1558220526,16271,16271
1558222379,16985,16985
1558224300,16983,16983
1558226180,16978,16978
1558228131,16976,16976
1558230043,16973,16973
1558231949,16977,16977
1558233878,16983,16983
1558235789,16987,16987
1558237706,16984,16984
1558239617,16980,16980
1558241561,17074,17074
1558243468,17075,17075
1558245400,17068,17068
1558247303,17072,17072
1558249313,17194,17194
1558251187,17199,17199
1558253133,17200,17200
1558254994,17202,17202
1558257148,17411,17411
1558259064,17415,17415
1558261007,17425,17425
1558262933,17440,17440
1558264854,17432,17432
1558266754,17435,17435
1558268663,17434,17434
1558270605,17436,17436
1558272525,17439,17439
1558274515,17439,17439
1558276368,17437,17437
1558278290,17254,17254
1558280201,16405,16405
1558282124,15645,15645
1558284050,14783,14783
1558285950,14038,14038
1558287875,13216,13216
1558289805,12648,12648
1558291714,11839,11839
1558293628,11165,11165
1558295583,10415,10415
1558297463,9743,9743
1558299387,8931,8931
1558301326,7530,7530
1558303367,6861,6861
1558305193,6603,6603
1558307089,6606,6606
1558308979,6611,6611
1558311178,6606,6606
1558313083,6606,6606
1558315001,6607,6607
1558316912,6599,6599
1558318847,6594,6594
1558320754,6587,6587
1558322684,6590,6590
1558324591,6603,6603
1558326505,6640,6640
1558328531,6642,6642
1558330364,6644,6644
1558332297,6649,6649
1558334189,6635,6635
1558336123,6505,6505
1558338029,6504,6504
1558339943,6618,6618
1558341883,6630,6630
1558343805,9658,9658
1558345724,14631,14631
1558347627,14631,14631
1558349538,14620,14620
1558351461,14622,14622
1558353393,14625,14625
1558355330,14628,14628
1558357279,14631,14631
1558359195,14631,14631
1558361107,14630,14630
1558362997,14633,14633
1558364927,14634,14634
1558366827,14633,14633
1558368763,14629,14629
1558370675,14625,14625
1558372606,14626,14626
1558374508,14632,14632
1558376310,14322,14322
1558378365,14321,14321
1558380278,14326,14326
1558382204,14352,14352
1558384123,14360,14360
1558386109,14355,14355
1558387965,14325,14325
1558389915,14301,14301
1558391781,14278,14278
1558393733,14273,14273
1558395630,14272,14272
1558397545,14285,14285
1558399486,14285,14285
1558401418,14287,14287
1558403306,14298,14298
1558405227,14310,14310
1558407171,14311,14311
1558409087,14309,14309
1558411010,14300,14300
1558412909,14277,14277
1558414919,14281,14281
1558416752,14280,14280
1558418730,14288,14288
1558420584,14293,14293
1558422513,14296,14296
1558424447,14935,14935
1558426380,14937,14937
1558428286,14932,14932
1558430202,11555,11555
1558432131,6469,6469
1558434037,6465,6465
1558435951,5282,5282
1558437880,2747,2747
1558439798,1963,1963
1558441743,1963,1963
1558443652,1956,1956
1558445569,1955,1955
1558447555,1952,1952
1558449410,1954,1954
1558451324,1988,1988
1558453235,2170,2170
1558455146,2180,2180
1558456993,2189,2189
1558458995,2198,2198
1558460915,2195,2195
1558462966,2194,2194
1558465003,2193,2193
1558466894,2191,2191
1558468947,2162,2162
1558470765,2164,2164
1558472697,2163,2163
