DateTime,AddedIPs,RemovedIPs
1547918173,4,16
1547940290,2,13
1547962362,2,6
1547984434,3,26
1548006504,1,19
1548028377,4,10
1548050440,0,8
1548072497,2,11
1548094346,3,1
1548116450,1,1
1548138487,2,4
1548160337,2,1
1548182435,2,14
1548204495,5,5
1548226578,6,1
1548248445,5,5
1548270291,2,6
1548292353,3,0
1548314218,2,0
1548336520,3,1
1548380689,7,0
1548402734,18,13
1548424604,23,0
1548446708,13,1
1548468750,13,4
1548490590,8,1
1548512688,4,0
1548534532,2,4
1548556590,1,1
1548578654,7,2
1548600511,7,1
1548622598,5,2
1548644493,5,3
1548666744,17,0
1548688832,28,1
1548710672,19,1
1548732518,1,1
1548754594,3,2
1548776667,4,1
1548798735,4,3
1548820577,1,10
1548842425,19,2
1548864283,4,3
1548886362,4,2
1548908444,5,4
1548930496,120,2
1548952348,1,3
1548974190,2,5
1548996286,2,10
1549018357,0,15
1549040458,7,9
1549062551,3,8
1549084597,14,4
1549106655,9,5
1549128757,6,3
1549150845,10,1
1549172905,11,5
1549194759,7,9
1549227868,11,8
1549249722,12,6
1549271805,61,13
1549293877,4,20
1549315967,2,12
1549338056,0,1
1549360348,2,4
1549382470,0,5
1549404504,2,3
1549426365,7,6
1549448431,1,16
1549470527,0,4
1549493182,2,4
1549515128,1,5
1549537257,3,120
1549559298,3,3
1549581180,1,6
1549603210,8,5
1549625057,14,4
1549646905,9,8
1549668749,14,2
1549690832,10,16
1549712679,4,10
1549734521,3,5
1549756361,23,8
1549778446,5,9
1549800489,3,10
1549822354,16,5
1549844432,11,10
1549866281,2,54
1549888345,4,39
1549910191,4,1
1549932279,7,1
1549954333,2,2
1549976174,0,1
1550009093,32,1
1550031148,16,11
1550053240,11,2
1550075294,28,0
1550098352,9,4
1550120549,2,4
1550142516,13,2
1550164573,5,4
1550186444,16,1
1550208518,7,8
1550230584,2,11
1550252704,4,8
1550274745,1938,13
1550296876,4390,9
1550318915,2,3
1550340781,1,5
1550362856,1,24
1550384906,2,3
1550406981,0,4
1550429075,6,17
1550451156,2,7
1550473284,4,2
1550495303,1,5
1550517388,6,4
1550539232,14,3
1550561078,4,2
1550583166,3,0
1550605217,0,24
1550627565,1,14
1550649633,1,9
1550671980,0,26
1550694020,0,17
1550715895,1,2
1550737935,0,15
1550760038,1,7
1550782354,4,6
1550804197,1,21
1550826276,5,7
1550848342,4,2
1550870199,2,8
1550892289,1,29
1550914344,0,1
1550936412,6,2
1550958272,6,0
1550980357,4,2
1551002425,5,1
1551024288,4,3
1551046345,159,4
1551068194,2,5
1551090147,1,2
1551112093,4,2
1551133960,1,3
1551156025,2,16
1551177871,4,4
1551199962,3,2
1551233069,3,4
1551254929,21,1
1551277240,4,0
1551299298,4,0
1551321407,0,1
1551343452,4,1
1551365544,79,0
1551398684,1,1
1551420743,7,5
1551442821,7,3
1551465294,0,3
1551487210,4,0
1551509082,3,1
1551531137,5,4
1551552979,5,5
1551575093,1,2
1551597413,6,2
1551619454,4,4
1551641302,0,140
1551663150,0,3
1551685247,1,3
1551709510,1,7
1551731355,2,0
1551753379,9,3
1551775227,2,2
1551797077,1,7
1551819139,2,1
1551841250,2,2
1551863299,2,18
1551885153,18,2
1551907233,13,5
1551929318,48,6300
1551951368,51,23
1551973232,11,65
1551995303,15,1
1552017155,19,2
1552039266,11,8
1552061370,15,1
1552083381,18,2
1552105243,18,4
1552127296,17,3
1552149154,2,6
1552171228,12,2
1552193293,22,8
1552215142,10,4
1552236991,6,2
1552259156,4,0
1552281133,4,1
1552303236,3,0
1552325307,8,2
1552347384,16,1
1552369253,20,11
1552391305,17,3
1552413159,10,1
1552435249,9,1
1552457333,5,2
1552479374,3,11
1552501235,1,10
1552523294,7,17
1552545148,4,41
1552567236,5,19
1552589086,15,4
1552611151,15,21
1552633001,6,5
1552654939,13,9
1552676937,14,12
1552698992,24,12
1552720840,15,18
1552742922,6,3
1552764970,10,10
