DateTime,AddedIPs,RemovedIPs
1546354831,23,0
1546356740,12,0
1546358681,20,0
1546360571,15,0
1546362519,10,40
1546364411,13,36
1546366332,23,35
1546368276,33,24
1546370448,33,36
1546372361,22,46
1546374277,39,15
1546376177,26,7
1546378371,19,11
1546380278,8,8
1546382196,9,4
1546384120,7,1
1546386024,8,0
1546388209,9,6
1546390345,4,6
1546392293,8,7
1546394191,4,1
1546396099,6,2
1546399225,1,5
1546401159,0,3
1546403056,0,1
1546405238,0,5
1546407162,1,1
1546409328,1,7
1546411218,4,6
1546413146,2,11
1546415078,0,8
1546417220,0,7
1546419131,7,8
1546421060,28,3
1546422987,14,4
1546425136,7,39
1546427331,30,41
1546429246,40,42
1546431157,41,34
1546433057,38,37
1546435009,25,25
1546436918,21,25
1546438832,18,33
1546440761,43,19
1546442670,21,11
1546444578,17,17
1546446512,24,15
1546448542,16,18
1546450342,26,11
1546452288,14,30
1546454206,19,34
1546456117,24,29
1546458264,23,32
1546460452,18,59
1546462332,0,34
1546464256,0,20
1546466183,34,10
1546468350,29,13
1546470305,27,9
1546472425,11,8
1546474368,12,10
1546476295,9,3
1546478462,9,10
1546480345,2,6
1546482522,2,6
1546485658,10,2
1546487560,6,0
1546489490,3,0
1546491416,1,0
1546493308,6,1
1546495477,21,1
1546497377,39,2
1546499581,31,0
1546501458,11,0
1546503406,6,0
1546505319,2,4
1546507240,8,18
1546509255,14,13
1546511092,9,10
1546512978,10,30
1546514903,30,35
1546516946,31,45
1546518778,36,39
1546520668,36,29
1546522581,31,23
1546524533,56,23
1546526427,25,23
1546528374,14,22
1546530269,13,14
1546532215,7,19
1546534379,10,20
1546536270,17,28
1546538195,32,19
1546540355,33,15
1546542291,16,28
1546544209,27,14
1546546354,21,12
1546548267,12,0
1546550220,5,0
1546552120,5,29
1546554035,22,19
1546555963,13,21
1546557874,17,11
1546560143,6,7
1546561953,9,10
1546563890,17,5
1546565793,5,4
1546567722,15,0
1546569618,5,4
1546571557,9,2
1546573483,4,5
1546575656,12,2
1546577580,4,1
1546579465,3,4
1546581408,5,7
1546583303,2,37
1546585338,12,28
1546587188,13,12
1546589073,10,6
1546591004,14,2
1546592913,10,8
1546594828,5,24
1546596790,0,11
1546598700,0,21
1546600586,0,37
1546602524,0,48
1546604438,0,55
1546606399,0,55
1546608285,0,42
1546610179,0,51
1546612122,0,53
1546614297,0,24
1546616451,0,21
1546618592,0,13
1546620790,0,14
1546622686,0,23
1546624610,0,37
1546626505,0,44
1546628545,0,34
1546630615,0,42
1546632778,0,38
1546634665,0,10
1546636591,0,5
1546638512,0,9
1546640459,0,26
1546642365,0,19
1546644267,0,24
1546646208,0,5
1546648016,0,15
1546650051,0,19
1546651947,0,8
1546653891,0,13
1546655801,0,9
1546657965,0,12
1546659861,0,4
1546662049,0,16
1546663959,0,4
1546665877,0,6
1546667779,0,7
1546669945,0,9
1546671877,0,23
1546673774,0,13
1546675736,0,13
1546677622,0,14
1546679560,0,15
1546900356,1,4
1546984599,0,1
1547562521,1,0
1547638835,1,0
1547718978,0,1
1547723111,0,1
1547848865,1,0
1547933052,0,1
1548122514,1,0
1548241494,0,1
1548673737,1,0
1548677809,2,0
1548679937,1,0
1548697452,1,0
1548761088,0,1
1548762982,0,1
1548764902,0,2
1548778511,1,0
1548784604,0,1
1548861861,0,1
1549025536,1,0
1549053652,1,0
1549113168,0,1
1549138815,0,1
1549147713,1,0
1549202931,1,0
1549236256,0,1
1549288887,0,1
1549351938,1,0
1549426365,1,0
1549439798,0,1
1549467636,1,0
1549478108,1,0
1549480112,1,0
1549513463,0,1
1549524980,1,0
1549554024,0,1
1549563875,0,1
1549577333,0,1
1549581180,1,0
1549596975,1,0
1549610929,0,1
1549662990,1,0
1549668750,0,1
1549693719,1,0
1549736174,0,1
1549747696,0,1
1549779397,0,1
1549824496,1,0
1549909498,0,1
1549927980,1,0
1549960598,1,0
1550013867,1,0
1550015800,0,1
1550021553,1,0
1550046518,0,1
1550066670,1,0
1550080355,1,0
1550100264,0,1
1550107964,0,1
1550140615,1,0
1550152350,1,0
1550154266,0,1
1550156197,1,0
1550165786,0,1
1550192917,1,0
1550210171,1,0
1550227462,0,1
1550231562,1,0
1550243091,0,1
1550245000,0,1
1550278106,0,1
1550293720,1,0
1550295645,0,1
1550305135,1,0
1550318670,0,1
1550336186,1,0
1550379724,0,1
1550381569,1,0
1550391160,0,1
1550421859,0,1
1550464607,0,1
1550473294,1,0
1550481135,1,0
1550484997,1,0
1550561078,0,1
1550566714,0,1
1550570670,0,1
1550594190,1,0
1550613910,1,0
1550619852,1,0
1550656376,1,0
1550682184,0,1
1550705333,0,1
1550742047,0,1
1550769140,0,1
1550796528,1,0
