DateTime,Entries,UniqueIPs
1558045960,4830,4830
1558047919,3834,3834
1558049783,2634,2634
1558051739,2434,2434
1558053622,2427,2427
1558055572,2435,2435
1558057459,2450,2450
1558059383,2438,2438
1558061314,2449,2449
1558063217,2437,2437
1558065139,2435,2435
1558067070,2425,2425
1558069022,2402,2402
1558070905,2402,2402
1558072936,2391,2391
1558074744,2381,2381
1558076718,2377,2377
1558078579,2370,2370
1558080772,2361,2361
1558082673,2356,2356
1558084604,2360,2360
1558086501,2357,2357
1558088425,2353,2353
1558090378,2347,2347
1558092261,2326,2326
1558094179,2304,2304
1558096104,2310,2310
1558098087,2286,2286
1558099942,2267,2267
1558101836,2275,2275
1558103778,2264,2264
1558105706,2255,2255
1558107792,2247,2247
1558109793,2240,2240
1558111735,2233,2233
1558113868,2223,2223
1558115778,2228,2228
1558117699,2236,2236
1558119728,2232,2232
1558121543,2224,2224
1558123730,2216,2216
1558125616,2235,2235
1558127555,2248,2248
1558129457,2238,2238
1558131504,2238,2238
1558133841,2240,2240
1558135809,2248,2248
1558137898,2247,2247
1558139797,2246,2246
1558141739,2240,2240
1558143870,2250,2250
1558145813,2256,2256
1558148195,2255,2255
1558150106,2261,2261
1558152288,2264,2264
1558154428,2266,2266
1558156594,2279,2279
1558158548,2281,2281
1558160467,2268,2268
1558162554,2272,2272
1558164499,2266,2266
1558166548,2252,2252
1558168348,2248,2248
1558170309,2250,2250
1558172188,2256,2256
1558174121,2260,2260
1558176030,2275,2275
1558177958,2289,2289
1558179882,2302,2302
1558181796,2300,2300
1558183699,2311,2311
1558185623,2306,2306
1558187570,2306,2306
1558189461,2317,2317
1558191376,2336,2336
1558193307,2343,2343
1558195130,2336,2336
1558197144,2335,2335
1558199098,2332,2332
1558201110,2341,2341
1558202922,2352,2352
1558204833,2357,2357
1558206741,2366,2366
1558208683,2374,2374
1558210589,2406,2406
1558212756,2402,2402
1558214691,2409,2409
1558216583,2413,2413
1558218501,2421,2421
1558220536,2420,2420
1558222381,2415,2415
1558224303,2422,2422
1558226182,2426,2426
1558228133,2438,2438
1558230045,2417,2417
1558231952,2412,2412
1558233880,2407,2407
1558235790,2409,2409
1558237708,2409,2409
1558239619,2396,2396
1558241563,2385,2385
1558243470,2381,2381
1558245402,2383,2383
1558247305,2384,2384
1558249323,2370,2370
1558251189,2376,2376
1558253135,2379,2379
1558254996,2380,2380
1558257150,2389,2389
1558259066,2402,2402
1558261009,2413,2413
1558262934,2410,2410
