DateTime,AddedIPs,RemovedIPs
1552526666,0,3
1552528615,0,1
1552532687,1,1
1552534586,0,1
1552567472,0,1
1552584777,0,2
1552586698,0,5
1552588583,1,3
1552590540,0,1
1552592463,0,1
1552596284,0,1
1552619534,0,1
1552662119,1,0
1552675481,1,1
1552685053,1,0
1552707630,1,0
1552709549,1,0
1552726949,1,0
1552744575,1,0
1552748536,0,1
1552761886,0,1
1552771461,0,1
1552782992,1,0
1552794506,0,1
1552796448,0,1
1552812032,1,1
1552813943,1,0
1552817791,1,0
1552831389,0,1
1552868212,1,0
1552870102,0,1
1552877797,1,0
1552883787,1,0
1552897232,0,1
1552899131,0,1
1552902995,0,1
1552923136,1,0
1552948570,1,0
1552954371,0,1
1552963936,0,1
1552971704,0,1
1552981457,1,0
1552992994,1,0
1553009783,0,1
1553025432,1,0
1553027298,1,0
1553029319,1,0
1553034985,0,1
1553056101,1,0
1553058192,1,0
1553065943,1,0
1553067854,0,1
1553077462,1,0
1553079392,0,1
1553089234,1,0
1553111557,0,1
1553113463,0,1
1553115923,0,1
1553142981,0,1
1553144938,0,1
1553148743,1,0
1553150676,1,0
1553152568,0,1
1553162249,1,0
1553164094,0,1
1553174665,0,1
1553193901,1,0
1553205385,1,0
1553227000,1,0
1553234691,0,1
1553238533,1,1
1553240454,1,0
1553248109,0,1
1553266192,1,0
1553271949,1,0
1553279564,0,1
1553291316,0,1
1553293244,1,0
1553313379,0,1
1553317411,2,0
1553325410,0,2
1553334986,1,0
1553352493,0,1
1553358269,0,1
1553373624,1,0
1553379642,0,1
1553397138,1,0
1553402901,1,1
1553404842,0,1
1553422335,0,1
1553461492,0,1
1553470480,1,0
1553484271,0,1
1553490299,0,1
1553521239,1,0
1553534916,1,0
1553554600,0,1
1553570200,1,0
1553594192,1,0
1553600178,1,0
1553608098,0,1
1553617698,1,0
1553619889,0,1
1553648188,1,0
1553652109,1,0
1553655927,0,1
1553659742,1,0
1553678894,0,1
1553686575,0,1
1553703413,1,0
1553705548,1,1
1553709410,1,0
1553711304,1,0
1553718058,1,0
1553722250,1,0
1553726522,1,0
1553732181,1,0
1553734128,0,1
1553736020,1,0
1553740001,1,1
1553744173,1,0
1553746105,0,1
1553748033,1,0
1553753774,1,0
1553757874,1,0
1553761693,1,0
1553765576,1,0
1553769375,1,0
1553773222,1,0
1553777068,1,0
1553778996,1,0
1553782826,1,0
1553790493,0,1
1553792536,0,1
1553794471,0,1
1553798417,0,1
1553800346,1,0
1553804176,1,1
1553808032,1,1
1553812646,0,1
1553814509,1,0
1553816439,1,0
1553818375,0,1
1553822200,1,1
1553826062,0,1
1553831783,0,1
1553835763,1,1
1553839466,0,1
1553843331,0,1
1553849091,0,1
1553852905,0,1
1553856756,0,1
1553858661,0,1
1553862514,1,0
1553864493,0,1
1553866349,0,1
1553870187,0,1
1553877876,1,0
1553885800,0,1
1553889820,1,1
1553893722,0,1
1553901376,0,1
