DateTime,AddedIPs,RemovedIPs
1551758914,1,0
1551764691,2,0
1551770416,1,0
1551774261,1,0
1551787696,0,1
1551789632,1,0
1551791551,1,0
1551799213,0,1
1551806892,0,1
1551824179,0,1
1551826359,1,1
1551832093,0,1
1551843631,0,1
1551845537,0,1
1551851288,0,2
1551860894,0,1
1551866913,1,0
1551876503,1,1
1551882282,1,0
1551884194,0,1
1551893803,0,1
1551912994,0,1
1551914902,1,0
1551922843,1,0
1551924737,1,0
1551930497,0,1
1551932415,1,0
1551934364,0,1
1551955470,0,1
1551959306,1,0
1551966990,1,0
1551968944,1,1
1551974681,2,0
1551980428,0,1
1551982350,1,0
1552001794,0,1
1552003725,1,1
1552011877,0,1
1552018846,1,1
1552028606,1,0
1552032516,1,0
1552045974,0,1
1552053892,0,1
1552055778,0,1
1552061542,0,2
1552067301,1,1
1552069232,1,0
1552088672,0,1
1552105954,0,1
1552115537,0,1
1552125140,1,0
1552144356,1,1
1552146260,1,0
1552153941,0,1
1552155867,0,1
1552157789,0,1
1552159698,1,0
1552211790,1,1
1552213691,1,0
1552216581,1,0
1552230263,0,1
1552234166,0,1
1552245637,0,1
1552251381,2,0
1552257143,1,0
1552284991,1,0
1552292675,1,0
1552298501,0,2
1552302292,0,1
1552337301,0,1
1552339224,0,1
1552343085,1,0
1552344991,0,1
1552349008,1,0
1552371403,0,1
1552405932,1,0
1552409789,1,0
1552411690,1,0
1552428981,0,1
1552434758,1,1
1552451070,1,0
1552491890,0,1
1552495725,0,1
1552499546,0,1
1552505319,1,0
1552520914,0,1
1552524738,1,0
1552526667,2,0
1552538445,0,1
1552549969,0,1
1552551869,1,0
1552569420,0,1
1552577083,1,0
1552592464,0,1
1552602023,1,0
1552611803,0,1
1552613777,0,1
1552619534,1,0
1552663952,0,1
1552665888,1,0
1552669745,1,0
1552675481,0,1
1552690057,0,1
1552692024,0,1
1552699716,1,0
1552705696,1,1
1552713380,1,0
1552740501,1,0
1552784924,1,1
1552786827,1,0
1552790695,0,1
1552800272,0,1
1552802203,1,0
1552821622,0,1
1552827377,0,1
1552831396,1,0
1552841075,0,1
1552864111,1,0
1552866350,1,0
1552872028,0,2
1552883788,1,0
1552887615,0,1
1552889545,1,0
1552902996,1,0
1552969720,0,1
1552973572,1,0
1552975503,1,0
1552983406,1,0
1552985297,1,0
1552989144,0,1
1552992995,1,0
1553006904,1,0
1553037638,1,0
1553045315,1,0
1553058995,0,1
1553060901,0,1
1553064753,1,1
1553066665,1,0
1553068572,0,1
1553072442,0,1
1553076291,0,1
1553082255,1,0
1553097655,1,0
1553101483,1,0
1553109135,0,1
1553112998,1,0
1553119722,1,0
1553123543,0,1
1553152569,0,2
1553154499,2,0
1553164094,1,0
1553166975,0,1
1553168900,0,1
1553178513,1,0
1553180508,0,1
1553182344,1,0
1553184296,0,1
1553186181,0,1
1553195814,5,0
1553197706,6,0
1553199624,8,1
1553201548,2,0
1553205385,0,1
1553207318,2,0
1553240455,0,2
1553242352,1,0
1553244263,1,0
1553246212,1,0
1553253887,1,0
1553255810,2,0
1553263768,0,1
1553281960,0,3
1553283870,0,7
1553285784,0,7
1553287716,0,4
1553293452,0,1
1553313379,2,0
1553329224,0,1
1553331136,1,2
1553333086,1,0
1553336918,1,0
1553338982,0,1
1553342921,0,1
1553354418,0,1
1553356362,1,0
1553364093,1,0
1553399087,0,2
1553412494,1,0
1553416367,0,1
1553418282,1,0
1553420440,0,1
1553422336,0,1
1553430255,0,1
1553434353,1,0
1553440106,1,0
1553448019,1,0
1553478536,0,1
1553488116,1,0
1553499864,0,1
1553503705,0,1
1553505619,1,0
1553521240,0,1
1553525077,0,1
1553531073,1,0
1553534916,0,1
1553538981,0,1
1553544988,2,0
1553556499,0,1
1553560598,1,0
1553568277,0,1
1553590340,1,0
1553592291,0,1
1553594192,1,0
1553617699,0,2
1553619895,1,0
1553626360,1,0
1553628266,1,0
1553632824,0,1
1553646268,0,1
1553676997,0,1
1553699592,1,0
1553705548,0,1
1553713263,0,1
1553715166,1,0
1553718971,0,1
1553722828,1,0
1553732701,1,0
1553748976,1,0
1553790494,1,0
1553800347,0,1
1553802276,1,0
1553809933,1,2
1553818375,0,1
1553833718,1,0
1553835764,1,1
1553845223,1,0
1553866349,1,0
1553872124,0,1
1553874024,1,0
1553889838,1,0
1553893722,0,1
1553895611,0,1
1553897549,1,0
1553901377,1,0
1553918912,0,2
1553920812,0,1
1553951786,0,1
1553959459,0,1
1553963292,0,2
1553976768,0,1
1553982506,0,1
1553988285,0,1
1554029308,1,0
1554077802,1,0
1554116704,0,1
1554175240,1,0
1554262831,0,1
1554301469,0,1
1554320683,0,1
1554340338,1,0
1554353809,1,0
1554405890,2,0
1554436586,1,0
1554445967,0,1
1554490974,0,1
1554492939,0,1
1554522260,0,1
1554545808,0,1
1554591149,0,1
1554618261,1,0
1554622095,1,0
1554627876,1,0
1554631697,1,0
1554643220,1,0
1554650894,1,0
1554655699,1,0
1554705643,0,1
1554707542,0,1
1554715214,0,1
1554723859,1,0
1554729900,0,1
1554737571,0,1
1554741382,0,1
1554747400,1,0
1554764591,1,0
1554772343,1,0
1554801639,0,1
1554809311,1,0
1554815303,1,0
1554834490,0,1
1554851810,0,1
1554896907,1,0
1554902662,1,1
1554904598,0,1
1554952575,1,0
1554960291,1,0
1554968186,0,1
1554983548,0,1
1554989317,0,1
1554991312,1,0
1555019794,0,1
1555040414,0,1
1555048092,0,1
1555061562,1,0
1555078823,0,1
1555094684,1,0
1555141219,1,0
1555170280,1,0
1555181792,0,1
1555189700,0,1
1555208909,1,0
1555226436,0,1
1555256193,0,1
1555292943,0,1
1555313053,1,0
1555347889,1,0
1555349773,1,0
1555399956,0,1
1555417479,1,0
1555436684,0,1
1555470310,1,0
1555478466,2,0
1555523082,1,0
1555550451,1,0
1555556181,0,1
1555565781,0,2
1555587163,0,1
1555608354,0,2
1555666839,1,0
1555716989,1,0
1555753474,0,1
1555804583,0,1
1555812291,0,1
1555815154,3,0
1555838658,1,0
1555840575,1,0
1555860260,1,0
1555902755,0,3
1555925794,1,1
1555947157,0,1
1555953149,1,0
1555960836,1,0
1556028740,1,0
1556036601,1,0
1556040497,0,1
1556048171,1,0
1556063084,0,1
1556066905,0,1
1556076520,1,0
1556088257,1,0
1556098106,1,0
1556102209,1,0
1556125954,1,0
1556139394,0,1
1556146369,1,0
1556154154,0,1
1556173264,0,1
1556183804,1,1
1556197342,0,3
1556203237,1,0
1556213205,0,1
1556233330,0,2
1556244991,1,0
1556290350,0,1
1556305949,0,1
1556329456,0,1
1556385620,1,0
1556470099,0,1
1556486428,1,0
1556613403,1,0
1556663770,1,0
1556683716,1,0
1556699064,0,1
1556750447,0,1
1556779707,0,1
1556789348,1,0
1556841395,0,1
1556843305,1,0
1556874544,0,1
1556927081,0,1
1556945793,1,0
1556992101,1,0
1556994028,1,0
1557011300,1,0
1557032440,0,1
1557065278,1,0
1557069176,1,0
1557078761,0,2
1557080684,1,0
1557097965,0,1
1557099866,1,0
1557117145,1,0
1557166126,0,1
1557187371,1,1
1557202103,0,1
1557205943,1,0
1557213874,1,0
1557215781,1,0
1557222747,1,0
1557274832,0,1
1557293074,0,1
1557296886,1,0
1557302659,0,1
1557304597,0,1
1557318040,0,1
1557344931,1,0
1557377089,0,1
1557383062,0,1
1557390978,1,0
1557410714,1,0
1557422459,1,0
1557444285,1,0
1557462029,0,1
1557473569,1,0
1557475558,0,1
1557477384,0,1
1557496852,0,1
1557500698,1,0
1557558514,0,1
1557588020,0,1
1557627614,1,0
1557690731,1,0
1557700589,1,0
1557706859,0,1
1557714755,0,1
1557722444,0,1
1557749310,1,0
1557758861,1,0
1557772595,1,0
1557776413,0,1
1557804059,1,0
1557835256,0,1
1557845081,0,1
1557891392,0,1
1557916583,1,0
1557939665,1,0
1558026747,0,1
1558080774,1,0
1558164500,1,0
1558168593,0,1
1558191675,1,0
1558217061,1,0
1558219004,1,0
1558224739,1,0
1558240109,0,1
1558247779,1,0
1558249714,0,1
1558278775,0,1
1558284494,1,0
1558304186,0,1
1558306097,0,1
1558309944,0,1
1558331535,0,1
1558335396,0,2
1558356763,1,0
1558364429,1,0
1558377854,1,0
1558414343,1,0
1558444122,0,1
1558449849,1,0
1558451808,0,1
1558463297,0,1
1558467169,1,0
1558489466,1,0
1558497411,2,0
1558501368,0,1
1558503171,0,1
1558526210,1,0
1558528105,1,0
1558536043,0,1
1558542345,1,0
1558552846,0,1
1558560512,1,0
1558562443,1,0
1558575860,0,1
1558583542,0,2
1558595548,1,0
1558611398,0,1
1558613329,0,1
1558619300,1,0
1558627356,0,1
1558637065,4,0
1558646911,1,1
1558649005,0,1
1558676176,1,0
1558705941,0,1
1558711717,1,0
1558723696,0,3
1558727537,0,1
1558733581,0,1
1558763085,0,1
1558797176,0,1
1558842291,1,0
1558851882,0,1
1558859555,1,0
1558927224,0,1
1558942818,0,1
1559002816,1,0
1559008601,1,0
1559037905,1,0
