DateTime,AddedIPs,RemovedIPs
1557997547,2,4
1557999413,1,2
1558001582,2,4
1558003497,1,1
1558005387,4,0
1558007334,3,1
1558009296,1,1
1558011150,2,2
1558013069,2,0
1558015027,4,0
1558016946,0,2
1558018913,1,0
1558021018,3,0
1558022974,1,5
1558024837,1,1
1558026748,1,2
1558028667,4,1
1558030597,4,0
1558032508,0,65
1558034423,1,3
1558036353,2,0
1558040207,1,1
1558042118,0,3
1558045962,0,81
1558047927,1,1046
1558049786,1,1351
1558051741,2,1292
1558053625,0,4
1558055574,4,4
1558057461,0,3
1558059386,2,4
1558061316,3,1
1558063220,2,1
1558065142,2,5
1558067073,5,1
1558069025,1,0
1558070908,1,2
1558072948,4,5
1558074980,1,0
1558077141,1,4
1558079051,1,3
1558080986,1,1
1558082896,5,5
1558084810,0,2
1558086765,6,4
1558088650,3,3
1558090569,1,1
1558092527,3,4
1558094497,1,1
1558096366,4,1
1558098329,1,4
1558100217,1,1
1558102135,0,3
1558104040,2,1
1558105935,1,0
1558107793,3,2
1558109795,1,1
1558111737,1,2
1558113870,4,0
1558115779,2,4
1558117702,1,3
1558119731,3,2
1558121545,1,1
1558123733,1,0
1558125618,0,1
1558127557,2,0
1558129459,1,0
1558131506,2,0
1558133844,3,1
1558135811,0,1
1558137902,2,2
1558141741,6,3
1558143874,1,2
1558145816,0,2
1558148198,1,4
1558150108,2,0
1558152291,3,4
1558154430,2,2
1558156597,0,2
1558158551,1,1
1558160470,1,4
1558162556,2,0
1558164501,1,1
1558166575,2,3
1558168595,2,5
1558170493,3,1
1558172416,3,4
1558174342,0,5
1558176273,2,2
1558178176,3,1
1558180093,1,2
1558182039,0,2
1558183965,1,3
1558185855,3,1
1558189736,1,2
1558191695,51,0
1558193537,0,1
1558195532,2,1
1558199561,0,2
1558201454,0,3
1558203383,0,1
1558205544,2,3
1558207455,2,0
1558209388,2,2
1558211297,1,0
1558215150,0,1
1558217062,0,2
1558219005,2,1
1558220938,1,2
1558222814,1,0
1558224740,2,1
1558226689,2,2
1558228581,1,3
1558230493,1,1
1558232433,2,0
1558234333,1,1
1558236257,1,1
1558238191,1,2
1558240110,0,1
1558242068,1,2
1558243960,2,0
1558245883,1,1
1558247779,1,2
1558249715,2,1
1558251650,1,2
1558253541,0,1
1558255462,3,1
1558257402,1,3
1558259308,1,2
1558261227,3,0
1558263145,0,2
1558265055,0,2
1558266990,0,3
1558268907,0,1
1558270855,1,1
1558272756,1,2
1558274689,2,0
1558276573,0,1
1558278776,0,1
1558280662,1,0
1558282510,1,3
1558284495,1,0
1558286425,0,4
1558288465,78,1
1558290511,231,0
1558292470,3,2
1558294345,2,2
1558296301,2,1
1558298171,0,1
1558300100,1,7
1558302049,1,1
1558304188,3,0
1558306098,0,2
1558308040,1,2
1558309945,0,1
1558311859,2,3
1558313799,0,2
1558315689,1,1
1558317716,1,1
1558319560,1,2
1558325576,1,1
1558327481,0,1
1558329643,2,1
1558331536,2,1
1558333472,4,1
1558335397,0,1
1558337310,4,3
1558339299,2,0
1558341162,1,2
1558343123,4,4
1558345002,2,0
1558346914,2,4
1558348828,1,1
1558350749,4,0
1558352686,2,0
1558354589,2,0
1558356764,1,0
1558358662,1,0
1558360602,1,1
1558362491,3,2
1558364430,2,0
1558366363,1,1
1558370197,1,41
1558372105,0,1
1558374034,2,2
1558375951,2,305
1558377855,0,2
1558379782,1,5
1558381700,2,4
1558383641,0,2
1558385554,5,0
1558387466,1,3
1558389395,1,0
1558391306,1,1
1558393242,1,2
1558395175,2,1
1558397082,0,1
1558398976,4,2
1558400896,3,0
1558402848,2,1
1558404743,4,1
1558406671,1,1
1558408606,1,0
1558410498,5,0
1558412445,0,1
1558414343,1,1
1558416257,4,2
1558418184,1,1
1558420113,2,3
1558422996,4,1
1558424897,3,1
1558426818,4,3
