DateTime,AddedIPs,RemovedIPs
1544522175,1,1
1544544573,3,2
1544566591,1,0
1544633095,2,0
1544677619,1,0
1544722096,2,0
1544744220,0,1
1544766266,1,0
1544788338,1,0
1544810502,1,2
1544832766,2,0
1544855074,0,2
1544876923,1,2
1544898770,2,1
1544920811,1,3
1544965008,0,1073
1544986909,1071,0
1545031009,0,1
1545053079,1,0
1545096969,0,2
1545118859,1,0
1545140931,1,4
1545163279,1,0
1545229458,2,1
1545295942,1,1
1545317798,2,0
1545339903,1,0
1545406110,4,2
1545428200,1,0
1545450257,2,0
1545472105,1,1
1545493955,4,1
1545516287,0,2
1545538132,2,1
1545604363,1,1078
1545626436,2,1
1545648525,0,1
1545670586,1,1
1545692550,1,1
1545714767,1,1
1545736834,0,2
1545758887,803,2
1545780738,278,0
1545802844,0,1
1545825178,1,0
1545847304,0,1
1545869569,2,1
1545891639,0,1
1545913497,0,1
1545935534,0,1
1545957395,1,0
1546001543,0,3
1546045720,0,1
1546067799,0,2
1546111979,0,2
1546134253,0,1
1546156099,0,1
1546200096,0,1
1546222372,1,0
1546266523,1,0
1546288371,1,1
1546310447,0,1
1546332494,1,0
1546354368,1,0
1546376426,2,0
1546420338,0,1
1546464491,1,3
1546486610,1,0
1546552827,1,1
1546574683,1,0
1546619088,0,1
1546641430,0,2
1546663477,1,1
1546729731,1,0
1546752056,2,0
1546774355,1,1
1546796456,1,224
1546818771,224,0
1546840948,2,1
1546862928,1,0
1546884983,2,1
1546907061,3,2
1546928959,2,0
1546950930,3,0
1546972814,1,0
1547016769,1,1
1547105080,1,0
1547149251,5,0
1547171551,0,1
1547193641,1,0
1547237807,2,0
1547259884,2,0
1547303799,1,0
1547325888,2,2
1547347960,2,0
1547370098,3,1
1547392384,1,0
1547414416,2,1
1547436318,1,0
1547458360,2,0
1547480220,1,1
1547502281,2,1
1547524348,0,1
1547557485,2,3
1547579331,3,0
1547601379,0,1
1547623244,0,3
1547645568,3,0
1547667420,1,1
1547711333,3,1
1547733735,3,0
1547755981,2,2
1547778031,1,0
1547800114,0,2
1547843827,0,4
1547866104,0,2
1547887971,1,1
1547910111,1,1
1547932105,0,1
1547953966,4,3
1547976297,0,4
1547998362,1,0
1548020435,2,3
1548042524,0,2
1548064609,1,0
1548086496,0,1
1548108522,0,2
1548152438,1,0
1548174771,0,1
1548262913,0,3
1548284970,1,0
1548307022,1,2
1548329069,1,2
1548351414,0,2
1548373261,1,0
1548417372,1,0
1548439249,1,1
1548461098,1,0
1548482939,0,2
1548505244,0,1
1548527551,0,1
1548549397,1,1
1548593328,2,1
1548615196,5,2
1548637358,0,2
1548659346,3,0
1548681379,0,1
1548703231,1,0
1548747161,0,1
