DateTime,AddedIPs,RemovedIPs
1547935953,5,19
1547958055,5,20
1547980100,10,19
1548002215,13,20
1548024263,6,15
1548046358,4,23
1548068509,8,12
1548090771,9,10
1548112854,8,9
1548134890,6,11
1548156775,4,9
1548178809,10,7
1548200653,8,16
1548222530,6,8
1548244602,7,16
1548266700,12,6
1548288751,5,4
1548310854,8,11
1548332922,7,60
1548354995,14,12
1548377061,5,10
1548398929,10,7
1548421001,13,9
1548442854,7,7
1548464893,7,7
1548486784,16,2
1548508819,6,5
1548530707,8,4
1548552750,12,2
1548574841,6,11
1548596895,17,10
1548618740,10,11
1548640890,5,4
1548663173,8,6
1548685261,13,6
1548707563,8,7
1548729639,12,12
1548751486,8,2
1548773528,17,7
1548795375,6,4
1548817467,6,10
1548839568,5,5
1548861649,11,7
1548883718,12,9
1548905797,11,5
1548927881,3,6
1548949949,16,8
1548972045,12,11
1548994121,9,14
1549016193,7,5
1549038034,9,7
1549059889,13,8
1549081970,10,8
1549104011,3,9
1549125880,9,3
1549148200,8,8
1549170132,4,9
1549192350,3,10
1549214441,7,10
1549236821,3,6
1549258936,3,7
1549280922,9,12
1549302976,3,6
1549324867,5,10
1549346928,5,5
1549368784,5,10
1549390820,6,13
1549412938,18,8
1549435005,20,4
1549457054,19,10
1549479167,30,10
1549501276,18,10
1549523304,17,7
1549545147,48,8
1549567235,9,12
1549589300,14,10
1549611414,2,11
1549633462,2,6
1549655313,5,10
1549677377,9,6
1549699493,6,5
1549721536,7,4
1549743395,8,8
1549765477,12,6
1549787322,5,4
1549809485,14,6
1549831476,8,4
1549853530,5,4
1549875375,6,4
1549908273,10,6
1549930123,168,3
1549952175,4,5
1549974059,7,5
1549996097,14,8
1550017963,12,16
1550040032,5,21
1550062105,20,18
1550083946,9,28
1550105795,2,20
1550127684,1,16
1550149718,17,54
1550171560,2,8
1550193406,6,16
1550215462,6,4
1550237328,10,3
1550259177,7,7
1550281487,2,11
1550303577,1,9
1550325656,6,10
1550347958,15,9
1550370054,7,11
1550392112,8,4
1550413989,6,14
1550436023,15,7
1550457885,3,3
1550479974,5,10
1550502107,6,6
1550524121,3,171
1550546213,6,0
1550568293,7,4
1550590338,5,7
1550612431,7,10
1550634287,4,11
1550656384,3,12
1550689474,4,30
1550711574,9,2
1550733613,9,1
1550755463,14,16
1550777313,5,5
1550799162,6,9
1550821220,7,6
1550843070,157,10
1550865175,170,7
1550887352,77,2
1550909312,83,1
1550931175,87,7
1550953268,61,10
1550975295,57,6
1550997154,42,4
1551019239,56,8
1551041084,58,11
1551063155,68,6
1551084996,78,4
1551118134,139,6
1551140183,4,8
1551162283,4,2
1551184360,11,8
1551206417,4,4
1551228280,3,6
1551250357,5,2
1551283463,9,1
1551305570,8,6
1551327624,8,11
1551349483,8,10
1551371589,11,6
