DateTime,AddedIPs,RemovedIPs
1557897415,2,1
1557899316,1,2
1557901255,2,3
1557903163,1,0
1557905093,2,0
1557906980,4,1
1557908913,5,1
1557910863,2,3
1557912744,4,1
1557914755,3,1
1557916597,2,0
1557918536,1,1
1557920446,2,0
1557922348,0,1
1557926194,2,0
1557928114,0,1
1557930058,1,3
1557931941,1,0
1557935779,2,0
1557937697,2,1
1557939733,2,0
1557941569,1,0
1557945414,0,179
1557947335,0,120
1557949246,1,1
1557951191,0,2
1557955009,2,0
1557958845,1,1
1557960762,0,1
1557962673,1,0
1557964577,0,2
1557966528,3,1
1557968567,2,3
1557970393,4,0
1557972362,2,1
1557974219,2,3
1557976130,0,2
1557978059,3,2
1557979950,2,3
1557981862,1,2
1557984053,2,1
1557985963,4,1
1557987867,1,1
1557989780,3,1
1557991702,1,3
1557993641,0,3
1557995545,4,4
1557997567,1,3
1557999428,1,2
1558001599,1,2
1558003503,0,1
1558005392,2,0
1558007339,4,1
1558009301,0,1
1558011156,2,2
1558013074,1,0
1558016954,0,2
1558018952,0,1
1558021024,3,0
1558022980,1,4
1558024842,0,1
1558026756,1,1
1558028672,3,2
1558030611,2,0
1558034428,0,1
1558040213,0,1
1558042124,0,1
1558045967,0,2
1558047940,1,1
1558051746,2,2
1558053637,0,4
1558055579,4,4
1558057466,0,2
1558059390,2,3
1558061321,2,1
1558063233,2,0
1558065154,2,3
1558067079,2,1
1558070913,1,2
1558072959,3,5
1558074984,0,1
1558077147,1,3
1558079060,0,2
1558082900,3,6
1558084815,0,1
1558086769,4,3
1558090582,1,1
1558092532,1,2
1558094511,1,1
1558096370,2,0
1558098366,1,3
1558105955,1,0
1558107798,2,1
1558109799,0,1
1558111741,0,1
1558113875,2,0
1558115784,1,2
1558117706,1,2
1558119736,3,0
1558123753,1,0
1558127561,1,0
1558131510,1,0
1558133848,1,1
1558137916,2,2
1558141746,3,3
1558143878,1,2
1558145820,0,2
1558148202,0,3
1558150115,2,0
1558152295,2,2
1558154434,2,1
1558156616,0,1
1558158555,0,1
1558160474,1,2
1558162560,1,0
1558164506,2,2
1558166583,1,0
1558168606,2,3
1558170514,2,2
1558172428,1,3
1558174346,0,1
1558176296,2,1
1558178180,1,0
1558180097,1,1
1558182049,0,1
1558183975,0,2
1558185857,3,0
1558189739,1,0
1558191757,1,0
1558193796,0,1
1558201713,0,2
1558203649,0,1
1558205546,1,4
1558207465,1,0
1558209391,2,1
1558215170,0,1
1558217065,0,1
1558219007,2,0
1558220940,1,1
1558224743,1,1
1558226692,2,1
1558228585,1,2
1558230496,1,1
1558232435,2,0
1558234343,1,0
1558236260,1,1
1558238202,0,2
1558240113,0,1
1558242127,1,2
1558243962,2,0
1558245890,0,1
1558249720,1,0
1558251660,1,2
1558253543,0,1
1558255465,3,1
1558257404,0,2
1558259314,1,2
1558261238,1,0
1558263148,1,2
1558265057,0,1
1558267003,0,2
1558268913,0,1
1558270872,1,1
1558272759,0,2
1558274692,1,0
1558276576,0,1
1558278779,0,1
1558282523,1,0
1558284499,1,0
1558288470,77,0
1558290273,230,0
1558292183,1,1
1558294120,4,1
1558296095,0,1
1558297954,0,1
1558299897,1,0
1558301778,1,1
1558303733,1,0
1558305620,2,2
1558307536,1,2
1558311672,1,2
1558313536,1,2
1558315464,1,0
1558317393,0,1
1558319300,1,3
1558321262,0,1
1558325159,1,0
1558327005,0,2
1558328926,1,0
1558330813,2,2
1558332746,5,0
1558336573,2,2
1558338497,1,0
1558340437,2,0
1558342343,2,3
1558344275,3,0
1558346178,0,3
1558348354,1,0
1558350311,1,1
1558352424,1,0
1558354359,1,0
1558360123,3,0
1558361936,1,1
1558365877,2,0
1558369860,1,0
1558371894,0,1
1558373792,0,1
1558375594,2,305
1558377649,0,1
1558379540,0,2
1558381474,3,4
1558383387,0,1
1558385302,2,0
1558387239,1,2
1558389138,1,0
1558391055,1,1
1558394908,0,1
1558398756,0,2
1558402572,1,1
1558404746,3,0
1558406676,1,1
1558410501,4,0
1558412456,0,1
1558414346,0,1
1558416261,2,2
1558418196,1,1
1558420117,2,3
1558423948,4,2
1558425894,3,2
1558427796,1,1
1558429703,0,3
1558431637,1,1
1558433550,1,1
1558435477,1,0
1558437377,1,1
1558439302,0,2
1558441243,1,0
1558443159,1,0
1558445063,4,1
1558446977,0,1
1558448929,0,1
1558450967,2,2
1558453239,0,2
1558455149,0,1
1558458999,0,1
1558460920,0,1
1558462971,1,1
1558465008,2,0
1558466900,4,1
1558468995,0,1
1558470992,3,2
1558472937,2,2
1558474824,0,1
1558476746,1,1
1558479795,0,1
1558481798,4,0
1558483710,1,0
1558485641,3,0
1558487542,4,0
1558489468,2,0
1558491421,6,4
1558493320,1,0
1558495500,2,2
1558497419,2,2
1558499323,2,0
1558501374,3,2
1558503179,1,1
