DateTime,AddedIPs,RemovedIPs
1558044124,4,2
1558045969,5,88
1558047942,2,375
1558049801,4,4
1558051748,9,3
1558053639,4,3
1558055581,1,10
1558057468,1,1
1558059392,3,2
1558061323,0,11
1558063235,0,2
1558065156,5,4
1558067082,5,4
1558069034,7,2
1558070915,1,163
1558072964,6,3
1558074986,0,8
1558077149,3,2
1558079062,1,1
1558080994,12,2
1558082902,1,7
1558084817,6,1
1558086771,0,2
1558090583,3,0
1558092534,2,1
1558094523,2,7
1558096372,3,2
1558098369,3,0
1558100223,2,4
1558102141,6,6
1558104046,1,2
1558105956,1,0
1558107799,3,2
1558109801,8,14
1558111743,7,3
1558113876,2,4
1558115786,0,1
1558117708,8,6
1558119738,8,2
1558121551,3,12
1558123755,6,2
1558125624,3,16
1558127563,1,4
1558129467,4,2
1558131512,9,7
1558133852,0,3
1558135818,5,1
1558137918,14,7
1558139805,1,0
1558141747,6,0
1558143880,5,0
1558145822,1,3
1558148204,8,1
1558150117,4,0
1558152297,3,6
1558154436,10,4
1558156617,1,5
1558158556,5,3
1558160476,11,2
1558162562,1,4
1558164507,0,2
1558166585,6,9
1558168608,6,5
1558170516,2,4
1558172430,8,15
1558174348,4,1
1558176298,13,1
1558178183,2,2
1558180099,2,2
1558182050,4,1
1558183977,8,6
1558185859,1,2
1558187785,6,2
1558189740,7,3
1558191763,37,2
1558193797,1,4
1558195966,5,2
1558197909,4,11
1558199787,2,1
1558201715,3,1
1558203650,16,2
1558205548,3,13
1558207467,5,2
1558209392,2,7
1558211301,3,4
1558213364,0,2
1558215171,0,5
1558217066,3,9
1558219009,2,1
1558220942,2,0
1558222819,17,7
1558224744,1,12
1558226693,1,2
1558228586,2,8
1558230497,2,2
1558232437,0,3
1558234345,2,9
1558236261,3,1
1558238203,2,7
1558240114,2,9
1558242163,6,1
1558243964,2,3
1558245892,5,16
1558247783,1,1
1558249721,4,0
1558251661,1,3
1558253544,3,5
1558255466,6,6
1558257406,4,10
1558259316,2,3
1558261239,5,11
1558263149,2,3
1558265058,3,1
1558267004,8,4
1558268914,2,3
1558270874,4,9
1558272760,2,3
1558274693,4,2
1558276577,1,7
1558278780,3,9
1558280668,0,4
1558282525,2,3
1558284500,3,2
1558286432,1,2
1558288472,2,10
1558290275,3,13
1558292185,1,4
1558294122,0,4
1558296099,6,1
1558297956,30,5
1558299899,0,1
1558301780,5,3
1558303734,0,4
1558305622,3,2
1558307538,8,3
1558309486,9,16
1558311674,8,0
1558313537,0,2
1558315465,3,1
1558317395,0,2
1558319301,1,0
1558321296,0,3
1558323147,0,2
1558325160,0,3
1558327007,1,0
1558328928,1,6
1558330815,1,2
1558332747,0,5
1558334678,2,5
1558336574,7,0
1558338498,2,2
1558340439,2,5
1558342344,1,4
1558344277,3,7
1558346180,1,3
1558348356,0,5
1558350318,2,4
1558352425,5,3
1558354361,4,7
1558356276,4,5
1558358179,3,0
1558360125,2,2
1558361937,2,2
1558363949,3,7
1558365879,8,0
1558367792,4,2
1558369861,6,29
1558371897,2,6
1558373794,3,0
1558375598,3,3
1558377651,2,5
1558379542,0,1
1558381476,5,5
1558383388,3,17
1558385303,4,12
1558387240,3,5
1558389140,1,0
1558391057,1,2
1558392992,0,6
1558394910,3,1
1558396834,2,1
1558398757,0,3
1558402573,9,2
1558404748,1,1
1558406678,1,0
1558408611,1,0
1558410503,6,0
1558414348,4,3
1558418198,5,2
1558420118,2,0
1558422132,1,4
1558423950,4,5
1558425897,3,2
1558427797,1,0
1558429705,1,2
1558431638,1,4
1558433552,3,0
1558435479,2,1
1558437379,2,3
1558439304,4,8
1558441246,1,4
1558443161,3,1
1558445065,3,3
1558446979,6,2
1558448937,2,1
1558450976,5,5
1558453241,1,9
1558455151,12,7
1558456999,1,2
1558459001,1,7
1558460922,5,1
1558462974,87,6
1558465010,376,1
1558466902,3,4
1558468997,2,8
1558470995,7,6
1558472939,1,3
1558474826,10,2
1558476748,1,2
1558479801,2,2
1558481801,7,0
1558483714,35,2
1558485643,7,2
1558487544,1,6
1558489472,2,5
1558491423,1,2
1558493322,4,2
1558495502,4,2
1558497421,0,6
1558499325,0,1
1558501377,0,4
1558503181,2,4
1558505163,3,2
1558507097,2,1
1558508969,3,3
1558510840,3,3
1558512767,1,2
1558514706,9,1
1558516641,3,1
1558518533,3,3
1558520435,11,2
1558522393,11,2
1558524315,9,2
1558526216,4,3
1558528111,2,3
1558530172,2,7
1558532223,3,2
1558534141,0,3
1558536050,6,4
1558538567,1,3
1558540383,1,0
1558542352,2,12
1558544162,6,0
1558546122,3,2
1558548130,3,6
1558550940,2,458
1558552852,5,4
1558554742,0,4
1558556664,1,6
1558558597,2,2
1558560526,2,0
1558562452,2,4
1558564373,2,3
1558566290,4,1
1558568206,4,8
1558570127,4,35
1558572043,21,6
1558573951,4,2
1558575866,4,2
1558577811,3,1
1558579714,1,4
1558581658,3,2
1558583548,4,2
1558585463,3,0
1558587402,4,0
1558589306,1,1
1558591529,1,3
1558593396,4,2
1558595557,4,2
1558597472,11,2
1558599407,6,0
1558601324,4,11
1558605165,6,2
1558607077,2,2
1558609408,7,1
1558611404,7,2
1558613342,4,4
1558615218,6,2
1558617410,4,4
1558619318,4,0
1558621506,3,4
1558623387,11,1
1558625304,3,1
1558627367,1,1
1558629280,3,3
1558631230,12,5
1558633228,6,1
1558635158,0,2
1558637090,7,1
1558639022,7,5
1558640917,1,0
1558642860,4,1
1558644765,4,0
1558646918,3,1
1558649013,5,1
1558651008,4,1
1558652948,6,2
1558654878,18,4
1558656795,6,5
1558658668,2,23
1558660601,4,1
1558662537,3,2
1558664475,5,5
1558666390,1,3
1558668289,8,3
1558670199,4,5
1558672156,7,5
1558674193,3,5
1558676191,13,1
1558678108,4,0
1558680025,1,4
1558681965,2,5
1558683891,5,10
1558685798,2,4
1558688001,1,6
1558689883,4,1
1558691801,2,5
1558693723,4,4
1558695758,1,6
1558697771,4,9
1558699821,8,3
1558701644,4,7
1558703787,9,4
1558705955,8,5
1558707870,5,3
1558709786,7,10
1558711730,5,4
1558713745,2,1
1558715816,2,3
1558717732,8,13
1558719890,3,6
1558721809,2,2
1558723702,7,11
1558725515,3,3
1558727542,5,1
1558729483,3,4
1558731381,2,4
1558733588,5,5
1558735522,5,6
1558738206,2,2
1558740034,3,7
1558741978,6,24
1558743898,2,2
1558745796,2,4
1558747705,5,0
1558749794,4,4
1558751609,5,4
1558753539,2,8
1558755403,2,2
1558757332,8,3
1558759252,1,8
1558761153,0,3
1558763091,2,14
1558765019,5,3
1558766932,6,0
1558768836,5,3
1558770775,6,6
1558772691,0,5
1558774590,2,2
1558776526,6,4
1558778518,4,1
1558780339,6,4
1558782295,4,1
1558784181,4,5
1558786230,1,6
1558788275,3,4
1558790172,11,9
1558792135,7,10
1558794051,1,3
1558795972,7,6
1558797856,4,6
1558799796,2,1
1558801726,5,3
1558803660,5,7
1558805761,8,3
1558807690,4,3
1558809614,11,9
1558811552,3,3
1558813463,1,3
1558815383,1,4
1558817567,5,2
1558819456,3,4
1558821656,0,5
1558823553,1,4
1558825489,5,2
1558827382,4,3
1558829310,0,4
1558831236,3,3
