DateTime,AddedIPs,RemovedIPs
1548011578,5,21
1548033453,9,15
1548055703,4,14
1548077552,3,4
1548099405,7,6
1548121454,7,5
1548143318,3,6
1548165373,5,5
1548187272,7,3
1548209345,4,6
1548231399,2,10
1548253550,5,5
1548275571,9,5
1548297423,8,6
1548319483,4,17
1548341548,7,7
1548363392,5,6
1548385314,3,6
1548407299,7,2
1548429264,5,3
1548451474,6,4
1548473348,7,9
1548495519,5,4
1548517460,5,7
1548539305,2,5
1548561145,6,4
1548583238,4,5
1548605096,6,3
1548627144,10,7
1548649008,6,6
1548671081,7,6
1548693142,4,5
1548714994,5,5
1548737065,3,5
1548759168,7,3
1548781237,9,6
1548803116,6,7
1548825171,6,0
1548847026,8,0
1548869091,5,6
1548891410,9,6
1548913265,8,10
1548935328,7,9
1548957174,10,7
1548979024,10,5
1549001114,2,3
1549023164,4,10
1549045232,7,5
1549067086,8,6
1549089429,6,7
1549111357,2,3
1549133302,4,6
1549155154,5,5
1549177499,3,6
1549199542,5,4
1549221389,15,2
1549243234,5,10
1549265103,4,6
1549287172,12,9
1549309040,9,4
1549331084,7,5
1549353161,2,4
1549386525,10,10
1549408592,38,8
1549430658,65,10
1549452762,24,6
1549474812,6,6
1549496678,4,11
1549518741,6,6
1549540614,10,9
1549562471,4,12
1549584496,7,7
1549606366,8,2
1549628486,5,5
1549650489,5,5
1549672347,4,9
1549694223,10,5
1549716269,7,1
1549738126,3,4
1549760190,6,3
1549782279,3,2
1549804119,8,8
1549826206,4,15
1549848277,7,3
1549870343,4,7
1549892237,6,11
1549914267,11,6
1549936334,1,5
1549958427,3,5
1549980278,9,8
1550002358,7,4
1550024416,7,63
1550046530,8,54
1550068617,6,4
1550090678,3,7
1550112734,6,5
1550134578,7,10
1550156498,1,8
1550178763,4,9
1550200615,6,6
1550222674,6,6
1550244744,6,6
1550266587,2,6
1550288663,7,5
1550310735,6,6
1550332929,4,3
1550355165,6,1
1550377251,8,7
1550399294,7,4
1550421139,5,6
1550442993,8,7
1550465069,3,6
1550487156,13,5
1550509330,2,7
1550531565,7,3
1550553621,2,2
1550575500,3,4
1550597551,5,12
1550619415,8,7
1550641476,4,7
1550663319,7,8
1550685371,8,6
1550707375,7,2
1550729294,3,7
1550751150,12,2
1550773003,3,1
1550794851,3,7
1550816917,2,5
1550839012,11,7
1550861064,11,4
1550883139,13,6
1550905300,3,6
1550927297,10,6
1550949143,13,6
1550971223,3,5
1550993088,12,6
1551015145,11,6
1551037245,11,6
1551059300,9,6
1551081155,6,9
1551103000,8,7
1551124910,15,5
1551146975,1,4
1551168990,3,4
1551191103,6,6
1551213149,4,6
1551235227,2,4
1551257321,8,4
1551279168,3,7
1551301268,7,8
1551323323,11,8
1551345373,7,5
1551367239,13,10
1551389101,10,4
1551411173,4,4
1551433234,4,6
1551455306,2,5
1551477154,5,15
1551498998,5,9
1551520876,3,9
1551542966,8,11
1551564996,5,5
1551587065,5,12
1551608920,6,8
1551630768,10,14
1551652813,4,11
1551674904,6,6
1551696986,7,10
1551718883,9,12
1551740926,5,4
1551762975,7,5
1551784849,7,2
1551806894,1,6
1551828765,1,5
1551850837,5,4
1551872928,5,6
1551894968,1,3
1551917029,9,6
1551938898,7,9
1551960740,11,12
1551982845,5,9
1552004914,1,8
1552026990,7,2
1552049072,3,2
1552071143,4,3
1552093007,2,5
1552114893,2,4
1552136898,2,6
1552158991,5,5
1552180839,1,3
1552202687,3,5
1552224763,3,7
1552246841,4,9
1552268904,5,8
1552290769,3,9
1552312726,5,7
1552334935,7,10
1552356994,6,6
1552379082,6,8
1552401172,13,6
1552423231,5,3
1552445322,3,4
1552467385,8,4
1552489256,10,4
1552511106,4,4
1552533384,3,6
1552555478,8,16
1552577545,1,4
1552599645,6,5
1552621487,8,5
1552643539,5,6
