DateTime,AddedIPs,RemovedIPs
1557265465,1,0
1557271209,0,1
1557276969,1,2
1557279149,2,1
1557281078,0,1
1557282989,1,0
1557286834,1,0
1557290658,1,0
1557300280,0,1
1557302195,1,7
1557306213,0,1
1557310113,1,0
1557312019,1,2
1557313952,1,0
1557315889,0,1
1557317801,1,3
1557319714,3,2
1557323554,0,2
1557325649,1,0
1557327715,0,1
1557329577,0,1
1557331549,0,1
1557335337,1,0
1557343030,0,2
1557344948,1,0
1557348796,2,0
1557350701,1,1
1557363155,0,1
1557365106,0,1
1557369192,0,1
1557373272,0,1
1557377112,1,1
1557385010,1,0
1557386944,2,0
1557389020,2,1
1557394843,1,0
1557397012,0,1
1557398947,2,0
1557400856,1,0
1557402805,0,1
1557406613,0,2
1557418616,1,0
1557420512,1,0
1557428548,3,4
1557430382,0,1
1557432327,0,1
1557434218,1,1
1557436148,0,1
1557438059,0,1
1557444294,1,0
1557451955,1,0
1557460169,1,0
1557463965,0,1
1557467785,0,2
1557471789,0,1
1557473777,1,2
1557475733,0,2
1557481470,1,1
1557483399,1,0
1557485314,0,2
1557487251,0,1
1557489182,2,0
1557504760,1,1
1557508628,1,0
1557510566,2,0
1557514346,1,3
1557516269,1,0
1557518183,1,0
1557520104,1,2
1557524015,1,0
1557528389,1,0
1557530208,0,1
1557532119,1,0
1557534056,1,0
1557537912,4,0
1557539800,2,0
1557541716,2,0
1557545778,1,1
1557549619,1,0
1557551539,2,0
1557555379,1,0
1557557306,0,1
1557561167,0,1
1557568985,0,1
1557574604,1,0
1557576518,0,1
1557588031,1,0
1557592103,2,1
1557594382,2,0
1557596219,1,2
1557598118,2,1
1557600279,0,1
1557602216,0,1
1557604151,0,1
1557606076,0,1
1557609893,0,1
1557611793,1,0
1557613730,2,0
1557615786,0,1
1557619705,0,1
1557623809,3,3
1557625732,0,1
1557627624,0,1
1557629552,1,1
1557631489,0,1
1557633408,0,1
1557635313,0,1
1557637368,1,2
1557641300,0,1
1557643226,1,0
1557647091,0,1
1557651172,1,0
1557653065,1,0
1557658932,1,0
1557660747,0,1
1557662721,1,0
1557666510,1,0
1557670357,1,0
1557672266,1,0
1557674466,2,1
1557678298,0,1
1557680192,0,2
1557682123,1,2
1557684091,0,3
1557690075,1,0
1557692232,1,0
1557694128,1,0
1557696069,1,0
1557697945,0,1
1557699863,1,1
1557702977,1,0
1557704921,1,0
1557708769,0,2
1557710680,0,1
1557714766,3,0
1557716787,1,1
1557724384,0,1
1557728211,0,1
1557732053,0,2
1557733956,1,0
1557737807,1,0
1557739743,1,1
1557743583,2,0
1557745538,0,1
1557747399,0,1
1557753172,1,1
1557755091,0,1
1557758875,1,1
1557760856,0,1
1557764685,1,0
1557768548,0,1
1557774555,1,0
1557776424,0,1
1557778616,1,2
1557780507,0,1
1557782461,0,1
1557788211,1,1
1557790101,1,0
1557796136,2,0
1557798066,1,0
1557799981,2,2
1557801866,1,1
1557804071,0,1
1557807871,2,0
1557813733,1,0
1557815568,1,0
1557817563,1,0
1557819649,0,1
1557821549,0,1
1557823768,0,1
1557825685,0,1
1557827565,0,1
1557829468,1,2
1557831428,1,0
1557833308,0,1
1557839143,1,0
1557840999,2,1
1557842935,1,0
1557845091,1,1
1557850849,1,0
1557852805,0,1
1557854667,0,1
1557856625,1,0
1557860556,0,1
1557864351,0,1
1557866241,1,0
1557870044,1,0
1557871974,1,0
1557875840,1,0
1557877748,1,1
1557881605,0,1
1557883480,1,1
1557885392,1,0
1557889399,3,1
1557891404,2,0
1557893596,1,0
1557899323,0,1
1557903179,2,0
1557905114,0,8
1557915148,1,1
1557917059,1,1
1557920932,1,0
1557926663,0,2
1557928572,1,0
1557932507,2,0
1557934341,1,0
1557938194,1,1
1557942022,0,1
1557947813,2,0
1557953534,1,1
1557955494,1,1
1557957374,0,1
1557959291,1,0
1557961276,2,0
1557963167,0,1
1557967010,1,0
1557970861,1,1
1557972781,1,0
1557974664,0,1
1557976616,1,1
1557978511,3,4
1557980451,0,1
1557982338,3,0
1557984262,1,0
1557986185,1,0
1557988120,1,0
1557991013,2,1
1557993170,2,2
1557996982,1,0
1558000867,0,1
1558004707,1,0
1558006596,0,1
1558014507,2,1
1558016455,1,0
1558018358,0,2
1558020446,1,0
1558024848,0,1
1558026762,0,1
1558034434,1,1
1558036367,1,0
1558040219,0,1
1558042130,0,1
1558044194,1,0
1558046470,1,0
1558048376,0,1
1558052189,1,0
1558054652,1,0
1558056757,1,1
1558058747,0,1
1558062510,0,2
1558064418,0,2
1558068282,1,2
1558072097,1,2
1558074025,0,1
1558075972,3,0
1558077873,0,6
1558079781,1,1
1558083640,0,1
1558089412,1,0
1558091558,1,2
1558093488,3,0
1558097302,1,0
1558101168,0,2
1558103063,0,2
1558109214,1,0
1558117712,2,0
1558121556,1,3
1558123760,0,1
1558125629,1,0
1558129472,0,1
1558133857,2,2
1558137923,1,2
1558139810,1,1
1558141752,0,1
1558143884,0,1
1558148208,1,0
1558150130,1,0
1558156622,0,1
1558158560,0,1
1558162566,4,1
1558164513,1,0
1558166590,0,2
1558168613,0,1
1558170519,2,0
1558172435,2,0
1558174360,1,0
1558176302,1,1
1558178187,0,1
1558180103,0,2
1558182054,0,1
1558187805,1,0
1558191768,1,0
1558193801,0,1
1558195969,1,0
1558199807,1,0
1558203660,1,1
1558205551,0,1
1558209395,1,1
1558220945,0,1
1558224747,1,1
1558226696,0,1
1558232440,0,1
1558236264,0,1
1558250014,3,2
1558251869,0,3
1558253805,4,0
1558255697,1,1
1558257612,0,1
1558259563,0,2
1558261454,1,0
1558271074,1,0
1558274920,1,2
1558278783,1,0
1558282529,0,1
1558290279,0,1
1558292189,1,0
1558294126,2,0
1558296104,0,1
1558299907,0,1
1558311679,1,1
1558313542,2,0
1558317408,3,0
1558321365,1,1
1558323393,0,1
1558325582,0,1
1558329657,1,0
1558333486,2,0
1558335402,0,1
1558337323,0,3
1558339314,1,1
1558341185,0,5
1558346936,0,1
1558350753,1,0
1558356769,0,1
1558358667,1,0
1558360607,1,2
1558364436,1,0
1558366368,1,0
1558379787,1,0
1558381706,0,3
1558387472,1,0
1558397088,2,0
1558398981,0,2
1558400923,1,0
1558402853,0,2
1558406682,0,1
1558410507,1,0
1558412463,1,0
1558416267,2,1
1558426106,0,5
1558428020,1,0
1558431851,2,0
1558435704,0,2
1558439543,1,0
1558441468,1,0
1558445310,0,1
1558447284,0,1
1558450981,0,1
1558453246,0,1
1558462978,1,0
1558465014,0,1
1558466906,2,0
1558472943,0,1
1558474830,1,0
1558481805,2,0
1558483719,0,1
1558485656,1,0
1558487547,0,1
1558489476,1,0
1558497425,0,2
1558501382,0,1
1558503186,1,0
1558505167,3,0
1558507107,1,0
1558510860,0,2
1558514711,0,1
1558524319,1,0
1558532227,1,0
1558536053,1,0
1558544166,1,0
1558548134,1,0
1558550945,1,0
1558552857,1,0
1558558601,0,2
1558560529,0,5
1558568210,0,2
1558572047,0,1
1558573955,2,0
1558575874,0,1
1558577815,1,0
1558589310,2,0
1558591533,0,2
1558597476,0,3
1558609414,1,0
1558611410,1,1
1558617415,1,0
1558619322,0,1
1558623393,1,0
1558627373,1,0
1558631235,0,1
1558633233,1,0
1558635163,0,1
1558637095,1,0
1558639027,1,2
1558644770,1,0
1558646923,1,0
1558656799,1,0
1558658672,2,2
1558662541,0,1
1558666395,3,0
1558670203,2,0
1558674199,0,1
1558676194,2,1
1558680029,1,0
1558681969,1,0
1558685802,0,1
1558688004,0,1
1558691805,1,0
1558693726,3,1
1558697776,0,1
1558701649,1,0
1558703791,0,1
1558707874,1,0
1558709791,1,1
1558713779,0,1
1558721813,1,0
1558723706,0,1
1558725521,3,0
1558727547,1,0
1558731386,1,1
1558733591,1,0
1558740038,1,0
1558745800,1,1
1558749798,1,0
1558751613,0,2
1558753543,1,0
1558757335,2,0
1558761157,0,1
1558763095,2,2
1558765024,1,0
1558768841,1,0
1558770795,0,7
1558778553,0,1
1558780585,0,3
1558782499,1,0
1558784439,0,1
1558788279,1,1
1558792139,2,0
1558794055,0,1
1558795976,1,1
1558797860,2,0
1558799800,1,1
1558801730,1,0
1558811556,0,1
1558829315,1,0
1558831242,1,1
1558835077,1,1
1558838919,1,0
1558840851,0,1
1558842756,0,1
1558844663,0,1
1558850559,1,0
1558854304,0,1
1558856186,0,7
1558858119,1,0
1558860023,1,0
1558865816,1,0
1558869651,0,1
1558875407,1,1
1558877309,1,0
1558879366,0,1
1558883116,0,2
1558884984,0,1
1558887186,0,1
1558889067,1,0
1558892902,1,0
1558902500,0,1
1558906577,0,1
1558916448,0,1
1558920273,0,1
1558922194,0,1
1558927986,2,1
1558935651,1,0
1558943577,0,3
1558945475,0,1
1558947417,0,1
1558951407,2,0
1558953411,0,1
1558957468,0,1
1558961345,0,1
1558963494,1,1
1558973457,1,0
1558975840,0,1
1558980634,1,1
1558988657,2,0
1559014101,0,1
1559016201,1,0
1559023940,1,0
1559029704,0,2
1559037423,1,2
