DateTime,Entries,UniqueIPs
1557749323,47,47
1557755091,50,50
1557757020,50,50
1557758876,51,51
1557760856,51,51
1557762857,52,52
1557764685,51,51
1557766640,51,51
1557768549,51,51
1557770604,50,50
1557772608,49,49
1557778617,47,47
1557780507,48,48
1557782462,49,49
1557786292,49,49
1557788211,47,47
1557790101,45,45
1557793947,46,46
1557799982,45,45
1557801866,44,44
1557804072,43,43
1557811740,42,42
1557813734,45,45
1557815569,45,45
1557817564,48,48
1557821549,48,48
1557823769,47,47
1557827566,45,45
1557829469,46,46
1557831428,44,44
1557835299,44,44
1557837170,45,45
1557841000,46,46
1557842935,45,45
1557845092,33,33
1557847014,32,32
1557848944,32,32
1557850850,31,31
1557852805,30,30
1557854667,29,29
1557860556,31,31
1557862395,33,33
1557864351,36,36
1557866241,37,37
1557868153,35,35
1557870044,37,37
1557873904,37,37
1557875841,38,38
1557879664,37,37
1557891404,38,38
1557895507,43,43
1557897437,46,46
1557899323,45,45
1557901279,42,42
1557903179,42,42
1557905116,42,42
1557906986,40,40
1557908919,39,39
1557910955,38,38
1557915149,39,39
1557917060,40,40
1557919002,42,42
1557920933,43,43
1557922844,42,42
1557928572,40,40
1557932518,42,42
1557934341,41,41
1557936262,41,41
1557938194,43,43
1557945859,41,41
1557947813,42,42
1557949699,38,38
1557951652,36,36
1557953535,37,37
1557955495,36,36
1557957375,34,34
1557959291,35,35
1557961281,35,35
1557967010,34,34
1557972782,35,35
1557978511,34,34
1557980452,34,34
1557982338,29,29
1557984263,27,27
1557986185,28,28
1557988121,28,28
1557990111,29,29
1557991982,29,29
1557995787,961,961
1557997944,2271,2271
1557999857,2461,2461
1558001784,2462,2462
1558004161,2462,2462
1558006093,2458,2458
1558015967,2459,2459
1558017862,2458,2458
1558019829,2460,2460
1558022988,2466,2466
1558024848,2465,2465
1558026762,2466,2466
1558028678,2469,2469
1558030618,2473,2473
1558032531,2472,2472
1558034435,2473,2473
1558038281,2474,2474
1558042130,2475,2475
1558046471,2474,2474
1558048377,2475,2475
1558050273,2474,2474
1558052190,2475,2475
1558056757,2476,2476
1558058748,2475,2475
1558060591,2476,2476
1558062511,2477,2477
1558066371,2478,2478
1558068283,2477,2477
1558072097,2476,2476
1558075972,2474,2474
1558077873,2473,2473
1558083645,2475,2475
1558085552,2477,2477
1558087498,2476,2476
1558091559,2475,2475
1558097302,2476,2476
1558099220,2477,2477
1558101168,2476,2476
1558103063,2475,2475
1558106924,2476,2476
1558109214,2474,2474
1558111250,2478,2478
1558113881,2480,2480
1558115790,2477,2477
1558117713,2476,2476
1558119743,2476,2476
1558121574,2477,2477
1558125630,2476,2476
1558127568,2476,2476
1558131517,2477,2477
1558133857,2477,2477
1558137924,2478,2478
1558139810,2478,2478
1558141752,2479,2479
1558143885,2478,2478
1558145834,2479,2479
1558148209,2478,2478
1558150130,2479,2479
1558152322,2478,2478
1558156623,2480,2480
1558158561,2480,2480
1558164514,2481,2481
1558166590,2482,2482
1558168613,2483,2483
1558170520,2482,2482
1558172435,2480,2480
1558174360,2479,2479
1558178187,1818,1818
1558180103,1820,1820
1558182054,1822,1822
1558183981,1824,1824
1558185862,1823,1823
1558187806,1824,1824
1558191768,1824,1824
1558193801,1082,1082
1558195969,465,465
1558197912,42,42
1558199807,42,42
1558201719,39,39
1558205551,38,38
1558207471,37,37
1558211305,38,38
1558213372,38,38
1558215174,39,39
1558217069,40,40
1558219013,39,39
1558220945,41,41
1558224747,40,40
1558226696,39,39
1558228590,39,39
1558230501,40,40
1558232440,39,39
1558236265,37,37
1558242191,38,38
1558244181,36,36
1558250015,37,37
1558251869,35,35
1558253805,34,34
1558255697,35,35
1558257613,33,33
1558261454,32,32
1558263370,33,33
1558265299,34,34
1558267283,30,30
1558269177,28,28
1558271076,29,29
1558272977,30,30
1558274920,31,31
1558276827,32,32
1558278783,32,32
1558280672,30,30
1558282530,30,30
1558284504,29,29
1558286443,28,28
1558288476,28,28
1558290279,29,29
1558296105,30,30
1558297961,29,29
1558299907,28,28
1558301786,28,28
1558303739,27,27
1558305627,27,27
1558307543,27,27
1558309492,28,28
1558311680,33,33
1558313542,35,35
1558315479,34,34
1558317408,35,35
1558319306,36,36
1558325583,37,37
1558327494,38,38
1558329658,39,39
1558331545,40,40
1558333486,41,41
1558339315,42,42
1558341185,43,43
1558343151,44,44
1558345008,45,45
1558348848,47,47
1558350753,47,47
1558354603,46,46
1558356770,45,45
1558358667,44,44
1558360608,42,42
1558362505,41,41
1558364436,41,41
1558366369,41,41
1558368291,41,41
1558370203,40,40
1558372110,41,41
1558375956,40,40
1558377861,41,41
1558383647,41,41
1558385560,43,43
1558387472,42,42
1558389416,44,44
1558391328,44,44
1558393331,43,43
1558395180,43,43
1558397088,43,43
1558398981,42,42
1558400924,45,45
1558402854,45,45
1558404753,45,45
1558406682,44,44
1558408615,43,43
1558412463,42,42
1558414353,41,41
1558416267,39,39
1558418204,39,39
1558420123,40,40
1558422156,38,38
1558424187,40,40
1558426106,39,39
1558428021,39,39
1558429940,38,38
1558431851,38,38
1558433777,39,39
1558435705,35,35
1558437633,37,37
1558441468,38,38
1558443372,40,40
1558447295,41,41
1558449140,40,40
1558450982,40,40
1558453246,40,40
1558457004,39,39
1558459005,40,40
1558460926,44,44
1558462978,45,45
1558465015,48,48
1558466907,49,49
1558469002,49,49
1558471008,50,50
1558474831,52,52
1558476761,51,51
1558479807,52,52
1558481806,52,52
1558483720,51,51
1558485657,48,48
1558487548,45,45
1558489477,44,44
1558493326,44,44
1558497426,47,47
1558499338,48,48
1558501382,47,47
1558503186,51,51
1558505168,53,53
1558507108,257,257
1558508973,879,879
1558510861,1766,1766
1558512770,2501,2501
1558514711,2499,2499
1558516645,2500,2500
1558518538,2501,2501
1558520440,2501,2501
1558522398,2502,2502
1558524319,2500,2500
1558528116,2499,2499
1558534146,2499,2499
1558536054,2500,2500
1558538572,2499,2499
1558544167,2500,2500
1558546143,2499,2499
1558548135,2497,2497
1558550946,2494,2494
1558554763,2492,2492
1558556669,2492,2492
1558558602,2495,2495
1558562457,2494,2494
1558564377,2496,2496
1558566294,2495,2495
1558568210,2494,2494
1558570131,2495,2495
1558572047,2495,2495
1558573955,2496,2496
1558575874,2495,2495
1558577815,2497,2497
1558579718,2496,2496
1558583553,2495,2495
1558585468,2494,2494
1558589311,2494,2494
1558591534,2492,2492
1558593401,2493,2493
1558599412,2494,2494
1558601351,2495,2495
1558603245,2495,2495
1558605170,2492,2492
1558609414,2491,2491
1558611411,2491,2491
1558615224,2492,2492
1558617415,2496,2496
1558621513,2495,2495
1558623394,2495,2495
1558625314,2496,2496
1558629285,2495,2495
1558631236,2496,2496
1558635163,2496,2496
1558637095,2495,2495
1558642866,2496,2496
1558644770,2495,2495
1558646924,2496,2496
1558651013,2495,2495
1558656799,2494,2494
1558658673,2494,2494
1558660607,2494,2494
1558664481,2493,2493
1558666395,2495,2495
1558668294,2496,2496
1558672160,2497,2497
1558674199,2242,2242
1558676195,1336,1336
1558678112,546,546
1558680029,38,38
1558681969,41,41
1558683924,43,43
1558685802,44,44
1558688005,43,43
1558691806,42,42
1558693727,45,45
1558695765,46,46
1558697776,47,47
1558699827,49,49
1558703792,48,48
1558705959,49,49
1558709791,47,47
1558711736,46,46
1558713782,46,46
1558715821,47,47
1558717737,45,45
1558721814,42,42
1558725522,354,354
1558727547,1091,1091
1558729489,1785,1785
1558731387,2510,2510
1558733592,2509,2509
1558740039,2511,2511
1558741983,2510,2510
1558743902,2512,2512
1558745800,2512,2512
1558751614,2511,2511
1558753543,2510,2510
1558755407,2509,2509
1558759256,2509,2509
1558761157,2508,2508
1558763095,2508,2508
1558766936,2506,2506
1558768842,2502,2502
1558770796,2505,2505
1558772695,2505,2505
1558774595,2506,2506
1558776532,2507,2507
1558780586,2506,2506
1558782499,2505,2505
1558784439,2507,2507
1558786344,2505,2505
1558788280,2506,2506
1558790177,2504,2504
1558797860,2508,2508
1558799800,2508,2508
1558801730,2508,2508
1558809619,2507,2507
1558811557,2334,2334
1558813467,1627,1627
1558815388,944,944
1558817571,39,39
1558821725,40,40
1558823558,41,41
1558825497,40,40
1558827387,43,43
1558829315,43,43
1558831242,44,44
1558833145,45,45
1558835078,47,47
1558837015,47,47
1558838920,48,48
1558840851,50,50
1558844663,50,50
1558848545,753,753
1558850560,1576,1576
1558852399,2209,2209
1558854304,2524,2524
1558856187,2523,2523
1558858119,2523,2523
1558860024,2523,2523
1558863871,2522,2522
1558867748,2518,2518
1558869652,2518,2518
1558871566,2518,2518
1558873498,2518,2518
1558875412,2517,2517
1558877310,2516,2516
1558883117,2514,2514
1558884985,2512,2512
1558887187,2513,2513
1558891017,2514,2514
1558892902,2516,2516
1558896784,2517,2517
1558898693,2518,2518
1558900601,2523,2523
1558902501,2522,2522
1558906578,2523,2523
1558908512,2523,2523
1558910418,2522,2522
1558912361,2523,2523
1558914289,2523,2523
1558916449,2525,2525
1558920273,2524,2524
1558922195,2523,2523
1558924109,2523,2523
1558926153,2523,2523
1558927987,2523,2523
1558929937,2522,2522
1558931784,2523,2523
1558933757,2367,2367
1558935651,1501,1501
1558937837,736,736
1558939734,48,48
1558941659,49,49
1558943578,48,48
1558945475,47,47
1558949314,48,48
1558951408,48,48
1558955571,47,47
1558957469,46,46
1558959429,46,46
1558965378,47,47
1558970453,46,46
1558973457,44,44
1558978030,43,43
1558980635,42,42
1558982485,42,42
1558985238,41,41
1558988658,39,39
1558990539,43,43
1558992548,42,42
1558994592,42,42
1558996604,43,43
1558998533,41,41
1559000438,41,41
1559002371,38,38
1559006182,39,39
1559010273,37,37
1559014101,38,38
1559016202,39,39
1559018182,39,39
1559020094,37,37
1559022036,36,36
1559023940,37,37
1559027774,36,36
1559035462,35,35
1559037424,35,35
