DateTime,Entries,UniqueIPs
1548011587,30121,30121
1548033456,30142,30142
1548055729,30140,30140
1548077812,30143,30143
1548099861,30130,30130
1548121739,30132,30132
1548143771,30131,30131
1548165714,30122,30122
1548187962,22097,22097
1548209815,22109,22109
1548231887,20447,20447
1548253959,20449,20449
1548276059,20450,20450
1548298362,20453,20453
1548320484,12340,12340
1548342797,12404,12404
1548364862,12398,12398
1548387154,12578,12578
1548409215,12564,12564
1548431090,12550,12550
1548453136,12544,12544
1548475309,12544,12544
1548497307,12545,12545
1548519185,12622,12622
1548541223,12621,12621
1548563586,12629,12629
1548585432,12619,12619
1548607565,12677,12677
1548629574,12362,12362
1548651820,8359,8359
1548673747,8316,8316
1548695820,8327,8327
1548717891,8327,8327
1548740215,8324,8324
1548762255,8313,8313
1548784344,8282,8282
1548806250,8278,8278
1548828104,8273,8273
1548850365,8269,8269
1548872453,8257,8257
1548894506,8196,8196
1548916588,8186,8186
1548938453,8176,8176
1548960495,8132,8132
1548982342,8193,8193
1549004497,8158,8158
1549026524,7936,7936
1549048606,7941,7941
1549070652,7932,7932
1549092741,7931,7931
1549114594,7927,7927
1549136440,7635,7635
1549158522,7730,7730
1549180591,7721,7721
1549202489,7956,7956
1549224514,7746,7746
1549246365,4497,4497
1549268415,2881,2881
1549290284,2877,2877
1549312377,2902,2902
1549334449,2915,2915
1549356507,2900,2900
1549378966,2966,2966
1549401093,4289,4289
1549422994,4277,4277
1549445061,4270,4270
1549466912,4273,4273
1549488757,4306,4306
1549510834,4331,4331
1549532713,4434,4434
1549554739,4432,4432
1549576599,4443,4443
1549598500,4481,4481
1549620514,4477,4477
1549642575,4422,4422
1549664435,4431,4431
1549686279,4455,4455
1549708343,4457,4457
1549730437,4459,4459
1549752317,4437,4437
1549774352,4364,4364
1549796201,4183,4183
1549818131,4382,4382
1549840367,4397,4397
1549862412,4393,4393
1549884544,11862,11862
1549906577,12591,12591
1549928688,12587,12587
1549950787,12589,12589
1549972847,12586,12586
1549994703,12578,12578
1550016771,12584,12584
1550038832,12591,12591
1550060939,12584,12584
1550082992,11279,11279
1550105079,11280,11280
1550127168,11261,11261
1550149242,11149,11149
1550171315,11143,11143
1550193408,11144,11144
1550215464,11066,11066
1550237330,11062,11062
1550259197,11058,11058
1550281490,16413,16413
1550303585,16409,16409
1550325662,16417,16417
1550347960,16427,16427
1550370061,16454,16454
1550392115,16462,16462
1550413992,16442,16442
1550436025,16452,16452
1550457887,20025,20025
1550479982,21578,21578
1550502121,24847,24847
1550524123,25036,25036
1550546215,25082,25082
1550568302,25070,25070
1550590348,25090,25090
1550612442,25092,25092
1550634297,25077,25077
1550656392,25081,25081
1550678465,25080,25080
1550700776,25085,25085
1550722823,25073,25073
1550744682,25070,25070
1550766783,25085,25085
1550788818,25079,25079
1550810661,25084,25084
1550832527,25085,25085
1550854609,25105,25105
1550876506,22264,22264
1550898535,20658,20658
1550920401,20655,20655
1550942420,20732,20732
1550964286,20720,20720
1550986357,20701,20701
1551008452,20695,20695
1551030498,20702,20702
1551052414,38299,38299
1551074595,39804,39804
1551096777,38141,38141
1551118736,37149,37149
1551140686,37147,37147
1551162746,37124,37124
1551184818,37135,37135
1551206671,37135,37135
1551228731,30572,30572
1551250590,30567,30567
1551272486,30561,30561
1551294532,35539,35539
1551316594,42578,42578
1551338466,43542,43542
1551360528,43663,43663
1551382854,43663,43663
1551405179,43662,43662
1551427302,43655,43655
1551449305,43670,43670
1551471397,43669,43669
1551493261,43634,43634
1551515118,43635,43635
1551537196,43634,43634
1551559241,43963,43963
1551581296,43996,43996
1551603151,43989,43989
1551625008,43987,43987
1551646858,35143,35143
1551668788,26210,26210
1551690992,26327,26327
1551713076,26363,26363
1551735171,26191,26191
1551757234,26194,26194
1551779077,26200,26200
1551801164,26199,26199
1551823401,26202,26202
1551845331,26216,26216
1551867395,26212,26212
1551889484,25842,25842
1551913018,12194,12194
1551935106,10197,10197
1551957154,19814,19814
