DateTime,Entries,UniqueIPs
1547999571,6695,6695
1548021920,6703,6703
1548043937,6719,6719
1548065788,6726,6726
1548087675,6730,6730
1548109703,6728,6728
1548131587,6726,6726
1548153619,6721,6721
1548175485,6763,6763
1548197617,6766,6766
1548219697,6769,6769
1548241966,6773,6773
1548264059,6773,6773
1548285913,6771,6771
1548307966,6773,6773
1548330033,6774,6774
1548351881,6759,6759
1548373986,6763,6763
1548396123,6765,6765
1548418122,6758,6758
1548439991,6756,6756
1548462029,6758,6758
1548483878,6770,6770
1548505957,6769,6769
1548527811,6767,6767
1548549861,6772,6772
1548571978,6771,6771
1548605098,6847,6847
1548627145,6846,6846
1548649009,2478,2478
1548671085,1685,1685
1548692935,1691,1691
1548714996,1699,1699
1548737067,1699,1699
1548759172,1694,1694
1548781275,1647,1647
1548803119,1647,1647
1548825175,1647,1647
1548847035,1652,1652
1548869095,1651,1651
1548891411,1649,1649
1548913269,1649,1649
1548935329,1647,1647
1548957176,1650,1650
1548979026,1650,1650
1549011901,1653,1653
1549033958,1653,1653
1549056046,1659,1659
1549077897,1643,1643
1549099943,1646,1646
1549122015,1648,1648
1549143858,1318,1318
1549165702,1318,1318
1549187556,1312,1312
1549209419,1237,1237
1549231287,1233,1233
1549253585,1256,1256
1549275649,1258,1258
1549297871,1253,1253
1549319806,1264,1264
1549341868,1267,1267
1549363728,1263,1263
1549385794,2634,2634
1549407691,2644,2644
1549429804,2640,2640
1549451812,2639,2639
1549473685,2638,2638
1549495712,2674,2674
1549517574,2678,2678
1549539618,2682,2682
1549561712,2678,2678
1549583602,2707,2707
1549605741,2706,2706
1549627948,2736,2736
1549650041,2740,2740
1549671885,2744,2744
1549693737,2749,2749
1549715775,2750,2750
1549737881,2743,2743
1549759951,2745,2745
1549781881,2747,2747
1549803890,2536,2536
1549825934,2743,2743
1549847779,2752,2752
1549869634,2730,2730
1549891484,2728,2728
1549913587,2728,2728
1549935614,2726,2726
1549957458,2719,2719
1549979543,2718,2718
1550001405,2708,2708
1550023513,2709,2709
1550045551,2705,2705
1550067392,2704,2704
1550089240,1367,1367
1550111301,1364,1364
1550133158,1347,1347
1550155026,1342,1342
1550177080,1326,1326
1550198964,1330,1330
1550220973,1333,1333
1550242886,1327,1327
1550264952,1620,1620
1550287223,6342,6342
1550309074,6331,6331
1550330944,6335,6335
1550352975,6334,6334
1550374819,6332,6332
1550396677,6328,6328
1550418736,6308,6308
1550440838,6308,6308
1550462716,6306,6306
1550484749,8092,8092
1550506738,11181,11181
1550528664,11178,11178
1550550541,11176,11176
1550572609,11177,11177
1550594653,11182,11182
1550616504,11184,11184
1550638626,11188,11188
1550660681,11204,11204
1550682532,11208,11208
1550704605,11207,11207
1550726691,11203,11203
1550748779,11200,11200
1550770847,11201,11201
1550792715,11205,11205
1550814739,11217,11217
1550836838,11219,11219
1550858932,11222,11222
1550880795,7177,7177
1550902837,6788,6788
1550924685,6788,6788
1550946763,6791,6791
1550968604,6796,6796
1550990685,6796,6796
1551012777,6795,6795
1551034968,6796,6796
1551056927,6795,6795
1551078995,6794,6794
1551101107,2615,2615
1551123181,1315,1315
1551145241,1316,1316
1551167318,1321,1321
1551189405,1322,1322
1551211524,1319,1319
1551233552,1328,1328
1551255400,1327,1327
1551277246,1305,1305
1551299303,1307,1307
1551321421,1316,1316
1551343458,1322,1322
1551365551,1320,1320
1551387755,1326,1326
1551409963,1316,1316
1551432034,1315,1315
1551453894,1327,1327
1551475970,1330,1330
1551498045,1323,1323
1551519887,1320,1320
1551541753,1316,1316
1551563790,2325,2325
1551585687,2322,2322
1551607703,2322,2322
1551629845,2316,2316
1551651875,2315,2315
1551673964,2321,2321
1551695811,2320,2320
1551717860,2324,2324
1551739718,2324,2324
1551761823,2319,2319
1551783696,2315,2315
1551805731,2309,2309
1551827781,2312,2312
1551849854,2301,2301
1551871937,2300,2300
1551893808,2299,2299
1551915852,2299,2299
1551937694,2294,2294
1551959552,2416,2416
1551981405,2416,2416
1552003342,2418,2418
1552025293,2415,2415
1552047143,2390,2390
1552069257,2386,2386
1552091303,2385,2385
1552113395,2381,2381
1552135257,2384,2384
1552157300,2386,2386
1552179148,1420,1420
1552201365,1435,1435
1552223324,1434,1434
1552245398,1430,1430
1552267466,1430,1430
1552289306,1431,1431
1552311180,15962,15962
1552333242,15963,15963
1552355303,15960,15960
1552377190,15963,15963
1552399355,15959,15959
1552421320,16929,16929
1552443417,19810,19810
1552465469,19811,19811
1552487580,19813,19813
1552509640,19813,19813
1552531482,19811,19811
1552553561,19816,19816
1552575694,19816,19816
1552597716,19822,19822
1552619562,19828,19828
1552641655,19826,19826
1552663497,19824,19824
1552685572,19824,19824
1552707674,19824,19824
1552729705,19825,19825
1552751821,20711,20711
1552773900,20703,20703
1552795947,20700,20700
1552817804,20696,20696
1552839887,20698,20698
1552861971,20701,20701
1552884019,20700,20700
1552905901,11323,11323
1552927945,8006,8006
1552949804,8010,8010
1552971800,8015,8015
1552993973,8029,8029
1553016014,8025,8025
1553037876,4671,4671
1553059717,2789,2789
1553081797,2785,2785
1553103871,2787,2787
1553125945,2789,2789
