DateTime,AddedIPs,RemovedIPs
1557607956,3,0
1557609894,2,0
1557611794,1,2
1557613732,1,0
1557617798,2,1
1557621631,0,1
1557623811,1,1
1557625734,0,2
1557629554,0,1
1557631490,0,1
1557633409,1,0
1557639377,0,1
1557641306,3,1
1557643227,0,1
1557645143,0,1
1557647092,0,2
1557653067,3,0
1557656943,2,0
1557662723,0,1
1557666512,0,1
1557668451,0,1
1557674468,0,4
1557678300,1,0
1557680194,0,1
1557682125,2,2
1557684093,1,0
1557686008,0,1
1557687941,1,1
1557690077,0,1
1557692235,0,1
1557694131,0,4
1557696071,0,1
1557697947,0,2
1557699865,3,1
1557702979,1,1
1557704923,0,1
1557710682,1,1
1557712619,1,0
1557714768,1,0
1557716793,1,0
1557718616,1,0
1557720521,1,1
1557724386,1,0
1557726278,1,2
1557728213,0,1
1557730139,1,0
1557733957,1,0
1557737811,0,1
1557739744,0,2
1557743585,0,2
1557745540,1,0
1557753174,1,0
1557755093,3,0
1557757021,1,0
1557758877,1,0
1557762858,2,0
1557764687,0,1
1557766642,1,0
1557768552,1,2
1557770607,0,1
1557772611,1,0
1557774557,1,1
1557776426,1,0
1557782463,1,0
1557784345,1,0
1557786293,0,3
1557788213,0,1
1557793948,1,0
1557796137,2,1
1557798067,0,1
1557799986,2,1
1557804073,2,2
1557805947,1,1
1557807872,2,0
1557809797,1,0
1557811741,0,1
1557813735,1,1
1557815570,1,0
1557817567,1,1
1557819650,2,0
1557821551,0,1
1557825687,1,0
1557829470,1,0
1557831429,1,1
1557833309,1,0
1557835300,1,0
1557837171,1,0
1557839145,1,1
1557841001,0,2
1557842936,0,2
1557845093,2,1
1557848945,0,2
1557852806,0,1
1557854668,0,1
1557858533,1,1
1557860557,0,1
1557862396,0,1
1557864352,1,0
1557868154,2,1
1557870045,0,1
1557873906,1,0
1557875842,1,0
1557881606,0,3
1557887323,0,2
1557889401,1,1
1557891405,2,2
1557893597,1,1
1557895508,1,1
1557897439,0,1
1557899324,1,1
1557901282,0,1
1557903180,0,1
1557905117,1,2
1557906987,1,0
1557910958,2,0
1557912979,1,1
1557917061,1,1
1557919003,0,1
1557920934,1,2
1557924763,1,2
1557930521,1,0
1557932532,1,2
1557942023,1,0
1557943966,2,1
1557945860,1,0
1557949700,0,1
1557951657,1,0
1557955495,1,2
1557957377,1,0
1557961285,1,2
1557965094,1,0
1557970863,1,0
1557976621,0,1
1557978516,0,3
1557982339,0,1
1557986187,1,1
1557991987,2,1
1557993969,0,1
1557995792,2,0
1557997945,0,3
1557999858,2,0
1558001785,1,1
1558004164,1,0
1558006098,0,1
1558010205,1,0
1558012145,1,1
1558017864,0,2
1558022989,1,0
1558024850,1,0
1558028680,0,2
1558030620,2,1
1558032532,1,1
1558038282,3,1
1558042132,1,1
1558044209,0,1
1558046477,1,0
1558048382,2,1
1558050278,3,1
1558054656,1,0
1558056759,1,1
1558058749,5,0
1558062512,2,0
1558068284,1,0
1558072102,0,1
1558074031,1,0
1558075974,2,0
1558077879,1,2
1558081719,1,2
1558087502,1,3
1558089415,0,1
1558093490,1,0
1558097304,0,1
1558099221,1,1
1558101170,1,0
1558103065,2,0
1558105001,1,0
1558106926,1,0
1558109216,1,1
1558111252,1,1
1558115791,0,1
1558117714,2,1
1558119745,0,1
1558121576,1,0
1558123762,0,1
1558125631,2,2
1558127570,1,1
1558129474,1,0
1558131519,2,0
1558133859,0,2
1558135825,0,2
1558137925,1,2
1558141754,0,1
1558143886,0,3
1558145836,0,3
1558148210,1,1
1558150132,0,1
1558154443,0,1
1558156624,1,0
1558160482,0,1
1558162568,0,2
1558164515,0,1
1558168615,0,1
1558170522,1,0
1558172436,1,1
1558174362,1,0
1558178189,1,0
1558180105,0,1
1558183983,0,1
1558187807,0,1
1558189744,0,3
1558193802,0,1
1558195970,0,1
1558197914,2,0
1558199809,0,1
1558203676,1,1
1558205552,1,1
1558207472,0,1
1558211306,0,1
1558213373,1,2
1558215175,0,1
1558217070,0,1
1558219014,1,1
1558224748,1,1
1558228591,1,0
1558232441,1,1
1558234349,1,0
1558242193,1,0
1558244185,0,1
1558246118,1,0
1558253809,3,0
1558255699,1,0
1558257613,1,2
1558261458,0,1
1558263371,2,1
1558269182,1,0
1558272982,1,0
1558274921,1,0
1558278784,1,0
1558284506,1,2
1558286444,1,0
1558288477,1,0
1558290281,0,1
1558292192,0,1
1558296106,1,0
1558299909,3,1
1558303741,0,1
1558309493,1,0
1558311681,0,1
1558313544,2,0
1558315480,1,1
1558319308,0,1
1558321390,0,1
1558327497,1,0
1558329659,1,1
1558333488,0,1
1558339317,0,3
1558341201,1,0
1558343152,0,1
1558345011,0,1
1558346939,1,0
1558348854,0,1
1558350754,1,1
1558354604,2,1
1558356775,2,0
1558358669,3,1
1558360609,0,1
1558366370,1,1
1558368294,1,0
1558370204,0,1
1558372111,0,1
1558375957,0,1
1558377862,1,0
1558379789,2,0
1558381707,0,1
1558383652,3,0
1558385561,1,1
1558387473,0,2
1558393334,3,0
1558395185,0,1
1558399003,1,1
1558400925,0,1
1558402855,0,1
1558406683,1,0
1558408616,1,0
1558412464,0,1
1558416268,0,1
1558418205,1,0
1558420124,2,0
1558426110,1,0
1558428022,0,1
1558431853,1,0
1558433779,2,1
1558437635,0,1
1558439549,0,1
1558441470,2,1
1558443374,0,2
1558445311,0,3
1558449141,2,0
1558453248,0,1
1558455156,2,1
1558457005,1,0
1558462979,1,0
1558465016,1,1
1558466908,0,2
1558469004,0,1
1558471009,0,3
1558472944,1,0
1558479808,1,3
1558481811,1,0
1558485662,1,1
1558487549,1,0
1558491454,1,0
1558493328,2,1
1558495518,1,1
1558505169,0,2
1558507109,1,1
1558512772,0,1
1558518539,1,1
1558520441,1,2
1558526222,1,1
1558528117,1,1
1558530215,1,0
1558534147,1,1
1558536055,0,1
1558540388,1,1
1558542357,0,1
1558544168,0,1
1558546147,2,0
1558550948,0,2
1558554764,2,0
1558556670,1,0
1558558604,2,0
1558560531,0,1
1558562459,1,0
1558566296,0,1
1558568212,1,1
1558572048,0,1
1558573957,1,1
1558577817,1,1
1558579720,1,2
1558581669,0,1
1558585469,1,0
1558591536,1,0
1558593402,2,1
1558599414,2,0
1558601352,1,0
1558603247,1,0
1558605172,0,1
1558607084,0,1
1558609421,3,0
1558611412,2,1
1558615226,0,1
1558617417,1,1
1558621514,2,1
1558623395,1,0
1558625317,2,0
1558627377,2,1
1558633235,0,2
1558639030,3,0
1558640924,2,2
1558642868,4,1
1558644772,0,2
1558649021,0,1
1558654885,0,1
1558656801,2,0
1558660608,2,1
1558662543,1,0
1558664483,0,1
1558666397,0,1
1558672162,0,1
1558678114,0,2
1558680031,0,1
1558683926,1,0
1558685804,2,2
1558688006,2,1
1558689888,1,1
1558695766,0,3
1558697778,0,2
1558703793,1,1
1558705960,1,0
1558707876,1,2
1558709792,0,1
1558711736,0,2
1558713787,0,2
1558715822,1,0
1558719912,1,0
1558721815,1,0
1558725523,2,3
1558727548,1,2
1558729490,0,4
1558735543,1,0
1558743904,2,2
1558747711,2,3
1558749801,1,0
1558753545,1,0
1558763097,2,0
1558765026,1,0
1558766937,1,0
1558768844,2,0
1558770798,0,2
1558772697,2,2
1558774596,0,1
1558776534,0,1
1558780587,1,0
1558784441,1,0
1558786345,1,0
1558788281,3,0
1558790178,1,1
1558792141,0,1
1558795978,0,1
1558801732,0,1
1558803744,1,0
1558805769,0,1
1558807698,1,1
1558809620,1,0
1558811558,0,2
1558815389,0,1
1558817572,2,0
1558819462,1,0
1558821767,1,1
1558829556,0,2
1558833632,1,1
1558835574,1,1
1558837463,1,1
1558839375,1,0
1558841392,0,1
1558845168,1,0
1558847095,1,0
1558848989,1,2
1558852817,1,1
1558854749,0,3
1558856688,1,0
1558858607,1,2
1558862474,2,0
1558866286,1,0
1558868183,0,1
1558870120,1,1
1558873966,0,3
1558875892,0,2
1558879957,1,0
1558883829,1,0
1558885702,1,0
1558887620,1,0
1558889563,1,0
1558893387,0,1
1558895308,0,1
1558899396,1,0
1558901329,0,1
1558903231,2,2
1558905157,0,1
1558907066,2,0
1558908974,0,1
1558910922,1,0
1558912849,1,0
1558916664,2,0
1558920493,1,1
1558922576,2,2
1558924596,1,1
1558930393,0,1
1558932254,3,0
1558934200,0,2
1558936104,1,0
1558940211,0,1
1558944112,1,2
1558945969,2,0
1558947869,1,2
1558949772,1,0
1558951794,1,1
1558955572,3,1
1558957470,1,0
1558963496,2,0
1558967308,2,0
1558970454,2,2
1558973458,1,2
1558975842,2,1
1558978032,1,0
1558980636,2,0
1558982486,1,0
1558985239,1,1
1558988659,3,2
1558990540,1,0
1558992565,0,1
1558994594,1,1
1558996605,3,0
1558998534,1,2
1559002372,0,2
1559006183,1,1
1559008357,1,2
1559010274,2,1
1559014102,1,0
1559016204,1,0
1559018183,1,2
1559020095,0,1
1559022042,0,1
1559023941,1,0
1559027775,1,0
1559031630,1,1
1559033536,0,3
1559035463,1,0
1559037425,2,1
