DateTime,AddedIPs,RemovedIPs
1557339125,1,0
1557341078,1,0
1557346849,2,0
1557348799,1,2
1557350704,0,1
1557352594,0,1
1557355569,0,1
1557359277,1,0
1557361340,0,1
1557365111,1,0
1557369196,0,1
1557371380,2,0
1557373276,0,2
1557375194,1,0
1557379019,0,1
1557381175,0,1
1557385014,0,1
1557389025,1,0
1557392952,1,0
1557398949,2,2
1557400859,0,1
1557402807,0,1
1557404677,1,1
1557408719,1,0
1557414540,0,1
1557418619,0,2
1557422495,1,1
1557426515,1,1
1557428551,1,0
1557430385,1,0
1557432330,0,1
1557434220,0,2
1557446193,1,1
1557451957,1,1
1557454156,2,0
1557458252,1,2
1557460176,4,0
1557462051,0,1
1557473779,1,0
1557475736,0,1
1557477625,1,0
1557479556,0,1
1557485320,0,2
1557487254,1,0
1557491096,0,1
1557493052,1,0
1557494927,1,1
1557500781,2,0
1557502869,1,0
1557504763,1,0
1557506663,1,0
1557508631,1,1
1557512468,1,1
1557514349,0,1
1557516272,0,1
1557518186,1,0
1557525894,1,0
1557528392,1,0
1557530221,2,0
1557532122,0,1
1557537916,0,1
1557539803,1,1
1557541719,3,1
1557543814,0,1
1557545781,0,2
1557547725,0,2
1557555382,2,0
1557559230,0,1
1557563065,1,1
1557567040,1,0
1557574607,0,1
1557578468,1,1
1557580365,0,1
1557586115,0,1
1557588033,0,2
1557592106,0,1
1557594384,0,1
1557596221,0,1
1557598120,0,1
1557600282,1,0
1557602218,1,0
1557604153,1,1
1557611795,0,1
1557615789,0,3
1557617799,1,0
1557619708,1,0
1557625734,0,1
1557629555,0,3
1557631491,1,0
1557641307,1,2
1557649009,1,1
1557651175,1,0
1557653068,1,1
1557655018,1,0
1557664611,1,1
1557678301,1,0
1557684094,1,0
1557687942,2,2
1557690078,1,0
1557692236,0,1
1557694132,1,0
1557696072,1,0
1557702980,4,0
1557704924,0,2
1557706875,1,0
1557708771,2,0
1557716794,0,1
1557720522,1,0
1557728214,0,1
1557732056,1,0
1557735888,0,1
1557737813,0,1
1557739745,0,1
1557741757,0,1
1557751236,2,1
1557753175,1,0
1557764687,1,1
1557770609,0,1
1557774558,0,2
1557776427,0,1
1557780510,0,1
1557782464,0,1
1557788214,1,3
1557790104,0,1
1557793949,0,2
1557796138,1,1
1557799991,2,0
