DateTime,AddedIPs,RemovedIPs
1557887324,1,0
1557889402,0,1
1557893598,1,4
1557899326,2,2
1557901283,1,0
1557905119,1,1
1557906989,2,1
1557908921,1,1
1557910961,2,0
1557912980,2,0
1557917062,1,0
1557919005,1,0
1557920935,1,0
1557922847,0,2
1557926670,1,0
1557928578,1,1
1557930522,1,2
1557932541,2,0
1557934344,1,0
1557938197,2,0
1557940146,1,0
1557942025,1,2
1557943969,0,1
1557945861,1,1
1557949701,1,0
1557951659,0,1
1557953537,1,3
1557957378,2,0
1557959293,2,0
1557961287,4,1
1557963175,5,12
1557965096,2,3
1557967036,2,1
1557968936,1,1
1557970864,2,0
1557972810,2,1
1557978517,1,0
1557980455,1,1
1557984265,1,0
1557988123,0,1
1557991989,1,0
1557993971,1,1
1557995793,0,1
1557997947,2,3
1557999860,1,1
1558004165,2,1
1558006099,2,3
1558010207,5,0
1558012147,1,0
1558014022,1,0
1558015974,1,0
1558017865,1,0
1558019832,0,1
1558022991,4,1
1558024851,0,2
1558026765,3,1
1558028682,0,1
1558030622,0,2
1558032534,0,1
1558034438,1,1
1558036371,4,3
1558038284,0,1
1558040223,3,0
1558042133,2,0
1558044213,3,16
1558046482,2,1
1558048384,0,1
1558050280,3,2
1558052194,2,5
1558054657,1,1
1558056760,2,2
1558058751,1,2
1558060598,3,1
1558062513,0,1
1558064422,0,2
1558066374,1,0
1558068286,1,1
1558070203,2,0
1558075978,1,0
1558077880,0,1
1558079785,1,1
1558083675,1,1
1558085555,1,2
1558087505,0,1
1558089416,2,1
1558091566,0,3
1558093492,2,1
1558095394,0,1
1558097305,1,4
1558099223,2,1
1558101171,3,0
1558103066,1,1
1558105003,1,0
1558106927,1,1
1558109217,1,3
1558111253,2,1
1558113886,2,3
1558115793,4,0
1558119746,0,2
1558121577,0,2
1558123763,1,1
1558125633,1,1
1558127571,1,3
1558129475,1,1
1558131520,1,2
1558133861,2,1
1558135827,1,1
1558137927,0,2
1558139814,1,2
1558141755,1,0
1558143888,2,3
1558145837,2,1
1558148212,0,1
1558150134,2,2
1558152328,0,1
1558154444,0,2
1558156626,1,1
1558158563,0,2
1558160483,0,1
1558162569,1,1
1558166593,2,0
1558168617,0,2
1558178190,0,2
1558180106,0,2
1558182056,0,1
1558183984,3,0
1558185864,0,1
1558187809,0,1
1558189745,1,0
1558193803,2,0
1558195971,4,6
1558197916,2,1
1558199810,2,1
1558201720,1,2
1558203677,1,2
1558205554,1,1
1558207473,3,0
1558209397,1,0
1558211307,2,3
1558213375,1,3
1558215176,2,2
1558217071,1,2
1558219014,2,0
1558220947,1,3
1558222824,4,2
1558224749,3,0
1558226698,9,1
1558228592,4,1
1558230502,1,2
1558232442,1,1
1558234350,1,0
1558236266,3,0
1558238209,3,0
1558240119,4,0
1558242195,0,1
1558250022,0,1
1558251871,0,1
1558253810,1,0
1558255700,1,0
1558257614,2,0
1558259565,2,0
1558261459,1,0
1558263372,0,1
1558265301,1,0
1558267285,2,1
1558271078,1,1
1558272983,0,2
1558278787,2,1
1558280675,1,0
1558284507,0,1
1558286446,1,3
1558288479,1,1
1558290282,1,1
1558294130,0,2
1558296107,2,2
1558297963,0,3
1558299910,1,4
1558301789,2,6
1558303742,2,0
1558305630,2,2
1558307546,0,2
1558309496,3,1
1558311683,3,2
1558313545,3,1
1558315482,0,3
1558317415,1,1
1558319310,2,0
1558321402,0,2
1558323397,0,3
1558325586,1,4
1558327499,0,1
1558329661,1,0
1558331549,1,1
1558335405,0,1
1558337328,2,0
1558339318,1,1
1558341203,1,0
1558343154,2,1
1558345012,1,0
1558346941,1,2
1558348856,0,1
1558350756,1,1
1558352694,0,2
1558354606,1,1
1558356776,2,1
1558358670,1,1
1558360611,1,0
1558362511,1,0
1558364440,1,1
1558366372,1,3
1558370205,2,1
1558374042,1,0
1558375959,0,2
1558377864,0,1
1558379791,1,0
1558381709,1,1
1558383653,2,0
1558385563,3,0
1558387475,4,1
1558389419,0,2
1558391334,0,1
1558393338,3,0
1558395187,4,1
1558397092,5,3
1558399004,1,1
1558400926,1,2
1558402856,1,1
1558404755,0,4
1558406685,1,2
1558408618,0,1
1558410510,2,1
1558412466,0,1
1558414355,1,0
1558418206,2,1
1558420125,0,1
1558422159,1,2
1558424190,0,3
1558426112,0,2
1558428035,2,1
1558429943,0,2
1558431854,1,2
1558433780,0,2
1558435707,1,1
1558439550,1,1
1558441471,2,2
1558443375,1,2
1558445313,2,1
1558447360,0,2
1558449418,1,2
1558451331,0,1
1558453249,0,2
1558455157,2,0
1558457006,1,2
1558459008,1,2
1558460929,3,2
1558466910,3,1
1558469005,2,2
1558471011,0,4
1558472946,1,1
1558474833,1,2
1558476763,1,0
1558479810,0,3
1558481812,3,4
1558483725,2,2
1558485663,1,0
1558487550,4,1
1558489482,4,0
1558491456,1,1
1558493329,0,1
1558495520,3,0
1558499342,1,0
1558501386,2,2
1558503189,1,0
1558505171,1,2
1558507111,1,2
1558508994,0,1
1558512773,1,0
1558514719,0,2
1558518541,1,0
1558522401,2,2
1558524321,3,0
1558526224,0,2
1558528119,1,4
1558530217,2,2
1558532230,2,1
1558536057,5,2
1558538574,9,0
1558540390,6,0
1558542358,1,2
1558544170,0,1
1558546149,1,1
1558548138,2,5
1558550951,2,1
1558552860,1,2
1558554766,1,4
1558556672,1,1
1558558606,2,0
1558560532,0,3
1558562461,5,0
1558564380,3,2
1558566298,2,0
1558568213,2,0
1558570134,6,5
1558572050,1,2
1558573958,0,3
1558575877,2,4
1558579721,0,1
1558581670,2,1
1558583556,2,2
1558585470,1,0
1558587411,1,2
1558589314,1,2
1558591539,1,1
1558593404,0,1
1558595564,0,1
1558601354,0,1
1558603249,2,0
1558605173,2,2
1558611414,1,0
1558613351,2,2
1558615227,0,1
1558617418,0,1
1558619326,0,2
1558621516,4,0
1558623397,1,6
1558625319,1,4
1558629288,0,1
1558631239,1,1
1558633236,1,2
1558635167,3,2
1558637099,0,2
1558639032,1,1
1558640925,1,1
1558642869,2,1
1558644773,1,3
1558646927,3,2
1558649040,2,2
1558651017,1,3
1558652956,1,0
1558654886,4,1
1558656803,0,7
1558658676,1,2
1558660610,6,1
1558662544,2,0
1558666398,4,1
1558670207,0,2
1558672163,1,2
1558674205,0,1
1558676198,1,0
1558678115,0,1
1558680033,1,6
1558681972,0,2
1558685805,0,1
1558689889,3,2
1558691808,2,2
1558695767,2,0
1558697779,1,0
1558701652,0,1
1558703794,4,2
1558705962,2,2
1558707877,1,3
1558709793,0,1
1558711738,2,1
1558713793,3,0
1558715823,1,0
1558717739,1,1
1558719913,0,1
1558721816,2,2
1558723711,1,0
1558725524,1,0
1558727549,1,1
1558729491,0,3
1558731389,3,1
1558733597,4,3
1558735546,2,2
1558738214,1,1
1558740042,1,0
1558741987,1,1
1558743905,1,1
1558745803,31,0
1558747712,2,1
1558749802,3,1
1558751617,1,0
1558753546,0,2
1558755410,4,0
1558757339,1,0
1558759259,1,1
1558761160,1,0
1558763098,3,2
1558765028,0,1
1558768845,1,0
1558774598,0,1
1558776535,0,1
1558778558,0,1
1558782505,2,1
1558784442,1,1
1558788282,1,2
1558790180,1,3
1558794058,1,1
1558795979,1,0
1558797863,0,2
1558801733,3,2
1558803746,1,0
1558805787,0,1
1558807700,2,3
1558809622,1,0
1558811560,2,2
1558813470,1,1
1558815391,3,0
1558817574,0,2
1558819463,2,4
1558821787,1,2
1558823816,2,1
1558827639,3,1
1558831728,3,0
1558833633,1,12
1558835576,1,27
1558837465,2,1
1558839377,1,0
1558841393,0,1
1558843289,2,1
1558847098,1,0
1558848990,1,1
1558850939,0,3
1558856690,1,1
1558858608,0,1
1558860523,0,4
1558864363,0,1
1558866288,0,1
1558868185,0,1
1558870137,5,1
1558872081,1,1
1558873968,1,0
1558878048,2,1
1558879959,3,0
1558883836,1,1
1558885704,1,1
1558887621,2,2
1558889565,1,1
1558891501,0,1
1558893391,0,2
1558895309,0,2
1558897405,1,3
1558901331,1,1
1558903234,2,2
1558905158,2,1
1558907067,3,4
1558908976,1,1
1558910923,6,1
1558912851,3,3
1558914779,2,1
1558916666,1,3
1558918574,2,2
1558920494,1,1
1558924598,3,0
1558926538,0,1
1558928423,2,2
1558930395,1,4
1558932256,0,2
1558934201,0,1
1558936106,0,1
1558938286,0,1
1558940213,2,1
1558942122,0,1
1558944134,2,0
1558945971,1,0
1558947870,1,0
1558955574,0,1
1558957471,1,1
1558959442,1,2
1558963500,0,4
1558965381,1,1
1558967309,1,2
1558970456,1,2
1558975843,2,2
1558978034,1,1
1558980638,3,0
1558982488,1,2
1558985241,4,1
1558988660,3,2
1558990543,2,0
1558992568,5,1
1558994595,0,2
1558996606,1,0
1558998536,4,3
1559000441,1,1
1559002373,2,1
1559004273,4,0
1559006184,3,0
1559008359,7,3
1559010275,0,3
1559012222,2,0
1559016205,1,1
1559022043,1,1
1559027776,2,1
1559029708,1,0
1559031631,2,3
1559033537,1,1
1559035464,1,1
1559037426,2,0
