DateTime,Entries,UniqueIPs
1550651056,4,4
1550670262,5,5
1550689957,6,6
1550711587,5,5
1550715392,4,4
1550727158,3,3
1550738681,2,2
1550756669,1,1
1550774186,0,0
1550785937,1,1
1550794380,3,3
1550798197,113,113
1550800119,1041,1041
1550802052,2428,2428
1550803972,3688,3688
1550845050,3689,3689
1550870415,3690,3690
1550872375,3691,3691
1550882179,3692,3692
1550886259,2822,2822
1550888197,1547,1547
1550890106,4,4
1550931177,3,3
1550956582,2,2
1550958511,1,1
1550966183,0,0
1550975066,1,1
1550982754,2,2
1551007980,3,3
1551062675,2,2
1551068697,1,1
1551092582,0,0
1551098927,1,1
1551121164,3,3
1551134933,4,4
1551136866,5,5
1551168148,6,6
1551185804,5,5
1551189764,6,6
1551208871,4,4
1551219235,5,5
1551222236,4,4
1551224175,3,3
1551252993,2,2
1551274591,1,1
1551284455,2,2
1551298429,80,80
1551306073,79,79
1551318023,705,705
1551319975,1794,1794
1551321889,3533,3533
1551323782,3758,3758
1551333408,3759,3759
1551385739,3700,3700
1551403466,3524,3524
1551405408,2491,2491
1551407348,1135,1135
1551409320,1,1
1551418604,0,0
1551426277,1,1
1551442391,2,2
1551493747,3,3
1551503808,4,4
1551513404,3,3
1551529267,2,2
1551555328,3,3
1551580836,2,2
1551592593,1,1
1551612035,2,2
1551623806,3,3
1551641319,2,2
1551697729,1,1
1551705507,0,0
1551738531,1,1
1551740726,2,2
1551817705,3,3
1551825375,2,2
1551827330,1,1
1551881810,79,79
1551905095,78,78
1551910900,79,79
1551930516,80,80
1551944001,81,81
1551968959,3,3
1551995800,2,2
1552017678,1,1
1552029147,0,0
1552061374,1,1
1552068980,2,2
1552070911,4,4
1552082570,5,5
1552099955,6,6
1552147934,5,5
1552153945,4,4
1552157793,2,2
1552169552,1,1
1552182997,0,0
1552239639,1,1
1552254979,2,2
1552266761,3,3
1552280226,4,4
1552288354,5,5
1552326982,4,4
1552342064,3,3
1552353912,2,2
1552365651,1,1
1552373330,0,0
1552406709,1,1
1552457079,2,2
1552493809,1,1
1552507496,2,2
1552553825,3,3
1552563644,4,4
1552592926,3,3
1552602674,4,4
1552630156,5,5
1552637786,4,4
1552641658,3,3
1552649791,2,2
1552686733,3,3
1552690072,2,2
1552699730,3,3
1552715321,2,2
1552772905,1,1
1552785149,0,0
1552796668,1,1
1552829783,2,2
1552866368,3,3
1552883812,2,2
1552907094,3,3
1552910942,4,4
1552916661,3,3
1552918585,4,4
1552942621,5,5
1552952448,4,4
1552993018,3,3
1552998980,2,2
1553005000,1,1
1553026362,0,0
1553119736,1,1
1553131264,2,2
1553191336,3,3
1553207078,2,2
1553216921,1,1
1553228465,2,2
1553267584,3,3
1553271435,4,4
1553297074,3,3
1553314822,3,3
1553352506,2,2
1553360204,3,3
1553364274,2,2
1553399097,3,3
1553401003,2,2
1553446129,1,1
1553448030,2,2
1553467715,3,3
1553486249,2,2
1553494150,3,3
1553499882,4,4
1553505635,5,5
1553509488,6,6
1553521275,7,7
1553531090,9,9
1553534940,8,8
1553545022,9,9
1553554626,8,8
1553577876,9,9
1553579804,8,8
1553585791,7,7
1553591576,6,6
1553595651,5,5
1553607381,4,4
1553617257,2,2
1553630696,1,1
1553656118,2,2
1553659957,3,3
1553663785,2,2
1553742225,1,1
1553744195,0,0
1553759083,1,1
1553810682,2,2
1553812661,3,3
1553814539,4,4
1553818389,5,5
1553837597,6,6
1553841393,7,7
1553847181,6,6
1553854862,7,7
1553856770,9,9
1553895648,8,8
1553901422,7,7
1553903583,6,6
1553907413,5,5
1553923475,6,6
1553925420,5,5
1553927303,4,4
1553940978,3,3
1553942907,2,2
1553944836,1,1
1553973888,2,2
1554008918,3,3
1554010851,2,2
1554068911,1,1
1554093380,0,0
1554184125,1,1
1554193706,3,3
1554199498,4,4
1554270510,3,3
1554280153,2,2
1554286120,1,1
1554326935,2,2
1554368050,1,1
1554410449,0,0
1554420994,1,1
1554428914,2,2
1554508988,1,1
1554513173,0,0
1554540765,1,1
1554626413,0,0
1554726553,41,41
1554728504,80,80
1554736404,81,81
1554747875,82,82
1554749796,83,83
1554755564,86,86
1554764649,87,87
1554772381,88,88
1554813403,8,8
1554834509,7,7
1554842309,3,3
1554849988,2,2
1554859507,1,1
1554863343,2,2
1554881308,3,3
1554900775,2,2
1554950685,1,1
1554966273,0,0
1554992362,1,1
1555069945,2,2
1555079553,1,1
1555127585,2,2
1555156629,1,1
1555176049,2,2
1555212994,1,1
1555216839,2,2
1555261345,1,1
1555299895,0,0
1555374494,1,1
1555376510,4,4
1555378366,5,5
1555382184,6,6
1555384112,7,7
1555386020,9,9
1555391779,10,10
1555393700,11,11
1555399475,12,12
1555401385,13,13
1555403289,14,14
1555405297,15,15
1555409421,16,16
1555434757,17,17
1555450878,18,18
1555462382,14,14
1555464286,13,13
1555468138,12,12
1555470333,11,11
1555472196,9,9
1555478511,8,8
1555480380,7,7
1555486296,6,6
1555488330,4,4
1555490206,3,3
1555495963,3,3
1555505612,6,6
1555507486,10,10
1555509424,12,12
1555517408,13,13
1555521179,12,12
1555538628,11,11
1555540900,12,12
1555546603,13,13
1555582366,12,12
1555592257,11,11
1555596092,10,10
1555599923,8,8
1555603760,5,5
1555605613,2,2
1555611905,3,3
1555626166,2,2
1555635919,1,1
1555641684,2,2
1555676468,3,3
1555697850,3,3
1555727082,2,2
1555763103,1,1
1555782752,0,0
1555796672,1,1
1555881864,0,0
1555890045,1,1
1555893870,2,2
1555950035,3,3
1555978377,2,2
1555980303,1,1
1556017020,2,2
1556024937,3,3
1556036613,2,2
1556076996,3,3
1556104151,2,2
1556110111,1,1
1556161746,0,0
1556276917,1,1
1556361911,0,0
1556385402,1,1
1556470597,0,0
1556621086,1,1
1556626855,2,2
1556708715,1,1
1556710611,0,0
1556717779,1,1
1556729303,2,2
1556731245,3,3
1556805270,2,2
1556815005,0,0
1556860582,1,1
1556868305,2,2
1556898527,3,3
1556948442,2,2
1556954204,1,1
1556983254,0,0
1556996919,2,2
1557060506,3,3
1557083581,1,1
1557145469,0,0
1557318770,1,1
1557379020,2,2
1557383078,3,3
1557406617,2,2
1557451958,753,753
1557454157,2044,2044
1557456038,3266,3266
1557458253,3767,3767
1557473781,3766,3766
1557475737,3765,3765
1557485321,3766,3766
1557537917,3283,3283
1557539804,2008,2008
1557541720,1098,1098
1557543815,1,1
1557580366,0,0
1557603855,1,1
1557613733,2,2
1557692237,2,2
1557699867,1,1
1557749328,2,2
1557778620,1,1
1557788215,2,2
1557796140,3,3
1557845094,2,2
1557862398,3,3
1557873908,2,2
1557879667,4,4
1557881608,3,3
1557885412,5,5
1557887325,7,7
1557889403,8,8
1557891407,10,10
1557895510,11,11
1557897440,14,14
1557899326,15,15
1557910962,16,16
1557915152,17,17
1557919005,18,18
1557936493,19,19
1557949972,18,18
1557959783,214,214
1557961699,1213,1213
1557963663,2683,2683
1557965567,3781,3781
1557967459,3780,3780
1557973215,3777,3777
1557975137,3775,3775
1557977064,3774,3774
1557982869,3772,3772
1557984736,3769,3769
1557998212,3769,3769
