DateTime,AddedIPs,RemovedIPs
1558659619,5,8
1558660357,9,10
1558661077,7,12
1558661798,8,13
1558662494,12,8
1558663220,14,0
1558663936,12,11
1558664650,4,8
1558665375,5,13
1558666089,2,0
1558666840,16,11
1558667532,3,0
1558668266,8,15
1558668968,8,0
1558669960,9,14
1558670676,8,11
1558671401,5,2
1558672118,4,4
1558672835,5,2
1558673552,2,4
1558674522,7,4
1558675208,3,5
1558675948,5,5
1558676649,7,4
1558677369,7,1
1558678091,4,4
1558678811,4,6
1558679562,7,3
1558680274,6,4
1558680997,4,4
1558681693,6,4
1558682410,6,8
1558683135,4,0
1558683876,4,15
1558684567,5,0
1558685318,3,4
1558686030,7,3
1558686758,10,7
1558687478,1,6
1558688168,5,5
1558688919,4,9
1558689607,6,1
1558690337,8,5
1558691049,6,2
1558691778,4,6
1558692494,1,7
1558693215,4,6
1558693936,3,3
1558694656,5,9
1558695376,6,6
1558696096,3,0
1558696808,7,3
1558697536,7,9
1558698258,3,2
1558699281,13,3
1558700186,5,3
1558700887,7,4
1558701615,7,2
1558702584,5,4
1558703339,3,4
1558704036,9,3
1558704770,6,4
1558705476,4,2
1558706192,9,1
1558706925,1,11
1558707632,7,0
1558708361,5,9
1558709050,2,1
1558709769,15,2
1558710495,4,4
1558711216,8,3
1558711938,3,4
1558712654,5,4
1558713372,3,3
1558714123,3,16
1558714809,4,0
1558715787,6,0
1558716494,4,7
1558717227,3,2
1558717941,3,4
1558718653,1,4
1558719400,5,6
1558720095,5,6
1558720820,8,5
1558721529,0,6
1558722273,8,7
1558723480,8,12
1558724171,3,3
1558724893,3,0
1558725858,6,8
1558726605,3,7
1558727291,5,4
1558728039,5,5
1558728732,3,13
1558729455,6,6
1558730168,5,3
1558730892,6,5
1558731639,5,3
1558732356,6,6
1558733052,7,2
1558733772,5,3
1558734492,4,6
1558735214,4,4
1558735933,3,8
1558736653,5,6
1558738617,14,17
1558739291,3,0
1558740010,9,10
1558740733,7,0
1558741451,3,10
1558742167,3,3
1558742923,8,5
1558743624,6,9
1558744341,4,5
1558745049,6,2
1558745771,2,8
1558746490,4,4
1558747232,11,9
1558747959,13,9
1558748678,11,9
1558749372,11,9
1558750126,6,10
1558750807,6,10
1558751560,2,9
1558752272,3,5
1558752991,6,6
1558753716,9,9
1558754435,10,7
1558755158,8,9
1558755878,4,9
1558756566,6,7
1558757292,5,8
1558758009,7,5
1558758738,0,5
1558759452,4,1
1558760171,5,5
1558760892,2,0
1558761617,6,9
1558762332,4,0
1558763056,2,8
1558763766,4,0
1558764519,1,10
1558765247,6,4
1558765962,4,0
1558766651,5,5
1558767379,3,6
1558768117,6,6
1558768813,3,4
1558769533,3,0
1558770253,5,6
1558771244,4,6
1558771937,6,2
1558772653,6,4
1558773371,4,5
1558774116,5,6
1558774839,7,6
1558775530,5,6
1558776257,4,5
1558776969,3,2
1558777717,7,3
1558778440,2,0
1558779155,5,1
1558779852,8,6
1558780573,10,2
1558781292,4,7
1558782020,8,2
1558782742,4,9
1558783452,7,4
1558784171,5,2
1558784890,9,8
1558785640,5,0
1558786331,6,7
1558787057,3,7
1558787768,4,4
1558788495,1,6
1558789217,7,6
1558789957,2,8
1558790677,5,3
1558791395,4,4
1558792120,5,7
1558792842,3,5
1558793539,13,4
1558794251,6,2
1558794971,4,5
1558795961,6,4
1558796663,5,2
1558797371,8,9
1558798090,7,2
1558798810,10,7
1558799536,1,6
1558800252,8,2
1558800998,5,5
1558801713,5,9
1558802440,5,4
1558803158,8,2
1558803851,4,2
1558804574,7,5
1558805287,6,0
1558806431,4,6
1558807221,4,5
1558807957,8,3
1558808651,9,0
1558809371,6,12
1558810094,5,9
1558810831,7,1
1558811542,7,10
1558812280,2,4
1558813240,1,4
1558813941,5,4
1558814655,3,3
1558815372,6,6
1558816101,6,7
1558816809,3,9
1558817556,4,2
1558818256,5,8
1558818975,3,2
1558819717,13,7
1558820435,7,5
1558821155,2,6
1558822123,3,6
1558822811,5,8
1558823542,2,16
1558824252,3,0
1558824978,6,0
1558825719,0,8
1558826410,3,9
1558827133,7,4
1558827852,4,5
1558828577,8,5
1558829773,8,4
1558830490,13,5
1558831220,5,11
1558831932,4,1
1558832682,6,4
1558833397,1,3
1558834121,11,14
1558834838,5,10
1558835559,13,8
1558836276,8,13
1558836999,9,10
1558837715,7,5
1558838433,5,1
1558839156,5,3
1558839854,7,9
1558840571,8,10
1558841292,4,6
1558842008,6,11
1558842739,8,2
1558843450,5,9
1558844179,9,5
1558844886,5,2
1558845635,1,0
1558846352,8,6
1558847081,3,4
1558847795,5,2
1558848516,8,6
1558849232,4,4
1558849956,4,8
1558850926,4,4
1558851607,3,0
1558852364,2,9
1558853073,5,2
1558853797,0,2
1558854515,2,0
1558855234,3,5
1558855960,9,5
1558856677,7,9
1558857366,5,0
1558858100,4,4
1558858824,5,7
1558859544,4,2
1558860253,4,3
1558860974,4,1
1558861700,4,4
1558862445,3,8
1558863132,1,3
1558863854,4,3
1558864568,2,5
1558865551,6,2
1558866275,4,6
1558866993,2,9
1558867722,4,2
1558868440,7,4
1558869132,4,0
1558869852,3,10
1558870574,4,6
1558871299,9,8
1558872010,1,0
1558872762,1,9
1558873479,6,1
1558874169,5,5
1558874919,5,6
1558875630,3,5
1558876331,3,0
1558877054,3,3
1558878019,3,6
1558878733,2,7
1558879459,2,2
1558880170,3,6
1558880897,9,8
1558881633,5,9
1558882355,3,0
1558883090,2,8
1558883810,5,4
1558884513,9,2
1558885236,7,5
1558885956,4,2
1558886656,6,5
1558887376,4,0
1558888090,12,11
1558888814,6,4
1558889533,6,7
1558890523,11,9
1558891207,6,1
1558891956,6,8
1558892677,7,0
1558893373,4,2
1558894017,5,5
1558894837,9,2
1558895554,2,6
1558896276,7,4
1558896969,4,4
1558897723,6,8
1558898407,7,5
1558899135,4,6
1558899854,5,7
1558900580,2,2
1558901315,6,6
1558902048,7,13
1558902757,2,5
1558903476,8,10
1558904172,4,2
1558904891,3,6
1558905613,9,6
1558906333,4,8
1558907055,4,6
1558907770,3,1
1558908494,5,0
1558909207,5,6
1558909937,3,5
1558910656,3,15
1558911393,7,3
1558912124,3,2
1558912836,6,4
1558913556,7,8
1558914275,5,2
1558914968,2,0
1558915966,8,7
