DateTime,AddedIPs,RemovedIPs
1558659619,56,29
1558660357,21,56
1558661077,58,28
1558661798,27,38
1558662494,40,53
1558663220,61,31
1558663936,32,38
1558664650,35,33
1558665375,27,61
1558666089,48,15
1558666840,34,22
1558667532,15,54
1558668266,32,25
1558668968,28,23
1558669960,44,25
1558670676,24,31
1558671401,17,42
1558672118,29,14
1558672835,16,28
1558673552,23,207
1558674522,214,28
1558675208,25,23
1558675948,46,15
1558676649,19,30
1558677369,36,32
1558678091,28,48
1558678811,31,28
1558679562,37,28
1558680274,35,31
1558680997,28,23
1558681693,21,36
1558682410,43,32
1558683135,50,17
1558683876,12,61
1558684567,44,14
1558685318,25,15
1558686030,26,40
1558686758,48,22
1558687478,15,31
1558688168,23,41
1558688919,27,43
1558689607,35,28
1558690337,54,19
1558691049,26,44
1558691778,31,32
1558692494,28,35
1558693215,39,44
1558693936,64,14
1558694656,15,59
1558695376,58,28
1558696096,28,19
1558696808,23,44
1558697536,32,21
1558698258,15,19
1558699281,62,44
1558700186,26,288
1558700887,274,26
1558701615,24,268
1558702584,272,29
1558703339,37,272
1558704036,276,82
1558704770,68,295
1558705476,288,19
1558706192,32,42
1558706925,28,33
1558707632,49,40
1558708361,40,19
1558709050,26,31
1558709769,41,37
1558710495,44,18
1558711216,33,56
1558711938,31,26
1558712654,27,58
1558713372,60,28
1558714123,21,78
1558714809,91,28
1558715787,30,53
1558716494,40,34
1558717227,64,32
1558717941,33,49
1558718653,33,42
1558719400,34,16
1558720095,32,44
1558720820,53,35
1558721529,38,26
1558722273,33,30
1558723480,35,57
1558724171,44,36
1558724893,26,19
1558725858,32,62
1558726605,33,32
1558727291,34,34
1558728039,37,18
1558728732,16,43
1558729455,35,31
1558730168,39,32
1558730892,32,43
1558731639,43,32
1558732356,31,47
1558733052,41,37
1558733772,36,49
1558734492,26,30
1558735214,21,36
1558735933,31,15
1558736653,30,33
1558738617,51,63
1558739291,19,50
1558740010,63,18
1558740733,24,42
1558741451,32,21
1558742167,26,22
1558742923,32,39
1558743624,33,22
1558744341,17,42
1558745049,33,36
1558745771,25,20
1558746490,31,275
1558747232,280,29
1558747959,40,33
1558748678,28,29
1558749372,45,267
1558750126,267,44
1558750807,34,37
1558751560,29,30
1558752272,27,19
1558752991,24,50
1558753716,33,37
