DateTime,AddedIPs,RemovedIPs
1557817495,3,7
1557820333,12,5
1557821449,6,12
1557823032,6,11
1557824873,6,23
1557826359,4,1
1557827791,4,1
1557829115,10,20
1557830252,3,1
1557832249,3,17
1557833918,5,0
1557836129,12,22
1557837547,2,2
1557840491,5,25
1557841846,10,20
1557844651,12,8
1557846210,5,18
1557847621,1,2
1557849154,9,5
1557850605,4,15
1557851914,6,10
1557856459,17,56
1557858005,3,8
1557860915,12,5
1557863200,9,48
1557867832,13,24
1557869010,7,2
1557870239,8,1
1557873861,15,27
1557875555,6,1
1557879130,7,34
1557884647,10,56
1557886452,7,8
1557888705,13,6
1557892570,24,16
1557894012,7,0
1557895717,10,5
1557897462,10,7
1557899077,13,27
1557901414,13,9
1557904513,14,9
1557905959,2,0
1557907510,6,4
1557909788,11,6
1557911216,2,9
1557913522,6,6
1557916452,11,4
1557918554,4,8
1557919760,4,0
1557920911,5,1
1557922134,9,2
1557924295,21,16
1557927851,18,4
1557930198,9,3
1557931622,12,1
1557936317,19,27
1557938790,11,8
1557940802,14,3
1557942232,4,9
1557946633,24,5
1557949042,12,5
1557950703,4,17
1557955380,11,12
1557957245,8,1
1557960161,9,14
1557962592,4,4
1557966198,9,6
1557968238,0,8
1557969423,3,2
1557974261,7,6
1557976669,3,11
1557979009,4,6
1557980858,3,11
1557983844,7,8
1557989007,12,25
1557990292,4,5
1557991913,5,2
1557996188,7,6
1557997963,2,13
1557999900,5,6
1558002444,11,0
1558006750,4,12
1558008669,4,11
1558010677,9,5
1558012068,4,2
1558015877,11,14
1558018143,11,2
1558019674,2,4
1558021396,2,15
1558025084,13,8
1558027656,13,6
1558029794,6,2
1558032316,11,15
1558034096,8,8
1558035450,5,2
1558037479,8,11
1558039955,11,8
1558041860,2,4
1558045825,12,13
1558051651,15,17
1558055930,11,4
1558060110,9,23
1558069084,22,31
1558070520,1,5
1558071878,1,23
1558074685,5,3
1558077102,13,9
1558079550,9,3
1558080855,3,4
1558082552,5,8
1558084035,5,9
1558086156,4,11
1558088985,4,5
1558092291,6,6
1558093840,2,1
1558097226,15,46
1558101569,14,14
1558102928,13,9
1558105346,7,2
1558107863,8,29
1558109406,5,12
1558110578,5,3
1558113670,14,19
1558117839,15,17
1558119593,9,20
1558121622,5,1
1558122779,6,18
1558124078,8,10
1558126213,6,1
1558127594,7,10
1558130944,14,19
1558132165,7,1
1558133378,2,4
1558134953,5,1
1558136712,3,4
1558142880,13,5
1558144797,9,4
1558146758,7,2
1558148185,11,7
1558151250,15,4
1558155902,20,23
1558161776,27,14
1558163196,6,2
1558166875,9,7
1558168024,7,3
1558169218,9,24
1558171051,10,5
1558172682,5,2
1558173950,2,3
1558175055,5,2
1558180727,21,14
1558182210,4,3
1558183579,11,2
1558185028,3,7
1558187194,11,10
1558192312,16,6
1558194160,6,12
1558199099,20,14
1558200243,3,0
1558201483,6,1
1558203009,9,2
1558205035,7,16
1558210220,23,10
1558211862,9,2
1558213471,6,2
1558216362,12,2
1558218080,7,1
1558223067,9,17
1558224713,7,0
1558226236,5,2
1558229281,9,3
1558230803,5,6
1558236345,26,4
1558237843,7,9
1558240638,12,1
1558247211,16,17
1558248835,5,16
1558250185,2,3
1558251491,4,1
1558253622,8,3
1558255046,7,3
1558256990,3,10
1558258696,9,0
1558260207,5,4
1558262563,14,3
1558264632,4,4
1558270117,15,23
1558271561,3,2
1558273943,2,3
1558275281,5,12
1558280277,12,22
1558281829,4,21
1558284215,3,9
1558285778,2,7
1558287043,6,3
1558289199,4,4
1558293650,10,18
1558295037,22,13
1558301819,26,14
1558303758,4,19
1558305356,5,1
1558307388,6,10
1558310326,4,6
1558312066,5,0
1558315922,9,10
1558318766,3,22
1558321847,8,16
1558323779,2,0
1558326726,5,6
1558328667,5,23
1558332594,8,6
1558333805,4,1
1558335362,2,5
1558337137,9,3
1558338847,7,4
1558340518,5,5
1558342162,4,7
1558344805,8,10
1558346157,5,10
1558348067,6,5
1558349353,1,14
1558352735,17,15
1558354416,6,7
1558356414,11,4
1558357897,2,7
1558360324,5,9
1558361684,4,4
1558362898,4,1
1558364343,5,0
1558365540,2,6
1558369409,12,24
1558370680,4,9
1558372218,5,8
1558374382,7,7
1558377551,11,14
1558381561,9,22
1558383383,9,9
1558387219,12,9
1558388372,6,1
1558390244,5,7
1558392744,9,16
1558401141,24,38
1558402615,4,0
1558404646,8,10
1558408271,18,17
1558412578,20,8
1558415498,4,5
1558420305,16,12
1558421509,3,0
1558423653,3,4
1558426158,6,5
1558428715,11,16
1558430105,5,5
1558431822,4,13
1558433600,9,4
1558435008,6,1
1558436631,5,3
1558439464,8,6
1558441270,7,11
1558442525,6,2
1558444248,3,8
1558445521,6,0
1558446955,5,6
1558448582,5,0
1558449854,2,15
1558451788,9,8
1558453493,1,4
1558456245,8,2
1558458702,9,6
1558460693,5,0
1558463904,11,8
1558467081,13,13
1558469709,9,15
1558472196,6,1
1558474385,6,13
1558475822,3,12
1558479587,15,11
1558481346,10,8
1558485765,13,3
1558490622,25,18
1558491772,8,3
1558499412,24,10
1558500787,3,9
1558504234,5,10
1558505901,2,2
1558508799,13,5
1558511046,7,2
1558514313,10,8
1558516232,7,10
1558518763,7,6
1558520542,10,6
1558524069,15,9
1558525767,5,13
1558527939,11,5
1558529556,4,5
1558530895,2,4
1558532166,4,1
1558534001,11,8
1558535230,7,12
1558536741,3,11
1558538688,13,4
1558539952,2,14
1558541251,5,0
1558542782,10,1
1558544951,8,9
1558546301,6,1
1558548618,10,10
1558551592,26,10
1558554334,14,13
1558556537,19,5
1558557956,8,1
1558559630,7,2
1558562432,7,19
1558563736,9,0
1558565141,9,10
1558566585,13,1
1558569366,5,2
1558571370,5,9
1558574854,17,17
1558576164,5,12
1558581019,16,22
1558583238,9,0
1558584432,3,2
1558586693,9,16
1558588737,7,5
1558590550,9,9
1558592789,16,3
1558594349,9,1
1558595935,11,4
1558598357,6,10
1558600060,16,3
1558601405,0,5
1558602667,15,2
1558606389,14,9
1558607533,10,1
1558609454,7,4
1558612904,15,3
1558617980,16,19
1558620682,10,11
1558622208,5,2
1558623605,4,9
1558624823,1,4
1558626350,4,6
1558630364,18,13
1558631718,6,0
1558633129,4,1
1558635038,7,7
1558636489,2,4
1558638991,9,20
1558640195,5,0
1558643261,10,15
1558644754,3,5
1558647526,9,5
1558649108,0,16
1558656555,17,22
1558658801,4,3
1558660056,7,5
1558662483,10,24
1558664997,6,5
1558666682,5,18
1558670037,13,2
1558673365,10,15
1558674934,4,3
1558677046,10,4
1558678702,3,5
1558680085,6,1
1558682081,8,7
1558683489,3,1
1558686041,8,12
1558688336,8,5
1558691040,11,19
1558694664,9,11
1558695994,8,2
1558697820,5,4
1558699757,1,11
1558701409,17,1
1558704100,16,19
1558705664,8,1
1558708251,14,4
1558709572,5,15
1558711757,13,2
1558713917,11,21
1558715621,12,1
1558719322,14,5
1558721175,11,25
1558723956,21,9
1558725530,5,16
1558732038,31,36
1558740116,37,35
1558742815,8,1
1558745842,9,16
1558748314,5,6
1558754636,30,14
1558757427,11,3
1558759120,9,4
1558761049,7,21
1558764078,21,11
1558765388,2,0
1558766711,2,2
1558767971,2,10
1558769299,4,7
1558770853,2,16
1558774284,11,15
1558776636,10,3
1558779561,7,12
1558780759,3,1
1558782424,7,1
1558784309,7,7
1558788734,20,22
1558790665,4,1
1558794642,14,5
1558796753,9,6
1558801022,14,20
1558802910,6,9
1558805177,8,1
1558806988,7,2
1558809438,9,3
1558811062,5,13
1558813797,8,3
1558815076,4,2
1558819512,16,1
1558821065,4,15
1558822335,4,3
1558824274,7,3
1558831490,17,17
1558833189,1,1
1558836986,6,17
1558838299,5,1
1558844090,14,21
1558850763,19,15
1558854278,4,1
1558855649,5,1
1558858045,8,10
1558860699,10,12
1558863100,9,5
1558864310,6,2
1558865501,1,2
1558868710,6,18
1558870725,7,0
1558873965,9,16
1558876008,5,8
1558877621,2,1
1558880080,9,7
1558883524,12,21
1558885470,12,9
1558887357,2,1
1558890395,6,4
1558892308,6,7
1558894264,6,9
1558897809,9,10
1558899548,8,0
1558901459,3,7
1558903135,7,0
1558905814,5,11
1558908626,7,23
1558912103,6,7
1558916818,10,5
1558920270,12,16
1558923891,4,11
1558925501,2,6
1558929980,3,4
1558932622,6,17
1558935889,6,11
1558939138,3,1
1558940498,3,1
1558942112,6,3
1558945279,9,11
1558946690,1,9
1558948992,7,2
1558950777,10,8
1558952444,7,2
1558953866,7,3
1558955793,8,3
1558960745,23,16
1558963572,18,17
1558979285,27,66
1558991940,17,46
1558993547,16,5
1558995411,6,11
1558996634,34,0
1559000490,40,22
1559003314,6,12
1559005109,7,7
1559008059,14,21
1559011919,18,3
1559013267,4,3
1559015421,4,15
1559016638,5,5
1559019905,10,15
1559021756,3,2
1559023059,2,10
1559024728,4,3
1559026445,4,1
1559027722,8,2
1559029302,6,7
1559031649,11,19
1559032979,3,0
1559035506,6,20
1559036671,0,4
1559038282,5,4
