DateTime,AddedIPs,RemovedIPs
1557848938,89,40
1557850086,88,63
1557851721,105,97
1557856234,218,426
1557857892,140,73
1557860803,319,22
1557863077,100,326
1557867518,280,203
1557868904,70,92
1557870081,57,1
1557873746,159,314
1557875361,96,1
1557878908,168,317
1557884534,266,353
1557886341,122,66
1557888455,97,151
1557892453,254,207
1557893895,67,0
1557895599,67,14
1557897248,82,122
1557898926,80,542
1557901291,159,181
1557904381,150,301
1557905762,65,0
1557907254,94,191
1557909625,118,392
1557910778,51,187
1557913381,144,1051
1557916267,147,295
1557918301,97,724
1557919638,99,0
1557920791,69,0
1557922020,67,98
1557924152,106,1310
1557927489,342,1
1557930078,187,1336
1557931478,95,0
1557935975,233,1980
1557938539,153,1563
1557940678,134,630
1557941929,71,0
1557946516,309,1445
1557948915,127,1253
1557950372,89,1268
1557951527,83,48
1557955262,162,139
1557957127,72,0
1557958264,64,32
1557959751,63,47
1557960854,43,151
1557962476,51,84
1557966075,181,157
1557968117,75,129
1557969298,60,0
1557974145,267,146
1557976545,124,247
1557978804,155,97
1557980727,84,64
1557983701,163,61
1557988651,281,924
1557989946,86,159
1557991769,113,97
1557996074,291,146
1557997841,76,242
1557999776,123,133
1558002318,108,88
1558006635,204,141
1558008511,119,345
1558010553,71,132
1558011846,52,70
1558015750,249,238
1558018027,140,0
1558019554,103,38
1558021060,70,80
1558024961,164,431
1558027544,118,63
1558029632,101,0
1558030741,43,80
1558032199,38,268
1558033973,99,69
1558035285,73,1
1558037330,108,275
1558039837,139,112
1558041748,90,65
1558045655,191,86
1558051455,254,416
1558055765,189,58
1558059996,169,333
1558068969,388,386
1558070395,57,55
1558071747,59,299
1558074533,113,0
1558076955,97,280
1558079324,102,0
1558080427,42,17
1558081584,54,67
1558083402,61,94
1558084646,46,217
1558085786,45,0
1558088762,105,177
1558092171,185,160
1558093703,105,26
1558097108,168,429
1558101429,240,289
1558102812,50,78
1558105153,127,0
1558107750,118,339
1558109281,59,90
1558110455,48,1
1558113457,130,215
1558117713,208,149
1558119476,70,298
1558121423,104,0
1558122647,93,232
1558123954,63,79
1558126009,110,1
1558127482,86,45
1558130648,205,308
1558132059,117,0
1558133262,55,110
1558134832,94,58
1558136589,67,128
1558142771,274,148
1558144684,115,263
1558146600,75,1
1558148070,53,218
1558151134,125,91
1558155550,207,315
1558161449,363,312
1558163045,78,151
1558166766,161,102
1558167907,63,95
1558169105,74,295
1558170944,106,57
1558172572,74,88
1558173707,60,0
1558174826,67,0
1558180597,330,392
1558182096,92,47
1558183460,133,158
1558184916,80,83
1558187067,120,153
1558192195,309,136
1558193855,109,101
1558198828,396,359
1558199976,77,0
1558201242,60,8
1558202873,91,68
1558204742,90,70
1558205964,76,168
1558210065,314,265
1558211708,107,0
1558213202,52,132
1558216256,154,40
1558217962,70,71
1558222952,216,371
1558224508,71,0
1558226074,121,1
1558229157,148,111
1558230599,70,184
1558236229,261,245
1558237732,84,104
1558240509,156,1
1558247071,315,392
1558248714,108,107
1558249985,57,40
1558251319,71,1
1558253474,128,42
1558254931,68,62
1558256880,77,190
1558258587,95,0
1558259899,52,111
1558262456,130,65
1558264516,73,55
1558269999,319,520
1558271433,55,45
1558273801,119,0
1558275083,76,29
1558280168,249,304
1558281517,85,105
1558282766,91,58
1558283909,50,0
1558285644,81,200
1558286909,96,0
1558289074,122,6
1558290200,53,266
1558293517,187,404
1558294748,450,1
1558301677,477,434
1558303524,67,319
1558305093,71,1
1558306291,48,106
1558308098,71,48
1558310217,109,133
1558311948,94,0
1558315774,259,129
1558318652,243,247
1558321723,232,189
1558323670,91,1
1558326575,120,63
1558328337,68,194
1558332342,274,295
1558333574,93,0
1558335242,261,85
1558336991,176,0
1558338733,131,31
1558340402,129,84
1558341861,55,90
1558344613,147,128
1558346040,65,221
1558347862,74,52
1558349226,57,145
1558352610,182,211
1558354293,70,132
1558356180,105,119
1558357757,81,62
1558360182,117,140
1558361559,72,54
1558362736,57,0
1558363862,77,0
1558365417,86,51
1558369162,137,527
1558370546,91,131
1558371899,94,70
1558374249,244,2
1558377422,696,118
1558381438,262,454
1558383258,128,55
1558387099,301,132
1558388253,86,0
1558390120,146,70
1558391240,70,42
1558392625,64,212
1558400991,433,433
1558402472,83,0
1558404500,105,164
1558408097,253,191
1558412445,304,63
1558415369,197,241
1558420160,278,263
1558421304,97,1
1558423537,146,68
1558425700,106,136
1558428587,200,263
1558429986,140,51
1558431475,97,0
1558433477,119,179
1558434868,71,0
1558436420,133,109
1558439335,261,40
1558441124,105,130
1558442393,98,44
1558444097,136,237
1558445321,100,3
1558446799,159,110
1558448320,95,1
1558449497,114,0
1558451659,164,280
1558453382,176,129
1558456099,236,64
1558458583,178,162
1558460366,187,1
1558463708,304,191
1558466929,190,320
1558469562,215,90
1558470709,83,0
1558472065,84,34
1558474132,117,90
1558475684,120,184
1558479477,178,148
1558481237,86,81
1558485654,228,141
1558490285,224,370
1558491660,83,94
1558499240,374,235
