DateTime,AddedIPs,RemovedIPs
1557797070,4,5
1557802004,7,21
1557805086,1,0
1557806997,2,10
1557808602,4,0
1557809927,1,0
1557813548,4,17
1557814708,3,2
1557815936,1,0
1557817441,0,5
1557820162,3,0
1557821392,2,0
1557823013,0,3
1557824792,4,4
1557826284,7,0
1557827750,3,0
1557829098,2,8
1557830233,2,0
1557832226,2,10
1557833899,3,0
1557836106,4,6
1557837527,2,0
1557840458,2,7
1557841825,1,2
1557844618,5,2
1557846140,2,2
1557847588,3,0
1557849120,5,4
1557850586,4,1
1557851879,1,1
1557856424,10,9
1557857985,5,4
1557860898,7,1
1557863173,1,11
1557867611,4,5
1557868992,0,2
1557870212,1,0
1557873843,1,3
1557875522,1,0
1557879096,3,9
1557884626,12,11
1557886434,4,1
1557888665,4,7
1557892550,8,2
1557893991,6,0
1557895695,4,1
1557897429,14,2
1557899047,3,15
1557901382,9,5
1557904487,10,3
1557905918,4,0
1557907467,3,9
1557909750,11,6
1557911179,2,11
1557913498,5,6
1557916416,8,8
1557918422,5,9
1557919740,4,0
1557920893,2,1
1557922116,3,1
1557924255,2,9
1557927826,3,5
1557930176,2,2
1557931601,2,0
1557936280,6,7
1557938741,2,2
1557940773,4,1
1557942212,1,2
1557946616,6,1
1557949021,3,4
1557950674,3,5
1557955357,5,3
1557957227,1,0
1557959901,2,2
1557962573,2,0
1557966178,2,7
1557968219,2,1
1557969402,4,0
1557974241,7,7
1557976644,7,3
1557978978,7,4
1557980825,8,0
1557983814,6,1
1557988966,17,11
1557990266,3,2
1557991884,3,1
1557996169,20,0
1557997938,6,19
1557999878,5,4
1558002425,4,1
1558006731,5,4
1558008645,5,6
1558010650,1,0
1558011989,3,1
1558015853,6,2
1558018124,1,0
1558019654,2,1
1558021360,4,10
1558025060,3,5
1558027639,3,1
1558029772,2,0
1558032291,3,9
1558034070,2,0
1558035411,1,0
1558037457,2,1
1558039936,4,2
1558041841,2,0
1558045790,0,2
1558051615,6,10
1558055911,6,2
1558060090,11,12
1558069065,24,13
1558070499,1,4
1558071853,3,10
1558074642,8,1
1558077067,7,10
1558079514,3,0
1558080831,3,3
1558082532,8,5
1558083998,1,13
1558085927,7,0
1558088950,3,11
1558092272,5,6
1558093799,2,1
1558097208,3,5
1558101550,2,5
1558107843,1,9
1558109383,0,3
1558110547,3,0
1558113635,5,6
1558117805,7,2
1558119574,2,9
1558121577,1,0
1558122759,2,6
1558124056,2,3
1558126189,4,0
1558127575,1,2
1558130896,4,6
1558133357,1,1
1558134927,3,0
1558136682,2,1
1558142862,16,6
1558144776,3,7
1558146715,3,0
1558148168,1,11
1558151229,7,4
1558155831,8,22
1558161748,11,22
1558163164,5,0
1558166856,3,10
1558168007,4,5
1558169200,5,16
1558171033,4,5
1558172663,4,5
