DateTime,AddedIPs,RemovedIPs
1557826299,22,6
1557827736,33,6
1557829093,46,89
1557830227,27,4
1557832218,58,50
1557833893,44,5
1557836099,41,73
1557837515,26,5
1557840445,85,69
1557841816,26,46
1557844612,63,45
1557846124,16,43
1557847572,12,5
1557849108,26,17
1557850579,65,14
1557851860,28,30
1557856412,66,127
1557857979,82,23
1557860892,100,37
1557863167,34,74
1557867603,128,57
1557868986,19,40
1557870201,21,4
1557873837,62,94
1557875509,45,11
1557879084,61,124
1557884620,123,120
1557886428,65,33
1557888656,21,72
1557892542,122,92
1557893984,18,1
1557895690,20,8
1557897417,19,50
1557899039,31,152
1557901376,61,15
1557904480,59,29
1557905910,33,4
1557907458,56,20
1557909737,46,57
1557911122,17,40
1557913491,62,30
1557916404,53,37
1557918397,24,68
1557919733,55,3
1557920886,20,2
1557922109,12,11
1557924249,43,99
1557927820,100,46
1557930169,51,10
1557931594,38,6
1557936273,54,99
1557938722,46,43
1557940767,104,73
1557942205,37,87
1557946609,150,14
1557949008,49,38
1557950667,36,45
1557955350,105,35
1557957220,23,4
1557959918,54,26
1557962566,24,90
1557966171,79,49
1557968213,27,62
1557969395,27,11
1557974235,140,58
1557976637,66,75
1557978962,91,39
1557980818,34,21
1557983802,61,24
1557988759,122,148
1557990250,44,75
1557991875,47,5
1557996163,121,51
1557997931,19,90
1557999872,63,61
1558002417,35,41
1558006724,95,55
1558008635,44,117
1558010644,26,46
1558011983,18,31
1558015845,93,74
1558018117,50,38
1558019646,112,9
1558021352,75,173
1558025054,38,107
1558027632,41,22
1558029764,41,3
1558032285,15,117
1558034062,21,31
1558035398,23,5
1558037448,56,105
1558039929,65,28
1558041835,23,21
1558045778,112,36
1558051605,112,155
1558055904,47,27
1558060083,75,143
1558069058,127,161
1558070493,32,21
1558071847,43,107
1558074632,47,8
1558077058,28,121
1558079502,25,7
1558080825,16,22
1558082526,10,27
1558083984,12,106
1558085915,12,6
1558088935,47,39
1558092265,86,72
1558093792,52,7
1558097201,53,152
1558101543,112,78
1558102903,14,28
1558105295,57,8
1558107832,45,70
1558109376,18,32
1558110540,12,2
1558113624,41,81
1558117797,113,89
1558119561,37,123
1558121565,55,3
1558122751,55,77
1558124047,24,33
1558126177,51,9
1558127569,56,16
1558130882,106,85
1558132142,73,3
1558133351,30,24
1558134919,52,18
1558136676,40,60
1558142856,108,63
1558144769,60,115
1558146707,20,9
1558148161,24,107
1558151223,56,55
1558155847,92,124
1558161740,189,167
1558163156,41,4
1558166850,80,46
1558168000,29,45
1558169194,41,88
1558171028,45,21
1558172657,38,26
1558173795,35,8
1558175030,32,3
1558180689,158,154
1558182183,35,23
1558183550,61,58
1558184997,49,30
1558187164,54,32
1558192286,115,64
1558193944,43,39
1558199026,115,75
1558200211,59,0
1558201422,13,10
1558202983,51,26
1558205004,43,45
1558210174,180,107
1558211827,51,3
1558213424,22,53
1558216339,65,27
1558218057,11,34
1558223043,109,115
1558224654,33,3
1558226197,51,5
1558229256,47,38
1558230755,40,70
1558236315,113,100
1558237816,36,14
1558240607,83,7
1558247186,129,129
1558248800,39,32
1558250139,25,8
1558251433,44,4
1558253584,71,19
1558255017,21,13
1558256966,35,27
1558258672,46,2
1558259983,32,46
1558262539,59,23
1558264608,20,33
1558270085,154,207
1558271533,13,12
1558273894,46,5
1558275241,33,8
1558280253,125,110
1558281604,45,16
1558282855,17,20
1558284188,22,41
1558285742,49,35
1558286994,49,3
1558289174,63,11
1558293615,92,193
1558295012,48,82
1558301789,82,115
1558303709,29,169
1558305186,39,1
1558306378,16,56
1558308184,38,14
1558310302,57,65
1558312037,43,6
1558315871,50,51
1558318740,79,91
1558321816,108,89
1558323754,39,6
