DateTime,Entries,UniqueIPs
1557826299,3213,3213
1557827736,3240,3240
1557829093,3197,3197
1557830227,3220,3220
1557832218,3228,3228
1557833893,3267,3267
1557836099,3235,3235
1557837515,3256,3256
1557840445,3272,3272
1557841816,3252,3252
1557844612,3270,3270
1557846124,3243,3243
1557847572,3250,3250
1557849108,3259,3259
1557850579,3310,3310
1557851860,3308,3308
1557856412,3247,3247
1557857979,3306,3306
1557860892,3369,3369
1557863167,3329,3329
1557867603,3400,3400
1557868986,3379,3379
1557870201,3396,3396
1557873837,3364,3364
1557875509,3398,3398
1557879084,3335,3335
1557884620,3338,3338
1557886428,3370,3370
1557888656,3319,3319
1557892542,3349,3349
1557893984,3366,3366
1557895690,3378,3378
1557897417,3347,3347
1557899039,3226,3226
1557901376,3272,3272
1557904480,3302,3302
1557905910,3331,3331
1557907458,3367,3367
1557909737,3356,3356
1557911122,3333,3333
1557913491,3365,3365
1557916404,3381,3381
1557918397,3337,3337
1557919733,3389,3389
1557920886,3407,3407
1557922109,3408,3408
1557924249,3352,3352
1557927820,3406,3406
1557930169,3447,3447
1557931594,3479,3479
1557936273,3434,3434
1557938722,3437,3437
1557940767,3468,3468
1557942205,3418,3418
1557946609,3554,3554
1557949008,3565,3565
1557950667,3556,3556
1557955350,3626,3626
1557957220,3645,3645
1557959918,3673,3673
1557962566,3607,3607
1557966171,3637,3637
1557968213,3602,3602
1557969395,3618,3618
1557974235,3700,3700
1557976637,3691,3691
1557978962,3743,3743
1557980818,3756,3756
1557983802,3793,3793
1557988759,3767,3767
1557990250,3736,3736
1557991875,3778,3778
1557996163,3848,3848
1557997931,3777,3777
1557999872,3779,3779
1558002417,3773,3773
1558006724,3813,3813
1558008635,3740,3740
1558010644,3720,3720
1558011983,3707,3707
1558015845,3726,3726
1558018117,3738,3738
1558019646,3841,3841
1558021352,3743,3743
1558025054,3674,3674
1558027632,3693,3693
1558029764,3731,3731
1558032285,3629,3629
1558034062,3619,3619
1558035398,3637,3637
1558037448,3588,3588
1558039929,3625,3625
1558041835,3627,3627
1558045778,3703,3703
1558051605,3660,3660
1558055904,3680,3680
1558060083,3612,3612
1558069058,3578,3578
1558070493,3589,3589
1558071847,3525,3525
1558074632,3564,3564
1558077058,3471,3471
1558079502,3489,3489
1558080825,3483,3483
1558082526,3466,3466
1558083984,3372,3372
1558085915,3378,3378
1558088935,3386,3386
1558092265,3400,3400
1558093792,3445,3445
1558097201,3346,3346
1558101543,3380,3380
1558102903,3366,3366
1558105295,3415,3415
1558107832,3390,3390
1558109376,3376,3376
1558110540,3386,3386
1558113624,3346,3346
1558117797,3370,3370
1558119561,3284,3284
1558121565,3336,3336
1558122751,3314,3314
1558124047,3305,3305
1558126177,3347,3347
1558127569,3387,3387
1558130882,3408,3408
1558132142,3478,3478
1558133351,3484,3484
1558134919,3518,3518
1558136676,3498,3498
1558142856,3543,3543
1558144769,3488,3488
1558146707,3499,3499
1558148161,3416,3416
1558151223,3417,3417
1558155847,3385,3385
1558161740,3407,3407
1558163156,3444,3444
1558166850,3478,3478
1558168000,3462,3462
1558169194,3415,3415
1558171028,3439,3439
1558172657,3451,3451
1558173795,3478,3478
1558175030,3507,3507
1558180689,3511,3511
1558182183,3523,3523
1558183550,3526,3526
1558184997,3545,3545
1558187164,3567,3567
1558192286,3618,3618
1558193944,3622,3622
1558199026,3662,3662
1558200211,3721,3721
1558201422,3724,3724
1558202983,3749,3749
1558205004,3747,3747
1558210174,3820,3820
1558211827,3868,3868
1558213424,3837,3837
1558216339,3875,3875
1558218057,3852,3852
1558223043,3846,3846
1558224654,3876,3876
1558226197,3922,3922
1558229256,3931,3931
1558230755,3901,3901
1558236315,3914,3914
1558237816,3936,3936
1558240607,4012,4012
1558247186,4012,4012
1558248800,4019,4019
1558250139,4036,4036
1558251433,4076,4076
1558253584,4128,4128
1558255017,4136,4136
1558256966,4144,4144
1558258672,4188,4188
1558259983,4174,4174
1558262539,4210,4210
1558264608,4197,4197
1558270085,4144,4144
1558271533,4145,4145
1558273894,4186,4186
1558275241,4211,4211
1558280253,4226,4226
1558281604,4255,4255
1558282855,4252,4252
1558284188,4233,4233
1558285742,4247,4247
1558286994,4293,4293
1558289174,4345,4345
1558293615,4244,4244
1558295012,4210,4210
1558301789,4177,4177
1558303709,4037,4037
1558305186,4075,4075
1558306378,4035,4035
1558308184,4059,4059
1558310302,4051,4051
1558312037,4088,4088
1558315871,4087,4087
1558318740,4075,4075
1558321816,4094,4094
1558323754,4127,4127
1558326670,4143,4143
1558328619,4025,4025
1558332554,4033,4033
1558333767,4077,4077
1558335332,4242,4242
1558337086,4341,4341
1558338821,4382,4382
1558340493,4393,4393
1558341958,4357,4357
1558344739,4346,4346
1558346128,4266,4266
1558348018,4271,4271
1558349321,4198,4198
1558352704,4149,4149
1558354384,4126,4126
1558356367,4106,4106
1558357861,4105,4105
1558360292,4095,4095
1558361654,4111,4111
1558362832,4140,4140
1558364313,4187,4187
1558365514,4203,4203
1558369369,4104,4104
1558370657,4098,4098
1558372165,4109,4109
1558374347,4121,4121
1558377513,4147,4147
1558381533,4034,4034
1558383356,4072,4072
1558387188,4195,4195
1558388347,4239,4239
1558390215,4300,4300
1558392714,4258,4258
1558401115,4240,4240
1558402577,4272,4272
1558404600,4248,4248
1558408210,4301,4301
1558412538,4416,4416
1558415467,4447,4447
1558420264,4487,4487
1558421476,4532,4532
1558423627,4557,4557
1558426056,4517,4517
1558428687,4460,4460
1558430078,4485,4485
1558431779,4462,4462
1558433569,4481,4481
1558434965,4484,4484
1558436591,4494,4494
1558439434,4556,4556
1558441227,4491,4491
1558442488,4507,4507
1558444191,4465,4465
1558445450,4494,4494
1558446897,4495,4495
1558448525,4526,4526
1558449829,4485,4485
1558451756,4483,4483
1558453468,4485,4485
1558456183,4535,4535
1558458674,4487,4487
1558460609,4542,4542
1558460638,4538,4538
1558463868,4545,4545
1558467031,4521,4521
1558469679,4552,4552
1558472163,4597,4597
1558474327,4607,4607
1558475779,4604,4604
1558479562,4599,4599
1558481321,4598,4598
1558485739,4626,4626
1558490386,4560,4560
1558491746,4545,4545
1558499363,4582,4582
1558500760,4531,4531
1558504203,4466,4466
1558505856,4304,4304
1558508770,4300,4300
1558510996,4377,4377
1558514247,4366,4366
1558516198,4392,4392
1558518735,4438,4438
1558520508,4429,4429
1558523999,4500,4500
1558525737,4527,4527
1558527909,4512,4512
1558529510,4500,4500
1558530865,4498,4498
1558532135,4530,4530
1558533951,4579,4579
1558535204,4604,4604
1558536693,4542,4542
1558538662,4560,4560
1558539921,4479,4479
1558541220,4482,4482
1558542699,4502,4502
1558544776,4439,4439
1558546238,4446,4446
1558548537,4346,4346
1558551526,4340,4340
1558554301,4277,4277
1558556506,4256,4256
1558557929,4268,4268
1558559590,4263,4263
1558562387,4095,4095
1558563710,4099,4099
1558565092,4047,4047
1558566559,4054,4054
1558569317,4080,4080
1558571344,4067,4067
1558574816,4012,4012
1558576131,3974,3974
1558580990,3831,3831
1558583213,3844,3844
1558584386,3838,3838
1558586654,3663,3663
1558588713,3692,3692
1558590522,3622,3622
1558592760,3615,3615
1558594298,3650,3650
1558595910,3649,3649
1558598334,3601,3601
1558600033,3601,3601
1558601372,3594,3594
1558602632,3615,3615
1558606344,3629,3629
1558607491,3671,3671
1558609383,3641,3641
1558612851,3729,3729
1558617952,3794,3794
1558620633,3746,3746
1558622173,3768,3768
