DateTime,Entries,UniqueIPs
1557826232,28776,28776
1557827654,28820,28820
1557828794,28731,28731
1557830194,28780,28780
1557832185,28762,28762
1557833860,28826,28826
1557836065,28796,28796
1557837483,28853,28853
1557840404,28873,28873
1557841779,28834,28834
1557844571,28886,28886
1557845989,28863,28863
1557847528,28894,28894
1557849044,28939,28939
1557850535,28986,28986
1557851791,28982,28982
1557856339,28886,28886
1557857946,28966,28966
1557860860,29152,29152
1557863131,29081,29081
1557867569,29168,29168
1557868955,29152,29152
1557870139,29180,29180
1557873803,29117,29117
1557875463,29172,29172
1557879015,29101,29101
1557884586,29079,29079
1557886395,29123,29123
1557888565,29068,29068
1557892507,29098,29098
1557893950,29125,29125
1557895657,29151,29151
1557897360,29105,29105
1557898985,28797,28797
1557901344,28751,28751
1557904442,28589,28589
1557905861,28634,28634
1557907375,28542,28542
1557909695,28280,28280
1557911054,27620,27620
1557913444,27344,27344
1557916344,27167,27167
1557918360,26573,26573
1557919692,26643,26643
1557920851,26679,26679
1557922075,26617,26617
1557924212,25526,25526
1557927774,24742,24742
1557930132,24503,24503
1557931535,24551,24551
1557936229,22245,22245
1557938646,21403,21403
1557940732,20881,20881
1557942166,19980,19980
1557946574,19715,19715
1557948975,18499,18499
1557950623,17466,17466
1557951739,17528,17528
1557955315,17559,17559
1557957188,17594,17594
1557959806,17636,17636
1557962532,17553,17553
1557966136,17592,17592
1557968179,17563,17563
1557969359,17602,17602
1557974201,17699,17699
1557976603,17640,17640
1557978898,17686,17686
1557980784,17706,17706
1557983766,17762,17762
1557988709,17724,17724
1557990004,17678,17678
1557991829,17688,17688
1557996129,17794,17794
1557997896,17686,17686
1557999837,17691,17691
1558002374,17695,17695
1558006690,17738,17738
1558008595,17576,17576
1558010609,17514,17514
1558011933,17492,17492
1558015806,17491,17491
1558018084,17577,17577
1558019611,17632,17632
1558021138,17624,17624
1558025020,17453,17453
1558027598,17485,17485
1558029716,17546,17546
1558032251,17383,17383
1558034027,17375,17375
1558035354,17406,17406
1558037411,17290,17290
1558039891,17317,17317
1558041801,17317,17317
1558045708,17411,17411
1558051559,17324,17324
1558055872,17384,17384
1558060049,17283,17283
1558069023,17281,17281
1558070452,17295,17295
1558071810,17164,17164
1558074595,17235,17235
1558077017,17116,17116
1558079432,17160,17160
1558080787,17170,17170
1558082492,17153,17153
1558083940,17019,17019
1558085847,17055,17055
1558088862,17035,17035
1558092230,17058,17058
1558093758,17116,17116
1558097164,16971,16971
1558101508,16989,16989
1558102867,16965,16965
1558105257,17047,17047
1558107801,16946,16946
1558109344,16925,16925
1558110509,16943,16943
1558113559,16891,16891
1558117764,16923,16923
1558119529,16789,16789
1558121528,16846,16846
