DateTime,AddedIPs,RemovedIPs
1557821402,1,28
1557823016,3,44
1557824823,1,40
1557826309,4,32
1557827754,6,25
1557829100,5,35
1557830236,3,28
1557832228,7,35
1557833902,2,31
1557836110,13,35
1557837528,3,13
1557840461,4,38
1557841827,0,16
1557844622,2,24
1557846142,1,14
1557847593,2,22
1557849124,5,19
1557850588,4,16
1557851875,3,24
1557856427,3,49
1557857987,3,19
1557860900,7,40
1557863178,2,18
1557867790,4,37
1557868994,4,9
1557870215,4,7
1557873845,6,25
1557875525,2,8
1557879099,6,28
1557884629,8,55
1557886435,8,14
1557888667,12,8
1557892553,13,27
1557893993,1,6
1557895697,4,8
1557897433,5,11
1557899049,2,6
1557901384,9,11
1557904490,5,17
1557905932,1,8
1557907475,4,11
1557909753,3,11
1557911183,2,6
1557913500,7,16
1557916421,6,9
1557918443,5,6
1557919742,6,6
1557920895,1,5
1557922117,1,7
1557924258,4,10
1557927829,3,23
1557930180,2,21
1557931603,1,4
1557936282,6,19
1557938745,3,6
1557940774,3,8
1557942214,2,2
1557946617,7,14
1557949024,6,8
1557950680,4,7
1557955359,3,18
1557957229,7,3
1557959946,2,4
1557962575,5,11
1557966180,10,10
1557968222,2,12
1557969404,6,3
1557974244,9,18
1557976646,4,4
1557978981,3,10
1557980827,2,5
1557983817,5,8
1557988971,10,567
1557990269,3,1
1557991889,1,6
1557996171,8,7
1557997941,6,1
1557999880,3,5
1558002427,4,2
1558006732,17,6
1558008647,7,6
1558010653,4,4
1558011991,2,1
1558015855,10,5
1558018126,8,2
1558019656,1,4
1558021363,4,2
1558025062,11,11
1558027640,4,7
1558029775,3,1
1558032294,7,9
1558034072,4,0
1558035416,1,2
1558037460,4,1
1558039938,6,6
1558041843,4,7
1558045798,11,7
1558051619,17,9
1558055913,6,12
1558060092,17,25
1558069068,17,19
1558070502,3,9
1558071856,0,5
1558074654,9,4
1558077070,6,5
1558079518,4,4
1558080834,1,3
1558082534,3,2
1558084009,2,5
1558085930,6,2
1558088959,13,10
1558092273,4,1
1558093802,2,4
1558097210,6,6
1558101552,7,5
1558102911,1,2
1558105304,5,4
1558107845,5,7
1558109385,3,7
1558110551,2,4
1558113638,10,8
1558117808,8,4
1558119576,0,4
1558121581,6,3
1558122761,1,3
1558124059,2,3
1558126193,4,4
1558127576,5,4
1558130905,6,6
1558132150,2,7
1558133358,2,3
1558134929,8,0
1558136686,5,9
1558142864,19,13
1558144777,14,8
1558146718,5,3
1558148169,2,8
1558151231,8,6
1558155861,14,9
1558161751,7,12
1558163173,2,6
1558166858,7,6
1558168008,5,2
1558169202,1,3
1558171035,4,5
1558172665,6,6
1558173840,1,4
1558175038,4,1
1558180701,10,17
1558182192,6,5
1558183559,2,11
1558185009,4,6
1558187177,2,3
1558192295,11,9
1558194133,2,6
1558199047,10,7
1558200218,3,3
1558201439,3,2
1558202991,3,2
1558205013,1,3
1558210186,9,12
1558211830,7,3
1558213437,7,4
1558216347,6,5
1558218066,5,5
1558223051,11,11
1558224670,2,2
1558226215,3,3
1558229264,8,9
1558230771,3,5
1558236325,15,12
1558237824,3,5
1558240615,2,0
1558247194,10,21
1558248809,3,5
1558250156,2,4
1558251448,4,3
1558253603,3,2
1558255030,8,5
1558256974,4,3
1558258680,5,2
1558259992,1,2
1558262548,8,3
1558264616,9,4
1558270099,10,22
1558271542,7,2
1558273912,1,5
1558275248,4,1
1558280261,16,11
1558281790,5,2
1558284198,6,4
1558285756,3,3
1558287003,4,1
1558289182,4,5
1558293628,10,21
1558295021,6,11
1558301803,27,11
1558303729,7,8
1558305230,4,1
1558306385,1,3
1558308196,0,1
1558310310,13,4
1558312045,10,5
1558315892,2,19
1558318750,7,21
1558321829,6,4
1558323762,3,1
1558326698,4,2
1558328629,3,2
1558332573,13,11
1558333775,0,2
1558335342,2,3
1558337096,4,3
1558338832,7,2
1558340502,3,3
1558341976,3,4
1558344769,8,8
1558346137,4,3
1558348035,6,7
1558349330,5,6
1558352715,8,8
1558354393,6,7
1558356388,8,3
1558357873,7,5
1558360304,4,4
1558361665,1,8
1558362844,4,4
1558364323,3,1
1558365522,0,1
1558369372,1,5
1558370664,1,0
1558372187,3,0
1558374356,2,27
1558377527,1399,6
1558381544,17,107
1558383365,7,22
1558387199,5,24
1558388355,2,3
1558390226,4,7
1558392727,8,96
1558401123,16,219
1558402598,9,8
1558404620,5,16
1558408233,8,17
1558412547,7,57
1558415478,5,26
1558420281,8,66
1558421480,2,14
1558423635,5,10
1558426115,5,13
1558428697,6,24
1558430087,5,11
1558431784,3,7
1558433577,5,7
1558434976,2,10
1558436601,4,5
1558439446,4,14
1558441242,4,4
1558442496,5,12
1558444204,7,12
1558445465,4,7
1558446924,1,11
1558448542,2,12
1558449838,0,4
1558451771,0,7
1558453477,6,6
1558456192,6,5
1558458683,6,5
1558460648,5,26
1558463884,13,17
1558467053,6,21
1558469689,8,30
1558472171,7,7
1558474331,14,14
1558475788,4,5
1558479569,7,25
1558481330,2,13
1558485748,17,22
1558490396,17,21
1558491756,4,8
1558499377,22,23
1558500770,1,10
1558504215,126,12
1558505872,2,20
1558508781,6,13
1558511016,8,9
1558514275,10,11
1558516213,19,14
1558518745,3,21
1558520519,5,8
1558524023,15,14
1558525746,7,12
1558527920,3,11
1558529518,6,5
1558530874,1,5
1558532145,18,6
1558533960,2,14
1558535213,0,10
1558536708,9,7
1558538671,6,7
1558539933,1,5
1558541229,6,3
1558542736,6,6
1558544805,4,79
1558546253,2,4
1558548591,8,447
1558551552,1,29
1558554310,3,31
1558556521,7,4
1558557938,11,3
1558559598,17,4
1558562397,13,10
1558563720,3,0
1558565101,3,3
1558566568,1,4
1558569335,14,8
1558571353,5,10
1558574830,2,20
1558576139,4,5
1558581000,14,12
1558583222,4,3
1558584397,3,1
1558586669,5,3
1558588721,3,13
1558590532,5,8
1558592772,4,6
1558594319,2,2
1558595919,1,3
1558598341,6,10
1558600043,4,1
1558601385,1,2
1558602643,6,0
1558606358,8,11
1558607501,5,1
1558609399,6,2
1558612870,9,4
1558617962,7,16
1558620649,6,1
1558622186,6,4
1558623581,1,3
1558624800,2,2
1558626315,1,5
1558630344,11,5
1558631694,4,1
1558633113,2,0
1558635015,6,3
1558636394,1,2
1558638956,4,10
1558640167,3,3
1558643245,6,9
1558644730,6,2
1558647510,9,11
1558649063,2,1
1558656512,14,13
1558658775,9,7
1558660030,8,4
1558662466,2,13
1558664965,6,6
1558666663,9,4
1558670006,3,9
1558673348,8,36
1558674916,3,3
1558677018,4,6
1558678670,5,3
1558680053,2,4
1558682058,3,3
1558683473,6,1
1558686022,42,5
1558688319,6,6
1558691023,11,6
1558694645,10,9
1558695963,6,2
1558697804,3,9
1558699727,6,12
1558701392,6,5
1558704085,7,13
1558705613,2,0
1558708212,21,8
1558709514,4,6
1558711734,4,3
1558713893,2,8
1558715595,5,5
1558719298,15,8
1558721122,6,2
1558723941,9,11
1558725494,0,5
1558732007,16,47
1558740089,15,17
1558742790,12,4
1558745819,3,22
1558748278,5,13
1558754617,19,7
1558757405,9,8
1558759091,4,4
1558761018,3,6
1558764055,11,6
1558765372,1,5
1558766691,2,1
1558767950,1,4
1558769282,2,5
1558770823,9,3
1558774268,11,9
1558776593,5,6
1558779544,5,6
1558780730,2,3
1558782407,3,5
1558784294,2,4
1558788719,12,9
1558790637,3,3
1558794600,4,12
1558796723,4,8
1558800992,11,11
1558802877,3,7
1558805158,7,0
1558806967,4,4
1558809418,5,7
1558811027,0,2
1558813780,5,7
1558815058,0,5
1558819479,12,12
1558821041,3,7
1558822308,3,1
1558824252,2,5
1558831457,15,20
1558833172,3,1
1558836949,3,8
1558838280,2,1
1558844061,12,7
1558850738,29,10
1558854244,7,19
1558855633,4,4
1558858028,3,6
1558860662,3,4
1558863066,4,2
1558864280,2,1
1558865479,3,2
1558868640,90,8
1558870708,7,14
1558873908,5,22
1558875981,4,12
1558877585,5,5
1558880063,6,6
1558883484,3,5
1558885450,0,2
1558887329,2,1
1558890378,2,14
1558892290,3,36
1558894244,3,10
1558897789,5,8
1558899530,7,2
1558901439,1,5
1558903110,0,1
1558905799,10,2
1558908601,14,5
1558912074,10,16
1558916799,13,11
1558920248,3,3
1558923873,7,3
1558925481,5,13
1558927456,9,5
1558929957,1,3
1558932604,8,8
1558935869,4,7
1558939109,3,3
1558940469,4,1
1558942096,7,4
1558945262,8,10
1558946659,5,1
1558948958,1,3
1558950746,3,2
1558952412,5,6
1558953842,2,1
1558955775,2,3
1558960726,8,8
1558963552,5,7
1558979262,14,21
1558991924,5,8
1558993529,6,3
1558995379,6,7
1558996609,2,0
1559000473,11,12
1559003282,3,1
1559005092,5,3
1559008041,7,3
1559011884,8,6
1559013245,6,4
1559015385,4,6
1559016617,4,4
1559019884,7,5
1559021738,1,6
1559023043,1,4
1559024698,3,2
1559026428,5,2
1559027701,7,3
1559029267,5,7
1559031627,2,4
1559032962,4,0
1559035487,5,7
1559036651,1,1
1559038265,2,14
