DateTime,AddedIPs,RemovedIPs
1557826216,64,6
1557827641,38,9
1557828787,41,54
1557830188,53,7
1557832178,108,77
1557833851,88,6
1557836058,91,90
1557837476,39,8
1557840397,90,69
1557841773,36,66
1557844562,81,46
1557845973,49,51
1557847517,41,3
1557849031,40,28
1557850527,48,41
1557851777,46,24
1557856327,124,137
1557857938,44,39
1557860853,141,16
1557863124,59,138
1557867563,117,87
1557868948,40,45
1557870127,30,5
1557873795,76,128
1557875453,36,5
1557879005,99,122
1557884579,151,125
1557886389,47,30
1557888552,43,49
1557892500,92,73
1557893941,33,4
1557895648,26,8
1557897341,38,49
1557898977,23,135
1557901337,57,36
1557904434,68,56
1557905851,25,5
1557907366,35,37
1557909688,44,53
1557910830,26,24
1557913431,67,138
1557916331,61,39
1557918352,43,65
1557919685,30,8
1557920843,33,5
1557922068,28,15
1557924205,38,128
1557927575,198,13
1557930125,120,70
1557931526,40,4
1557936031,125,104
1557938637,55,63
1557940725,47,29
1557941977,25,12
1557946566,100,64
1557948968,58,61
1557950423,39,67
1557951658,29,27
1557955308,70,65
1557957182,32,11
1557959854,41,48
1557962525,54,87
1557966129,67,80
1557968172,42,48
1557969351,18,6
1557974193,93,66
1557976597,34,88
1557978885,49,33
1557980777,31,31
1557983756,70,33
1557988699,84,123
1557989995,30,60
1557991820,41,36
1557996121,86,71
1557997890,34,66
1557999831,35,47
1558002367,34,42
1558006683,79,60
1558008588,40,99
1558010602,44,44
1558011924,20,22
1558015797,76,75
1558018075,51,16
1558019604,32,23
1558021132,27,30
1558025013,80,149
1558027592,39,24
1558029707,37,11
1558032245,42,132
1558034020,65,32
1558035341,41,5
1558037402,38,86
1558039884,51,53
1558041795,54,30
1558045701,57,52
1558051550,101,172
1558055866,98,38
1558060043,77,108
1558069016,151,151
1558070446,24,29
1558071801,13,80
1558074588,38,11
1558077007,39,102
1558079419,54,4
1558080780,30,19
1558082485,31,37
1558083932,25,92
1558085834,39,9
1558088856,53,86
1558092218,58,61
1558093751,30,16
1558097157,67,142
1558101501,83,152
1558102860,24,30
1558105249,43,10
1558107794,51,126
1558109336,33,29
1558110501,26,3
1558113548,52,82
1558117758,70,52
1558119520,31,98
1558121479,45,8
1558122693,23,78
1558124006,21,26
1558126055,37,7
1558127527,21,22
1558130755,63,121
1558132104,40,5
1558133308,24,48
1558134878,20,31
1558136636,31,52
1558142816,117,73
1558144730,41,82
1558146650,33,9
1558148119,22,60
1558151182,44,34
1558155598,82,126
1558161500,101,107
1558163094,35,48
1558166811,62,45
1558167955,23,37
1558169155,22,83
1558170989,42,25
1558172617,25,44
1558173753,25,4
1558174989,18,6
