DateTime,Entries,UniqueIPs
1557826216,8239,8239
1557827641,8268,8268
1557828787,8255,8255
1557830188,8301,8301
1557832178,8332,8332
1557833851,8414,8414
1557836058,8415,8415
1557837476,8446,8446
1557840397,8467,8467
1557841773,8437,8437
1557844562,8472,8472
1557845973,8470,8470
1557847517,8508,8508
1557849031,8520,8520
1557850527,8527,8527
1557851777,8549,8549
1557856327,8536,8536
1557857938,8541,8541
1557860853,8666,8666
1557863124,8587,8587
1557867563,8617,8617
1557868948,8612,8612
1557870127,8637,8637
1557873795,8585,8585
1557875453,8616,8616
1557879005,8593,8593
1557884579,8619,8619
1557886389,8636,8636
1557888552,8630,8630
1557892500,8649,8649
1557893941,8678,8678
1557895648,8696,8696
1557897341,8685,8685
1557898977,8573,8573
1557901337,8594,8594
1557904434,8606,8606
1557905851,8626,8626
1557907366,8624,8624
1557909688,8615,8615
1557910830,8617,8617
1557913431,8546,8546
1557916331,8568,8568
1557918352,8546,8546
1557919685,8568,8568
1557920843,8596,8596
1557922068,8609,8609
1557924205,8519,8519
1557927575,8704,8704
1557930125,8754,8754
1557931526,8790,8790
1557936031,8811,8811
1557938637,8803,8803
1557940725,8821,8821
1557941977,8834,8834
1557946566,8870,8870
1557948968,8867,8867
1557950423,8839,8839
1557951658,8841,8841
1557955308,8846,8846
1557957182,8867,8867
1557959854,8860,8860
1557962525,8827,8827
1557966129,8814,8814
1557968172,8808,8808
1557969351,8820,8820
1557974193,8847,8847
1557976597,8793,8793
1557978885,8809,8809
1557980777,8809,8809
1557983756,8846,8846
1557988699,8807,8807
1557989995,8777,8777
1557991820,8782,8782
1557996121,8797,8797
1557997890,8765,8765
1557999831,8753,8753
1558002367,8745,8745
1558006683,8764,8764
1558008588,8705,8705
1558010602,8705,8705
1558011924,8703,8703
1558015797,8704,8704
1558018075,8739,8739
1558019604,8748,8748
1558021132,8745,8745
1558025013,8676,8676
1558027592,8691,8691
1558029707,8717,8717
1558032245,8627,8627
1558034020,8660,8660
1558035341,8696,8696
1558037402,8648,8648
1558039884,8646,8646
1558041795,8670,8670
1558045701,8675,8675
1558051550,8604,8604
1558055866,8664,8664
1558060043,8633,8633
1558069016,8633,8633
1558070446,8628,8628
1558071801,8561,8561
1558074588,8588,8588
1558077007,8525,8525
1558079419,8575,8575
1558080780,8586,8586
1558082485,8580,8580
1558083932,8513,8513
1558085834,8543,8543
1558088856,8510,8510
1558092218,8507,8507
1558093751,8521,8521
1558097157,8446,8446
1558101501,8377,8377
1558102860,8371,8371
1558105249,8404,8404
1558107794,8329,8329
1558109336,8333,8333
1558110501,8356,8356
1558113548,8326,8326
1558117758,8344,8344
1558119520,8277,8277
1558121479,8314,8314
1558122693,8259,8259
1558124006,8254,8254
1558126055,8284,8284
1558127527,8283,8283
1558130755,8225,8225
1558132104,8260,8260
1558133308,8236,8236
1558134878,8225,8225
1558136636,8204,8204
1558142816,8248,8248
1558144730,8207,8207
1558146650,8231,8231
1558148119,8193,8193
1558151182,8203,8203
1558155598,8159,8159
1558161500,8153,8153
1558163094,8140,8140
1558166811,8157,8157
1558167955,8143,8143
1558169155,8082,8082
1558170989,8099,8099
1558172617,8080,8080
1558173753,8101,8101
1558174989,8113,8113
1558180643,8053,8053
1558182143,8062,8062
1558183507,8075,8075
1558184961,8076,8076
1558187122,8061,8061
1558192248,8101,8101
1558193901,8108,8108
1558198879,8186,8186
1558200032,8196,8196
1558201337,8204,8204
1558202919,8198,8198
1558204958,8112,8112
1558210115,8162,8162
1558211754,8188,8188
1558213336,8154,8154
1558216301,8188,8188
1558218008,8197,8197
1558223001,8111,8111
1558224553,8129,8129
1558226142,8172,8172
1558229210,8175,8175
1558230683,8135,8135
1558236275,8108,8108
1558237776,8098,8098
1558240563,8120,8120
1558247136,8069,8069
1558248761,8080,8080
1558250056,8079,8079
1558251367,8087,8087
1558253529,8100,8100
1558254976,8098,8098
1558256926,8030,8030
1558258632,8056,8056
1558259944,8023,8023
1558262500,8031,8031
1558264566,8043,8043
1558270044,7968,7968
1558271488,7965,7965
1558273855,8012,8012
1558275170,8016,8016
1558280214,7994,7994
1558281562,7982,7982
1558283956,8033,8033
1558285691,7988,7988
1558286955,8007,8007
1558289130,8024,8024
1558293576,8051,8051
1558294972,8376,8376
1558301722,8628,8628
1558303582,8567,8567
1558305140,8580,8580
1558306337,8577,8577
1558308145,8580,8580
1558310262,8555,8555
1558311994,8584,8584
1558315822,8702,8702
1558318698,8751,8751
1558321772,8778,8778
1558323715,8798,8798
1558326623,8822,8822
1558328394,8794,8794
1558332408,8825,8825
1558333620,8849,8849
1558335289,8862,8862
1558337038,8903,8903
1558338780,8928,8928
1558340451,8929,8929
1558341909,8923,8923
1558344664,8937,8937
1558346086,8900,8900
1558347963,8906,8906
1558349273,8905,8905
1558352659,8925,8925
1558354342,8867,8867
1558356278,8864,8864
1558357805,8869,8869
1558360236,8875,8875
1558361609,8888,8888
1558362786,8905,8905
1558364267,8918,8918
1558365470,8917,8917
1558369264,8693,8693
1558370614,8678,8678
1558371965,8688,8688
1558374297,8907,8907
1558377469,8054,8054
1558381484,8110,8110
1558383308,8130,8130
1558387147,8168,8168
1558388304,8188,8188
1558390169,8197,8197
1558392673,8235,8235
1558401042,8479,8479
1558402526,8503,8503
1558404549,8489,8489
1558408155,8496,8496
1558412495,8592,8592
1558415420,8576,8576
1558420209,8624,8624
1558421363,8651,8651
1558423585,8679,8679
1558425766,8686,8686
1558428639,8667,8667
1558430034,8680,8680
1558431522,8699,8699
1558433527,8669,8669
1558434918,8686,8686
1558436487,8686,8686
1558439386,8726,8726
1558441178,8732,8732
1558442443,8736,8736
1558444148,8701,8701
1558445368,8712,8712
1558446849,8730,8730
1558448441,8760,8760
1558449788,8733,8733
1558451706,8744,8744
1558453427,8736,8736
1558456144,8768,8768
1558458635,8762,8762
1558460523,8818,8818
1558463798,8831,8831
1558466980,8767,8767
1558469638,8881,8881
1558472111,8911,8911
1558474254,8904,8904
1558475735,8878,8878
1558479522,8893,8893
1558481281,8902,8902
1558485700,8919,8919
1558490331,8855,8855
1558491706,8854,8854
1558499289,8896,8896
1558500704,8845,8845
1558504161,8727,8727
1558505782,8740,8740
1558508730,8749,8749
1558510934,8774,8774
1558514195,8760,8760
1558516158,8695,8695
1558518667,8705,8705
1558520469,8713,8713
1558523932,8692,8692
1558525685,8675,8675
1558527867,8684,8684
1558529433,8679,8679
1558530819,8660,8660
1558532085,8657,8657
1558533905,8708,8708
1558535164,8681,8681
1558536606,8592,8592
1558538615,8613,8613
1558539878,8593,8593
1558541177,8608,8608
1558542647,8637,8637
1558544730,8555,8555
1558546157,8583,8583
1558548491,8541,8541
1558551334,8647,8647
1558551422,8648,8648
1558554261,8756,8756
1558556465,8881,8881
1558557859,8917,8917
1558559547,8915,8915
1558562349,8883,8883
1558563670,8904,8904
1558565001,8838,8838
1558566513,8843,8843
1558569242,8909,8909
1558571304,8934,8934
1558574770,8928,8928
1558576080,8928,8928
1558580948,8932,8932
1558583171,8959,8959
1558584336,8968,8968
1558586612,8897,8897
1558588671,8950,8950
1558590468,8936,8936
1558592713,8963,8963
1558594205,8989,8989
1558595871,8998,8998
1558598292,8964,8964
1558599994,8988,8988
1558601330,9001,9001
1558602583,9030,9030
1558606233,9078,9078
1558607428,9089,9089
1558609323,9095,9095
1558612798,9132,9132
1558617909,9090,9090
1558620546,9071,9071
1558622122,9093,9093
1558623527,9091,9091
1558624749,9088,9088
1558626220,9090,9090
1558630294,9100,9100
1558631644,9102,9102
1558633060,9118,9118
1558634962,9103,9103
1558636330,9100,9100
1558638879,9022,9022
1558640093,9036,9036
1558643187,9041,9041
1558644645,9053,9053
1558647459,9046,9046
1558648771,8996,8996
1558649912,8988,8988
1558656407,8961,8961
1558658714,9000,9000
1558659977,9003,9003
1558662415,8953,8953
1558664914,8963,8963
1558666611,8954,8954
1558669950,8974,8974
1558673298,8906,8906
1558674861,8916,8916
1558676955,8913,8913
1558678609,8908,8908
1558679988,8922,8922
1558682003,8924,8924
1558683420,8901,8901
1558685970,8888,8888
1558688269,8899,8899
1558690786,8880,8880
1558694595,8815,8815
1558695850,8799,8799
1558697736,8986,8986
1558699564,8949,8949
1558701336,8971,8971
1558704033,8951,8951
1558705491,8971,8971
1558708149,8959,8959
1558709368,8930,8930
1558711686,8960,8960
1558713576,8931,8931
1558715536,8923,8923
1558719234,9011,9011
1558721032,8884,8884
1558723889,8896,8896
1558725442,8894,8894
1558731940,9121,9121
1558739865,9056,9056
1558742725,9079,9079
1558745768,9015,9015
1558748204,9061,9061
1558754565,9049,9049
1558757326,9069,9069
1558759011,9056,9056
1558760966,8982,8982
1558763977,8974,8974
1558765319,8998,8998
1558766642,9009,9009
1558767889,8999,8999
1558769232,8985,8985
1558770771,8912,8912
1558774211,8897,8897
1558776545,8902,8902
1558779477,8888,8888
1558780676,8900,8900
1558782353,8913,8913
1558784247,8901,8901
1558788643,8806,8806
1558790588,8802,8802
1558794551,8832,8832
1558796665,8758,8758
1558800911,8763,8763
1558802767,8746,8746
1558805104,8789,8789
1558806907,8798,8798
1558809368,8786,8786
1558810775,8733,8733
1558813730,8732,8732
1558814995,8732,8732
1558819403,8917,8917
1558820989,8875,8875
1558822187,8871,8871
1558824202,8866,8866
1558831403,8881,8881
1558833094,8913,8913
1558836861,8885,8885
1558838226,8913,8913
1558844006,8839,8839
1558850651,8806,8806
1558854165,8910,8910
1558855583,8918,8918
1558857958,8855,8855
1558860562,8854,8854
1558862989,8868,8868
1558864210,8879,8879
1558865424,8892,8892
1558868338,8593,8593
1558870658,8625,8625
1558873837,8653,8653
1558875890,8654,8654
1558877502,8685,8685
1558880014,8698,8698
1558883402,8624,8624
1558885387,8612,8612
1558887237,8637,8637
1558890324,8724,8724
1558892238,8935,8935
1558894184,8896,8896
1558897730,8919,8919
1558899477,9010,9010
1558901338,8961,8961
1558903057,8976,8976
1558905751,8942,8942
1558908547,8850,8850
1558912026,8938,8938
1558916733,9095,9095
1558920198,9064,9064
1558923823,9067,9067
1558925401,9059,9059
1558927408,9082,9082
1558929752,9099,9099
1558932552,9062,9062
1558935822,9081,9081
1558939047,9107,9107
1558940396,9128,9128
1558942047,9176,9176
1558945203,9179,9179
1558946605,9130,9130
1558948844,9138,9138
1558950697,9131,9131
1558952318,9162,9162
1558953742,9182,9182
1558955719,9194,9194
1558960671,9169,9169
1558963491,9147,9147
1558991870,9028,9028
1558993476,9012,9012
1558995202,9012,9012
1558996381,9019,9019
1559000409,9008,9008
1559003223,9037,9037
1559005043,9028,9028
1559007990,8955,8955
1559011795,9001,9001
1559013183,9022,9022
1559015334,8984,8984
1559016565,8974,8974
1559019604,8990,8990
1559020890,8977,8977
1559022238,8941,8941
1559023478,8939,8939
1559024649,8943,8943
1559026362,8960,8960
1559027623,8956,8956
1559029187,8956,8956
1559031574,8925,8925
1559032911,8940,8940
1559035433,8916,8916
1559036592,8879,8879
1559038208,8859,8859
