DateTime,AddedIPs,RemovedIPs
1556868048,1,0
1556869343,1,2
1556871063,1,0
1556872658,1,0
1556876143,2,2
1556878250,1,2
1556883218,0,1
1556884606,1,0
1556885676,2,0
1556888610,0,12
1556890977,1,2
1556892902,16,0
1556894310,2,0
1556900930,2,1
1556903138,0,1
1556904523,1,0
1556907353,8,1
1556908145,2,0
1556908978,1,1
1556909804,1,0
1556910954,0,1
1556912447,1,1
1556914261,1,1
1556916181,0,1
1556917548,2,1
1556918939,3,0
1556920596,1,1
1556926123,2,0
1556927383,2,0
1556928884,1,0
1556929741,1,0
1556931962,2,2
1556935855,1,0
1556937951,0,1
1556940356,1,0
1556941560,0,2
1556943056,3,0
1556945822,1,0
1556947735,1,0
1556955759,1,1
1556958952,0,1
1556967954,2,0
1556970585,0,1
1556979046,1,0
1556980537,0,3
1556980971,1,0
1556983532,1,0
1556986248,0,1
1556992596,1,0
1556995366,3,0
1556998963,0,1
1557000892,1,0
1557002458,1,0
1557007854,1,0
1557011149,0,1
1557013393,1,0
1557018362,1,0
1557027779,0,1
1557031430,1,1
1557033364,1,0
1557042184,1,0
1557046593,1,0
1557058009,0,1
1557061539,0,7
1557064772,0,8
1557068766,1,0
1557072240,0,2
1557072894,1,0
1557074573,0,3
1557078539,0,1
1557079835,0,1
1557086190,1,0
1557089815,1,3
1557096165,0,1
1557097545,0,2
1557100247,1,0
1557104197,1,0
1557108654,1,0
1557114180,0,3
1557117103,1,0
1557119158,3,1
1557132166,0,1
1557134925,1,0
1557136597,1,1
1557137751,1,0
1557140746,1,0
1557142970,2,0
1557147951,1,2
1557149325,1,0
1557150641,1,2
1557151846,1,1
1557153083,1,1
1557155452,0,1
1557159297,2,0
1557160964,1,0
1557162891,0,1
1557163723,2,0
1557168193,1,1
1557170155,0,1
1557179438,1,0
1557182154,2,0
1557183916,0,1
1557192541,2,1
1557200798,6,4
1557204905,1,2
1557206057,1,1
1557208577,1,0
1557214713,1,0
1557217748,0,1
1557225048,1,0
1557226258,0,2
1557228422,1,0
1557231268,3,0
1557236367,1,0
1557238321,1,0
1557243887,0,3
1557247285,1,0
1557249073,0,4
1557252676,0,1
1557256264,1,0
1557257846,5,0
1557259754,1,0
1557262357,3,3
1557267358,1,0
1557269477,1,0
1557275892,1,0
1557277441,0,1
1557283593,1,1
1557286518,1,0
1557292343,0,13
1557298249,0,2
1557301559,0,7
1557303269,0,2
1557304650,1,0
1557309439,17,0
1557311237,2,0
1557312456,7,6
1557315715,5,0
1557317677,2,0
1557323062,1,1
1557334607,0,1
1557341828,1,0
1557344056,1,0
1557345512,0,1
1557357458,0,2
1557366281,2,0
1557371989,0,4
1557375055,5,0
1557379006,1,1
1557382475,2,0
1557385876,1,0
1557389058,1,2
1557395357,0,2
1557397622,0,1
1557402292,2,0
1557409550,1,0
1557411410,1,0
1557420278,0,1
1557425783,1,0
1557432089,0,3
1557435860,0,1
1557444115,1,1
1557447463,1,1
1557460417,1,1
1557465949,0,1
1557468994,2,0
1557470792,1,0
1557476226,0,1
1557481418,1,0
1557485543,1,40
1557490668,0,1
1557492327,1,3
1557501852,0,1
