DateTime,AddedIPs,RemovedIPs
1558532852,41,4
1558534533,11,23
1558535253,7,4
1558535972,13,7
1558536693,5,6
1558537412,12,5
1558540293,29,35
1558541013,12,9
1558542212,19,11
1558542933,7,6
1558544852,20,15
1558546052,9,13
1558546774,9,7
1558547492,9,6
1558549173,22,18
1558552773,36,44
1558553492,5,22
1558554213,7,9
1558554932,9,5
1558555653,4,9
1558556372,8,11
1558557092,5,11
1558558293,16,16
1558559012,9,7
1558559973,5,10
1558560693,6,10
1558561412,6,4
1558562132,10,9
1558562852,10,4
1558563573,9,2
1558564292,11,62
1558565013,6,9
1558565733,4,7
1558566693,28,12
1558567413,11,9
1558568133,11,6
1558568852,4,4
1558569633,4,8
1558570534,10,8
1558571253,4,5
1558571973,6,4
1558572692,6,3
1558573413,9,8
1558574132,8,5
1558574853,4,7
1558575573,8,8
1558576293,8,7
1558577012,8,7
1558577734,6,5
1558578694,10,12
1558579412,6,8
1558580132,6,6
1558580854,5,9
1558581573,3,9
1558582292,2,3
1558583012,6,5
1558583733,14,4
1558584452,7,3
1558585174,6,9
1558585893,9,5
1558586613,11,6
1558587332,53,8
1558588054,23,5
1558588773,107,29
1558589493,5,8
1558590213,9,4
1558591413,9,12
1558592133,11,4
1558592852,7,9
1558593574,9,7
1558594293,10,7
1558595013,6,6
1558595733,6,7
1558597173,12,12
1558597892,10,10
1558598613,2987,3
1558599333,3948,4
1558600053,13,10
1558600774,7,5
1558601493,11,9
1558602933,16,23
1558603654,9,10
1558604373,9,69
1558605093,15,7
1558605814,6,6
1558606534,8,12
1558607493,15,9
1558608213,15,11
1558609234,12,11
1558609894,15,10
1558610614,9,13
1558611333,10,12
1558612052,11,7
1558613253,12,19
1558613974,6,9
1558614692,10,9
1558615894,17,12
1558616614,8,14
1558617332,13,7
1558618054,16,6
1558618774,10,111
1558619493,11,42
1558620213,14,7
1558620933,9,3
1558622372,16,21
1558624054,24,19
1558624773,10,9
1558625493,8,10
1558630053,8343,63
1558630773,8,8
1558631973,17,10
1558632694,28,10
1558633894,13,17
1558634613,11,7
1558635334,6,7
1558636054,8,14
1558636773,7,9
1558637494,7,8
1558638933,18,13
1558639653,10,4
1558640374,12,9
1558641094,11,11
1558642773,29,14
1558643494,8,5
1558644214,12,9
1558644933,7,11
1558645654,9,11
1558646374,9,3
1558647093,6,6
1558648293,14,14
1558650214,24,24
1558650933,7,11
1558651653,3,4
1558653333,17,28
1558654054,9,12
1558654773,5,14
1558655493,12,4
1558657173,17,16
1558658374,14,14
1558659094,9,11
1558660293,12,16
1558661013,11,6
1558662693,22,19
1558663414,10,12
1558664853,11,14
1558665573,11,11
1558667734,27,14
1558669173,22,10
1558669893,4,11
1558670614,8,10
1558671333,5,11
1558672054,10,4
1558672773,8,12
1558673493,18,12
1558674933,19,62
1558675653,12,7
1558676374,15,12
1558677094,13,5
1558678294,15,12
1558679493,12,12
1558680214,9,13
1558681894,22,19
1558682613,6,4
1558685254,22,26
1558685973,5,13
1558686693,7,14
1558689334,19,36
1558690053,16,10
1558690774,10,8
1558691494,14,16
1558692213,9,6
1558692933,12,8
1558693654,13,14
1558694374,9,13
1558695093,9,9
1558695814,6,9
1558696534,9,13
1558697253,8,9
1558697973,8,6
1558698695,7,15
1558699773,10,9
1558700613,6,9
1558701334,12,16
1558702053,5,9
1558703253,9,14
1558703974,8,11
1558704693,9,15
1558705414,6,13
1558706135,11,9
1558706853,8,14
1558707573,4,8
1558708773,12,11
1558709494,8,7
1558710214,7,9
1558710933,154,15
1558711653,8,9
1558712389,8,1031
1558713093,9,7
1558714533,16,20
1558715253,6,13
1558716213,7,14
1558716933,8,13
1558717654,9,9
1558718373,5,10
1558720293,20,37
1558721014,7,12
1558721733,7,7
1558722693,8,8
1558723894,17,11
1558724614,11,10
1558725333,5,8
1558727013,16,26
1558727733,10,11
1558728933,13,20
1558729653,12,12
1558730374,4,16
1558731094,10,3
1558731813,12,13
1558733493,18,12
1558734213,8,8
1558734933,6,11
1558735653,11,6
1558736373,11,11
1558739493,30,27
1558740214,6,8
1558740933,7,5
1558741653,8,7
1558743813,15,25
1558744533,9,10
1558745253,6,8
1558745973,6,6
1558747174,10,18
1558747893,10,10
1558749094,10,22
1558751494,23,27
1558752213,7,9
1558752934,4,9
1558753653,5,10
1558754373,9,9
1558755094,9,14
1558756293,21,10
1558757013,9,11
1558757733,10,5
1558758454,3,10
1558759174,10,9
1558759893,12,17
1558760613,5,11
1558761333,8,108
1558762533,15,24
1558764454,19,33
1558765173,13,10
1558766854,16,23
1558768533,18,19
1558769253,8,11
1558769974,8,8
1558770693,8,3
1558772133,13,15
1558772853,9,7
1558774053,14,18
1558775733,25,21
1558776453,11,19
1558777654,15,19
1558780053,18,37
1558780773,5,12
1558781493,13,10
1558782214,9,7
1558783654,10,17
1558784373,6,13
1558786055,13,25
1558786773,6,7
1558787554,4,11
1558788214,7,8
1558789893,25,9
1558790613,5,8
1558791334,9,11
1558792053,5,7
1558793254,8,16
1558793973,6,3
1558794693,8,7
1558797574,250,153
1558798294,10,7
1558799014,4,9
1558799734,9,12
1558800934,10,11
1558801654,8,8
1558802373,56,6
1558804053,22,18
1558804775,4,6
1558808374,34,38
1558809094,5,6
1558810294,8,20
1558814134,36,43
1558814853,12,6
1558815574,11,13
1558816294,6,13
1558817014,10,7
1558817734,6,12
1558818453,4,15
1558819654,10,14
1558820374,8,11
1558822534,22,30
1558823734,12,12
1558824453,9,7
1558826134,12,16
1558826853,9,5
1558827573,7,7
1558828773,13,14
1558829493,6,7
1558830215,7,4
1558830935,9,8
1558832613,21,19
1558833334,7,7
1558834055,13,12
1558834773,6,3
1558835493,5,7
1558836213,6,6
1558836934,8,9
1558837654,6,4
1558838374,6,4
1558840773,22,29
1558841734,12,16
1558842454,5,12
1558843654,13,17
1558844373,9,7
1558845574,14,15
1558846294,13,9
1558847014,12,5
1558847733,9,7
1558848453,9,9
1558849174,5,13
1558852293,29,30
1558853013,76,12
1558853734,6,8
1558854454,8,8
1558855173,7,7
1558855893,8,7
1558857634,22,21
1558859014,11,15
1558859733,6,9
1558860453,3,9
1558861176,5,9
1558862853,15,25
1558863574,5,12
1558864295,5,12
1558865013,5,9
1558866213,15,6
1558866933,7,5
1558867653,8,14
1558868853,13,12
1558870053,12,8
1558870774,7,5
1558871494,12,9
1558872694,10,8
1558874673,16,17
1558875334,8,11
1558876053,6,4
1558876773,7,11
1558877494,4,10
1558878214,8,6
1558878933,6,7
1558879653,7,7
1558880374,49,5
1558881573,19,16
1558882293,8,214
1558883013,5,7
1558883733,11,5
1558884454,7,9
1558885174,10,7
1558887093,20,18
1558887814,5,9
1558888534,6,10
1558889253,16,51
1558891894,33,24
1558893093,13,17
1558894773,21,26
1558895493,7,5
1558898613,36,29
1558899333,12,9
1558900054,11,8
1558901253,16,14
1558901974,14,11
1558902694,7,5
1558903893,18,15
1558904613,11,4
1558905336,6,7
1558906053,19,2
1558906773,5,9
1558907493,2,11
1558908693,11,9
1558909413,7,5
1558910136,15,8
1558911333,17,11
1558912053,70,6
1558912774,10,11
1558913495,3,6
1558914694,19,20
1558916373,19,15
1558917094,8,7
1558919253,25,24
1558919973,11,8
1558921174,15,19
1558922374,14,10
1558923813,14,15
1558924533,7,6
1558925253,8,7
1558927893,31,26
1558928613,7,9
1558929333,10,4
1558931974,26,28
1558932693,5,13
1558934134,18,34
1558934853,10,13
1558935573,4,6
1558936294,9,7
1558938213,25,23
1558938934,7,7
1558940134,10,73
1558940854,9,10
1558941574,6,9
1558944454,57,36
