DateTime,AddedIPs,RemovedIPs
1557962199,27,37
1557964092,28,0
1557966012,26,28
1557967948,31,33
1557969877,35,67
1557973938,37,57
1557975855,25,26
1557977771,35,28
1557979693,25,28
1557981637,31,34
1557983531,34,17
1557985454,34,29
1557987405,30,37
1557989295,28,23
1557991475,21,30
1557993393,28,28
1557995314,19,33
1557997237,19,24
1557999379,16,8
1558001562,17,18
1558003476,30,28
1558007317,38,55
1558009251,32,25
1558011130,25,26
1558013052,22,22
1558014993,21,22
1558016924,27,36
1558018821,33,27
1558021004,22,38
1558023408,32,27
1558025319,27,27
1558029130,28,45
1558031067,31,22
1558032995,15,33
1558034914,26,19
1558038757,28,43
1558040656,22,34
1558042572,23,17
1558044522,25,21
1558046442,31,30
1558048360,34,40
1558050250,24,26
1558052179,20,34
1558054335,28,27
1558058168,25,62
1558060092,34,0
1558062023,29,29
1558066105,37,90
1558069961,37,66
1558071876,23,30
1558073795,33,0
1558075695,34,34
1558077862,26,34
1558079772,40,27
1558081701,23,26
1558083628,31,23
1558085542,10,27
1558087476,11,16
1558089402,27,18
1558091551,23,37
1558093480,22,0
1558095372,31,37
1558099210,23,63
1558101149,25,25
1558103053,27,20
1558104978,32,31
1558106913,41,33
1558111235,30,60
1558113738,27,28
1558115550,34,29
1558117452,38,0
1558119370,25,31
1558121307,30,18
1558123225,20,31
1558125158,30,33
1558127178,29,25
1558129233,38,28
1558131136,26,27
1558134403,36,30
1558136409,32,29
1558138360,32,20
1558140252,27,21
1558142173,18,28
1558144118,31,0
1558148176,27,57
1558150095,40,28
1558152264,31,0
1558154416,30,35
1558156582,31,29
1558158519,25,28
1558160433,28,28
1558162541,15,33
1558164487,26,23
1558166431,24,31
1558168337,18,25
1558170279,37,30
1558172170,13,11
1558176012,24,42
1558177939,16,0
1558179871,32,21
1558181773,33,56
1558183691,28,0
1558185613,23,20
1558187550,38,23
1558189452,22,0
1558191366,17,25
1558193291,30,31
1558195111,27,34
1558197134,29,0
1558199056,29,24
1558200992,25,20
1558204816,25,68
1558206732,24,23
1558208669,30,31
1558210573,26,27
1558212736,24,24
1558214676,26,27
1558216574,27,31
1558218491,24,25
1558220440,20,0
1558222361,20,33
1558224261,23,26
1558226172,24,27
1558228116,27,22
1558230035,29,19
1558231933,24,27
1558233869,26,0
1558235773,25,23
1558237691,30,41
1558239608,31,21
1558241552,26,31
1558243454,32,36
1558245392,29,19
1558247295,23,28
1558249227,24,14
1558251163,19,30
1558253077,27,21
1558254971,19,15
1558257139,9,31
1558259056,10,13
1558260991,13,0
1558262909,11,27
1558264834,14,22
1558266739,20,28
1558268655,41,34
1558270593,14,21
1558272494,31,27
1558274443,28,27
1558276358,30,23
1558278259,24,20
1558280191,27,28
1558282092,23,30
1558284040,33,26
1558285941,35,26
1558287857,33,23
1558289796,24,0
1558291704,27,18
1558293611,29,24
1558295574,30,26
1558297454,26,29
1558299370,23,18
1558301316,28,20
1558303239,30,24
1558305159,25,21
1558307057,26,22
1558308972,30,17
1558313074,22,41
1558314978,28,34
1558316897,26,25
1558318832,32,26
1558324573,31,92
1558326494,20,36
1558328441,28,26
1558330356,19,31
1558332274,25,31
1558334173,30,21
1558336115,27,23
1558338013,31,18
1558339935,25,30
1558341874,21,18
1558343782,18,12
1558345715,11,9
1558347609,21,12
1558351452,16,30
1558353375,26,15
1558355319,20,29
1558357235,19,17
1558359168,29,30
1558361059,25,24
1558362975,27,28
1558364917,18,24
1558366817,22,26
1558368746,28,29
1558372597,17,71
1558376430,29,60
1558378355,23,33
1558380258,36,32
1558382195,26,34
1558384114,31,21
1558386036,30,20
1558387955,31,36
1558389860,21,38
1558391773,30,29
1558393723,23,33
1558395614,28,32
1558397535,31,0
1558399476,26,22
1558401400,33,29
1558403295,31,0
1558405213,25,31
1558407154,33,29
1558409057,31,0
1558410994,35,34
1558412896,31,22
1558414826,10,0
1558416737,26,29
1558418674,25,21
1558420575,17,53
1558422496,24,0
1558424438,23,60
1558426356,17,29
1558428255,24,0
1558430193,7,35
1558432097,5,0
1558434029,3,30
1558435943,29,0
1558437865,18,15
1558439790,30,26
1558441711,33,0
1558443626,30,15
1558445561,26,23
1558447483,21,54
1558449392,24,25
1558451314,24,0
1558453216,31,18
1558455138,26,26
1558456966,28,21
1558458971,31,0
1558460907,17,21
1558462827,26,0
1558464746,32,27
1558466666,24,58
1558468584,20,0
1558470496,26,23
1558472431,19,23
1558474352,26,32
1558476257,20,24
1558478171,24,24
1558480129,29,53
1558482034,27,26
1558483962,27,29
1558485884,32,24
1558487785,34,0
1558489698,23,65
1558491620,24,21
1558493558,34,36
1558495461,31,28
1558497397,21,35
1558499298,25,33
1558501236,23,7
1558503141,27,33
1558505083,35,25
1558506998,18,23
1558508916,32,24
1558510818,21,0
1558514675,23,68
1558516601,10,5
1558518500,2,2
1558520414,1,0
1558522355,9,28
1558524265,8,0
1558526197,30,44
1558528092,22,0
1558530055,21,63
1558531937,28,0
1558534122,19,46
1558536035,20,25
1558538543,23,26
1558540368,20,33
1558542338,22,25
1558544508,23,27
1558546343,27,29
1558548822,23,16
1558552831,33,49
1558554729,20,25
1558556648,29,28
1558558567,24,27
1558560504,23,16
1558562424,28,31
1558564359,29,29
1558566254,30,25
1558568190,32,28
1558570105,32,31
1558572029,15,32
1558573931,24,35
1558575852,23,32
1558577788,21,30
1558579691,34,30
1558581643,26,36
1558583526,22,33
1558585450,38,27
1558587388,20,23
1558589285,33,20
1558591480,32,29
1558593378,24,37
1558595540,26,51
1558597448,26,23
1558599393,23,0
1558601288,19,24
1558603205,7,13
1558605150,9,2
1558607048,10,1
1558609271,29,6
1558611132,22,7
1558613055,25,29
1558614969,30,25
1558616890,20,21
1558618834,14,23
1558620731,24,17
1558622647,29,22
1558624569,15,0
1558626488,17,21
1558629649,18,35
1558631699,23,23
1558633690,19,25
1558635607,25,22
1558637569,12,0
1558639453,29,25
1558641367,28,21
1558643288,31,29
1558645229,18,21
1558647155,21,23
1558649319,24,27
1558651209,16,29
1558653400,14,29
1558655294,29,28
1558657234,27,24
1558659168,22,18
1558661074,31,27
1558662965,35,18
1558664914,31,28
1558666837,29,31
1558668759,28,23
1558670673,21,17
1558672577,24,39
1558674519,34,20
1558676433,36,32
1558678355,29,34
1558682169,24,52
1558684358,27,28
1558686505,19,27
1558688437,25,22
1558690334,3,6
1558692276,6,8
1558696092,29,34
1558698036,25,26
1558700183,23,26
1558702114,29,36
1558704033,22,21
1558705935,23,17
1558709765,27,58
1558711712,28,22
1558717719,30,34
1558719876,31,18
1558721796,31,26
1558723690,33,27
1558725855,32,54
1558729708,34,58
1558731636,25,27
1558733559,40,14
1558735456,25,0
1558738611,31,36
1558740501,35,20
1558742440,21,23
1558744338,30,34
1558746259,30,22
1558748172,26,19
1558750122,35,29
1558752016,26,33
1558753942,34,28
1558755875,29,27
1558757801,31,27
1558759695,35,21
1558761613,26,32
1558763560,29,35
1558765458,25,26
1558767376,35,0
1558769314,16,28
1558771240,29,27
1558775324,23,57
1558777238,6,3
1558779141,13,9
1558781054,7,0
1558783247,22,29
1558785156,35,29
1558788995,39,55
1558790895,33,20
1558792838,31,26
1558796659,30,26
1558804335,34,54
1558806417,35,33
1558808434,35,34
1558812277,31,64
1558814192,39,0
1558818012,24,36
1558819937,29,28
1558822119,24,69
1558824009,42,0
1558825932,35,24
1558827849,23,28
1558831718,39,59
1558833608,26,29
1558837452,22,66
1558839366,30,25
1558841288,28,36
1558843238,24,31
1558845161,31,33
1558848977,27,68
1558850920,32,36
1558852809,25,29
1558854732,28,34
1558856673,30,20
1558862437,16,47
1558864353,7,7
1558866271,11,19
1558868176,21,14
1558870112,20,20
1558872006,19,31
1558873959,28,0
1558875851,33,29
1558878014,36,34
1558879943,30,31
1558881854,29,0
1558885690,32,27
1558887611,28,0
1558889530,27,0
1558891475,35,32
1558893369,19,39
1558897237,24,34
1558899132,19,22
1558901052,32,37
1558902966,20,0
1558904887,26,24
1558906832,33,22
1558908756,27,24
1558910652,38,40
1558912570,32,31
1558914487,26,14
1558916437,41,0
1558918354,25,35
1558920254,31,27
1558922170,28,0
1558924085,31,24
1558926039,27,28
1558929856,27,44
1558931766,27,34
1558933741,25,0
1558935637,19,25
1558937801,24,31
1558939718,26,25
1558941638,22,26
1558943555,21,26
1558945460,25,0
1558947379,14,0
1558949288,9,15
1558953139,11,19
1558955120,18,15
1558956985,29,18
1558958922,24,16
1558960837,22,29
1558962979,25,25
1558964892,21,37
1558968994,29,61
1558975070,24,52
1558977980,23,54
1558982398,25,28
1558985184,28,19
1558988502,34,55
1558990482,25,16
1558992512,29,35
1558994423,26,38
1558996337,25,26
1558998253,25,33
1559000170,31,31
1559002093,19,32
1559007876,24,106
1559009788,31,29
1559011936,28,29
1559013858,27,28
1559015795,33,0
1559017961,35,23
1559019878,22,24
1559021773,28,29
1559023694,31,15
1559025612,33,22
1559029477,28,57
1559031396,18,19
1559033316,16,21
1559035232,10,19
1559037398,13,9
