DateTime,AddedIPs,RemovedIPs
1557962199,53,61
1557964092,49,52
1557966012,45,51
1557967948,62,45
1557969877,57,62
1557973938,59,54
1557975855,48,50
1557977771,53,60
1557979693,52,51
1557981637,56,54
1557983531,60,54
1557985454,52,60
1557987405,58,53
1557989295,59,56
1557991475,45,57
1557993393,52,50
1557995314,41,53
1557997237,48,44
1557999379,23,49
1558001562,38,24
1558003476,53,35
1558007317,62,54
1558009251,60,56
1558011130,45,61
1558013052,46,45
1558014993,43,45
1558016924,47,43
1558018821,54,54
1558021004,41,50
1558023408,60,40
1558025319,43,60
1558029130,52,44
1558031067,52,49
1558032995,36,51
1558034914,49,39
1558038757,53,51
1558040656,38,47
1558042572,43,41
1558044522,37,43
1558046442,48,36
1558048360,46,48
1558050250,43,46
1558052179,42,41
1558054335,40,39
1558058168,47,47
1558060092,53,44
1558062023,50,52
1558066105,57,53
1558069961,51,59
1558071876,40,46
1558073795,53,43
1558075695,57,51
1558077862,49,58
1558079772,61,55
1558081701,52,61
1558083628,63,53
1558085542,17,63
1558087476,33,17
1558089402,59,31
1558091551,36,57
1558093480,51,37
1558095372,62,49
1558099210,44,63
1558101149,45,44
1558103053,48,50
1558104978,60,47
1558106913,67,57
1558111235,51,68
1558113738,52,45
1558115550,54,52
1558117452,56,54
1558119370,47,54
1558121307,46,47
1558123225,54,53
1558125158,52,53
1558127178,53,49
1558129233,65,55
1558131136,52,68
1558134403,62,51
1558136409,61,61
1558138360,50,59
1558140252,54,50
1558142173,48,53
1558144118,57,50
1558148176,52,55
1558150095,66,53
1558152264,57,68
1558154416,57,55
1558156582,59,60
1558158519,50,53
1558160433,51,47
1558162541,37,53
1558164487,52,38
1558166431,46,52
1558168337,31,48
1558170279,58,32
1558172170,18,64
1558176012,53,15
1558177939,35,52
1558179871,61,38
1558181773,56,59
1558183691,56,53
1558185613,58,58
1558187550,68,58
1558189452,53,67
1558191366,51,50
1558193291,54,53
1558195111,65,55
1558197134,53,64
1558199056,48,52
1558200992,48,49
1558204816,54,49
1558206732,54,53
1558208669,65,57
1558210573,60,64
1558212736,50,56
1558214676,56,53
1558216574,54,55
1558218491,61,55
1558220440,56,59
1558222361,49,55
1558224261,49,52
1558226172,56,47
1558228116,67,60
1558230035,58,63
1558231933,53,58
1558233869,58,56
1558235773,51,55
1558237691,55,53
1558239608,58,59
1558241552,61,52
1558243454,53,64
1558245392,62,53
1558247295,51,62
1558249227,58,45
1558251163,45,60
1558253077,60,50
1558254971,44,59
1558257139,26,45
1558259056,17,28
1558260991,29,18
1558262909,31,28
1558264834,39,31
1558266739,38,39
1558268655,64,38
1558270593,45,60
1558272494,57,46
1558274443,57,55
1558276358,56,58
1558278259,57,55
1558280191,57,57
1558282092,59,57
1558284040,62,56
1558285941,63,67
1558287857,58,65
1558289796,48,56
1558291704,56,46
1558293611,60,58
1558295574,58,58
1558297454,48,57
1558299370,58,50
1558301316,59,58
1558303239,60,58
1558305159,55,59
1558307057,59,55
1558308972,65,59
1558313074,54,63
1558314978,45,55
1558316897,54,47
1558318832,66,55
1558324573,63,67
1558326494,52,64
1558328441,60,46
1558330356,53,60
1558332274,56,54
1558334173,55,58
1558336115,52,52
1558338013,56,54
1558339935,57,62
1558341874,41,56
1558343782,30,40
1558345715,17,34
1558347609,50,16
1558351452,33,47
1558353375,59,33
1558355319,46,50
1558357235,52,48
1558359168,54,51
1558361059,54,60
1558362975,46,52
1558364917,45,46
1558366817,50,45
1558368746,50,52
1558372597,41,48
1558376430,48,43
1558378355,53,48
1558380258,60,49
1558382195,52,65
1558384114,56,51
1558386036,52,56
1558387955,57,52
1558389860,42,50
1558391773,56,47
1558393723,53,51
1558395614,52,59
1558397535,59,51
1558399476,63,63
1558401400,60,58
1558403295,58,60
1558405213,58,61
1558407154,65,57
1558409057,66,69
1558410994,62,62
1558412896,65,64
1558414826,24,69
1558416737,64,21
1558418674,54,60
1558420575,50,54
1558422496,56,52
1558424438,52,51
1558426356,45,59
1558428255,46,44
1558430193,13,50
1558432097,12,15
1558434029,8,12
1558435943,58,7
1558437865,36,56
1558439790,58,37
1558441711,54,54
1558443626,57,57
1558445561,51,54
1558447483,47,49
1558449392,47,46
1558451314,50,50
1558453216,61,49
1558455138,51,61
1558456966,62,52
1558458971,55,57
1558460907,47,55
1558462827,51,50
1558464746,52,52
1558466666,54,53
1558468584,48,54
1558470496,57,48
1558472431,44,52
1558474352,49,49
1558476257,61,53
1558478171,56,57
1558480129,54,55
1558482034,49,55
1558483962,59,46
1558485884,65,64
1558487785,60,60
1558489698,56,64
1558491620,59,58
1558493558,62,55
1558495461,60,61
1558497397,50,63
1558499298,55,48
1558501236,51,53
1558503141,56,53
1558505083,56,58
1558506998,50,58
1558508916,67,49
1558510818,47,66
1558514675,45,50
1558516601,18,46
1558518500,3,19
1558520414,3,2
1558522355,18,4
1558524265,19,18
1558526197,57,17
1558528092,49,49
1558530055,41,53
1558531937,50,38
1558534122,37,48
1558536035,48,39
1558538543,48,50
1558540368,50,47
1558542338,43,50
1558544508,52,43
1558546343,48,50
1558548822,47,46
1558552831,52,51
1558554729,49,54
1558556648,52,49
1558558567,44,52
1558560504,57,44
1558562424,49,54
1558564359,54,48
1558566254,57,56
1558568190,52,55
1558570105,60,58
1558572029,52,55
1558573931,51,53
1558575852,54,53
1558577788,55,51
1558579691,58,57
1558581643,56,58
1558583526,47,57
1558585450,59,50
1558587388,56,56
1558589285,61,58
1558591480,65,60
1558593378,59,62
1558595540,52,59
1558597448,56,51
1558599393,47,57
1558601288,41,52
1558603205,11,41
1558605150,19,13
1558607048,26,19
1558609271,51,24
1558611132,51,47
1558613055,57,52
1558614969,57,54
1558616890,41,58
1558618834,40,38
1558620731,44,38
1558622647,53,54
1558624569,51,53
1558626488,48,47
1558629649,45,40
1558631699,40,50
1558633690,47,36
1558635607,55,50
1558637569,43,48
1558639453,52,53
1558641367,50,55
1558643288,53,48
1558645229,54,56
1558647155,38,52
1558649319,44,34
1558651209,40,44
1558653400,38,42
1558655294,58,42
1558657234,65,55
1558659168,39,66
1558661074,52,40
1558662965,50,49
1558664914,56,51
1558666837,55,54
1558668759,53,57
1558670673,48,41
1558672577,48,60
1558674519,57,50
1558676433,67,56
1558678355,61,70
1558682169,45,58
1558684358,59,45
1558686505,41,58
1558688437,51,40
1558690334,11,55
1558692276,18,14
1558696092,54,17
1558698036,51,48
1558700183,50,52
1558702114,53,49
1558704033,41,51
1558705935,45,42
1558709765,53,46
1558711712,49,53
1558717719,51,52
1558719876,63,52
1558721796,59,63
1558723690,61,59
1558725855,62,60
1558729708,61,62
1558731636,53,59
1558733559,59,49
1558735456,57,63
1558738611,59,55
1558740501,65,66
1558742440,54,61
1558744338,62,52
1558746259,62,63
1558748172,53,59
1558750122,56,52
1558752016,46,56
1558753942,61,54
1558755875,58,60
1558757801,56,52
1558759695,57,57
1558761613,60,58
1558763560,57,58
1558765458,49,58
1558767376,59,54
1558769314,42,53
1558771240,49,45
1558775324,46,47
1558777238,14,53
1558779141,29,15
