DateTime,AddedIPs,RemovedIPs
1553609464,3,3
1553620370,3,3
1553631279,5,1
1553642352,4,1
1553653281,4,4
1553663915,2,1
1553674752,3,5
1553685756,5,2
1553697580,2,3
1553708394,3,3
1553719362,3,5
1553730186,3,4
1553741168,3,4
1553751654,1,7
1553762549,1,4
1553773166,0,7
1553784041,3,4
1553794860,2,5
1553805649,1,2
1553815611,0,1
1553826676,2,2
1553837048,3,4
1553848035,3,3
1553859147,9,6
1553869503,4,2
1553880143,3,4
1553890578,7,2
1553901412,2,3
1553912272,3,4
1553923165,4,3
1553933570,2,0
1553944263,1,3
1553955278,5,1
1553966321,1,3
1553977357,6,5
1553988692,3,4
1553999511,6,3
1554010521,3,5
1554021583,4,0
1554032635,8,6
1554043214,1,2
1554053599,3,8
1554064764,0,4
1554075393,3,6
1554086259,2,0
1554097078,5,4
1554107962,5,2
1554118817,2,2
1554129836,5,8
1554140790,1,4
1554152407,7,2
1554163407,2,7
1554173258,3,3
1554184080,1,0
1554206010,2,3
1554216105,1,6
1554227044,2,3
1554237936,3,2
1554248142,3,7
1554258785,2,5
1554269115,2,5
1554280070,3,2
1554290839,2,3
1554301462,0,1
1554312435,1,1
1554323494,3,3
1554334517,0,4
1554344687,1,3
1554355564,0,4
1554366073,3,2
1554376562,0,4
1554387450,2,2
1554397693,4,5
1554408711,0,5
1554419174,3,2
1554430213,0,3
1554441214,5,2
1554451837,3,5
1554462533,1,6
1554473084,3,6
1554483725,4,5
1554494450,5,2
1554505406,3,2
1554516191,2,3
1554527133,2,3
1554537907,5,3
1554548891,7,3
1554559525,3,2
1554570432,3,3
1554581484,1,3
1554592514,2,4
1554603572,1,3
1554614351,1,4
1554625118,1,2
1554636209,2,1
1554646702,2,1
1554657515,2,1
1554668576,1,3
1554679618,2,4
1554690145,2,2
1554699776,1,6
1554710594,0,4
1554721611,1,3
1554731957,3,2
1554742166,3,2
1554752153,0,5
1554762978,0,4
1554773986,2,3
1554785049,3,2
1554796021,3,1
1554806808,1,5
1554817515,2,6
1554827904,2,8
1554839252,2,7
1554849163,1,1
1554859497,2,4
1554870170,2,4
1554891925,4,7
1554902866,1,4
1554913695,2,5
1554924443,7,4
1554935171,5,5
1554946054,1,5
1554957094,3,1
1554967769,1,1
1554978508,1,5
1554989775,2,2
1555000785,4,2
1555011797,4,6
1555023380,7,6
1555034335,3,2
1555045444,1,4
1555056369,5,6
1555066727,3,2
1555077282,2,3
1555088396,0,3
1555099257,4,3
1555110483,7,4
1555120907,2,1
1555131829,3,2
1555142835,2,2
1555153796,1,5
1555164592,5,6
1555175422,4,2
1555186202,4,3
