DateTime,AddedIPs,RemovedIPs
1556256742,710,7
1556261555,713,766
1556264669,738,13
1556270426,712,733
1556274040,713,724
1556277400,726,1469
1556280978,785,759
1556284352,806,783
1556287957,775,787
1556292027,831,771
1556295631,780,805
1556299697,682,1373
1556309806,739,812
1556361165,802,8020
1556452345,820,7749
1556455236,928,3
1556459549,907,6
1556463391,825,9
1556468425,828,10
1556476568,823,12
1556479935,840,10
1556484764,816,10
1556488587,767,10
1556496510,755,8
1556501565,789,7
1556515210,754,7
1556519557,820,7
1556523153,802,7
1556526251,737,7
1556529392,851,5
1556532989,831,4
1556537553,766,4
1556541154,770,730
1556544996,871,755
1556547873,780,737
1556550735,832,749
1556559861,865,735
1556567548,834,1522
1556571639,817,742
1556574734,760,9
1556584567,843,1453
1556587945,760,10
1556592765,715,770
1556595375,745,10
1556599231,728,6
1556603050,727,706
1556620380,810,3915
1556637618,887,4129
1556651071,964,910
1556655903,832,857
1556660914,871,857
1556690188,780,5648
1556694512,850,8
1556753290,846,4594
1556763636,907,10
1556777312,865,790
1556781636,914,872
1556785960,899,7
1556791241,877,6
1556796280,839,8
1556803960,792,10
1556808735,894,10
1556811867,867,7
1556817153,748,10
1556830597,827,6
1556865377,905,2387
1556867536,787,8
1556877388,842,1716
1556880985,848,837
1556885308,800,811
1556891665,895,796
1556895877,784,886
1556899478,823,872
1556921791,873,1605
1556936193,861,10
1556954179,829,1678
1556967377,863,849
1556970036,887,849
1556976271,806,821
1556989479,910,2570
1557002649,857,12
1557019712,919,877
1557036493,860,879
1557039640,833,9
1557044192,845,797
1557047538,850,5
1557050923,872,12
1557054759,757,817
1557057638,808,863
1557062191,855,13
1557068189,817,797
1557073228,831,6
1557086446,500,493
1557086920,318,383
1557090764,808,801
1557108043,500,498
1557108523,371,365
1557109964,360,11
1557110412,443,0
1557113538,831,8
1557116911,755,6
1557120504,771,9
1557124341,783,754
1557126989,780,784
1557130331,773,5
1557133476,800,801
1557136354,838,781
1557140197,770,857
1557144045,810,1500
1557146894,808,7
1557150753,858,813
1557154577,812,11
1557157941,828,771
1557207861,795,6381
1557208829,569,10
1557212901,849,812
1557216508,835,844
1557222974,868,2505
1557226101,856,8
1557230445,872,800
1557233310,933,1707
1557236901,866,7
1557239548,862,903
1557243378,828,860
1557260413,859,862
1557265704,827,6
1557288036,763,6
1557309619,844,3875
1557368409,500,3888
1557368670,389,3301
1557370837,898,12
1557377075,901,884
1557380668,914,5
1557384253,937,4
1557388352,873,11
1557392198,876,7
1557397233,844,867
1557402261,857,13
1557408687,909,7
1557412580,862,10
1557415953,830,10
1557419565,788,12
1557423158,821,8
1557426034,732,12
1557429632,766,14
1557432769,822,15
1557435646,810,11
1557438989,810,13
1557442616,750,6
1557445950,762,9
1557450279,792,3
1557453647,775,11
1557457710,794,1526
1557463710,835,816
