DateTime,AddedIPs,RemovedIPs
1556217383,983,984
1556224599,972,971
1556231942,950,970
1556234671,933,915
1556239478,896,905
1556252436,863,895
1556253406,854,814
1556256742,936,935
1556261555,908,928
1556264669,955,936
1556270426,938,968
1556274040,917,907
1556277400,925,903
1556280978,967,967
1556284352,976,975
1556287957,926,976
1556292027,983,934
1556295631,969,971
1556299697,945,970
1556309806,903,879
1556361165,927,927
1556452345,934,957
1556455236,933,935
1556459549,954,932
1556463391,905,925
1556468425,914,925
1556476568,911,902
1556479935,969,943
1556484764,938,961
1556488587,937,912
1556496510,880,897
1556501565,950,934
1556515210,927,926
1556519557,938,968
1556523153,932,937
1556526251,971,937
1556529392,985,989
1556532989,965,969
1556537553,943,967
1556541154,928,927
1556544996,985,953
1556547873,932,993
1556550735,948,923
1556559861,984,947
1556567548,991,993
1556571639,938,985
1556574734,971,942
1556584567,971,958
1556587945,965,963
1556592765,866,891
1556595375,948,922
1556599231,924,937
1556603050,931,940
1556620380,950,928
1556637618,987,984
1556651071,998,997
1556655903,954,998
1556660914,959,916
1556690188,946,977
1556694512,928,922
1556753290,948,942
1556763636,973,954
1556777312,941,957
1556781636,961,945
1556785960,939,982
1556791241,942,943
1556796280,950,942
1556803960,925,919
1556808735,984,954
1556811867,933,985
1556817153,970,935
1556830597,928,969
1556865377,987,930
1556867536,981,983
1556877388,937,974
1556880985,975,935
1556885308,916,952
1556891665,994,957
1556895877,955,985
1556899478,937,943
1556921791,988,952
1556936193,943,986
1556954179,988,950
1556967377,948,972
1556970036,973,945
1556976271,981,982
1556989479,975,980
1557002649,965,985
1557019712,982,957
1557036493,974,977
1557039640,964,962
1557044192,974,976
1557047538,962,977
1557050923,985,969
1557054759,963,983
1557057638,935,929
1557062191,983,967
1557068189,935,982
1557073228,942,946
1557086446,500,447
1557086920,484,484
1557090764,926,981
1557108043,500,445
1557108523,495,495
1557109964,479,479
1557110412,443,500
1557113538,981,927
1557116911,960,978
1557120504,943,956
1557124341,943,948
1557126989,987,948
1557130331,937,977
1557133476,949,946
1557136354,986,951
1557140197,954,980
1557144045,974,951
1557146894,983,978
1557150753,987,987
1557154577,933,987
1557157941,986,934
1557207861,931,942
1557208829,717,726
1557212901,975,954
1557216508,935,980
1557222974,979,937
1557226101,972,977
1557230445,984,976
1557233310,992,992
1557236901,988,987
1557239548,949,990
1557243378,992,951
1557260413,950,988
1557265704,986,949
1557288036,931,958
1557309619,932,937
1557368409,500,467
1557368670,476,477
1557370837,969,973
1557377075,923,978
1557380668,945,935
1557384253,986,937
1557388352,929,965
1557392198,935,945
1557397233,941,936
1557402261,941,938
1557408687,991,953
1557412580,982,982
1557415953,934,984
1557419565,948,932
1557423158,958,947
1557426034,975,957
1557429632,930,952
1557432769,954,957
1557435646,988,957
1557438989,925,984
1557442616,943,923
1557445950,932,911
1557450279,974,958
1557453647,965,990
1557457710,928,957
1557463710,979,926
1557468284,972,988
1557472330,958,964
1557477879,956,957
1557482681,984,964
1557486741,941,978
1557491574,932,936
1557494907,978,933
1557499235,933,979
1557502849,945,931
1557507619,963,955
1557511220,939,935
1557515539,946,964
1557521300,979,941
1557525131,969,983
1557530183,959,971
1557533536,943,953
1557538377,968,941
1557542894,960,954
1557546978,947,957
1557549864,974,960
1557553930,943,983
1557558018,958,946
1557562101,963,947
1557566426,942,955
1557570015,975,956
1557574581,970,965
1557578648,953,985
1557583390,937,923
1557587067,921,944
1557593777,975,935
1557596896,947,957
1557599780,938,954
1557602436,983,955
1557605541,954,976
1557608427,971,950
1557612046,964,983
1557614899,939,971
1557617287,931,917
1557619957,877,874
1557623307,926,926
1557626421,964,930
1557632422,962,975
1557636747,944,954
1557642248,950,955
1557646368,986,959
1557650686,948,976
1557655000,933,954
1557658363,956,935
1557660510,943,945
1557663142,975,943
1557665574,977,977
1557669151,984,987
1557672752,943,984
1557675157,975,945
1557678281,930,964
1557681173,980,941
1557684550,989,979
1557687579,950,985
1557691240,923,935
1557695321,924,929
1557698201,962,938
1557701082,926,946
1557704175,954,936
1557708276,956,954
1557711167,956,939
1557714272,972,971
1557717170,979,976
1557719768,942,964
1557722907,964,944
1557725800,973,966
1557729162,940,970
1557730844,969,940
1557733216,986,984
1557736119,921,975
1557739717,973,929
1557742347,947,981
1557745477,934,935
1557748355,978,934
1557752508,936,957
1557755552,944,953
1557759169,962,953
1557762830,923,950
1557767087,905,910
1557770930,953,898
1557774522,931,949
1557778124,928,935
1557782444,932,968
1557789398,962,924
1557793236,977,962
1557797562,966,958
1557803530,459,460
1557804053,483,499
1557816993,472,456
1557817485,456,499
1557819159,943,930
1557823244,966,956
1557826368,969,968
1557829965,928,963
1557834262,922,930
1557837397,988,926
1557841476,978,987
1557844595,917,963
1557848441,947,927
1557852276,948,952
1557855876,985,946
1557859472,928,982
1557863790,967,931
1557867651,916,931
1557872441,948,955
1557879131,955,950
1557883719,974,949
1557888764,940,971
1557892578,925,914
1557998923,939,962
1558003479,991,938
1558007780,953,992
1558012131,991,951
1558016445,921,971
1558020434,975,938
1558024820,944,972
1558035134,924,954
1558038759,931,920
1558042357,987,927
1558045946,970,990
1558051725,947,954
1558056285,938,963
1558061767,986,934
1558065648,979,988
1558068993,963,984
1558073084,954,957
1558077405,940,961
1558080981,988,935
1558083893,982,982
1558091084,939,990
1558101160,976,940
1558106916,947,956
1558111238,955,931
1558116033,967,971
1558119670,940,977
1558123236,976,934
1558126591,919,953
1558139077,986,953
1558141097,949,976
1558147570,979,961
1558151797,954,963
1558156118,922,953
1558160912,955,939
1558164028,968,947
1558167609,949,974
1558171460,974,937
1558175552,952,991
1558179159,941,954
1558182520,970,937
1558186119,928,957
1558189715,929,935
1558194513,931,930
1558201708,945,929
1558205071,928,894
1558208674,910,929
1558212271,978,955
1558217565,951,989
1558223072,948,953
1558230751,983,940
1558234590,973,993
1558240603,923,906
1558243954,949,988
1558248276,995,953
1558251168,951,987
1558254251,961,938
1558258119,985,982
1558261724,987,979
