DateTime,Entries,UniqueIPs
1556217383,999,999
1556224599,1000,1000
1556231942,980,980
1556234671,998,998
1556239478,989,989
1556252436,957,957
1556253406,997,997
1556256742,998,998
1556261555,978,978
1556264669,997,997
1556270426,967,967
1556274040,977,977
1556277400,999,999
1556280978,999,999
1556284352,1000,1000
1556287957,950,950
1556292027,999,999
1556295631,997,997
1556299697,972,972
1556309806,996,996
1556361165,996,996
1556452345,973,973
1556455236,971,971
1556459549,993,993
1556463391,973,973
1556468425,962,962
1556476568,971,971
1556479935,997,997
1556484764,974,974
1556488587,999,999
1556496510,982,982
1556501565,998,998
1556515210,999,999
1556519557,969,969
1556523153,964,964
1556526251,998,998
1556529392,994,994
1556532989,990,990
1556537553,966,966
1556541154,967,967
1556544996,999,999
1556547873,938,938
1556550735,963,963
1556559861,1000,1000
1556567548,998,998
1556571639,951,951
1556574734,980,980
1556584567,993,993
1556587945,995,995
1556592765,970,970
1556595375,996,996
1556599231,983,983
1556603050,974,974
1556620380,996,996
1556637618,999,999
1556651071,1000,1000
1556655903,956,956
1556660914,999,999
1556690188,968,968
1556694512,974,974
1556753290,980,980
1556763636,999,999
1556777312,983,983
1556781636,999,999
1556785960,956,956
1556791241,955,955
1556796280,963,963
1556803960,969,969
1556808735,999,999
1556811867,947,947
1556817153,982,982
1556830597,941,941
1556865377,998,998
1556867536,996,996
1556877388,959,959
1556880985,999,999
1556885308,963,963
1556891665,1000,1000
1556895877,970,970
1556899478,964,964
1556921791,1000,1000
1556936193,957,957
1556954179,995,995
1556967377,971,971
1556970036,999,999
1556976271,998,998
1556989479,993,993
1557002649,973,973
1557019712,998,998
1557036493,995,995
1557039640,997,997
1557044192,995,995
1557047538,980,980
1557050923,996,996
1557054759,976,976
1557057638,982,982
1557062191,998,998
1557068189,951,951
1557073228,947,947
1557086446,1000,1000
1557086920,1000,1000
1557090764,945,945
1557108043,1000,1000
1557108523,1000,1000
1557109964,1000,1000
1557110412,943,943
1557113538,997,997
1557116911,979,979
1557120504,966,966
1557124341,961,961
1557126989,1000,1000
1557130331,960,960
1557133476,963,963
1557136354,998,998
1557140197,972,972
1557144045,995,995
1557146894,1000,1000
1557150753,1000,1000
1557154577,946,946
1557157941,998,998
