DateTime,AddedIPs,RemovedIPs
1556217383,330,289
1556224599,310,789
1556231942,257,262
1556234671,236,0
1556239478,195,0
1556252436,224,882
1556253406,243,255
1556256742,220,0
1556261555,239,303
1556264669,255,0
1556270426,249,238
1556274040,241,259
1556277400,221,492
1556280978,295,257
1556284352,308,289
1556287957,331,317
1556292027,339,301
1556295631,283,315
1556299697,211,600
1556309806,234,324
1556361165,252,2903
1556452345,341,3496
1556455236,462,0
1556459549,424,0
1556463391,364,0
1556468425,376,0
1556476568,366,0
1556479935,357,0
1556484764,356,0
1556488587,280,0
1556496510,284,0
1556501565,302,0
1556515210,263,0
1556519557,364,0
1556523153,346,0
1556526251,247,0
1556529392,362,0
1556532989,355,0
1556537553,314,0
1556541154,308,257
1556544996,376,291
1556547873,346,247
1556550735,379,276
1556559861,377,270
1556567548,332,565
1556571639,369,273
1556574734,294,0
1556584567,343,489
1556587945,279,0
1556592765,250,273
1556595375,268,0
1556599231,254,0
1556603050,262,210
1556620380,282,1587
1556637618,365,1855
1556651071,460,416
1556655903,382,359
1556660914,372,410
1556690188,278,2348
1556694512,387,0
1556753290,370,2167
1556763636,419,0
1556777312,372,337
1556781636,414,412
1556785960,450,0
1556791241,429,0
1556796280,389,0
1556803960,334,0
1556808735,406,0
1556811867,430,0
1556817153,277,0
1556830597,396,0
1556865377,399,948
1556867536,305,0
1556877388,378,777
1556880985,353,382
1556885308,327,360
1556891665,402,324
1556895877,320,384
1556899478,370,416
1556921791,368,694
1556936193,419,0
1556954179,328,708
1556967377,396,392
1556970036,389,351
1556976271,304,365
1556989479,403,1164
1557002649,399,0
1557019712,418,385
1557036493,368,423
1557039640,346,0
1557044192,353,302
1557047538,375,0
1557050923,391,0
1557054759,284,350
1557057638,333,363
1557062191,373,0
1557068189,368,304
1557073228,392,0
1557086920,320,381
1557090764,361,338
1557108523,374,364
1557109964,371,0
1557113538,346,0
1557116911,285,0
1557120504,315,0
1557124341,326,259
1557126989,280,292
1557130331,319,0
1557133476,337,310
1557136354,347,304
1557140197,293,370
1557144045,314,555
1557146894,317,0
1557150753,359,322
1557154577,378,0
1557157941,330,324
1557207861,263,2698
1557208829,321,0
1557212901,354,350
1557216508,386,352
1557222974,360,1110
1557226101,375,0
1557230445,378,328
1557233310,426,727
1557236901,379,0
1557239548,402,404
1557243378,331,416
1557260413,401,364
1557265704,343,0
1557288036,303,0
1557309619,353,1736
1557368670,364,3381
1557370837,419,0
1557377075,461,419
1557380668,471,0
1557384253,449,0
1557388352,425,0
1557392198,432,0
1557397233,389,402
1557402261,412,0
1557408687,419,0
1557412580,373,0
1557415953,395,0
1557419565,342,0
1557423158,354,0
1557426034,280,0
1557429632,321,0
1557432769,376,0
1557435646,329,0
1557438989,383,0
1557442616,299,0
1557445950,295,0
1557450279,302,0
1557453647,323,0
1557457710,347,550
1557463710,352,371
1557468284,291,352
1557472330,258,340
1557477879,296,338
1557482681,340,351
1557486741,304,309
1557491574,319,307
1557494907,319,0
1557499235,312,632
1557502849,318,322
1557507619,260,237
1557511220,271,294
1557515539,342,237
1557521300,339,638
1557525131,334,329
1557530183,290,668
1557533536,327,276
1557538377,256,316
1557542894,256,361
1557546978,245,352
1557549864,345,0
1557553930,311,360
1557558018,294,296
1557562101,290,282
1557566426,268,304
1557570015,337,317
1557574581,319,299
1557578648,295,321
1557583390,263,325
1557587067,281,290
1557593777,255,335
1557596896,251,253
1557599780,263,259
1557602436,321,342
1557605541,229,0
1557608427,293,319
1557612046,277,347
1557614899,348,0
1557617287,293,266
1557619957,279,291
1557623307,304,0
1557626421,295,242
1557632422,209,252
1557636747,270,550
1557642248,313,332
1557646368,223,287
1557650686,262,253
1557655000,335,264
1557658363,212,321
1557660510,279,0
1557663142,210,323
1557665574,314,276
1557669151,228,0
1557672752,329,248
1557675157,348,287
1557678281,308,0
1557681173,318,235
1557684550,351,212
1557687579,283,237
1557691240,298,285
1557695321,325,525
1557698201,330,0
1557701082,321,270
1557704175,286,585
1557708276,285,266
1557711167,263,303
1557714272,275,292
1557717170,251,0
1557719768,230,175
1557722907,269,0
1557725800,230,235
1557729162,266,302
1557730844,261,0
1557733216,304,213
1557736119,308,0
1557739717,201,250
1557742347,279,315
1557745477,269,208
1557748355,237,255
1557752508,225,496
1557755552,276,225
1557759169,288,333
1557762830,258,341
1557767087,269,312
1557770930,241,302
1557774522,227,643
1557778124,232,280
1557782444,368,315
1557789398,255,660
1557793236,280,306
1557797562,265,273
1557803530,242,546
1557816993,293,1346
1557819159,281,283
1557823244,378,686
1557826368,276,235
1557829965,355,349
1557834262,357,304
1557837397,336,266
1557841476,363,250
1557844595,343,338
1557848441,293,322
1557852276,334,274
1557855876,354,277
1557859472,336,274
1557863790,265,278
1557867651,331,286
1557872441,382,376
1557879131,356,273
1557883719,291,292
1557888764,301,300
1557892578,337,280
