DateTime,Entries,UniqueIPs
1556217383,6970,7298
1556224599,6502,6819
1556231942,6489,6814
1556234671,6716,7050
1556239478,6895,7245
1556252436,6245,6587
1556253406,6228,6575
1556256742,6439,6795
1556261555,6376,6731
1556264669,6615,6986
1556270426,6622,6997
1556274040,6603,6979
1556277400,6342,6708
1556280978,6374,6746
1556284352,6392,6765
1556287957,6402,6779
1556292027,6436,6817
1556295631,6403,6785
1556299697,6187,6396
1556309806,6113,6306
1556361165,3568,3655
1556452345,497,500
1556455236,955,962
1556459549,1371,1386
1556463391,1723,1750
1556468425,2089,2126
1556476568,2441,2492
1556479935,2784,2849
1556484764,3127,3205
1556488587,3397,3485
1556496510,3674,3769
1556501565,3969,4071
1556515210,4221,4334
1556519557,4576,4698
1556523153,4912,5044
1556526251,5151,5291
1556529392,5506,5653
1556532989,5856,6008
1556537553,6166,6322
1556541154,6220,6373
1556544996,6306,6458
1556547873,6407,6557
1556550735,6510,6660
1556559861,6612,6767
1556567548,6392,6534
1556571639,6491,6630
1556574734,6773,6924
1556584567,6637,6778
1556587945,6900,7057
1556592765,6879,7034
1556595375,7136,7302
1556599231,7384,7556
1556603050,7439,7608
1556620380,6173,6303
1556637618,4717,4813
1556651071,4765,4857
1556655903,4784,4880
1556660914,4745,4842
1556690188,2737,2772
1556694512,3115,3159
1556753290,1325,1362
1556763636,1735,1781
1556777312,1783,1816
1556781636,1792,1818
1556785960,2235,2268
1556791241,2658,2697
1556796280,3038,3086
1556803960,3363,3420
1556808735,3758,3826
1556811867,4180,4256
1556817153,4443,4533
1556830597,4831,4929
1556865377,4299,4380
1556867536,4592,4685
1556877388,4200,4286
1556880985,4168,4257
1556885308,4149,4224
1556891665,4225,4302
1556895877,4155,4238
1556899478,4097,4192
1556921791,3782,3866
1556936193,4189,4285
1556954179,3819,3905
1556967377,3819,3909
1556970036,3857,3947
1556976271,3803,3886
1556989479,3063,3125
1557002649,3447,3524
1557019712,3488,3557
1557036493,3433,3502
1557039640,3769,3848
1557044192,3819,3899
1557047538,4189,4274
1557050923,4567,4665
1557054759,4500,4599
1557057638,4465,4569
1557062191,4822,4942
1557068189,4888,5006
1557073228,5272,5398
1557086920,5210,5337
1557090764,5245,5360
1557108523,5253,5370
1557109964,5613,5741
1557113538,5950,6087
1557116911,6225,6372
1557120504,6530,6687
1557124341,6592,6754
1557126989,6586,6742
1557130331,6899,7061
1557133476,6928,7088
1557136354,6963,7131
1557140197,6899,7054
1557144045,6663,6813
1557146894,6972,7130
1557150753,7014,7167
1557154577,7381,7545
1557157941,7390,7551
1557207861,5026,5116
1557208829,5333,5437
1557212901,5334,5441
1557216508,5370,5475
1557222974,4637,4725
1557226101,5002,5100
1557230445,5048,5150
1557233310,4764,4849
1557236901,5135,5228
1557239548,5134,5226
1557243378,5052,5141
1557260413,5088,5178
1557265704,5420,5521
1557288036,5714,5824
1557309619,4375,4441
1557368670,1413,1424
1557370837,1817,1843
1557377075,1863,1885
1557380668,2328,2356
1557384253,2772,2805
1557388352,3184,3230
1557392198,3609,3662
1557397233,3598,3649
1557402261,3994,4061
1557408687,4404,4480
1557412580,4767,4853
1557415953,5149,5248
1557419565,5476,5590
1557423158,5821,5944
1557426034,6085,6224
1557429632,6385,6545
1557432769,6746,6921
1557435646,7063,7250
1557438989,7432,7633
1557442616,7724,7932
1557445950,8007,8227
1557450279,8306,8529
1557453647,8614,8852
1557457710,8426,8649
1557463710,8391,8630
1557468284,8326,8569
1557472330,8247,8487
1557477879,8215,8445
1557482681,8197,8434
1557486741,8196,8429
1557491574,8213,8441
1557494907,8524,8760
1557499235,8201,8440
1557502849,8191,8436
1557507619,8211,8459
1557511220,8182,8436
1557515539,8286,8541
1557521300,8009,8242
1557525131,8008,8247
1557530183,7636,7869
1557533536,7672,7920
1557538377,7613,7860
1557542894,7517,7755
1557546978,7410,7648
1557549864,7737,7993
1557553930,7703,7944
1557558018,7711,7942
1557562101,7718,7950
1557566426,7683,7914
1557570015,7689,7934
1557574581,7710,7954
1557578648,7677,7928
1557583390,7621,7866
1557587067,7610,7857
1557593777,7520,7777
1557596896,7530,7775
1557599780,7530,7779
1557602436,7516,7758
1557605541,7730,7987
1557608427,7701,7961
1557612046,7627,7891
1557614899,7963,8239
1557617287,7986,8266
1557619957,7974,8254
1557623307,8263,8558
1557626421,8323,8611
1557632422,8278,8568
1557636747,7990,8288
1557642248,7973,8269
1557646368,7913,8205
1557650686,7927,8214
1557655000,8009,8285
1557658363,7898,8176
1557660510,8165,8455
1557663142,8048,8342
1557665574,8083,8380
1557669151,8299,8608
1557672752,8388,8689
1557675157,8460,8750
1557678281,8755,9058
1557681173,8841,9141
1557684550,8966,9280
1557687579,9006,9326
1557691240,9013,9339
1557695321,8830,9139
1557698201,9150,9469
1557701082,9202,9520
1557704175,8920,9221
1557708276,8932,9240
1557711167,8897,9200
1557714272,8885,9183
1557717170,9118,9434
1557719768,9163,9489
1557722907,9423,9758
1557725800,9419,9753
1557729162,9384,9717
1557730844,9632,9978
1557733216,9723,10069
1557736119,10022,10377
1557739717,9956,10328
1557742347,9904,10292
1557745477,9964,10353
1557748355,9940,10335
1557752508,9674,10064
1557755552,9750,10115
1557759169,9702,10070
1557762830,9621,9987
1557767087,9570,9944
1557770930,9509,9883
1557774522,9116,9467
1557778124,9071,9419
1557782444,9120,9472
1557789398,8734,9067
1557793236,8700,9041
1557797562,8694,9033
1557803530,8407,8729
1557816993,7420,7676
1557819159,7412,7674
1557823244,7116,7366
1557826368,7155,7407
1557829965,7172,7413
1557834262,7221,7466
1557837397,7300,7536
1557841476,7414,7649
1557844595,7421,7654
1557848441,7401,7625
1557852276,7464,7685
1557855876,7541,7762
1557859472,7603,7824
1557863790,7591,7811
1557867651,7649,7856
1557872441,7655,7862
1557879131,7747,7945
1557883719,7751,7944
1557888764,7749,7945
1557892578,7819,8002
1557910823,6847,6998
1557915395,6555,6686
1557948252,3123,3166
1557951369,2760,2794
1557959778,1879,1904
1557968927,1410,1430
1557977313,498,500
1557990510,0,0
1557998923,500,500
1558003479,993,993
1558007780,1479,1481
1558012131,1947,1953
1558016445,2397,2406
1558020434,2839,2854
1558024820,3270,3292
1558035134,3722,3748
1558038759,4153,4187
1558042357,4579,4619
1558045946,4977,5026
1558051725,5347,5410
1558056285,5748,5818
1558061767,6101,6188
1558065648,6502,6593
1558068993,6821,6933
1558073084,7199,7315
1558077405,7601,7728
1558080981,7987,8127
1558083893,8286,8441
1558091084,7909,8063
1558101160,7505,7655
1558106916,7091,7237
1558111238,7075,7224
1558116033,7397,7554
1558119670,7685,7852
1558123236,7583,7752
1558126591,7504,7679
1558139077,6876,7031
1558141097,7148,7314
1558147570,7150,7321
1558151797,7189,7351
1558156118,6834,6983
1558160912,6871,7013
1558164028,6796,6947
1558167609,6773,6907
1558171460,6754,6890
1558175552,7139,7294
1558179159,7110,7256
1558182520,7410,7570
1558186119,7720,7882
1558189715,7735,7898
1558194513,7810,7969
1558201708,7772,7934
1558205071,7701,7858
1558208674,7658,7815
1558212271,7658,7811
1558217565,7664,7816
1558223072,7957,8115
1558230751,7718,7875
1558234590,7637,7795
1558240603,7514,7672
1558243954,7509,7677
1558248276,7474,7648
1558251168,7456,7636
1558254251,7370,7541
1558258119,7505,7681
1558261724,7825,8013
1558266272,7503,7686
1558274186,7271,7445
1558279470,7321,7481
1558283540,7237,7392
1558310657,5821,5924
1558318122,5823,5923
1558322896,5866,5969
1558329138,5923,6021
1558333464,5872,5961
1558336831,5852,5937
1558340427,5836,5924
1558344996,5503,5577
1558347874,5863,5947
1558351961,5861,5939
1558378861,4608,4681
1558379776,5015,5104
1558383635,5390,5491
1558389388,5783,5895
1558392276,6121,6248
1558398050,6175,6299
1558404284,6508,6649
1558409060,6556,6705
1558413889,6495,6654
1558419391,6470,6629
1558423707,6140,6296
1558428756,6145,6298
1558432826,6098,6257
1558438351,6114,6268
1558444118,6074,6234
1558448197,6408,6578
1558452757,6708,6882
1558456982,7107,7290
1558465931,7260,7436
1558470033,7165,7334
1558473634,7120,7286
1558477236,7017,7182
1558481306,7077,7241
1558485163,7122,7280
1558489231,7515,7682
1558494992,7506,7662
1558498341,7413,7569
1558504348,7375,7528
1558507699,7440,7578
1558513226,7450,7584
1558517311,7446,7584
1558539265,6201,6304
1558541418,6576,6689
1558550924,6596,6699
1558554995,6571,6678
1558559080,6684,6788
1558562913,6753,6857
1558566756,6728,6830
1558570601,6659,6761
1558574911,6638,6743
1558578760,6587,6687
1558582352,6642,6738
1558585233,6693,6788
1558588114,7001,7111
1558590994,7076,7180
1558592921,7431,7543
1558593853,7787,7904
1558596257,7761,7887
1558598680,8133,8272
1558602040,8086,8234
1558605881,8108,8266
1558608272,8484,8650
1558611391,8777,8949
1558614038,9041,9223
1558616901,9376,9567
1558620994,9702,9903
1558626275,9635,9839
1558634687,9619,9822
1558637580,9490,9691
1558640434,9710,9913
1558643053,9631,9833
1558646439,9529,9730
1558649329,9462,9665
1558652440,9682,9891
1558654839,9779,9992
1558657460,9708,9923
1558661805,9693,9911
1558663476,10060,10285
1558666848,10125,10340
1558669452,10007,10227
1558673559,10051,10270
1558679077,9743,9958
1558686037,8784,8962
1558689401,8893,9071
1558692995,8925,9111
1558698755,8615,8792
1558702117,8696,8871
1558705484,8710,8886
1558709057,8721,8895
1558712435,9042,9221
1558715313,9192,9368
1558719043,9520,9703
1558722762,9538,9721
1558726121,9569,9755
1558730436,9398,9589
1558733059,9482,9672
1558736431,9475,9668
1558742443,9190,9371
1558745316,9196,9374
1558748685,9123,9301
1558752280,9053,9240
1558755885,8760,8940
1558758520,9047,9232
1558762116,8940,9122
1558765969,8968,9152
1558770756,9296,9488
1558774123,9288,9479
1558777724,9241,9428
1558781558,9221,9407
1558785159,9097,9292
1558788012,9427,9632
1558792128,9098,9293
1558795477,8998,9200
1558799074,8901,9097
1558801720,8853,9054
1558806442,8889,9095
1558809158,9162,9371
1558812869,8856,9058
1558817076,8865,9074
1558821162,8847,9062
1558831228,8536,8749
1558835566,8360,8572
1558842514,8096,8302
1558848523,7844,8042
1558855241,7848,8051
1558858106,7736,7936
1558861960,7740,7942
1558865078,7731,7932
1558867937,8070,8287
1558870834,8023,8235
1558874176,8077,8300
1558877587,8081,8295
1558880451,8113,8329
1558883817,8145,8364
1558886663,8248,8474
1558890038,8269,8498
1558893380,8249,8473
1558896283,8240,8470
1558901322,8255,8483
1558907555,8165,8394
1558911143,8042,8277
1558921236,7984,8214
1558922900,7991,8222
1558927966,8307,8550
1558931058,8215,8446
1558934407,8518,8759
1558937322,8488,8731
1558941641,8726,8980
1558944520,8475,8713
1558948120,8835,9101
1558954614,8203,8440
1558959411,8183,8420
1558962513,8227,8463
1558966579,8194,8434
1558970404,7939,8180
1558975084,7874,8115
1558982421,7439,7663
1558986817,7463,7701
1558990493,7411,7648
1559004258,7124,7339
1559009325,6795,7004
1559036898,4853,4969
