DateTime,AddedIPs,RemovedIPs
1556192924,436,436
1556196041,461,461
1556198428,461,461
1556202768,479,479
1556206363,468,468
1556209244,474,474
1556213174,481,481
1556217383,484,484
1556224599,472,472
1556231942,470,470
1556234671,435,435
1556239478,407,407
1556252436,407,407
1556253406,441,441
1556256742,438,438
1556261555,430,430
1556264669,458,458
1556270426,471,471
1556274040,440,440
1556277400,426,426
1556280978,469,469
1556284352,476,476
1556287957,477,477
1556292027,485,485
1556295631,472,472
1556299697,473,473
1556309806,407,407
1556361165,431,431
1556452345,462,462
1556455236,462,462
1556459549,461,461
1556463391,432,432
1556468425,452,452
1556476568,440,440
1556479935,472,472
1556484764,464,464
1556488587,439,439
1556496510,399,399
1556501565,453,453
1556515210,428,428
1556519557,470,470
1556523153,468,468
1556526251,474,474
1556529392,491,491
1556532989,485,485
1556537553,479,479
1556541154,461,461
1556544996,488,488
1556547873,497,497
1556550735,488,488
1556559861,484,484
1556567548,493,493
1556571639,487,487
1556574734,492,492
1556584567,478,478
1556587945,471,471
1556592765,398,398
1556595375,454,454
1556599231,444,444
1556603050,457,457
1556620380,454,454
1556637618,488,488
1556651071,498,498
1556655903,498,498
1556660914,460,460
1556690188,478,478
1556694512,454,454
1556753290,468,468
1556763636,474,474
1556777312,458,458
1556781636,462,462
1556785960,483,483
1556791241,488,488
1556796280,487,487
1556803960,456,456
1556808735,485,485
1556811867,486,486
1556817153,488,488
1556830597,487,487
1556865377,489,489
1556867536,486,486
1556877388,479,479
1556880985,479,479
1556885308,453,453
1556891665,494,494
1556895877,485,485
1556899478,475,475
1556921791,488,488
1556936193,486,486
1556954179,493,493
1556967377,477,477
1556970036,475,475
1556976271,483,483
1556989479,482,482
1557002649,492,492
1557019712,485,485
1557036493,479,479
1557039640,467,467
1557044192,479,479
1557047538,482,482
1557050923,489,489
1557054759,487,487
1557057638,454,454
1557062191,485,485
1557068189,486,486
1557073228,495,495
1557086920,484,484
1557090764,483,483
1557108523,495,495
1557109964,479,479
1557113538,485,485
1557116911,482,482
1557120504,477,477
1557124341,482,482
1557126989,487,487
1557130331,478,478
1557133476,487,487
1557136354,490,490
1557140197,482,482
1557144045,479,479
1557146894,483,483
1557150753,488,488
1557154577,487,487
1557157941,488,488
1557207861,444,444
1557208829,457,457
1557212901,476,476
1557216508,482,482
1557222974,483,483
1557226101,481,481
1557230445,485,485
1557233310,494,494
1557236901,491,491
1557239548,490,490
1557243378,492,492
1557260413,490,490
1557265704,488,488
1557288036,459,459
1557309619,465,465
1557368670,477,477
1557370837,474,474
1557377075,483,483
1557380668,495,495
1557384253,490,490
1557388352,466,466
1557392198,482,482
1557397233,484,484
1557402261,480,480
1557408687,492,492
1557412580,483,483
1557415953,486,486
1557419565,484,484
1557423158,482,482
1557426034,481,481
1557429632,461,461
1557432769,485,485
1557435646,488,488
1557438989,484,484
1557442616,483,483
1557445950,450,450
1557450279,476,476
1557453647,492,492
1557457710,486,486
1557463710,484,484
1557468284,491,491
1557472330,483,483
1557477879,485,485
1557482681,490,490
1557486741,487,487
1557491574,482,482
1557494907,480,480
1557499235,482,482
1557502849,480,480
1557507619,490,490
1557511220,461,461
1557515539,486,486
1557521300,485,485
1557525131,487,487
1557530183,487,487
1557533536,482,482
1557538377,479,479
1557542894,466,466
1557546978,463,463
1557549864,485,485
1557553930,486,486
1557558018,487,487
1557562101,478,478
1557566426,468,468
1557570015,483,483
1557574581,472,472
1557578648,487,487
1557583390,459,459
1557587067,464,464
1557593777,478,478
1557596896,461,461
1557599780,467,467
1557602436,484,484
1557605541,480,480
1557608427,473,473
1557612046,485,485
1557614899,492,492
1557617287,472,472
1557619957,451,451
1557623307,462,462
1557626421,468,468
1557632422,477,477
1557636747,469,469
1557642248,481,481
1557646368,490,490
1557650686,479,479
1557655000,485,485
1557658363,487,487
1557660510,476,476
1557663142,476,476
1557665574,478,478
1557669151,491,491
1557672752,488,488
1557675157,490,490
1557678281,480,480
1557681173,490,490
1557684550,490,490
1557687579,487,487
1557691240,470,470
1557695321,476,476
1557698201,490,490
1557701082,475,475
1557704175,485,485
1557708276,484,484
1557711167,467,467
1557714272,483,483
1557717170,486,486
1557719768,471,471
1557722907,474,474
1557725800,477,477
1557729162,472,472
1557730844,473,473
1557733216,487,487
1557736119,477,477
1557739717,486,486
1557742347,492,492
1557745477,482,482
1557748355,480,480
1557752508,459,459
1557755552,477,477
1557759169,486,486
1557762830,476,476
1557767087,461,461
1557770930,454,454
1557774522,449,449
1557778124,453,453
1557782444,493,493
1557789398,485,485
1557793236,485,485
1557797562,467,467
1557803530,460,460
1557816993,473,473
1557819159,483,483
1557823244,487,487
1557826368,491,491
1557829965,483,483
1557834262,485,485
1557837397,492,492
1557841476,489,489
1557844595,476,476
1557848441,484,484
1557852276,489,489
1557855876,486,486
1557859472,483,483
1557863790,486,486
1557867651,450,450
1557872441,491,491
1557879131,491,491
1557883719,485,485
1557888764,482,482
1557892578,458,458
1557900282,0,500
1557998923,500,0
1558003479,493,493
1558007780,495,495
1558012131,493,493
1558016445,471,471
1558020434,488,488
1558024820,487,487
1558035134,495,495
1558038759,491,491
1558042357,487,487
1558045946,490,490
1558051725,474,474
1558056285,490,490
1558061767,487,487
1558065648,488,488
1558068993,493,493
1558073084,487,487
1558077405,495,495
1558080981,489,489
1558083893,485,485
1558091084,492,492
1558101160,492,492
1558106916,472,472
1558111238,456,456
1558116033,472,472
1558119670,482,482
1558123236,476,476
1558126591,453,453
1558139077,487,487
1558141097,477,477
1558147570,489,489
1558151797,474,474
1558156118,472,472
1558160912,491,491
1558164028,481,481
1558167609,488,488
1558171460,475,475
1558175552,493,493
1558179159,494,494
1558182520,490,490
1558186119,477,477
1558189715,485,485
1558194513,486,486
1558201708,483,483
1558205071,433,433
1558208674,434,434
1558212271,480,480
1558217565,489,489
1558223072,491,491
1558230751,486,486
1558234590,494,494
1558240603,426,426
1558243954,491,491
1558248276,495,495
1558251168,488,488
1558254251,474,474
1558258119,495,495
1558261724,490,490
1558266272,481,481
1558274186,494,494
1558279470,491,491
1558283540,488,488
1558310657,474,474
1558318122,484,484
1558322896,474,474
1558329138,485,485
1558333464,470,470
1558336831,489,489
1558340427,489,489
1558344996,488,488
1558347874,474,474
1558351961,480,480
1558378861,475,475
1558379776,500,500
1558383635,488,488
1558389388,487,487
1558392276,489,489
1558398050,487,487
1558404284,492,492
1558409060,491,491
1558413889,495,495
1558419391,455,455
1558423707,488,488
1558428756,486,486
1558432826,477,477
1558438351,480,480
1558444118,475,475
1558448197,487,487
1558452757,474,474
1558456982,494,494
1558465931,500,500
1558470033,463,463
1558473634,419,419
1558477236,478,478
1558481306,496,496
1558485163,488,488
1558489231,493,493
1558494992,484,484
1558498341,486,486
1558504348,439,439
1558507699,492,492
1558513226,494,494
1558517311,489,489
1558539265,481,481
1558541418,492,492
1558550924,487,487
1558554995,492,492
1558559080,482,482
1558562913,492,492
1558566756,492,492
1558570601,481,481
1558574911,496,496
1558578760,481,481
1558582352,490,490
1558585233,491,491
1558588114,490,490
1558590994,483,483
1558592921,495,495
1558593853,468,468
1558596257,487,487
1558598680,490,490
1558602040,491,491
1558605881,484,484
1558608272,489,489
1558611391,491,491
1558614038,473,473
1558616901,488,488
1558620994,472,472
1558626275,491,491
1558634687,490,490
1558637580,482,482
1558640434,404,404
1558643053,419,419
1558646439,472,472
1558649329,482,482
1558652440,486,486
1558654839,492,492
1558657460,490,490
1558661805,487,487
1558663476,490,490
1558666848,490,490
1558669452,494,494
1558673559,484,484
1558679077,495,495
1558686037,489,489
1558689401,487,487
1558692995,482,482
1558698755,488,488
1558702117,489,489
1558705484,486,486
1558709057,487,487
1558712435,489,489
1558715313,492,492
1558719043,494,494
1558722762,484,484
1558726121,483,483
1558730436,494,494
1558733059,475,475
1558736431,486,486
1558742443,487,487
1558745316,488,488
1558748685,455,455
1558752280,472,472
1558755885,484,484
1558758520,490,490
1558762116,438,438
1558765969,481,481
1558770756,491,491
1558774123,481,481
1558777724,492,492
1558781558,489,489
1558785159,491,491
1558788012,487,487
1558792128,486,486
1558795477,480,480
1558799074,416,416
1558801720,486,486
1558806442,487,487
1558809158,491,491
1558812869,481,481
1558817076,493,493
1558821162,484,484
1558831228,486,486
1558835566,488,488
1558842514,489,489
1558848523,495,495
1558855241,489,489
1558858106,488,488
1558861960,488,488
1558865078,488,488
1558867937,483,483
1558870834,488,488
1558874176,482,482
1558877587,481,481
1558880451,489,489
1558883817,480,480
1558886663,489,489
1558890038,486,486
1558893380,473,473
1558896283,492,492
1558901322,480,480
1558907555,483,483
1558911143,459,459
1558921236,471,471
1558922900,491,491
1558927966,490,490
1558931058,485,485
1558934407,484,484
1558937322,470,470
1558941641,461,461
1558944520,482,482
1558948120,496,496
1558954614,491,491
1558959411,462,462
1558962513,490,490
1558966579,488,488
1558970404,488,488
1558975084,481,481
1558982421,450,450
1558986817,475,475
1558990493,426,426
1559004258,427,427
1559009325,484,484
1559036898,494,494
