DateTime,AddedIPs,RemovedIPs
1557014879,0,1
1557018476,1,1
1557022072,1,0
1557025671,1,3
1557029281,22,2
1557032885,4,3
1557036485,2,1
1557040089,2,1
1557043674,0,21
1557047274,1,1
1557050872,1,2
1557054475,1,0
1557058076,1,1
1557061677,2,2
1557065276,0,3
1557068875,0,2
1557072476,2,3
1557076070,0,1
1557079664,2,6
1557083261,0,7
1557086864,0,3
1557090460,1,9
1557094053,2,4
1557097648,0,4
1557101250,0,2
1557104850,0,1
1557108447,1,1
1557112054,1,2
1557115694,39,0
1557119290,1,2
1557122888,0,4
1557126497,21,7
1557130095,14,21
1557133689,0,2
1557137291,0,1
1557144491,1,1
1557148089,2,0
1557151694,0,2
1557155290,0,2
1557158889,0,1
1557166089,0,1
1557169689,2,2
1557173288,0,1
1557176892,3,0
1557180492,5,1
1557184093,4,2
1557191294,3,1
1557194894,0,2
1557198496,3,2
1557202096,1,0
1557205696,1,2
1557209299,3,0
1557212900,0,3
1557216488,2,20
1557220091,0,2
1557223687,1,3
1557227278,0,9
1557230868,0,27
1557234462,0,7
1557238067,14,5
1557248870,0,1
1557252472,2,1
1557256068,1,0
1557259669,2,1
1557266873,1,0
1557270468,1,0
1557274070,2,0
1557277672,0,3
1557281272,2,2
1557284872,2,1
1557288470,1,3
1557295668,0,3
1557299274,1,3
1557302866,0,1
1557306470,1,2
1557310068,1,0
1557313665,1,0
1557324472,16,1
1557328070,1,4
1557331664,0,12
1557335248,0,19
1557338847,2,6
1557342449,1,0
1557346049,1,0
1557349651,1,10
1557356852,0,2
1557360453,2,0
1557364055,0,1
1557367657,1,0
1557371250,1,0
1557374855,3,0
1557378458,4,1
1557382068,2,0
1557385666,2,0
1557389276,4,0
1557392869,0,2
1557396469,1,2
1557400076,2,1
1557403671,3,2
1557407268,2,8
1557410883,19,1
1557414478,0,2
1557418074,2,9
1557421678,1,4
1557425275,0,6
1557428875,6,2
1557432474,2,3
1557436073,3,2
1557439669,3,7
1557443272,1,2
1557446873,3,1
1557450467,1,2
1557457675,3,1
1557468470,1,1
1557472073,3,2
1557475674,1,1
1557479272,1,2
1557482874,2,1
1557486475,1,2
1557490075,2,0
1557493673,0,3
1557497279,1,0
1557500887,2,1
1557504482,1,2
1557508071,3,11
1557511669,0,6
1557515284,2,2
1557522466,1,1
1557526072,0,1
1557529673,3,1
1557533265,0,1
1557536868,0,1
1557540466,1,0
1557544076,1,0
1557547680,22,1
1557551273,1,5
1557554876,1,0
1557562078,1,0
1557569279,2,1
1557572882,2,1
1557576478,1,2
1557580083,3,1
1557583683,0,1
1557587276,0,3
1557590874,0,1
1557594474,0,1
1557601674,0,4
1557612473,0,1
1557616071,0,1
1557619670,2,0
1557623271,1,1
1557626874,2,1
1557630474,1,0
1557634073,14,23
1557637681,2,1
1557641279,2,1
1557644882,3,0
1557648482,2,0
1557655682,1,2
1557659286,2,0
1557662884,1,1
1557666483,1,3
1557670083,2,2
1557677283,2,4
1557680883,1,0
1557684476,0,7
1557688073,1,2
1557691675,3,2
1557695270,0,2
1557698864,0,5
1557702463,1,3
1557706060,1,0
1557713265,1,0
1557716860,0,3
1557720422,0,35
1557724022,2,1
1557727630,5,0
1557731218,1,23
1557734813,0,12
1557738426,27,0
1557742031,1,0
1557745623,1,4
1557749223,2,1
1557752821,0,3
1557756423,2,0
1557760018,4,4
1557763605,0,8
1557767204,1,1
1557770805,2,0
1557774404,1,2
1557778003,2,1
1557781604,7,3
1557785210,2,1
1557788808,1,2
1557792412,2,1
1557796014,1,2
1557799611,1,0
1557803213,6,2
1557806812,2,1
1557810418,2,0
1557814012,2,3
1557817617,0,2
1557821205,0,6
1557824816,24,1
1557828416,1,1
1557832017,1,0
1557842810,0,10
1557846409,4,2
1557850008,1,0
1557857213,1,3
1557860816,2,1
1557864414,2,2
1557868014,1,1
1557875218,3,0
1557878816,1,2
1557886018,3,2
1557889625,2,1
1557893224,0,1
1557896823,0,1
1557900419,1,0
1557904019,1,3
1557907623,1,1
1557911218,1,1
1557914819,2,0
1557918426,2,0
1557922033,20,1
1557925632,3,1
1557929234,0,16
1557936425,1,0
1557940029,2,1
1557943629,0,2
1557947224,0,1
1557950825,2,2
1557954422,0,2
1557958023,1,0
1557965223,2,0
1557972428,1,0
1557976025,1,0
1557979629,3,0
1557983231,1,0
1557986839,6,1
1557990443,2,0
1557994051,3,1
1558001239,0,2
1558004838,0,1
1558008446,7,2
1558012049,8,0
1558015639,14,28
1558019237,3,0
1558022841,8,0
1558026442,5,3
1558030053,25,2
1558033649,3,6
1558037249,6,4
1558040848,5,2
1558044443,3,6
1558048046,6,3
1558051641,3,2
1558055239,1,2
1558058842,1,2
1558062445,2,0
1558066042,2,0
1558069641,0,1
1558073240,0,2
1558076835,2,5
1558080434,0,2
1558084031,2,2
1558087629,2,1
1558091229,1,1
1558094835,2,1
1558098438,3,0
1558102044,1,1
1558105634,0,2
1558109235,1,3
1558116439,17,0
1558120040,1,2
1558123647,2,1
1558127239,1,2
1558130841,1,3
1558134437,2,1
1558138040,2,0
1558145239,2,1
1558148841,2,3
1558152429,0,18
1558156026,2,2
1558159624,0,2
1558163229,2,1
1558174029,0,1
1558177621,1,3
1558184823,1,1
1558188421,0,1
1558192030,0,1
1558195626,1,0
1558202832,17,0
1558210032,1,0
1558217244,3,0
1558220841,1,0
1558224439,1,3
1558228038,0,2
1558235237,1,0
1558238832,1,24
1558242435,3,1
1558246039,2,0
1558249640,4,0
1558253236,1,2
1558256843,3,0
1558260440,1,3
1558264042,2,0
1558267646,3,2
1558271245,0,2
1558274841,1,3
1558278439,4,4
1558282042,2,0
1558285639,0,2
1558289244,1,1
1558292841,0,1
1558296443,1,2
1558300036,1,2
1558303644,3,1
1558307238,7,1
1558310843,6,0
1558314447,14,1
1558318062,12,0
1558325256,2,0
1558328859,1,0
1558332453,1,2
1558336056,0,2
1558339651,0,1
1558343247,0,16
1558346843,1,0
1558354047,0,2
1558357649,1,0
1558361244,0,1
1558364848,1,1
1558372049,1,0
1558379249,7,2
1558382844,1,3
1558386446,0,2
1558390041,0,2
1558393644,1,1
1558397245,0,1
1558400841,13,4
1558404446,9,0
1558411651,4,1
1558415245,1,2
1558418846,2,2
1558426043,1,1
1558429638,2,18
1558433236,1,1
1558436834,0,1
1558444032,2,1
1558447640,1,0
1558454836,2,1
1558462046,7,0
1558465650,6,2
1558469245,0,1
1558472849,1,2
1558476453,4,1
1558483653,5,0
1558487253,2,1
1558490851,1,2
1558494455,2,2
1558498053,1,1
1558505255,1,2
1558508853,4,1
1558512452,0,1
1558516051,1,1
1558519654,3,0
1558523253,0,3
1558526844,1,20
1558530438,1,5
1558534048,18,0
1558537647,1,0
1558541246,0,1
1558544851,1,2
1558555649,0,2
1558562848,0,2
1558566444,3,0
1558570044,1,1
1558573643,2,1
1558577244,1,0
1558584445,2,0
1558588051,3,1
1558591646,1,2
1558595252,4,1
1558598856,2,2
1558602457,1,0
1558606052,0,1
1558609650,0,2
1558613249,1,3
1558616851,2,4
1558620461,16,4
1558624062,8,3
1558627658,1,7
1558631252,2,6
1558634840,2,23
1558638438,1,3
1558642032,0,6
1558645629,0,4
1558649228,2,4
1558652817,0,13
1558656417,1,2
1558660016,2,7
1558663617,1,1
1558667219,1,2
1558670815,1,2
1558674422,2,0
1558678026,3,0
1558681620,0,7
1558685218,1,0
1558688819,1,0
1558692416,0,4
1558696015,1,1
1558699618,2,2
1558703215,0,1
1558706818,5,1
1558710415,8,2
1558714018,1,0
1558717621,6,1
1558721213,2,21
1558724816,2,4
1558728411,4,1
1558732011,1,1
1558735610,0,2
1558739208,0,1
1558742810,1,3
1558746411,2,2
1558750010,5,0
1558753611,1,2
1558757216,1,0
1558760809,1,1
1558764413,1,0
1558768014,3,1
1558771618,1,0
1558775210,1,0
1558782417,4,0
1558786012,3,2
1558789616,1,0
1558793212,1,0
1558796813,2,0
1558800419,4,0
1558804019,2,0
1558807612,2,20
1558811213,1,0
1558814813,1,0
1558818413,1,1
1558822013,1,3
1558825617,1,0
1558829212,2,1
1558832820,18,3
1558840023,3,0
1558843627,3,0
