DateTime,AddedIPs,RemovedIPs
1556665454,0,1
1556669061,1,0
1556672669,3,0
1556676261,2,2
1556683458,3,1
1556687057,0,2
1556690669,4,2
1556694262,4,0
1556697868,1,0
1556701472,2,0
1556708672,0,2
1556715859,1,14
1556723064,3,0
1556726662,14,1
1556730279,18,0
1556733885,5,0
1556737485,0,2
1556741078,0,1
1556744688,6,0
1556748293,0,1
1556755486,2,0
1556759088,3,0
1556762682,0,1
1556766283,0,3
1556773482,4,0
1556777085,0,1
1556784282,0,1
1556787888,0,1
1556791481,0,3
1556798690,1,1
1556805880,0,1
1556813084,8,0
1556816683,5,2
1556820284,1,1
1556823888,1,0
1556827490,2,2
1556831087,0,2
1556834686,3,1
1556838280,0,15
1556841884,1,1
1556845481,1,2
1556852680,0,1
1556867080,2,0
1556874280,1,1
1556877877,0,3
1556881485,2,0
1556885083,2,1
1556888684,1,0
1556895890,1,0
1556899478,0,2
1556903083,7,1
1556906687,5,0
1556910292,3,1
1556913886,1,1
1556921088,1,0
1556924687,0,11
1556928286,1,2
1556931882,2,2
1556935482,1,0
1556939083,0,1
1556942684,2,2
1556946293,5,0
1556949889,1,2
1556953488,1,1
1556971490,2,0
1556975093,1,0
1556985892,2,0
1556989498,0,2
1556993091,0,1
1556996689,3,1
1557000289,1,1
1557003894,0,2
1557007486,1,4
1557011086,0,2
1557014690,0,1
1557025484,0,2
1557029090,19,2
1557032689,0,2
1557043481,1,17
1557050679,1,2
1557054276,1,0
1557057881,0,1
1557061483,1,2
1557065073,0,3
1557068677,0,2
1557072272,0,2
1557079468,2,3
1557083067,0,4
1557086667,0,1
1557090268,1,6
1557093871,2,3
1557097467,0,2
1557101063,0,2
1557104665,0,1
1557108265,0,1
1557111865,1,2
1557115500,38,0
1557119099,0,1
1557122701,0,4
1557126311,21,6
1557129907,14,21
1557133505,0,1
1557137101,0,1
1557144302,1,1
1557147903,2,0
1557151511,0,2
1557155104,0,2
1557158702,0,1
1557165908,0,1
1557169504,2,2
1557173101,0,1
1557176716,3,0
1557180309,4,1
1557183908,2,0
1557191112,3,1
1557194709,0,1
1557198318,3,1
1557201914,1,0
1557205514,1,0
1557209118,3,0
1557212713,0,3
1557216309,1,20
1557219906,0,2
1557223512,1,3
1557227096,0,9
1557230686,0,27
1557234280,0,7
1557237884,14,5
1557252290,2,1
1557259483,1,1
1557266684,1,0
1557270284,1,0
1557277482,0,3
1557281086,2,2
1557284687,2,1
1557288284,1,3
1557295483,0,3
1557299089,1,3
1557302679,0,1
1557306281,1,2
1557309877,1,0
1557313483,1,0
1557324283,15,1
1557327888,1,2
1557331478,0,11
1557335062,0,19
1557338661,1,6
1557342265,1,0
1557345862,1,0
1557349464,0,10
1557356666,0,2
1557360261,2,0
1557363864,0,1
1557378258,0,1
1557389058,1,0
1557392663,0,1
1557399868,1,0
1557403459,1,1
1557407060,2,4
1557410673,19,0
1557417867,0,7
1557421468,1,3
1557425069,0,4
1557428672,4,0
1557432268,1,1
1557435874,1,0
1557439478,1,2
1557443074,1,1
1557446676,3,0
1557450276,1,2
1557457482,2,1
1557468275,0,1
1557471883,2,2
1557475477,1,0
1557479078,1,1
1557482684,2,0
1557486283,1,0
1557489886,2,0
1557493486,0,1
1557497083,1,0
1557500693,2,0
1557507881,3,11
1557511484,0,5
1557515088,1,2
1557529482,2,1
1557533075,0,1
1557536688,0,1
1557540289,1,0
1557543880,1,0
1557547490,22,1
1557551085,1,5
1557554691,1,0
1557576288,0,1
1557579886,3,1
1557587090,0,2
1557601487,0,3
1557612284,0,1
1557619486,1,0
1557623084,1,0
1557626687,2,0
1557633883,12,22
1557637488,1,0
1557641087,0,1
1557655487,1,2
1557659086,1,0
1557662688,0,1
1557666284,0,1
1557669884,1,0
1557677085,1,0
1557684283,0,5
1557691482,2,1
1557695083,0,1
1557698680,0,2
1557702282,1,0
1557705884,1,0
1557713085,1,0
1557716684,0,3
1557720245,0,34
1557723847,2,0
1557727449,5,0
1557731050,1,23
1557734641,0,11
1557738250,26,0
1557741854,1,0
1557745453,1,3
1557749046,1,1
1557752647,0,1
1557759848,4,0
1557767046,1,1
1557770648,2,0
1557774247,0,2
1557777843,2,1
1557781449,7,3
1557785049,1,1
1557788651,1,0
1557792247,2,1
1557795846,0,2
1557799448,1,0
1557803053,5,2
1557806649,1,1
1557810260,2,0
1557813852,2,3
1557817452,0,3
1557821046,0,6
1557824651,24,0
1557828254,1,1
1557831857,1,0
1557842656,0,10
1557846248,4,2
1557857048,1,2
1557864254,2,1
1557867854,1,1
1557875058,2,0
1557878653,1,0
1557885865,2,2
1557889456,1,1
1557893055,0,1
1557900260,1,0
1557903857,1,3
1557907458,1,1
1557911055,1,1
1557914655,1,0
1557918261,1,0
1557921866,18,1
1557925463,3,1
1557929055,0,16
1557936260,1,0
1557939860,1,0
1557943458,0,1
1557947058,0,1
1557950663,0,2
1557954254,0,1
1557965058,2,0
1557986660,1,0
1557993856,1,0
1558008267,6,1
1558011866,7,0
1558015452,13,26
1558019054,3,0
1558022659,8,0
1558026258,4,1
1558029879,24,0
1558033481,3,3
1558037077,5,0
1558040682,5,1
1558044283,3,3
1558047885,6,1
1558051484,3,2
1558055079,1,2
1558058676,1,2
1558062283,1,0
1558065886,2,0
1558069482,0,1
1558076676,2,4
1558080270,0,2
1558083876,2,1
1558087473,1,1
1558091071,1,1
1558094672,1,1
1558098274,2,0
1558101878,1,1
1558105478,0,1
1558109078,1,1
1558116278,16,1
1558119882,1,1
1558123478,1,0
1558127084,1,1
1558130683,1,2
1558134283,1,1
1558137879,2,0
1558145088,2,1
1558148684,2,2
1558152269,0,18
1558155873,2,2
1558159467,0,2
1558163072,2,1
1558173870,1,0
1558177469,1,0
1558184673,0,1
1558191870,0,1
1558202677,17,0
1558209884,1,0
1558217081,3,0
1558224285,1,1
1558227884,0,2
1558238671,0,24
1558242272,0,1
1558249471,1,0
1558256672,2,0
1558260274,1,1
1558267470,1,2
1558274674,0,1
1558278270,1,2
1558289073,1,0
1558299874,1,0
1558303474,2,0
1558307081,7,0
1558310687,6,0
1558314292,14,1
1558317898,12,0
1558325096,2,0
1558328695,1,0
1558332294,1,1
1558335903,0,2
1558343085,0,16
1558346690,1,0
1558353885,0,2
1558364685,0,1
1558371885,1,0
1558375486,1,1
1558379095,5,0
1558382684,1,3
1558386287,0,2
1558389884,0,1
1558393484,1,1
1558397087,0,1
1558400691,13,2
1558404290,9,0
1558411493,4,1
1558415097,1,2
1558418694,2,2
1558425887,1,1
1558429482,2,17
1558433082,1,1
1558436682,1,0
1558443882,2,1
1558447484,1,0
1558454691,2,0
1558461898,4,0
1558465496,6,0
1558469094,0,1
1558472689,1,2
1558476296,2,1
1558483495,5,0
1558487097,2,1
1558490700,1,0
1558494298,2,1
1558497903,1,0
1558505103,1,2
1558508701,4,1
1558512300,0,1
1558515896,1,1
1558519502,3,0
1558523098,0,1
1558526695,0,19
1558530291,0,3
1558533897,17,0
1558537497,1,0
1558541097,0,1
1558544695,1,2
1558562702,0,1
1558566300,3,0
1558569895,1,1
1558573499,2,0
1558577102,1,0
1558587899,0,1
1558591499,0,1
1558595102,2,0
1558598694,0,1
1558609494,0,2
1558613093,1,2
1558616701,0,3
1558620304,15,2
1558623906,8,3
1558627505,0,6
1558631100,2,4
1558634686,1,22
1558638287,1,3
1558641881,0,4
1558645482,0,2
1558649092,2,3
1558652678,0,10
1558656275,1,2
1558659876,1,7
1558663475,0,1
1558667075,1,2
1558670675,0,1
1558674275,1,0
1558677877,2,0
1558681473,0,6
1558692271,0,2
1558695873,1,0
1558699471,0,1
1558703069,0,1
1558706669,5,1
1558710272,8,2
1558717471,6,0
1558721069,2,20
1558724671,2,2
1558728263,3,1
1558731866,1,1
1558735469,0,2
1558742662,1,3
1558746265,2,2
1558749872,5,0
1558753465,1,2
1558757066,1,0
1558760665,1,1
1558764262,1,0
1558767864,3,1
1558771462,1,0
1558775062,1,0
1558782266,4,0
1558785867,2,2
1558789465,1,0
1558793063,1,0
1558796669,2,0
1558800267,3,0
1558803872,2,0
1558807463,2,20
1558811069,1,0
1558814664,1,0
1558818265,1,1
1558821865,1,3
1558825473,1,0
1558829068,2,1
1558832673,18,2
1558839873,2,0
1558843476,1,0
1558850677,0,1
1558854276,1,1
1558857872,1,0
1558865079,0,1
1558872272,0,2
1558875878,4,1
1558886682,0,1
1558893874,0,2
1558901076,1,0
1558904682,0,1
1558908276,0,1
1558911871,0,9
1558915464,1,14
1558919067,18,18
1558922660,0,10
1558926262,2,1
1558929865,3,3
1558937060,0,2
1558940663,2,1
1558944258,1,0
1558951460,1,0
1558955068,2,0
1558958664,1,1
1558965859,0,2
1558969462,2,0
1558980263,0,1
1558983865,2,4
1558987463,1,1
1558991064,1,2
1558994669,1,0
1558998271,0,1
1559001868,3,0
1559005463,0,11
1559009054,0,8
1559012656,1,2
1559016266,0,3
1559019851,1,3
1559023451,0,1
1559027056,0,1
1559034251,1,3
