DateTime,Entries,UniqueIPs
1553141970,18672,18672
1553145565,18662,18662
1553149155,18636,18636
1553152766,18606,18606
1553156338,18596,18596
1553159939,18559,18559
1553163544,18552,18552
1553167128,18542,18542
1553170742,18509,18509
1553174356,18508,18508
1553177936,18491,18491
1553181544,18487,18487
1553185138,18454,18454
1553188747,18461,18461
1553192343,18454,18454
1553195950,18450,18450
1553199562,18491,18491
1553203173,18542,18542
1553206763,18588,18588
1553210383,18590,18590
1553213965,18585,18585
1553217568,18576,18576
1553221152,18566,18566
1553224749,18581,18581
1553228369,18565,18565
1553231952,18555,18555
1553235547,18539,18539
1553239137,18523,18523
1553242755,18507,18507
1553246368,18511,18511
1553249952,18503,18503
1553253550,18488,18488
1553257159,18496,18496
1553260762,18503,18503
1553264366,18481,18481
1553267964,18465,18465
1553271576,18451,18451
1553275197,18457,18457
1553278773,18456,18456
1553282378,18438,18438
1553285981,18455,18455
1553289586,18462,18462
1553293182,18468,18468
1553296775,18462,18462
1553300371,18455,18455
1553303972,18437,18437
1553307586,18441,18441
1553311167,18433,18433
1553314764,18437,18437
1553318338,18427,18427
1553321941,18409,18409
1553325519,18400,18400
1553329111,18393,18393
1553332719,18377,18377
1553336302,18375,18375
1553339914,18380,18380
1553343501,18364,18364
1553347128,18370,18370
1553350726,18392,18392
1553354350,18390,18390
1553357976,18414,18414
1553361568,18419,18419
1553365164,18408,18408
1553368767,18411,18411
1553372380,18429,18429
1553375984,18493,18493
1553379591,18531,18531
1553383184,18550,18550
1553386783,18558,18558
1553390373,18543,18543
1553393963,18549,18549
1553397574,18573,18573
1553401164,18578,18578
1553404756,18563,18563
1553408353,18560,18560
1553411934,18549,18549
1553415535,18546,18546
1553419136,18534,18534
1553422745,18540,18540
1553426327,18554,18554
1553429939,18576,18576
1553433526,18590,18590
1553437149,18596,18596
1553440778,18575,18575
1553444364,18553,18553
1553447977,18521,18521
1553451542,18519,18519
1553455160,18527,18527
1553458772,18634,18634
1553462374,18691,18691
1553465979,18757,18757
1553469565,18782,18782
1553473233,18770,18770
1553476782,18770,18770
1553480388,18768,18768
1553483971,18770,18770
1553487564,18748,18748
1553491130,18708,18708
1553494726,18675,18675
1553498337,18651,18651
1553501931,18639,18639
1553505530,18627,18627
1553509122,18627,18627
1553512712,18616,18616
1553516324,18596,18596
1553519931,18575,18575
1553523525,18568,18568
1553527120,18556,18556
1553530722,18546,18546
1553534337,18646,18646
1553537935,18677,18677
1553541542,18684,18684
1553545139,18708,18708
1553548735,18694,18694
1553552335,18706,18706
1553555942,18713,18713
1553559533,18689,18689
1553563128,18685,18685
1553566722,18677,18677
1553570325,18683,18683
1553573933,18644,18644
1553577519,18613,18613
1553581109,18603,18603
1553584710,18608,18608
1553588308,18593,18593
1553591917,18570,18570
1553595509,18592,18592
1553599129,18789,18789
1553602739,18945,18945
1553606367,19056,19056
1553609954,19113,19113
1553613557,19178,19178
1553617186,19198,19198
1553620798,19207,19207
1553624414,19159,19159
1553628012,19145,19145
1553631620,19225,19225
1553635223,19293,19293
1553638830,19298,19298
