DateTime,AddedIPs,RemovedIPs
1553343656,28,40
1553347273,59,48
1553350881,57,40
1553354532,50,38
1553358197,64,38
1553361820,48,42
1553365425,37,49
1553369069,39,41
1553372643,50,40
1553376210,104,48
1553379856,76,33
1553383443,58,37
1553387044,42,32
1553390626,34,50
1553394189,38,34
1553397835,40,30
1553401326,41,34
1553404918,23,39
1553408531,30,32
1553412091,37,45
1553415688,28,26
1553419295,30,37
1553422906,40,32
1553426504,40,39
1553430096,48,36
1553433684,41,39
1553437321,30,39
1553440964,32,60
1553444547,32,57
1553448149,30,60
1553451702,39,44
1553455340,42,45
1553458978,140,42
1553462562,90,40
1553466143,109,38
1553469735,73,45
1553476957,91,94
1553480590,50,46
1553484141,37,39
1553487735,31,51
1553491279,29,59
1553494872,27,58
1553498473,36,54
1553502066,39,51
1553505665,42,55
1553509257,33,39
1553512842,40,52
1553516471,25,39
1553520071,28,53
1553523675,39,46
1553527254,39,53
1553530869,29,48
1553534476,136,50
1553538092,91,50
1553541684,62,57
1553545260,61,44
1553548861,39,43
1553552464,50,40
1553556066,53,44
1553559670,29,51
1553563257,38,40
1553566861,28,34
1553570462,33,41
1553574061,32,62
1553577633,20,54
1553581232,32,47
1553584832,38,32
1553588429,39,48
1553592036,32,49
1553595632,59,61
1553599243,172,60
1553602852,142,47
1553606487,112,35
1553610071,93,60
1553613708,86,47
1553617339,69,62
1553620982,47,51
1553624632,47,101
1553628281,42,56
1553631934,101,34
1553635534,99,33
1553639115,51,51
1553642711,48,45
1553646302,41,57
1553649882,33,61
1553653494,26,49
1553657052,56,67
1553660691,38,53
1553664173,17,43
1553667788,28,42
1553671355,30,47
1553674957,29,52
1553678536,33,54
1553682104,32,49
1553685710,35,51
1553689306,46,53
1553692917,61,47
1553696492,50,69
1553700090,54,52
1553703741,39,64
1553707333,48,39
1553719416,42,39
1553746739,167,110
1553775573,284,340
1553804313,270,366
1553833052,360,365
1553861693,310,362
1553890334,288,382
1553919206,285,325
1553947670,221,291
1553976423,251,310
1554005293,243,335
1554033673,241,310
1554062226,223,389
1554086789,162,621
1554111718,185,295
1554136690,211,372
1554161567,187,383
1554186698,401,411
1554211745,240,282
1554236565,207,403
1554263165,1534,579
1554288125,195,359
1554312828,197,534
1554337555,206,471
1554362813,429,364
1554387674,179,390
1554412503,166,399
1554438231,763,348
1554463228,201,302
1554487803,211,372
1554502553,188,356
1554516890,119,189
1554531201,93,149
1554545521,93,160
1554559878,86,151
1554574187,99,165
1554588642,117,164
1554603091,232,143
1554617489,140,127
1554631798,117,157
1554646139,100,151
1554660500,103,138
1554675037,112,119
1554689245,68,145
1554703674,92,139
1554717922,102,191
1554732297,131,189
1554746772,145,163
1554761246,301,138
1554775678,175,153
1554789993,98,171
1554804303,118,184
1554818694,127,172
1554833008,121,195
1554847366,122,229
1554861661,87,214
1554875994,75,164
1554886673,46,143
1554897454,116,124
1554908275,94,112
1554919062,78,126
1554929795,128,123
1554940603,152,105
1554951409,128,117
1554962308,99,100
1554972999,87,91
1554983767,83,131
1554994673,104,102
1555005952,472,128
1555020646,338,159
1555034893,229,128
1555049291,139,115
1555063681,137,132
1555078030,154,150
1555092533,199,120
1555107111,262,127
1555121478,160,299
1555135747,155,248
1555150157,142,148
1555164524,140,148
1555178893,148,164
1555193389,149,159
1555207892,176,135
1555222270,130,137
1555236761,221,152
1555251221,178,130
1555265628,229,140
1555280117,192,158
1555294489,142,124
1555308895,136,146
1555323329,119,139
1555337670,144,161
1555352209,128,155
1555366602,256,166
1555380958,143,142
1555395390,117,128
1555409725,119,154
1555424078,112,178
1555438375,123,159
1555452914,304,147
1555467607,421,109
1555482027,158,99
1555496474,135,86
1555510985,125,151
1555525456,328,146
1555539901,185,153
1555554482,276,146
1555568745,114,138
1555583106,104,133
1555597684,132,137
1555611798,111,189
1555626220,112,189
1555640562,124,208
1555654986,109,124
1555669323,99,141
1555683620,94,174
1555697946,169,189
1555712425,243,197
1555726852,124,128
1555741209,127,182
1555755500,90,148
1555769892,119,173
1555784205,124,163
1555798769,116,154
1555813035,93,157
1555827350,91,163
1555841690,119,163
1555856081,98,145
1555870409,164,201
1555884749,104,278
1555899102,98,149
1555913385,95,183
1555927888,89,180
1555942093,124,190
1555956702,605,174
1555971207,185,183
1555985607,160,148
1555999922,80,140
1556014366,142,146
1556028784,124,136
1556043067,165,169
1556057477,115,157
1556071797,145,179
1556086182,97,134
1556100445,92,164
1556114835,137,176
1556129134,125,220
1556143490,103,190
1556157919,237,193
1556172266,120,165
1556186632,137,189
1556200913,132,221
1556215354,118,176
1556229750,152,157
1556244157,163,158
1556258727,180,155
1556272895,131,175
1556287223,124,231
1556301542,99,173
1556312243,82,111
1556323088,166,135
1556333890,139,101
1556344688,84,131
1556355345,74,88
1556366161,78,100
1556377033,90,103
1556387773,67,112
1556398560,130,105
1556409358,77,80
1556420185,102,86
