DateTime,AddedIPs,RemovedIPs
1557177297,0,4
1557180886,1,2
1557184507,2,2
1557188104,1,3
1557191664,0,3
1557195268,1,1
1557202460,1,1
1557206062,2,5
1557209735,2,4
1557213294,3,2
1557216862,2,1
1557220493,2,0
1557224098,4,3
1557227693,2,2
1557231292,2,2
1557234879,3,4
1557238471,5,0
1557242128,3,1
1557245682,3,2
1557249286,4,5
1557252893,2,5
1557256505,2,5
1557260108,5,2
1557263725,2,4
1557267285,1,2
1557270921,0,3
1557274514,2,2
1557281667,0,2
1557285349,7,1
1557288881,6,1
1557292475,2,2
1557299683,1,3
1557303279,5,2
1557306909,2,3
1557310496,4,2
1557314118,2,3
1557317720,2,2
1557321304,0,1
1557324883,8,2
1557332084,17,6
1557335700,2,1
1557339316,3,1
1557342993,2,3
1557346516,1,2
1557350111,1,3
1557357375,1,2
1557360922,1,0
1557364556,1,0
1557368126,0,1
1557371784,2,3
1557375302,3,3
1557378891,2,11
1557382486,1,3
1557386170,3,1
1557389704,2,2
1557393334,5,9
1557396915,5,3
1557400579,2,3
1557404086,2,3
1557407687,2,2
1557411266,1,11
1557414946,1,1
1557418578,4,3
1557422093,2,3
1557425713,1,1
1557429412,2,1
1557432907,2,2
1557436520,1,0
1557440078,1,4
1557443765,0,3
1557447306,1,1
1557450909,0,2
1557454490,1,0
1557458168,1,3
1557461682,2,1
1557465265,1,5
1557468892,4,4
1557472539,1,5
1557476074,4,3
1557479657,4,6
1557483277,8,3
1557486937,2,2
1557490479,5,4
1557494076,1,3
1557497664,3,0
1557501365,1,0
1557504896,2,3
1557508487,1,3
1557512081,2,5
1557515781,2,2
1557522888,2,1
1557526483,4,0
1557533707,1,4
1557537280,0,2
1557540895,1,2
1557544567,1,0
1557548092,5,3
1557551700,3,1
1557555298,1,0
1557562501,9,3
1557566098,4,4
1557569709,3,2
1557576896,15,3
1557580494,2,1
1557584089,6,1
1557587766,3,2
1557591285,3,3
1557594894,6,4
1557598510,4,8
1557605722,5,2
1557609303,0,1
1557612920,3,1
1557616594,1,0
1557620114,1,1
1557623713,0,7
1557627313,1,4
1557634517,4,3
1557638103,1,1
1557641707,2,0
1557648892,12,2
1557652526,3,5
1557656129,5,6
1557659779,9,4
1557663337,6,2
1557666929,4,4
1557670560,2,2
1557674219,4,3
1557677720,2,5
1557681323,4,2
1557684942,5,3
1557688612,4,1
1557692150,7,0
1557695752,3,1
1557699345,2,2
1557703033,1,2
1557706543,1,1
1557710154,22,1
1557713756,12,0
1557717424,1,2
1557720951,1,3
1557724560,4,2
1557728156,4,4
1557731832,8,4
1557735316,2,11
1557738940,5,5
1557742514,3,4
1557749923,290,13
1557753530,12,6
1557757124,3,4
1557764346,9,4
1557767953,4,5
1557771560,6,3
1557778689,1,8
1557782301,2,0
1557785902,1,1
1557789572,0,3
1557793119,2,1
1557796718,2,0
1557800320,2,2
1557804000,0,1
1557807518,3,1
1557811134,7,1
1557814755,8,3
1557821977,30,8
1557825574,5,2
1557829185,1,4
1557832880,3,2
1557836347,7,3
1557839959,12,2
1557843550,8,5
1557847221,5,3
1557850745,3,4
1557854372,4,3
1557857977,3,3
1557861661,5,2
1557865179,6,4
1557868776,2,0
1557872382,2,1
1557876079,9,1
1557879589,5,2
1557883204,17,0
1557886819,2,0
1557890429,34,5
1557894028,45,1
1557897716,29,2
1557901275,13,0
1557904906,2,0
1557908498,3,2
1557912077,2,4
1557915684,3,2
1557919337,2,0
1557922869,4,2
1557926486,5,1
1557930085,4,5
1557933695,7,14
1557937301,26,3
1557940995,97,2
1557944589,5,3
1557948222,6,1
1557951836,2,1
1557955394,0,1
1557959002,1,2
1557962679,2,0
1557966189,3,3
1557969793,1,1
1557973398,1,0
1557977079,2,0
1557980599,4,3
1557984174,6,1
1557987775,4,1
1557991452,2,0
1557994982,6,3
1557998620,3,3
1558002215,8,4
1558005813,2,4
1558009397,6,2
1558013018,2,1
1558016585,3,1
1558020217,6,3
1558023829,6,5
1558027411,11,1
1558031034,7,1
1558034698,4,0
1558038214,2,3
1558041822,1,1
1558045462,15,1
1558049079,14,1
1558052670,1,0
1558056288,7,1
1558059862,11,1
1558063481,1,0
1558067093,6,1
1558070630,2,2
1558074243,3,1
1558077903,5,1
1558081455,7,2
1558085117,1,3
1558088722,3,5
1558092329,3,2
1558095887,2,5
1558099469,3,0
1558103029,1,5
1558106648,5,1
1558110271,6,3
1558113850,4,1
1558117474,4,1
1558121155,3,4
1558124665,1,0
1558128289,1,2
1558131904,0,3
1558135491,2,0
1558139088,14,0
1558142757,28,0
1558146301,2,1
1558149920,1,2
1558153515,2,4
1558157087,0,2
1558160691,4,2
1558164388,1,4
1558167887,3,3
1558171485,1,2
1558175135,4,3
1558178736,2,5
1558182313,5,4
1558185914,2,2
1558189477,3,8
1558193104,4,2
1558196707,1,7
1558200289,4,1
1558203909,3,3
1558207583,3,1
1558211096,2,5
1558214720,4,1
1558218320,2,2
1558225497,2,2
1558229114,2,0
1558232687,2,1
1558236297,1,1
1558239913,2,3
1558243479,1,0
1558247081,2,1
1558250767,6,3
1558254283,3,10
1558257892,4,2
1558261492,2,6
1558265115,6,10
1558268678,1,5
1558272308,0,3
1558275871,2,2
1558279482,3,4
1558283137,2,1
1558286721,2,4
1558290311,2,4
1558294021,1,1
1558297528,3,5
1558301126,0,3
1558304766,1,2
1558308353,2,2
1558311911,1,1
1558315562,3,2
1558319120,5,7
1558322729,2,1
1558326340,1,1
1558329900,3,3
1558333470,3,4
1558337182,4,6
1558340763,9,5
1558344391,6,2
1558348046,5,2
1558351555,4,20
1558354967,2,199
1558358520,3,88
1558362077,2,9
1558365667,4,1
1558369278,3,5
1558372862,3,6
1558376498,5,4
1558380177,1,0
1558383724,5,1
1558387336,1,2
1558390922,2,3
1558394516,3,1
1558398092,0,1
1558401710,3,3
1558405303,1,2
1558408927,4,2
1558412510,1,5
1558416078,5,5
