DateTime,AddedIPs,RemovedIPs
1558226118,20,0
1558226420,91,0
1558227318,9,0
1558227920,1,0
1558228819,37,0
1558229121,35,0
1558230321,0,1
1558231517,1,0
1558232420,15,0
1558236320,41,0
1558240819,41,0
1558241420,7,0
1558247121,0,1
1558247717,1,0
1558248618,48,0
1558248919,111,0
1558251619,27,0
1558253118,18,0
1558255522,0,1
1558256120,1,0
1558256421,1,0
1558257019,1,0
1558259718,18,0
1558262118,44,0
1558263320,1,0
1558267519,29,0
1558267819,30,0
1558270220,6,0
1558271121,1,0
1558272020,12,0
1558275919,1,0
1558276820,29,0
1558277421,43,0
1558278620,12,0
1558279221,77,0
1558279821,327,0
1558283120,10,0
1558284020,2,0
1558288520,1,0
1558289120,4,0
1558291219,0,1
1558293019,1,0
1558293619,59,0
1558295418,14,0
1558297219,30,1
1558298418,1,0
1558301719,13,0
1558305620,26,0
1558307418,91,0
1558308020,5,0
1558312518,21,0
1558319123,1,0
1558319719,2,0
1558320619,90,0
1558322421,5,0
1558324822,1,0
1558326322,24,0
1558326624,0,1
1558327219,71,0
1558328118,0,1
1558329923,1,0
1558331418,4,0
1558335021,16,0
1558336820,4,0
1558337424,0,1
1558339519,1,0
1558340119,0,1
1558340420,6,0
1558340721,14,0
1558342520,1,0
1558343120,0,1
1558346119,0,2
1558349421,30,0
1558350620,29,0
1558351219,93,0
1558353019,0,1
1558353318,0,1
1558353920,1,1
1558354220,0,9
1558356019,3,0
1558356619,14,0
1558357223,0,1
1558358722,1,0
1558359619,35,0
1558361419,5,0
1558362619,0,3
1558362918,7,2
1558363220,0,2
1558365019,40,1
1558366518,1,0
1558367422,4,0
1558368319,1,0
1558371022,13,0
1558371319,0,1
1558372820,6,0
1558375819,13,0
1558376718,2,0
1558377619,52,0
1558378819,38,0
1558380919,0,1
1558382719,9,0
1558383920,1,0
1558384819,6,0
1558389319,4,0
1558393821,1,0
1558395318,59,0
1558397119,27,0
1558399819,4,0
1558401618,9,0
1558403719,30,0
1558406118,3,0
1558407018,19,0
1558407619,0,1
1558412419,10,0
1558412722,1,0
1558413319,11,0
1558414220,22,0
1558416619,0,1
1558416920,3,0
1558417519,0,1
1558419018,111,0
1558419619,77,0
1558419924,0,1
1558420818,0,1
1558422619,1,0
1558423220,0,1
1558424120,45,0
1558425019,0,1
1558426219,2,0
1558429221,3,0
1558429818,1,0
1558431317,28,0
1558434919,68,1
1558435820,8,0
1558437619,1,0
1558438820,45,1
1558439719,3,3
1558441520,2,0
1558442419,6,0
1558446621,2,0
1558447519,34,0
1558447820,0,1
1558451119,1,0
1558452321,125,0
1558452622,20,0
1558455019,0,1
1558457420,1,0
1558458620,2,0
1558459519,160,0
1558460419,3,0
1558463719,1,0
1558464619,2,0
1558465219,0,1
1558465820,16,0
1558468819,1,0
1558470018,1,0
1558472118,1,0
1558472720,19,0
1558476621,4,0
1558480821,1,0
1558482621,192,0
1558483521,7,0
1558484121,0,1
1558486219,1,0
1558488019,24,0
1558488321,14,0
1558488919,80,0
1558493422,7,0
1558495520,34,0
1558499119,0,1
1558499718,5,0
1558500618,0,1
1558500918,107,1
1558502419,38,0
1558503020,2,0
1558506019,0,1
1558506918,38,0
1558509321,0,1
1558509620,2,0
1558511719,27,0
1558513219,2,0
1558517718,110,0
1558518619,1,0
1558522222,1,0
1558524919,49,0
1558526119,0,1
1558527319,0,5
1558527921,1,0
1558528223,0,8
1558528519,3,0
1558529420,8,0
1558532421,3,0
1558533621,10,1
1558534219,6,0
1558535421,0,1
1558537519,1,0
1558538421,0,1
1558539621,57,0
1558543219,43,0
1558544119,72,1
1558545620,222,0
1558546819,0,1
1558548618,42,0
1558550720,0,13
1558551918,1,19
1558552219,0,6
1558552519,0,6
1558553118,30,0
1558554619,0,1
1558558218,91,0
1558559419,181,0
1558560019,0,1
1558564518,53,0
1558567521,1,0
1558568118,2,0
1558570519,38,0
1558573819,40,0
1558575619,0,1
1558576219,1,0
1558576518,6,1
1558576822,40,1
1558578020,42,0
1558582820,44,1
1558585522,1,0
1558587319,55,0
1558590620,1,0
1558592727,1,0
1558593317,121,1
1558597819,2,0
1558599620,0,2
1558599921,62,0
1558603219,2,0
1558604119,24,0
1558604418,20,0
1558606820,1,0
1558609820,0,1
1558610421,7,0
1558611619,15,0
1558616119,24,0
1558617921,4,0
1558620023,2,0
1558620919,0,1
1558622419,26,0
1558626918,2,0
1558629021,19,0
1558629621,142,0
1558632918,7,0
1558633820,1,0
1558634119,2,0
1558635319,0,3
1558638318,1,0
1558640419,192,0
1558641021,1,0
1558644918,58,0
1558650019,2,0
1558651221,66,1
1558654819,1,0
1558655718,1,0
1558656320,2,0
1558657821,66,0
1558661719,25,0
1558667120,23,0
1558670719,14,0
1558671619,139,0
1558674019,0,1
1558674919,18,0
1558677318,8,0
1558678219,0,1
1558681819,4,0
1558682721,27,0
1558684518,30,1
1558685120,3,0
1558686919,9,0
1558690817,12,0
1558695022,45,0
1558699221,0,1
1558700421,12,0
1558701319,3,0
1558703119,2,0
1558704918,34,0
1558706118,0,1
1558706720,1,0
1558707320,1,0
1558708519,1,0
1558709419,42,0
1558710020,0,1
1558710319,93,0
1558712118,1,0
1558712718,28,1
1558713318,2,0
1558715121,2,0
1558715719,27,0
1558716919,74,0
1558719319,1,0
1558720519,26,0
1558724119,11,0
1558725019,2,0
1558725319,0,1
1558726819,0,1
1558727419,3,0
1558728619,143,0
1558729219,1,0
1558731022,0,1
1558733419,80,0
1558734020,1,1
1558734619,16,0
1558737919,0,1
1558740321,21,0
1558744518,13,0
1558745719,94,0
1558746618,1,0
1558747219,31,0
1558748420,0,1
1558749318,6,0
1558750820,1,0
1558752020,2,0
1558752918,1,0
1558753819,0,1
1558754419,87,0
1558756517,1,0
1558757119,1,0
1558758918,17,0
1558760719,16,0
1558765218,37,0
1558767320,27,0
1558768820,16,0
1558769121,1,0
1558769718,3,0
1558770620,22,0
1558771519,2,0
1558773318,1,0
1558774517,0,1
1558774822,26,2
1558775420,4,0
1558778118,65,0
1558779019,2,0
1558779620,1,0
1558780519,1,0
1558782619,14,0
1558785623,1,0
1558786821,5,0
1558787720,20,0
1558790724,3,0
1558792519,32,0
1558794321,1,0
1558795820,41,0
1558796421,22,0
1558797619,158,0
1558797920,101,1
1558798519,1,0
1558800618,3,0
1558801220,2,0
1558802118,64,0
1558808720,153,0
1558809320,3,0
1558810519,1,0
1558811418,50,0
1558811719,0,1
1558812019,2,0
1558814719,32,0
1558815619,94,0
1558820419,75,0
1558820721,262,0
1558821020,0,2
1558821622,7,0
1558823123,3,0
1558824021,2,0
1558824622,101,0
1558825522,40,0
1558830322,0,2
1558830623,0,2
1558830920,0,7
1558831222,0,5
1558831521,0,7
1558831823,0,1
1558832122,24,0
1558832420,1,0
1558833621,1,0
1558836319,20,0
1558837218,1,0
1558838118,1,0
1558841121,113,0
1558842918,8,0
1558844721,1,0
1558845319,27,0
1558846518,2,0
1558848919,1,0
1558849819,56,0
1558850421,33,0
1558850719,2,0
1558853719,6,0
1558856419,0,1
1558858519,0,1
1558860020,40,0
1558860322,16,0
1558862722,26,0
1558863619,2,0
1558864221,1,0
1558866622,1,0
1558867822,28,0
1558870818,4,0
1558871421,5,0
1558874719,25,0
1558878620,55,0
1558881319,4,0
1558884021,7,0
1558884918,4,0
1558885219,26,0
1558886719,1,0
1558887621,1,0
1558888518,15,0
1558892419,11,0
1558894819,11,0
