DateTime,AddedIPs,RemovedIPs
1553814320,144,0
1553814620,62,0
1553814918,17,0
1553815220,1,0
1553815521,19,0
1553815818,9,0
1553816118,19,0
1553816418,52,0
1553816719,56,0
1553817019,886,0
1553817318,44,0
1553817623,18,0
1553817919,194,0
1553818218,15,0
1553818519,29,0
1553818818,21,1
1553819119,26,0
1553819420,14,0
1553819717,34,0
1553820019,12,0
1553820618,45,0
1553820917,46,0
1553821222,20,0
1553821520,52,0
1553821820,29,0
1553822117,25,0
1553822418,67,0
1553822719,29,0
1553823019,22,0
1553823319,37,0
1553823618,15,0
1553823919,30,0
1553824220,17,0
1553824518,41,0
1553824823,19,0
1553825119,27,0
1553825420,18,0
1553825719,36,0
1553826020,14,0
1553826319,24,0
1553826620,15,0
1553826918,37,0
1553827217,65,0
1553827520,36,0
1553827819,10,0
1553828118,25,0
1553828420,10,0
1553828719,28,0
1553829019,10,0
1553829319,26,0
1553829619,18,0
1553829919,17,0
1553830220,16,0
1553830518,14,0
1553830818,16,0
1553831120,666,0
1553831420,8,0
1553831717,38,0
1553832021,22,0
1553832318,9,0
1553832618,0,49
1553833522,41,0
1553857519,74,0
1553859920,3,0
1553860220,6,0
1553860520,8,0
1553860821,8,0
1553861119,1,0
1553861718,6,0
1553862021,3,0
1553862320,7,0
1553862623,2,0
1553864118,199,0
1553871318,0,3
1553877621,1,0
1553880320,74,0
1553894120,1,0
1553895919,0,1
1553910619,1,0
1553914819,1,0
1553924419,1,0
1553941819,1,0
1553943020,1,0
1553964919,1,0
1553965220,1,0
1553969418,1,0
1553983222,0,2
1553984119,0,1
1553984419,0,2
1554005718,1,0
1554006619,1,0
1554009318,0,1
1554020119,1,0
1554020418,2,0
1554020724,3,0
1554021019,2,0
1554029719,1,0
1554039619,3,0
1554039919,3,0
1554040518,1,0
1554055818,0,1
1554087019,0,1
1554099618,1,0
1554100218,0,1
1554113119,2,0
1554116721,0,1
1554130821,0,3
1554131119,0,4
1554131419,0,3
1554131718,0,2
1554132017,0,1
1554135018,1,0
1554135319,0,1
1554135621,1,0
1554143422,3,0
1554144020,3,1
1554145518,2,0
1554146118,1,0
1554153019,0,1
1554158117,0,1
1554161719,1,0
1554162918,3,0
1554173717,0,1
1554180620,0,1
1554181220,0,1
1554188718,0,1
1554195019,0,1
1554203719,0,1
1554214820,1,0
1554222621,0,1
1554223219,0,1
1554226518,1,0
1554243620,1,0
1554246919,1,0
1554286221,2,0
1554286521,1,0
1554303921,0,2
1554304221,1,0
1554306325,0,1
1554327318,1,0
1554328517,0,1
1554330017,1,0
1554331820,1,0
1554340518,1,0
1554342619,1,0
1554342917,1,0
1554363617,1,0
1554393620,0,1
1554395119,0,1
1554399920,1,0
1554409218,1,0
1554412220,1,0
1554415518,1,0
1554418221,0,1
1554419417,0,1
1554421518,1,0
1554432619,1,0
1554437119,0,1
1554456619,0,1
1554456917,0,2
1554467121,1,0
1554470118,1,0
1554480020,0,1
1554482118,1,0
1554486917,1,0
1554509718,1,0
1554516917,2,0
1554517218,5,0
1554534319,0,1
1554576918,0,1
1554594917,1,0
1554597919,0,2
1554612621,1,0
1554628220,1,0
1554637220,1,0
1554645022,0,1
1554653121,1,0
1554655220,1,0
1554655821,1,0
1554668720,0,2
1554669619,0,1
1554673520,1,0
1554678918,1,0
1554684318,1,0
1554711319,2,0
1554711621,2,0
1554711921,8,0
1554713118,3,0
1554716419,1,0
1554717019,5,0
1554717318,3,0
1554718519,1,0
1554719121,3,0
1554719718,1,0
1554726021,1,0
1554727520,0,1
1554728722,2,0
1554729020,1,0
1554729318,1,0
1554739223,0,1
1554754520,0,1
1554758420,4,0
1554760519,0,1
1554830419,0,1
1554852623,0,1
1554854424,1,0
1554858918,0,1
1554859521,1,0
1554861621,1,0
1554866419,1,0
1554908118,0,1
1554909619,0,2
1554922517,1,0
1554927618,1,0
1554933019,0,2
1554951018,0,1
1554954917,0,1
1554988218,1,0
1554996318,1,0
1555005620,1,0
1555010718,1,0
1555040118,1,0
1555045220,0,2
1555045518,0,2
1555052720,1,0
1555054517,3,0
1555055120,3,0
1555055420,2,0
1555055718,1,0
1555056020,7,0
1555056317,9,0
1555061420,1,0
1555061718,1,0
1555069220,1,0
