DateTime,AddedIPs,RemovedIPs
1553791220,28,0
1553791521,61,0
1553791821,34,0
1553792119,38,0
1553792422,35,0
1553792721,24,0
1553793021,24,0
1553793320,45,0
1553793619,34,0
1553793919,26,0
1553794221,23,0
1553794519,34,0
1553794822,22,0
1553795122,30,0
1553795422,26,0
1553795720,31,0
1553796023,50,0
1553796319,31,0
1553796621,10,0
1553796919,16,0
1553797219,20,0
1553797522,56,0
1553797821,61,0
1553798121,48,0
1553798420,39,0
1553798722,38,0
1553799022,42,0
1553799319,38,0
1553799627,13,0
1553799921,41,0
1553800219,47,0
1553800819,138,0
1553801120,54,0
1553801419,76,0
1553801719,44,0
1553802021,60,0
1553802320,48,0
1553802623,58,0
1553802918,50,0
1553803222,55,0
1553803519,54,0
1553803820,53,0
1553804120,57,0
1553804418,61,0
1553804719,48,0
1553805021,50,0
1553805318,38,0
1553805621,37,0
1553805920,46,0
1553806223,27,0
1553806517,38,0
1553806822,35,0
1553807118,39,0
1553807418,46,0
1553807720,35,0
1553808019,53,0
1553808320,53,0
1553808620,46,0
1553808919,45,0
1553809219,34,0
1553809519,50,0
1553809822,28,0
1553810118,18,0
1553810421,43,0
1553810719,34,0
1553812518,220,0
1553813120,77,0
1553813423,47,0
1553813719,31,0
1553814022,36,0
1553814320,25,0
1553814620,26,0
1553814918,32,0
1553815220,2,0
1553815521,3,0
1553815819,14,0
1553816118,7,0
1553816418,39,0
1553816719,42,0
1553817019,45,0
1553817318,43,0
1553817623,31,0
1553817920,27,0
1553818218,29,0
1553818519,37,0
1553818818,32,0
1553819119,30,0
1553819420,29,0
1553819717,36,0
1553820019,34,0
1553820618,47,0
1553820917,36,0
1553821222,17,0
1553821520,23,0
1553821820,21,0
1553822117,21,0
1553822418,24,0
1553822719,29,0
1553823020,29,0
1553823319,28,0
1553823618,28,0
1553823919,26,0
1553824220,38,0
1553824518,33,0
1553824823,32,0
1553825119,20,0
1553825420,31,0
1553825719,31,0
1553826020,30,0
1553826319,27,0
1553826620,22,0
1553826918,32,0
1553827217,33,0
1553827520,29,0
1553827819,31,0
1553828118,26,0
1553828420,22,0
1553828719,22,0
1553829019,22,0
1553829319,25,0
1553829619,30,0
1553829919,16,0
1553830220,25,0
1553830518,13,0
1553830818,21,0
1553831120,22,0
1553831420,19,0
1553831718,27,0
1553832021,31,0
1553832619,0,17
1553845819,1,0
1553847019,9,0
1553875818,12,0
1553892019,0,1
1553895319,1,0
1553904618,19,0
1553933419,6,0
1553962220,12,0
1553965819,1,0
1553969118,0,2
1553991019,14,0
1554002419,1,0
1554019818,9,0
1554048618,9,0
1554074718,0,1
1554077418,12,0
1554084621,0,1
1554090020,1,0
1554106219,14,0
1554129318,0,1
1554135018,15,0
1554162918,1,0
1554163819,16,0
1554165020,1,0
1554168621,1,0
1554173418,1,0
1554177019,0,1
1554192618,9,0
1554195019,1,0
1554205821,10,0
1554206119,5,0
1554206421,6,0
1554210919,1,0
1554218120,0,1
1554220821,0,1
1554221720,25,0
1554250519,13,0
1554259519,1,0
1554259820,1,0
1554260421,1,0
1554279025,5,0
1554279924,1,0
1554296123,1,0
1554297322,1,0
1554308119,8,0
1554319521,1,0
1554336619,15,0
1554365419,10,0
1554368420,0,1
1554379819,0,2
1554380421,0,7
1554394219,13,0
1554395420,0,1
1554413718,1,0
1554414018,1,0
1554418221,1,0
1554423019,24,0
1554451818,10,0
1554456619,0,1
1554456917,0,4
1554472220,16,0
1554478518,1,0
1554480618,15,0
1554499219,1,0
1554509419,23,0
1554538219,6,0
1554567020,11,0
1554570920,1,0
1554595819,27,0
1554624618,11,0
1554645022,1,0
1554653419,16,0
1554678918,0,1
1554682219,12,0
1554692420,1,0
1554710419,1,0
1554711019,15,0
1554720320,1,0
1554731121,1,0
1554739820,8,0
1554742519,1,0
1554761119,1,0
1554768619,22,0
1554797420,15,0
1554826219,28,0
1554853219,0,1
1554855018,13,0
1554873923,0,1
1554884119,13,0
1554885319,1,0
1554912619,14,0
1554924317,1,0
1554941419,17,0
1554970218,10,0
1554985220,1,0
1554999020,21,0
1555016422,1,0
1555028119,13,0
1555036517,1,0
1555037119,1,0
1555056918,10,0
1555060818,1,0
1555085418,16,0
1555088421,1,0
1555102518,1,0
1555114218,18,0
1555143019,8,0
1555153220,1,0
1555171817,18,0
1555176319,0,1
1555195219,1,0
1555200618,15,0
1555229418,11,0
1555236620,1,0
1555245019,1,0
1555258220,11,0
