DateTime,AddedIPs,RemovedIPs
1558410994,22,22
1558411202,318,0
1558412896,14,5
1558413889,719,761
1558414826,4,0
1558416737,13,12
1558418674,13,9
1558419391,1190,740
1558420575,12,24
1558422496,11,0
1558422902,240,0
1558423707,818,1560
1558424438,16,25
1558426356,9,12
1558428255,11,0
1558428756,771,736
1558430193,3,26
1558432097,368,0
1558432826,705,768
1558434029,1,13
1558435943,15,0
1558437865,154,7
1558438351,776,786
1558439790,18,8
1558441711,175,0
1558441802,233,0
1558443626,18,7
1558444118,719,765
1558445561,11,12
1558447483,11,24
1558448197,738,0
1558449392,346,10
1558451314,14,0
1558452757,750,0
1558453216,16,7
1558455138,16,15
1558456982,1167,11
1558458971,20,0
1558460907,12,9
1558462827,17,0
1558464746,166,11
1558465931,913,454
1558466666,11,24
1558467902,281,0
1558468584,13,0
1558470033,692,788
1558470496,15,15
1558472431,13,10
1558473634,707,766
1558474352,13,8
1558476257,153,9
1558477236,694,794
1558478171,9,9
1558480129,323,73
1558481306,802,731
1558482034,11,16
1558483962,9,12
1558485163,768,753
1558485884,14,7
1558486802,316,3395
1558487785,71,0
1558489231,829,0
1558489698,11,39
1558490402,107,0
1558491620,43,41
1558493558,18,16
1558494002,120,0
1558494992,780,763
1558495461,15,20
1558497397,11,18
1558497602,107,0
1558498341,717,838
1558499298,14,13
1558501236,11,3
1558503141,217,16
1558504348,686,694
1558505083,26,13
1558506998,14,14
1558507699,763,750
1558508916,163,11
1558510818,175,0
1558513226,764,799
1558514675,15,34
1558516601,147,4
1558517311,736,775
1558518500,1,1
1558520102,327,0
1558520414,1,0
1558522355,7,16
1558523702,153,0
1558524265,3,0
1558526197,20,21
1558528092,14,0
1558530055,16,30
1558530902,347,0
1558531937,12,0
1558534122,11,20
1558536035,15,13
1558538543,10,13
1558539265,955,3646
1558540368,12,15
1558541418,779,0
1558542338,9,11
1558544508,16,15
1558546343,167,23
1558548822,17,7
1558550924,1041,768
1558552831,15,24
1558554729,9,8
1558554995,832,907
1558556648,14,13
1558557002,199,0
1558558567,15,10
1558559080,771,680
1558560504,6,9
1558562424,17,16
1558562913,818,693
1558564359,12,13
1558566254,250,10
1558566756,739,713
1558568190,17,13
1558569369,50,116
1558570105,15,22
1558570601,726,800
1558571402,200,4093
1558572029,8,15
1558573210,41,42
1558573931,7,18
1558574911,786,804
1558575852,14,22
1558577048,30,32
1558577788,16,16
1558578760,747,819
1558579691,258,14
1558581643,15,21
1558582352,789,792
1558583526,11,22
1558585233,790,711
1558585450,19,13
1558587388,121,13
1558588114,741,0
1558589285,20,11
1558589402,257,0
1558590994,792,730
1558591480,12,15
1558592921,729,0
1558593378,13,23
1558593853,500,0
1558595540,14,28
1558596257,825,786
1558597448,180,13
1558598680,825,0
1558599393,11,0
1558601288,12,12
1558602040,1052,770
1558603205,4,8
1558605150,7,1
1558605881,756,734
1558607048,6,1
1558608272,828,0
1558609271,315,3
1558611132,8,4
1558611391,709,0
1558613055,11,15
1558614038,689,0
1558614969,14,13
1558616402,296,0
1558616901,791,9
1558618834,8,10
1558620002,152,0
1558620731,9,6
1558620994,775,0
1558622647,8,9
1558623602,110,0
1558624569,10,0
1558626275,714,725
1558626488,6,11
1558627202,116,0
1558629649,8,17
1558631699,11,12
1558633690,9,12
1558634687,755,740
1558635607,253,12
1558637580,692,803
1558639453,15,12
1558640434,670,0
1558641367,15,5
1558642502,229,0
1558643053,227,300
1558643288,14,13
1558643562,446,488
1558645229,7,9
1558646102,101,0
1558646439,701,754
1558647155,8,6
1558649329,724,809
1558649701,80,0
1558651209,7,11
1558652440,686,0
1558653400,5,14
1558653852,63,0
1558654839,814,689
1558655294,9,14
1558657234,98,11
1558657460,730,4051
1558659168,9,9
1558661074,18,8
1558661805,843,841
1558662965,17,7
1558663476,759,0
1558664914,102,17
1558665604,26,57
1558666848,831,732
1558668759,227,14
1558669452,704,748
1558670673,15,12
1558672577,13,20
1558673559,793,745
1558674519,15,8
1558676433,129,19
1558678355,17,15
1558679077,770,1422
1558679402,385,0
1558682169,14,21
1558684358,16,9
1558686037,766,2800
1558686505,10,12
1558686602,440,0
1558688437,15,12
1558689401,812,711
1558690334,2,3
1558692276,3,3
1558692995,769,734
1558693802,399,0
1558696092,11,20
1558698036,8,11
1558698755,801,1517
1558700183,17,9
1558702117,941,690
1558704033,9,9
1558705484,1109,770
1558705935,13,8
1558709057,828,810
1558709765,12,26
1558711712,17,15
1558712435,912,0
1558715313,848,700
1558716302,322,0
1558717719,19,10
1558719043,722,0
1558719876,18,7
1558719902,138,0
1558721796,21,6
1558722762,792,726
1558723690,17,14
1558725855,18,20
1558726121,665,670
1558727102,224,0
1558729708,18,24
1558730436,808,1357
1558731636,12,13
1558733059,748,697
1558733559,25,4
1558735456,152,0
1558736431,741,722
1558738611,16,15
1558739056,266,21
1558740501,21,7
1558742443,760,1516
1558742903,18,56
1558744338,18,14
1558745316,695,686
1558746259,247,2970
1558746734,44,0
1558748172,13,11
1558748685,699,783
1558750122,142,18
1558750571,34,0
1558752016,18,20
1558752280,762,757
1558753202,129,0
1558753942,21,12
1558755885,781,1573
1558756803,161,0
1558757801,18,17
1558758520,556,0
1558759695,19,11
1558760402,143,0
1558761613,12,18
1558762116,667,796
1558763560,19,15
1558764002,142,0
1558765458,15,17
1558765969,772,784
1558767376,22,0
1558769314,8,14
1558770756,803,0
1558771240,20,15
1558774123,1047,755
1558775324,139,27
1558777238,5,3
1558777724,749,790
1558779141,8,2
1558781054,5,0
1558781558,763,740
1558782002,290,0
1558783247,13,9
1558785159,716,817
1558788012,780,0
1558788995,22,27
1558790895,165,7
1558792128,757,1505
1558792838,17,11
1558793702,311,0
1558795477,709,812
1558796659,14,12
1558799074,669,752
1558800902,397,0
1558801720,755,823
1558804335,6,37
1558805559,499,426
1558806442,331,290
1558808434,159,16
1558809158,840,0
1558812277,11,28
1558812869,728,1454
1558814192,15,0
1558817076,879,802
1558818012,12,18
1558819937,159,6
1558820702,101,0
1558821162,746,754
1558822119,9,26
1558824009,21,0
1558825932,13,11
1558827372,54,69
1558827849,13,15
1558827902,233,0
1558831228,794,1497
1558831718,14,24
1558833608,18,17
1558835063,43,83
1558835566,833,4549
1558837452,140,37
1558838897,18,52
1558839366,18,16
1558841288,9,22
1558842514,784,1351
1558843238,138,20
1558845161,101,20
1558846802,97,0
1558848523,745,1372
1558848977,21,35
1558850920,115,23
1558852809,17,16
1558854002,116,0
1558854732,15,21
1558855241,783,762
1558856673,17,11
1558858106,677,822
1558861202,212,0
1558861960,780,768
1558862437,11,31
1558864353,5,6
1558865078,711,736
1558866271,6,8
1558867937,769,0
1558868176,9,3
1558868402,244,0
1558870112,6,13
1558870834,740,781
1558872006,6,11
1558873959,18,0
1558874176,783,689
1558875851,20,15
1558877587,1041,771
1558878014,17,19
1558879943,16,15
1558880451,784,759
1558881854,14,0
1558883817,1044,715
1558885690,12,14
1558886663,790,676
1558887611,10,0
1558889530,10,0
1558890038,801,770
1558890902,220,0
1558891475,13,5
1558893380,740,818
1558896283,738,724
1558897237,10,19
1558898102,191,0
1558899132,10,9
1558901052,14,15
1558901322,763,746
1558902966,4,0
1558904887,7,12
1558906832,98,12
1558907555,689,764
1558908756,19,12
1558909802,274,0
1558910652,13,21
1558911143,701,769
1558912089,41,0
1558912570,14,11
1558913402,108,0
1558914487,7,3
1558915935,21,45
1558916437,17,0
1558918354,14,15
1558919770,44,0
1558920254,16,17
1558920601,324,3690
1558921236,744,832
1558922170,18,0
1558922900,770,765
1558923606,23,0
1558924085,21,12
1558926039,15,14
1558927966,745,0
1558929856,652,20
1558931058,747,810
1558931766,14,18
1558933741,12,0
1558934407,761,0
1558935637,103,15
1558937322,729,722
1558937801,10,18
1558938602,206,0
1558939718,11,16
1558941641,678,11
1558943555,9,19
1558944520,750,1431
1558945460,12,0
1558945802,327,0
1558947379,4,0
1558948120,832,0
1558949288,2,9
1558953139,4,11
1558953902,327,0
1558954614,773,2193
1558955120,9,7
1558956985,15,8
1558958922,17,5
1558959411,694,717
1558960837,11,13
1558961102,246,0
1558962513,772,785
1558962979,14,10
1558964892,6,20
1558966579,712,777
1558968302,252,0
1558968994,18,30
1558970404,735,1483
1558975084,712,788
1558975502,280,0
1558977980,9,26
1558982421,707,1565
1558982702,255,0
1558985184,16,13
1558986817,684,705
1558988502,23,21
1558990493,858,767
1558992512,129,14
1558994423,11,18
1558996337,12,14
1558998253,147,14
1558999928,83,68
1559000170,17,13
1559001602,184,3188
1559002093,11,11
1559004258,673,1393
1559005202,102,0
1559007609,46,88
1559007876,11,55
1559008802,292,0
1559009325,816,1537
1559009788,11,18
1559011447,23,46
1559011936,12,17
1559012402,217,0
1559013858,12,13
1559015795,18,0
1559016003,146,0
1559017961,13,14
1559019878,137,10
1559021773,13,15
1559023202,144,0
1559023694,23,10
1559025612,20,9
1559026802,130,0
1559029477,15,23
1559030402,190,0
1559031396,9,7
1559033316,12,13
1559034002,151,0
1559035232,7,6
1559036898,828,5402
1559037398,8,4
1559037602,182,0
